-0.0065359-0.039577i,-0.012401-0.043204i,0.0019393-0.045851i,-0.027318-0.027457i,-0.020544+0.014361i,-0.032339-0.03252i,-0.05932-0.061969i,-0.021433-0.073177i,-0.034686-0.050748i,0.00091199+0.014599i,-0.0071156+0.010861i,-0.015072+0.013781i,0.0016364+0.016413i,-0.003878-0.003719i,0.0005084+0.0065126i,5.4917e-05+0.039078i,0.019307+0.059072i,0.00050088-0.0003152i,-0.0048549-0.0080804i,0.0086688+0.0049489i,0.0013775+0.00095737i,-0.00089221+0.0036983i,0.00014346-0.0013908i,-0.0362-0.0099771i,-0.0024834-0.0075029i,-0.00019978+0.004739i,0.0051894+2.1972e-05i,0.00040967+0.00059951i,-0.00021292-0.0012086i,0.00012699-0.0025912i,-0.0011035-0.0059366i,-0.0023963-0.0038993i,-0.00053329-0.0076439i,0.0031936-0.0014454i,0.0031424-0.0023715i,-0.0016063+0.034404i,0.0060843-0.0041398i,0.003717-0.0023349i,0.0051062+0.00023683i,-0.013814-0.0050117i,-0.00010076+0.00068298i,0.0096435-0.00042578i,0.0059493-0.0011821i,-0.0039698+0.0035219i,0.0036138+0.0025949i,-0.0038239+0.0091191i,0.015315-0.086891i,-0.0065866-0.047483i,-0.024222-0.038468i,-0.019456-0.041492i,0.064225-0.015816i,0.028308-0.060974i,0.03883-0.044565i,0.029819-0.056522i,0.019199-0.015523i,0.0084824+0.0098766i,0.024669-0.032625i,-0.0074763-0.0048802i,0.002412-0.0024418i,-0.0046446-0.0060349i,0.0015413-0.032318i,-0.024554+0.031106i,0.0077326-0.0097023i,-0.011282-0.0015517i,-0.0052391-0.0011178i,-0.00095898-0.013479i,-0.010297+0.0040716i,0.0035135+0.0082319i,-0.010953+0.031364i,0.0057116+0.0078062i,-0.0052658-0.0014928i,-0.002056-0.0020269i,-0.011367-0.0074945i,0.00099319-0.0037266i,-0.035242+0.004549i,0.0024072-0.012308i,-0.0089123-0.0023122i,-0.0066667-0.003267i,0.0063931+0.0014358i,-0.0097357+0.0014684i,0.0011253+0.00084916i,0.0054642+0.0090637i,0.0047689+0.00033978i,-0.0084941-0.0090628i,0.0026706+0.0085891i,-0.019224+0.0064429i,0.0070869+0.0031543i,-0.028888-0.0087327i,-0.034001+0.0022222i,0.025816-0.077643i,0.012575-0.010131i,-0.042528-0.027522i,-0.022843-0.0040326i,0.017889+0.01275i,-0.026978+0.012041i,-0.011017-0.0087675i
-0.012072+0.021749i,0.011954+0.047421i,0.026153+0.045612i,0.00040193+0.017668i,-0.002717+0.0074709i,0.027041+0.0022118i,0.01309+0.017381i,0.011794+0.045309i,0.0048569+0.019823i,-0.0023645+0.0042099i,0.001112+0.0014319i,0.0029028-0.0045872i,0.0027393-0.0026537i,0.0034758-0.00013621i,0.0030148-0.0023008i,0.0049078-0.0015581i,0.01322-0.0065341i,-0.00072365-0.00067272i,-0.0047816+0.00051858i,-0.00023563+0.0023989i,-0.00047617-0.0011163i,-0.0052041-0.0017981i,-0.0026464+0.00061782i,0.0048442+0.0083102i,0.0013373+0.001751i,0.0025009+0.0007031i,0.0019782+0.0015937i,-0.0014917+0.0033071i,-0.00050516+0.0010532i,-0.00069105+0.0011224i,0.00021359-0.0032894i,-0.00097954-0.0012429i,-0.00042213-0.00057541i,-9.8899e-05+0.00078306i,-0.00027652-0.0019135i,-0.0061982+0.010785i,0.0031512+0.00048104i,0.00090275+6.0294e-05i,-0.00078914+0.0023927i,-0.0008607-0.0042765i,-0.0020969+0.0005041i,-0.0025008-0.0015444i,0.00061376+0.0086334i,0.0036133+0.00011478i,-0.026535+0.021944i,-0.05645+0.024382i,-0.030124+0.046097i,-0.018806+0.031333i,-0.0043661+0.048669i,-0.0081793+0.032016i,0.008852+0.009913i,-0.0061119-0.0074313i,-0.037684-0.0080598i,-0.042264+0.016497i,0.0095283+0.02091i,-0.0015923+0.0029877i,-0.00548+0.0020471i,-0.011433-0.0031042i,0.0098457+0.0015651i,0.012028+0.014555i,-0.0030227+0.0079458i,-0.0067374-0.012162i,0.005332-0.0028426i,-0.00496-0.0043199i,0.0040216-0.0075009i,0.0051168-0.0022028i,-0.0011415+0.0097561i,0.012698-0.0047281i,0.0075705-0.0067789i,0.0053617-0.0071622i,0.0034455-0.00057139i,-0.0031423-0.0065426i,-0.0038506-0.0016003i,0.0029959-0.001131i,-0.012981+0.036157i,-0.005283-0.0051052i,0.0014881+0.00086066i,-0.00065195-0.007635i,0.0029575-0.0010689i,-0.014516-0.0049827i,0.0014775-0.0005446i,0.0031728-0.0030964i,0.0028657-0.0021631i,0.00027967-0.0056601i,-0.0013107+0.0069088i,-0.00061535+0.0030873i,-0.0027897+0.0058343i,-0.011171-0.0022572i,-0.0086037+0.0032429i,-0.039507+0.039564i,-0.0077223+0.016203i,-0.023336-0.0054003i,-0.00048372-0.0012281i,0.0098934+0.020043i,-0.0012873+0.019679i,-0.0060444-0.00087222i
-0.0089052+0.021041i,0.019058+0.043258i,0.033915+0.040193i,0.0043208+0.019366i,0.0012939+0.0079579i,0.027011-0.0036573i,0.014361+0.014071i,0.019476+0.040785i,0.0074208+0.018182i,-0.00090583+0.0041561i,0.0018103+0.001352i,0.00034364-0.0035684i,0.0013521-0.0025668i,0.0033461-0.00027575i,0.0022991-0.0027696i,0.0039893-0.0014231i,0.0097251-0.009105i,2.7209e-05-0.00032343i,-0.0046378+0.0011874i,0.00077283+0.0014505i,-0.0010538-0.0013297i,-0.0055705-0.00038188i,-0.0024015+0.00073713i,0.0086726+0.0050417i,0.0012183+0.002259i,0.0029668-0.00049909i,0.0021125+0.00056114i,-0.00017123+0.0036057i,-0.00064536+0.0015835i,-0.00035995+0.001305i,-0.0011143-0.002846i,-0.0016082-0.0011918i,-0.00085783-0.00049467i,0.00031863+0.00053586i,-0.0010626-0.00066765i,-0.0022041+0.011445i,0.0027316-0.00073402i,0.00095159-9.7731e-05i,0.00056837+0.0020752i,-0.0019402-0.0033774i,-0.0017123+0.00068027i,-0.002955-0.00032505i,0.0026519+0.0089549i,0.0027022-0.00046241i,-0.021553+0.025886i,-0.048511+0.033234i,-0.023979+0.050834i,-0.012044+0.03301i,0.0086333+0.044686i,0.001163+0.029544i,0.0038976+0.0032014i,-0.012931-0.01132i,-0.041673-0.00654i,-0.033625+0.017247i,0.013767+0.016949i,-0.0021114+0.0032345i,-0.0043169+0.0062156i,-0.011755+0.0015274i,0.0083293-0.0019549i,0.014735+0.011661i,0.0012364+0.011878i,-0.012504-0.009984i,0.0021481-0.0036562i,-0.0046078-0.0017579i,-0.00072386-0.0071915i,0.0036204-0.0041462i,0.0035774+0.0076129i,0.0086549-0.0080427i,0.0027523-0.0084368i,0.0017811-0.005237i,0.0042806-0.0016806i,-0.0044812-0.0046389i,-0.0021043+0.0010365i,0.00302-0.0016816i,0.0061584+0.036658i,-0.00682-0.0039325i,0.0021753-0.00089021i,-0.0041612-0.0066046i,0.0034388-0.001847i,-0.014007+0.0018176i,0.0017271-0.00028184i,0.0016209-0.0028413i,0.0027168-0.0035734i,-0.0014993-0.0055581i,0.000841+0.0038345i,0.00083052+0.0026677i,0.00084561+0.0066952i,-0.010767+0.0017119i,-0.0080701+0.0045538i,-0.031144+0.040812i,-0.00474+0.018998i,-0.024719-0.0004542i,-0.0016118-0.0054539i,0.012682+0.019055i,0.0027079+0.021655i,-0.0083104-0.00065411i
-0.0067384+0.020566i,0.024669+0.037894i,0.042056+0.032099i,0.011163+0.017882i,0.0059549+0.0065481i,0.025488-0.0097037i,0.014691+0.010544i,0.026076+0.034502i,0.010271+0.017263i,-0.00014877+0.0039435i,0.002184+0.0004287i,-0.00023853-0.0014379i,4.3087e-05-0.0025536i,0.0034876-0.00088785i,0.0015796-0.0028868i,0.0031948-0.001335i,0.0064796-0.010678i,-4.8084e-06-0.00077739i,-0.004375+0.0025902i,0.00076101+0.00015929i,-0.0019896-0.0013305i,-0.0052674+0.0012751i,-0.002507+0.0010218i,0.0092158+9.8742e-05i,0.0023935+0.0017734i,0.0022623-0.0018021i,0.0019319-0.00011841i,0.0014009+0.0030276i,0.00032437+0.0017558i,-0.00016855+0.0015796i,-0.0021466-0.0017975i,-0.0022632-6.8399e-05i,-0.00093182-7.6725e-07i,0.00030382+6.696e-05i,-0.00074742+0.00036543i,0.00117+0.01094i,0.0019951-0.0013794i,0.00084827-0.00065844i,0.0010487+0.0012471i,-0.0029161-0.0025528i,-0.0016389+0.0009041i,-0.0026607+0.00072975i,0.0053164+0.0090123i,0.0023222-0.00063659i,-0.014751+0.028655i,-0.039808+0.039981i,-0.015708+0.054587i,-0.004519+0.032204i,0.019817+0.036618i,0.0090713+0.027235i,-0.0027089+0.00080674i,-0.019862-0.010549i,-0.045491-0.0010339i,-0.027066+0.015096i,0.016667+0.011551i,-0.0023518+0.0038225i,-0.0024323+0.0077032i,-0.011184+0.0051856i,0.0051073-0.0055562i,0.017103+0.0074677i,0.0067142+0.012086i,-0.016425-0.0057788i,0.00090388-0.0021391i,-0.0041858+0.00028423i,-0.003046-0.0049377i,0.0013602-0.0044883i,0.0056692+0.0060801i,0.0055389-0.0087451i,-0.0021659-0.0069509i,0.0013954-0.003337i,0.0040071-0.0041518i,-0.0060843-0.002572i,-0.00032934+0.00087709i,0.001851-0.0024685i,0.021528+0.027838i,-0.0084079-0.0013317i,0.0020271-0.0020488i,-0.0043095-0.0041029i,0.0039777-0.0036692i,-0.01023+0.0068416i,0.0027846-0.00042257i,0.0002207-0.0030623i,0.0009931-0.0037252i,-0.003385-0.0039675i,0.00031568+0.0030192i,0.0018444+0.0015745i,0.0038117+0.005543i,-0.0095896+0.0043212i,-0.0075189+0.0064343i,-0.024957+0.041135i,0.0028447+0.020184i,-0.024331+0.0038276i,-0.0041497-0.0087146i,0.017507+0.015912i,0.008865+0.022776i,-0.009865+0.001126i
-0.0048518+0.020516i,0.028148+0.032601i,0.046528+0.021469i,0.016117+0.0123i,0.0092569+0.0025392i,0.022113-0.014766i,0.014246+0.0081065i,0.029939+0.027083i,0.013883+0.014869i,0.00044515+0.0040796i,0.0019351+0.00014941i,0.00047275-0.00052206i,-0.0014688-0.0012566i,0.0030418-0.0013665i,0.00079043-0.0030024i,0.0028167-0.00088529i,0.0026319-0.01047i,-4.3663e-05-0.00081069i,-0.002608+0.0035674i,-1.4074e-05-0.0003353i,-0.0026019-0.00040495i,-0.0045223+0.0030391i,-0.0023019+0.001704i,0.00707-0.003566i,0.0025519+0.00076842i,0.0010793-0.002132i,0.0015995-0.0006337i,0.0019433+0.0017949i,0.00097024+0.00094107i,0.00041435+0.0019582i,-0.0025248-0.0002521i,-0.0018429+0.0010704i,-0.00081164+0.00031661i,-2.0441e-05+4.1518e-05i,-0.00016028+0.00068583i,0.0042148+0.0096466i,0.0014387-0.0018438i,0.00031569-0.00098314i,0.0011226+0.0011608i,-0.0035922-0.0014892i,-0.0012983+0.0012902i,-0.00229+0.001454i,0.0081931+0.0077446i,0.0020781-0.00071097i,-0.0073679+0.028279i,-0.029577+0.044742i,-0.0067842+0.057203i,0.00038285+0.02991i,0.027866+0.025113i,0.016545+0.020952i,-0.010022+0.0030097i,-0.027396-0.006366i,-0.04735+0.0073583i,-0.023953+0.011142i,0.017834+0.0050029i,-0.001895+0.0050921i,0.00028639+0.0099067i,-0.0093318+0.008754i,-0.00043727-0.0056719i,0.019007+0.0012787i,0.012103+0.0095872i,-0.018928+5.212e-05i,0.0006828-0.0016317i,-0.002852+0.0014932i,-0.0040402-0.001814i,-7.7087e-05-0.004145i,0.0074723+0.0028598i,0.0024959-0.0091523i,-0.004676-0.0025442i,0.0019304-0.0028608i,0.0018829-0.0061564i,-0.0061061+0.00039687i,0.00077064+0.0007703i,0.0011239-0.002678i,0.030166+0.013547i,-0.008282+0.0027697i,0.0017057-0.0032497i,-0.0042446-0.0024006i,0.002459-0.0061353i,-0.0052357+0.0083892i,0.0036493-0.0019917i,-0.00093518-0.0019491i,-1.6583e-05-0.0033212i,-0.0034478-0.0015912i,1.4958e-05+0.0032754i,0.001829+0.00027346i,0.0058997+0.0036659i,-0.0079638+0.0060876i,-0.0066801+0.0084703i,-0.019168+0.042578i,0.013191+0.015306i,-0.021915+0.0083706i,-0.009803-0.010417i,0.019461+0.01034i,0.015835+0.020656i,-0.0089508+0.0025401i
-0.0025137+0.020645i,0.031616+0.028364i,0.047958+0.011704i,0.01816+0.0057601i,0.0098544-0.0024203i,0.018409-0.018522i,0.014034+0.006912i,0.031967+0.020548i,0.017101+0.011492i,0.0012137+0.0041006i,0.0017882+0.00016529i,0.0013053-0.00042906i,-0.00154+0.0008811i,0.002523-0.0018858i,7.0944e-05-0.0025438i,0.0030302-0.0003101i,-8.9614e-05-0.0090796i,-0.00039031-0.00073094i,-0.0013604+0.0033819i,-0.00069998-0.00014726i,-0.0026908+0.00046145i,-0.0026885+0.0041662i,-0.0016311+0.0022919i,0.0041926-0.0053944i,0.0022778-7.2549e-06i,0.00027294-0.002169i,0.0011459-0.0010679i,0.001671+0.00088603i,0.0007828+0.0003967i,0.0013965+0.0018265i,-0.0018185+0.00083993i,-0.0011545+0.0016905i,-0.00062956+0.0004729i,0.00016816+0.00078083i,0.00052437+0.00084847i,0.0065452+0.0076742i,0.00062842-0.0019463i,-0.00021576-0.00081865i,0.001785+0.00092438i,-0.0037172-0.00024069i,-0.0010283+0.0012687i,-0.0016826+0.0021128i,0.010232+0.0049978i,0.0014611-0.0011646i,-0.0022311+0.026073i,-0.018497+0.046428i,0.0046302+0.057953i,0.00511+0.02844i,0.030023+0.012673i,0.019699+0.013202i,-0.013502+0.010186i,-0.032095+0.0031337i,-0.047348+0.018412i,-0.0248+0.0083536i,0.014806-0.00075351i,-0.00030479+0.0062128i,0.0049803+0.0093805i,-0.0064294+0.011545i,-0.0032972-0.0024387i,0.017325-0.0066291i,0.01592+0.0045819i,-0.018974+0.0062655i,0.00070514-0.00058452i,-0.0017324+0.0021052i,-0.0023963+0.00016973i,-0.0020562-0.0029158i,0.0070631+0.00028547i,-0.00023755-0.0085838i,-0.0038367+0.0014277i,0.0023853-0.0035338i,-0.00085317-0.0066773i,-0.0041631+0.0023248i,0.00194-5.8491e-05i,0.00057635-0.0022938i,0.030912-0.00115i,-0.0051027+0.0057648i,0.00039387-0.0042387i,-0.0034447-0.0017884i,-0.00011247-0.0070338i,-0.0015764+0.0078082i,0.002769-0.0036297i,-0.0010098-0.00027113i,-0.0001881-0.0025596i,-0.0018994-0.00058586i,0.0012519+0.0037093i,0.00081687-0.00070395i,0.0062488+0.0010141i,-0.0065365+0.0067516i,-0.0043214+0.010712i,-0.012484+0.043411i,0.01808+0.003001i,-0.017159+0.0094404i,-0.015877-0.0089822i,0.020129+0.0051187i,0.021069+0.014059i,-0.0092337+0.00249i
0.00015156+0.020025i,0.035342+0.023409i,0.048464+0.0023966i,0.018727-0.0007441i,0.0092575-0.0063451i,0.014163-0.02166i,0.015125+0.0058187i,0.0331+0.014399i,0.019854+0.0066515i,0.001787+0.003745i,0.0022684+9.0559e-05i,0.0019362-0.00065274i,7.963e-05+0.0023268i,0.0019835-0.0021124i,-0.00013658-0.0022071i,0.003789-6.8637e-05i,-0.0013322-0.0080131i,-9.0428e-05-0.00070576i,-0.00051535+0.0033504i,-0.00098207+0.00031809i,-0.002156+0.0011997i,-0.00054047+0.0039489i,-0.00090206+0.0024741i,0.00081844-0.0058948i,0.002281-0.00046744i,-0.00061926-0.0020167i,0.00055772-0.0012268i,0.0015657+0.00052295i,0.00066106+0.00021057i,0.0018964+0.00095966i,-0.0010528+0.0013673i,-0.00031547+0.0019813i,-0.00047154+0.00078595i,0.00092827+0.00036716i,0.00092904+8.5493e-05i,0.0076721+0.0052216i,-6.6515e-05-0.0019711i,-0.00034016-0.00037011i,0.0016712-5.5913e-05i,-0.0030898+0.00061369i,-0.0010497+0.0015138i,-0.00094007+0.0024156i,0.011076+0.002225i,0.00070955-0.00076015i,0.0016514+0.023155i,-0.0085059+0.044919i,0.016253+0.054298i,0.010094+0.026414i,0.028445+0.0018219i,0.01967+0.0065072i,-0.011554+0.018205i,-0.030957+0.015332i,-0.04136+0.031355i,-0.027563+0.0091296i,0.011086-0.0033112i,0.0016643+0.0060517i,0.0078735+0.0066482i,-0.0025879+0.013708i,-0.003674+0.00014039i,0.011682-0.013862i,0.016412-0.0024051i,-0.016579+0.011048i,0.0016869-0.00033118i,-0.00049493+0.0020655i,-0.00090614+0.00010948i,-0.0022581-0.00057615i,0.0057291-0.0013322i,-0.002194-0.0069609i,-0.0011089+0.0036128i,0.0018706-0.0048265i,-0.0032842-0.0053026i,-0.0027238+0.0026823i,0.0020494-0.0017562i,0.00086305-0.0020075i,0.025503-0.013602i,-0.0017439+0.0061812i,-0.001353-0.0039723i,-0.0034401-0.0012031i,-0.0028442-0.0066373i,0.00066999+0.0064859i,0.0022631-0.0044445i,0.00034787+0.00030381i,-0.00022325-0.0031955i,-0.00064875-0.00095333i,0.0023319+0.0038i,-0.00032487-0.00022028i,0.005353-0.00069375i,-0.0055319+0.0072401i,-0.00070145+0.01161i,-0.005762+0.043225i,0.014352-0.0082258i,-0.014029+0.0065145i,-0.021465-0.0041798i,0.018351-0.0014372i,0.022005+0.00707i,-0.0096921+0.0041291i
0.0026394+0.019183i,0.038089+0.01735i,0.046755-0.0077837i,0.016255-0.0083105i,0.0078053-0.010588i,0.009273-0.023645i,0.01703+0.0038406i,0.033352+0.0084332i,0.020302+0.0011313i,0.0022555+0.0039491i,0.0023024-0.00049997i,0.002387-0.0019467i,0.0016876+0.0022357i,0.0013226-0.0022636i,-0.00024236-0.0019457i,0.0048074-0.00062109i,-0.0027796-0.0072773i,-0.0006432-0.0010113i,0.00066225+0.002969i,-0.0012528+0.00093001i,-0.0018178+0.0014716i,0.00076932+0.0027915i,-0.00043907+0.0024455i,-0.0022702-0.004859i,0.0018471-0.0018563i,-0.0014259-0.0012866i,-0.0001317-0.001206i,0.0016224+0.00020711i,0.00088298+1.0756e-05i,0.0017915+9.0055e-05i,-3.4354e-05+0.0015045i,0.00041919+0.0020029i,-0.00034191+0.0011288i,0.00085329-5.3154e-05i,0.00044656-0.00065536i,0.0079886+0.0030318i,-0.00087207-0.0016842i,-0.00037342-0.00021698i,0.0013339-0.00036682i,-0.0021419+0.0010143i,-0.00074024+0.0020287i,-0.00025562+0.0024772i,0.011283-0.001063i,0.00034371-8.0291e-05i,0.0044079+0.020163i,-0.00024589+0.041683i,0.025258+0.047465i,0.015095+0.023543i,0.024049-0.0068991i,0.018012+0.0020891i,-0.005463+0.023283i,-0.022245+0.025252i,-0.02871+0.040213i,-0.029245+0.01359i,0.0079449-0.0039582i,0.0032133+0.0050624i,0.008751+0.0030767i,0.0022463+0.013624i,-0.0039152+0.0019524i,0.0014942-0.016551i,0.012966-0.0079758i,-0.013503+0.014639i,0.002349-0.0017611i,0.00032269+0.001489i,-0.00066177-0.00056423i,-0.00084291+0.00073407i,0.0045714-0.0015599i,-0.003251-0.0059534i,0.0015565+0.0034122i,0.00038768-0.0062118i,-0.0046272-0.0035144i,-0.00129+0.0029235i,0.00099462-0.0032029i,0.0010694-0.0028123i,0.015965-0.020728i,0.00073923+0.0055167i,-0.0022704-0.0031916i,-0.0029748-0.0008629i,-0.0048796-0.0055745i,0.0019356+0.0050901i,0.0013745-0.0062341i,0.0013687-0.00030466i,-0.0013177-0.0032141i,-0.0008223-0.0018629i,0.0042458+0.0035526i,-0.00076105+0.0011267i,0.0045535-0.0017757i,-0.0049622+0.0079473i,0.0026361+0.010637i,0.0012615+0.042578i,0.006913-0.015927i,-0.016026+0.0028982i,-0.023304+0.0032149i,0.012784-0.0058625i,0.021913+0.0010684i,-0.0081242+0.0051827i
0.005034+0.017775i,0.040166+0.011626i,0.042058-0.016453i,0.010215-0.013302i,0.00447-0.014157i,0.0045905-0.02426i,0.019042+0.00066969i,0.032592+0.0031614i,0.019742-0.0045194i,0.0035588+0.0041855i,0.0020655-0.00068917i,0.001241-0.0033106i,0.0030609+0.0015083i,0.00078911-0.0021192i,-0.00014455-0.0020125i,0.0053374-0.0016049i,-0.0048763-0.005549i,-0.0010922-0.00064531i,0.0013171+0.0020299i,-0.00086503+0.001966i,-0.0013718+0.0018923i,0.00090982+0.0012993i,6.8381e-05+0.0024734i,-0.0041375-0.0023946i,0.00014273-0.0021126i,-0.0016779-0.00040595i,-0.00058266-0.00089735i,0.0014508-5.2263e-05i,0.0005841-0.00054685i,0.0014836-0.00056824i,0.0008478+0.0010649i,0.0010501+0.0016844i,0.00029858+0.0013826i,0.00058112-9.4274e-05i,-0.00022867-0.0001973i,0.0077433+0.00093989i,-0.0013367-0.0010524i,-0.00043944+0.00013534i,0.00125-0.00037715i,-0.0012888+0.0010585i,-1.6671e-05+0.0024052i,0.00048105+0.0023362i,0.010048-0.0042711i,0.00037203+0.00062141i,0.0065064+0.016957i,0.0062091+0.037141i,0.031284+0.040182i,0.019911+0.019127i,0.018158-0.012365i,0.015873-0.00060091i,0.0015053+0.025249i,-0.011517+0.028589i,-0.014291+0.043228i,-0.028189+0.019449i,0.006422-0.003858i,0.0044441+0.0035836i,0.0081136+0.00025179i,0.0068447+0.011387i,-0.0031748+0.0042842i,-0.0075264-0.012617i,0.0083229-0.010739i,-0.0095462+0.017538i,0.001493-0.0034555i,0.00060793+0.00097822i,-0.0010558-0.00054664i,0.00099797+0.00091239i,0.0041294-0.0019119i,-0.0047258-0.0046047i,0.003464+0.0019059i,-0.0025352-0.0065244i,-0.0050328-0.0014863i,0.00027995+0.00203i,0.00010474-0.0037684i,0.00043075-0.0039685i,0.0060695-0.022691i,0.0024362+0.004386i,-0.0029265-0.0025454i,-0.003631-0.00076671i,-0.0065646-0.0034934i,0.002233+0.0039655i,-0.0011577-0.0077533i,0.0021281-0.0013402i,-0.0017489-0.0023147i,-0.0013474-0.0022882i,0.005272+0.0022358i,-0.00012764+0.0021901i,0.0030804-0.0025187i,-0.003937+0.0090494i,0.005115+0.0086341i,0.0091299+0.040661i,-0.0038262-0.019935i,-0.020024+0.0027356i,-0.02085+0.010324i,0.0073256-0.0059898i,0.018943-0.0053502i,-0.0064736+0.0038583i
0.0069591+0.01576i,0.041735+0.0048414i,0.036653-0.022651i,0.0044589-0.014194i,0.0003677-0.016148i,0.00066005-0.024351i,0.020337-0.0040655i,0.031786-0.001584i,0.01745-0.0096531i,0.0051969+0.0033056i,0.0023775-0.00095289i,-0.00030961-0.0031578i,0.0037277-0.00027729i,0.00049944-0.0020642i,-0.00039161-0.0022389i,0.0056436-0.0025747i,-0.0054756-0.0031107i,-0.0010569-0.00066022i,0.0012313+0.0011185i,0.00012729+0.0022308i,-0.00082448+0.0021105i,0.00050953+0.0004133i,0.00062487+0.0022985i,-0.0046337+0.00072912i,-0.00070604-0.0012312i,-0.0015904+0.00036451i,-0.00083985-0.00056947i,0.0012062-0.00032526i,-1.7012e-05-0.00024349i,0.0008782-0.0010945i,0.0013949+0.00027777i,0.0014522+0.0012611i,0.0010239+0.001133i,0.00075901-6.6315e-05i,-0.00022136+0.00055514i,0.006888-0.00082529i,-0.0016632-0.00026113i,-0.0001512+0.00038171i,0.0011743-0.00087095i,-0.00045138+0.00073717i,0.00081738+0.0022163i,0.001129+0.0018781i,0.0076079-0.006682i,0.00067491+0.0011001i,0.0071076+0.014062i,0.010206+0.032055i,0.035766+0.033024i,0.023058+0.013147i,0.012251-0.015444i,0.014233-0.0007284i,0.0089532+0.025022i,-0.0016383+0.029123i,-0.0013523+0.041055i,-0.024398+0.025648i,0.0054493-0.0045452i,0.0051689+0.0014725i,0.0073726-0.0019366i,0.010164+0.0074219i,-0.00084586+0.005082i,-0.012026-0.0058579i,0.0031915-0.011832i,-0.0039252+0.018469i,-0.00057732-0.0039874i,0.00012042+0.0010121i,-0.0013289-0.00015576i,0.0020484-2.2657e-06i,0.0036958-0.0016519i,-0.0052542-0.0023242i,0.0038262+0.00011119i,-0.0051049-0.0046917i,-0.004133+0.00025293i,0.00052223+0.00066685i,-0.0008883-0.0043505i,-0.0011073-0.0043435i,-0.0025472-0.020809i,0.0040365+0.0023338i,-0.0038742-0.0016186i,-0.003969+0.00087353i,-0.0067389-0.0006474i,0.002843+0.0037075i,-0.0048327-0.0075413i,0.0023128-0.0030823i,-0.0018569-0.0021713i,-0.0020906-0.0028803i,0.0064021+0.00083717i,0.00091831+0.0025679i,0.0018607-0.0016706i,-0.0022684+0.0096245i,0.0065443+0.006121i,0.016644+0.036303i,-0.015334-0.017973i,-0.023366+0.0049612i,-0.015515+0.014065i,0.0042954-0.0045709i,0.013273-0.0088847i,-0.0077328+0.0028462i
0.0080677+0.013873i,0.041841-0.0025204i,0.031263-0.027768i,0.00048148-0.01353i,-0.0038273-0.016916i,-0.0035999-0.024386i,0.01985-0.010165i,0.030761-0.0066882i,0.013545-0.014014i,0.006234+0.0017936i,0.0027022-0.001883i,-0.0013248-0.0023445i,0.0031004-0.0019017i,0.00021845-0.0019447i,-0.0010658-0.0024644i,0.0058196-0.0039508i,-0.0052936-0.0011022i,-0.0013882-0.0007571i,0.0011255+0.00072493i,0.00092256+0.0020274i,-0.00032473+0.002349i,-0.00019779+0.00027573i,0.00095201+0.0020143i,-0.0033729+0.0034302i,-0.00059801-0.00029737i,-0.0012745+0.0010836i,-0.00099988-0.00019477i,0.00093467-0.00042817i,-5.2499e-05-2.0365e-05i,7.3839e-05-0.0011789i,0.0014138-0.00055433i,0.001902+0.00076022i,0.0013852+0.0006717i,0.00073483-0.00077015i,0.00036822+0.00085721i,0.0059048-0.0021321i,-0.0014934+0.00049006i,0.0001718+0.00046192i,0.00022326-0.0011758i,0.00023062+5.3746e-05i,0.0015922+0.001878i,0.0015221+0.0013075i,0.0049065-0.0072561i,0.0011888+0.0019012i,0.0070486+0.012068i,0.012436+0.028207i,0.039033+0.025846i,0.02391+0.0079557i,0.006214-0.017078i,0.015682-0.00010986i,0.015974+0.021925i,0.0087465+0.026321i,0.010298+0.034836i,-0.017273+0.03025i,0.0041583-0.0054039i,0.0044721-0.0016345i,0.0062991-0.0041722i,0.010602+0.0023356i,0.00038096+0.0045042i,-0.012938+0.0017368i,-0.0017877-0.010697i,0.00045053+0.016505i,-0.0023319-0.00304i,6.571e-06+0.0017459i,-0.0013362+0.00041607i,0.0028287-0.0013648i,0.0044035-0.00091476i,-0.004253-0.0006794i,0.0037612-0.00059484i,-0.005987-0.0023319i,-0.0029482+0.0010721i,6.8675e-05+0.00032065i,-0.0032086-0.0046653i,-0.0025037-0.0036436i,-0.0094244-0.017125i,0.004209-0.0003286i,-0.0042618-0.00025346i,-0.0027101+0.0020123i,-0.0059617+0.0014342i,0.0041131+0.003131i,-0.0076006-0.004941i,0.0010255-0.0047359i,-0.0026018-0.0017234i,-0.0038431-0.0025388i,0.0070844-0.00176i,0.0021667+0.002881i,0.0023646-0.0013367i,0.00012469+0.010367i,0.0065982+0.0034127i,0.022787+0.030093i,-0.02204-0.0098298i,-0.026353+0.0097163i,-0.010296+0.015653i,0.0020574-0.0026389i,0.0085654-0.0087234i,-0.0086358+0.0033508i
