-0.030151-0.041426i,-0.021145-0.021884i,-0.012876-0.037125i,-0.029513-0.021146i,-0.023293-0.0013589i,-0.014251-0.0058502i,-0.054032-0.060524i,-0.047892-0.017936i,-0.034808-0.016492i,0.012718+0.012231i,-0.0086456+0.0051069i,-0.02005+0.018965i,0.0021261+0.012659i,-0.0057065-0.0024618i,0.00038908+0.0014217i,-0.0025276+0.031489i,0.024093+0.022201i,0.0026737-0.0022078i,-0.0025245-0.0074539i,0.0081533+0.002893i,0.0025725+0.00079623i,-0.0004777+0.003474i,-0.00038796+0.00028246i,-0.039052-0.0069581i,0.00044689-0.0089823i,0.0014308+0.0023559i,0.0067567+0.00052016i,0.0018789+0.00063834i,0.001055-0.00061134i,-0.00045329-0.0029157i,0.0014326-0.0023987i,-0.0022725-0.0064691i,-0.00092325-0.0048268i,0.0031544-0.00040371i,0.0038383-0.0031751i,-0.00039867+0.0308i,0.0049358-0.003784i,0.0031963-0.001626i,0.007507-0.0020212i,-0.0077704-0.0028345i,-0.00032623+0.00082339i,0.0065057+0.0010377i,0.0045615-0.001963i,-0.0027333+0.0079285i,-0.017515-0.0094906i,-0.019172+0.014334i,-0.0011701-0.062508i,-0.0043365-0.02737i,-0.025504-0.033616i,-0.010277-0.027577i,0.055914-0.020325i,0.017755-0.043316i,0.023898-0.048421i,0.0074985-0.053388i,0.027576-0.022207i,0.0083471+0.006617i,0.027311-0.033072i,-0.0082053-0.0068557i,0.0035234-0.0046172i,-0.004153-0.0070899i,-0.0013362-0.033486i,-0.020781+0.028371i,0.0090164-0.011882i,-0.0097325-0.003982i,-0.0040755-0.001869i,0.0011179-0.012973i,-0.010965+0.0041277i,0.0022993+0.010533i,-0.0062336+0.025964i,0.0048916+0.0026716i,-0.0056105-0.0021139i,-0.0020576-0.0023763i,-0.01278-0.0082754i,-0.00033864-0.0041055i,-0.025695+0.00013847i,0.0011205-0.010539i,-0.0085946+0.0001606i,-0.0070689-0.0027818i,0.0053883+0.00133i,-0.0080265-0.00047942i,0.0024006+6.5993e-05i,0.004333+0.0075641i,0.0041734+0.00073951i,-0.0069536-0.012177i,0.0027684+0.010288i,-0.013488+0.0035556i,0.0068524+0.00010161i,-0.024051-0.0023069i,-0.017735+0.0061328i,-0.0073592-0.069165i,0.0075051-0.012479i,-0.048834-0.024488i,-0.021239-7.429e-05i,0.017194+0.011867i,-0.02419+0.015089i,-0.019729-0.0067834i
0.02746+0.041812i,0.014513+0.01674i,0.017654+0.026682i,0.0054991+0.021094i,0.008765+0.0076273i,0.0050881-0.00084095i,0.016647+0.013607i,0.015751-0.0021931i,0.0083721-0.0085394i,0.002973+0.004266i,0.0020356-0.0028738i,0.001135-0.0049898i,-0.0021806+0.00056275i,0.0011796-0.0014694i,0.0020151-0.0005875i,0.0054663-0.0024399i,0.0082378-0.0045939i,-2.7738e-06+0.00028352i,-0.0048947-0.0010991i,7.7861e-06+0.0006625i,-0.0008092-0.0011902i,-0.0025741-0.0012659i,-0.0016977+0.0010354i,0.0029344+0.012754i,-0.00082443+0.0012531i,0.00020474+0.0019183i,0.0011124+0.00085002i,-0.002358+0.0028018i,-0.00077732+0.00016772i,-0.0014328+0.00049226i,-0.0012009-0.002105i,-0.0043396-0.0010607i,-0.00017183+0.00015224i,9.5413e-05+0.00067708i,0.00025742-0.00078316i,-0.0094113+0.010454i,0.0015255-0.00063326i,0.00084534+0.0010777i,0.0031849+0.00044221i,7.3634e-05-5.732e-05i,-0.00058012+2.1946e-05i,-0.0023486-0.0014121i,0.00010079-0.00028056i,-0.0015018+0.0015774i,0.019719+0.012691i,-0.024528+0.012518i,-0.01387+0.017784i,-0.023405+0.011513i,-0.0053768+0.038429i,-0.022006+0.02277i,0.0016846-0.0037861i,-0.011469-0.016485i,-0.019147-0.00066043i,-0.0089843+0.01604i,0.019553+0.020485i,-0.0007634+0.002269i,-0.00413+0.001082i,-0.012683-0.005027i,0.011757+0.0015274i,0.01279+0.0093491i,-0.00056766+0.0058413i,-0.0046533-0.0071367i,0.0070511-0.0025636i,-0.0034564-0.0040315i,0.0042058-0.0085391i,0.0090935-0.0027122i,-0.0015206+0.010752i,0.011777-0.0055876i,0.0045907-0.0081642i,0.0026503-0.0094035i,0.0022887+0.00073837i,-0.0025752-0.005963i,-0.0040486-0.0014379i,0.0024553-0.00012908i,-0.0055591+0.026351i,-0.0087755-0.0037676i,7.6353e-05+0.0010718i,-0.0014912-0.0072856i,0.0033918-0.00030679i,-0.016123-0.0080583i,-0.0012582-0.0039576i,0.0029203-0.0022879i,0.003162-0.0012431i,-0.0021341-0.0075087i,-4.5304e-06+0.0074004i,8.1479e-05+0.0033471i,-0.0040044+0.0041713i,-0.0063735+0.0020048i,-0.0063255-0.0014i,-0.0064776+0.029558i,-0.002341+0.015162i,-0.0284-0.009969i,-0.0013366-0.0025391i,0.013898+0.018863i,-0.00022749+0.018435i,-0.00030326-0.0048524i
0.03413+0.03471i,0.017332+0.012899i,0.022273+0.023481i,0.0092992+0.020824i,0.010851+0.0063195i,0.0052756-0.0022663i,0.017023+0.0096478i,0.01503-0.0047324i,0.0061304-0.010143i,0.003959+0.0027933i,0.0017266-0.0029817i,-0.00082952-0.0035676i,-0.0018754+0.0016367i,0.00093523-0.00045626i,0.0018634-0.00093486i,0.0042989-0.0028705i,0.0060908-0.0064353i,0.00037861+0.00030665i,-0.0025865-0.0014002i,0.00037507+2.2303e-05i,-0.00092519-0.0013981i,-0.0027705-0.00070711i,-0.0013186+0.0011461i,0.0096411+0.0116i,-0.00070845+0.0024874i,0.0010851+0.0016791i,0.00097744-8.7016e-05i,-0.00094272+0.0032509i,-0.0011403+0.00061965i,-0.0012151+0.0011922i,-0.002219-0.0013503i,-0.002884+0.0007434i,-0.00036603-3.7124e-06i,0.0002146+0.00023667i,-0.00053904-0.0005096i,-0.0054699+0.012118i,0.0009215-0.00098601i,0.0012508+0.00094901i,0.0020034+0.00010713i,0.0001482-0.000418i,-0.00088372-0.00012775i,-0.0022822-0.0012704i,-0.00036321+0.00032971i,-0.0020205+0.0019273i,0.022301+0.0095701i,-0.019951+0.016352i,-0.012739+0.021065i,-0.018365+0.013397i,0.0064836+0.034786i,-0.014612+0.019948i,-0.0052391-0.0072294i,-0.018642-0.017606i,-0.021457-0.00024496i,-0.0016971+0.012046i,0.021401+0.013082i,-0.0010729+0.0023017i,-0.0028307+0.0048416i,-0.012855-0.00042583i,0.010273-0.0028862i,0.014296+0.0061221i,0.0025173+0.0082781i,-0.0089296-0.0059945i,0.0029271-0.0048039i,-0.0036071-0.0019054i,-0.0011143-0.0081551i,0.007206-0.0056085i,0.0033899+0.0087307i,0.0069007-0.0082621i,-7.8958e-05-0.0085304i,-0.0011067-0.0064836i,0.0037872-0.00011253i,-0.0043173-0.0049163i,-0.0021031+0.0010018i,0.0032277-0.00047654i,0.0061037+0.023285i,-0.012177-0.0014501i,0.00086745+0.00040383i,-0.0042705-0.0054807i,0.0040039-0.0017004i,-0.017673-0.00041336i,-0.0019003-0.00304i,0.0015714-0.0023918i,0.0032699-0.0027189i,-0.0035003-0.0056453i,0.0021367+0.0036234i,0.0014306+0.0026372i,-0.0015244+0.0056599i,-0.0046293+0.0040077i,-0.0070713-0.00036596i,-0.00023949+0.025696i,0.0005011+0.016482i,-0.029423-0.0039592i,-0.0030444-0.0063475i,0.016451+0.016057i,0.0031445+0.019609i,-0.0028502-0.0054357i
0.038703+0.026828i,0.018433+0.0078988i,0.027059+0.018i,0.014629+0.018233i,0.013149+0.0042299i,0.005027-0.0039674i,0.016663+0.0057146i,0.014013-0.0076636i,0.0038888-0.010469i,0.0039187+0.001438i,0.0007723-0.0036703i,-0.0011918-0.0018922i,-0.00090003+0.0018363i,0.0016495-0.00035776i,0.0016244-0.001287i,0.0033028-0.0031935i,0.0034863-0.0076788i,0.000441-0.00010972i,-0.001997+0.0018155i,3.7841e-05-0.00074876i,-0.0018117-0.0017965i,-0.0026325-7.2095e-05i,-0.0010439+0.0012289i,0.01357+0.0055914i,0.0006144+0.0030239i,0.0011845+0.0011166i,0.00037058-0.00049425i,0.00037138+0.0029224i,-0.0009381+0.0012766i,-0.00072608+0.0017353i,-0.0025883-6.511e-06i,-0.0023845+0.0020269i,-0.00043122+0.00011083i,0.00029512-4.2912e-05i,-0.0007586+0.00010059i,-0.001147+0.012136i,0.00049552-0.00089536i,0.0016707+0.00027553i,0.0016141-7.3795e-05i,-8.5427e-05-0.00055521i,-0.00095964-7.1159e-06i,-0.0028489-0.0017422i,-9.6915e-05+0.00072911i,-0.0020026+0.0033153i,0.025213+0.005432i,-0.015041+0.018856i,-0.0092334+0.02469i,-0.012636+0.01307i,0.017134+0.027405i,-0.0074911+0.019668i,-0.012628-0.0062003i,-0.025297-0.015178i,-0.020914+0.003335i,0.002595+0.0051908i,0.021142+0.0065866i,-0.0014207+0.0023064i,-0.0011912+0.004985i,-0.012698+0.0027583i,0.0063533-0.0075005i,0.014843+0.0018402i,0.0062438+0.0082286i,-0.012317-0.0029538i,0.00053316-0.0032384i,-0.0034345-0.00014082i,-0.003811-0.0055083i,0.004945-0.0069552i,0.0060806+0.0074016i,0.0034271-0.008029i,-0.0052467-0.0060522i,-0.0014166-0.003423i,0.004327-0.0025172i,-0.0073042-0.0024398i,-0.00013397+0.00094095i,0.002689-0.001959i,0.013091+0.015961i,-0.012476+0.0025296i,0.0013708-0.00011785i,-0.0040125-0.0035645i,0.0040672-0.0039913i,-0.014462+0.0073468i,-0.002066-0.0019646i,0.00056599-0.0024658i,0.0018988-0.0037028i,-0.004124-0.0040593i,0.0012953+0.0024041i,0.0019924+0.0015199i,0.00085112+0.0058012i,-0.0025921+0.0043255i,-0.0075459+0.0015685i,0.0023925+0.020945i,0.0077864+0.015722i,-0.028762+0.0010015i,-0.0058459-0.0090199i,0.019455+0.010773i,0.0080957+0.020203i,-0.005202-0.0046938i
0.041065+0.018907i,0.017488+0.0041293i,0.029026+0.010933i,0.018182+0.012802i,0.014694+0.0010165i,0.0039108-0.0054729i,0.015394+0.0028504i,0.012035-0.010358i,0.0024319-0.010841i,0.003518+0.00075051i,-0.00057035-0.0028247i,-0.00074292-0.0010516i,-0.00065992+0.0019382i,0.0016375-0.00039059i,0.0011646-0.0015354i,0.002116-0.0030364i,0.0007283-0.0071927i,0.00041376-0.00022646i,-0.0011922+0.0026324i,-0.00070727-0.00092027i,-0.0025404-0.000824i,-0.002571+0.00056579i,-0.00079813+0.0013285i,0.012614-0.0010886i,0.0020605+0.0026134i,0.00083542+0.00082101i,1.9572e-05-0.0003388i,0.00099125+0.0022335i,-0.00034347+0.0013635i,7.324e-07+0.0019454i,-0.0023279+0.0012897i,-0.0010339+0.0022647i,-0.00037983+0.00021865i,0.00023675-0.00015444i,-0.00057271+0.00054135i,0.0021583+0.011001i,0.00026036-0.00087968i,0.0013669-0.00056177i,0.0012939+9.9683e-05i,-0.00044953-0.00048911i,-0.00085986+0.00020198i,-0.0037763-0.0010549i,0.00029202+0.00099705i,-0.00095792+0.0049065i,0.027042-0.00070303i,-0.0096302+0.020407i,-0.0042365+0.027247i,-0.010298+0.010324i,0.02484+0.016032i,-0.0002279+0.015653i,-0.019043-0.00103i,-0.031805-0.0095382i,-0.020973+0.017412i,0.0023116-0.0020403i,0.020223-0.00044762i,-0.0016087+0.0033291i,-2.004e-05+0.0065905i,-0.011845+0.0066763i,-3.0692e-05-0.0076218i,0.014014-0.0030473i,0.0099605+0.0062732i,-0.014344+0.0020249i,-0.00054128-0.0025163i,-0.0024649+0.0011746i,-0.0050103-0.0020885i,0.002812-0.0078344i,0.008628+0.0038182i,0.00082818-0.0083023i,-0.0063348-2.957e-05i,-0.00052761-0.0021571i,0.0028874-0.0048234i,-0.0075873+0.00051914i,0.00091111+0.00055901i,0.0017523-0.0027635i,0.014318+0.010219i,-0.0095441+0.0072724i,0.0017137-0.0010796i,-0.0041306-0.0021585i,0.0019739-0.0063499i,-0.0084073+0.010274i,-0.0017375-0.0014316i,-0.00019092-0.001692i,0.00051654-0.0037791i,-0.0046704-0.0031222i,0.0011707+0.0022467i,0.0018051+0.00036446i,0.0036352+0.005518i,-0.00097256+0.0034509i,-0.007597+0.0033637i,0.0038359+0.019182i,0.016162+0.0084135i,-0.026346+0.0054458i,-0.011411-0.0099731i,0.018379+0.0055151i,0.013723+0.018314i,-0.0056379-0.0036447i
0.04252+0.011489i,0.017159+0.0018929i,0.029191+0.004946i,0.019721+0.0070799i,0.015066-0.0024606i,0.0026725-0.0064769i,0.014328+0.001295i,0.0096834-0.012154i,0.0011129-0.011448i,0.0033426+0.00012813i,-0.00044616-0.0020678i,-0.00029642-0.00093959i,-0.00042679+0.0023142i,0.0016436-0.00076972i,0.00072722-0.0014606i,0.0016141-0.0023049i,-0.00059294-0.0062468i,0.00024253-0.00026993i,-0.00029553+0.0023647i,-0.0013245-0.0006357i,-0.0026849-7.23e-05i,-0.0020298+0.0013283i,-0.0004963+0.0014622i,0.010224-0.0050444i,0.0028769+0.0016479i,0.00044703+0.00027449i,-0.00022414-0.00014152i,0.001399+0.0016416i,-6.0412e-06+0.0013596i,0.00084156+0.0018227i,-0.0014109+0.0021981i,-0.00074539+0.0021726i,-0.00044689+0.00019369i,0.0002218-2.055e-05i,-0.00019733+0.00089884i,0.0047029+0.0088155i,-0.00013492-0.00081363i,0.00072989-0.00087237i,0.0013736+6.3354e-05i,-0.00056697-0.00022252i,-0.00095056+0.00019979i,-0.0057322+0.00016982i,0.00048589+0.00092512i,0.00041059+0.0048562i,0.026329-0.0071627i,-0.0036396+0.020246i,0.0026601+0.028369i,-0.0094845+0.0097982i,0.026054+0.0032404i,0.002583+0.0099273i,-0.021238+0.0075769i,-0.034918-5.9688e-05i,-0.024182+0.020087i,-0.0019984-0.0067857i,0.015664-0.0054691i,-0.00076284+0.0042649i,0.0035951+0.0065261i,-0.0093029+0.0099519i,-0.0034698-0.0043018i,0.010884-0.0087549i,0.012592+0.0025642i,-0.013601+0.009049i,-0.00097556-0.00083184i,-0.0012414+0.0017764i,-0.0032569+0.00025451i,-0.00049005-0.0075805i,0.0087283+0.0003659i,-0.0019832-0.0081386i,-0.0035226+0.0032899i,0.00017205-0.0022145i,0.00053916-0.0058714i,-0.0051296+0.0026769i,0.0020672-0.00044637i,0.0010871-0.0027556i,0.01534+0.0042736i,-0.0046145+0.0093538i,0.0012133-0.0021565i,-0.003216-0.0016297i,-0.00084489-0.006927i,-0.0040201+0.01035i,-0.0020109-0.0018605i,-0.00013252-0.00032597i,2.4187e-05-0.0030773i,-0.0052793-0.00029387i,0.0017877+0.0021361i,0.00091831-0.00018352i,0.0041263+0.0034265i,-0.00090313+0.0018886i,-0.0067423+0.0055521i,0.0062167+0.018111i,0.017613-0.004536i,-0.022262+0.0063786i,-0.016828-0.0076827i,0.017555+0.0012969i,0.01783+0.012578i,-0.0064285-0.0036342i
0.042911+0.003897i,0.017335-0.00078021i,0.028977-0.00097975i,0.020225+0.0013139i,0.014922-0.0057633i,0.001174-0.0072856i,0.014375+0.00022347i,0.0072504-0.013623i,-0.00047204-0.012312i,0.0026915-0.00047683i,-0.00042306-0.0020151i,-9.3702e-05-0.00096244i,0.00033718+0.0028033i,0.0014386-0.00095988i,0.0005388-0.0013858i,0.0019411-0.0016999i,-0.0014272-0.0060597i,0.00030369-0.00028185i,0.00027355+0.0018214i,-0.001643-8.3221e-05i,-0.0022751+0.00061217i,-0.0010928+0.0015619i,-0.00013186+0.0015187i,0.008381-0.0071791i,0.0034283+0.00049541i,0.00057509-0.0001347i,-0.00028769-5.1955e-05i,0.0016329+0.0010531i,0.0003657+0.0013102i,0.0014024+0.001224i,-0.00018809+0.0025941i,0.00020733+0.0027654i,-0.00048666+0.00054581i,0.00034742-4.8687e-05i,0.00025852+0.00081593i,0.0059186+0.006582i,-0.00040663-0.00048449i,0.00033682-0.00074994i,0.0012588-0.0001734i,-0.00042018+2.9753e-05i,-0.0010352+0.00038374i,-0.0051945+0.0029413i,0.00079719+0.00094389i,0.0014498+0.0052079i,0.024104-0.013103i,0.0016513+0.01824i,0.0098019+0.026034i,-0.0082324+0.010357i,0.023118-0.0068821i,0.002263+0.0060666i,-0.018239+0.016328i,-0.032577+0.010452i,-0.018347+0.026525i,-0.0073925-0.0066339i,0.010947-0.007072i,0.00059341+0.0045931i,0.0059889+0.0042172i,-0.0057245+0.012563i,-0.0045928-0.0015591i,0.0046665-0.013174i,0.012741-0.0025503i,-0.0082948+0.011323i,-0.00012898+0.0002812i,-0.00014341+0.0015577i,-0.0016854+0.00077236i,-0.0023625-0.0056151i,0.0072754-0.0020189i,-0.003602-0.0073838i,-0.00025598+0.0038579i,0.00025065-0.0033063i,-0.0017577-0.0053839i,-0.0033395+0.0034495i,0.0018662-0.0021193i,0.00086798-0.0029585i,0.012792+0.0035182i,-5.0419e-05+0.0093162i,0.00027039-0.0022187i,-0.0035888-0.0010218i,-0.0037878-0.0058927i,-0.00076979+0.0097889i,-0.001344-0.0002258i,0.0011618-0.00011971i,-0.0008627-0.0032343i,-0.002672+0.001627i,0.0019278+0.001488i,0.00012762+0.00028868i,-0.0015724-0.0070213i,-0.0018997+0.0011086i,-0.0047288+0.0068773i,0.0090646+0.016297i,0.011241-0.014347i,-0.020714+0.0035613i,-0.021323-0.0025939i,0.014538-0.0037339i,0.018354+0.0068389i,-0.0072233-0.0027414i
0.042067-0.003534i,0.016616-0.0039715i,0.026749-0.0078366i,0.018397-0.0051788i,0.014135-0.0094201i,-0.00068468-0.0075295i,0.01511-0.0015038i,0.0045555-0.014973i,-0.0025896-0.012591i,0.0019556-0.00012806i,-0.001113-0.0019065i,-0.00025569-0.0016169i,0.0012138+0.0027497i,0.0011845-0.0012281i,0.00033561-0.0013625i,0.0024332-0.0018135i,-0.0031105-0.0057686i,6.5219e-05-0.0005096i,0.0006798+0.0012265i,-0.001873+0.00058532i,-0.0021841+0.00080593i,-0.00032628+0.001166i,0.00019398+0.0014416i,0.015893-0.0060712i,0.0032366-0.0013178i,0.00039809-0.00081367i,-0.00061284+0.00013891i,0.001671+0.00059426i,0.00085396+0.0010176i,0.0015936+0.0005202i,0.001087+0.0023634i,0.0010444+0.0028224i,-0.00042643+0.0008835i,0.00034384-0.00013713i,0.00047137+0.00053212i,0.006678+0.0042826i,-0.00063607-0.00019502i,-3.1957e-05-0.00064734i,0.00144-0.00043898i,-9.3538e-05+0.00010127i,-0.00093692+0.00083961i,-0.004099+0.003108i,0.0011262+0.00098548i,0.0033798+0.0055228i,0.020647-0.018346i,0.0057386+0.014899i,0.014759+0.021837i,-0.0055227+0.011477i,0.018314-0.013752i,0.0010459+0.0042961i,-0.011798+0.021618i,-0.025695+0.017773i,-0.008246+0.029964i,-0.010903-0.0032916i,0.0072809-0.0071737i,0.0017843+0.0041904i,0.0060713+0.00094619i,-0.0011736+0.01339i,-0.005193+0.00087818i,-0.0040369-0.01277i,0.010247-0.0067542i,-0.0056498+0.01197i,0.0012701-0.00027237i,0.00035951+0.0011686i,-0.0011949+0.00027616i,-0.0026742-0.00386i,0.0058352-0.0028299i,-0.0049607-0.0073371i,0.0015068+0.0028842i,-0.00090027-0.004946i,-0.0035435-0.004036i,-0.001308+0.0040088i,0.00045731-0.0032706i,0.00038532-0.0036601i,0.026245-0.010189i,0.0034026+0.007201i,-0.00018431-0.002222i,-0.0030243-0.00079496i,-0.0054511-0.0040921i,0.001761+0.0087617i,-0.00065985-0.0012072i,0.0019946-0.00091088i,-0.0020455-0.0019833i,-0.0011472+0.00095065i,0.0027871+0.0016909i,7.8423e-05+0.0012689i,0.0070491-0.002392i,-0.0029543+0.0014792i,-0.0030486+0.0069358i,0.012076+0.014602i,0.002515-0.019824i,-0.024062+0.0016755i,-0.021953+0.004507i,0.0083992-0.0060026i,0.018283+0.0016958i,-0.0069097-0.0024989i
0.039999-0.010564i,0.015923-0.006124i,0.022514-0.012524i,0.01375-0.0097829i,0.012139-0.013009i,-0.0022876-0.0071635i,0.015868-0.0039373i,0.0015723-0.015534i,-0.0044986-0.01281i,0.002241+0.00044441i,-0.0015642-0.0010782i,-0.0012037-0.0016608i,0.0020398+0.0024502i,0.00081151-0.0013254i,0.00013967-0.0013207i,0.0026323-0.0021591i,-0.0048737-0.004424i,-0.00012123-0.00038405i,0.0008003+0.00064836i,-0.0015948+0.0014181i,-0.0019838+0.0016445i,-0.00040164+0.00053284i,0.00048163+0.0013579i,-0.00029475+0.004648i,0.0019685-0.0024286i,9.1689e-05-0.00080509i,-0.00052292+0.00060231i,0.0016303+0.00033782i,0.00097987+0.00044615i,0.0015029-2.4568e-05i,0.0020101+0.001586i,0.0020792+0.0024193i,7.2393e-06+0.0013597i,0.00030632-4.8567e-05i,0.00039923+0.00055357i,0.0065269+0.0023568i,-0.00072438+0.00023873i,-0.00021466-0.00037206i,0.0014884-0.00093141i,0.00019654+6.5241e-05i,-0.00045802+0.0012632i,-0.0027947+0.0043163i,0.00158+0.00080653i,0.0050026+0.0035862i,0.015838-0.022494i,0.0084424+0.010751i,0.017596+0.017288i,-0.001985+0.011067i,0.013396-0.019332i,-9.496e-05+0.0042326i,-0.0047215+0.023845i,-0.017761+0.020405i,0.0025879+0.029205i,-0.011173+0.0017022i,0.0054616-0.006788i,0.0029358+0.0033659i,0.0049209-0.0011083i,0.0037011+0.012348i,-0.0043868+0.0040859i,-0.010562-0.0071155i,0.0065035-0.009035i,-0.0030755+0.012902i,0.0011605-0.001744i,0.00079657+0.00083369i,-0.0013216+0.00031167i,-0.0022783-0.0026075i,0.004789-0.0035128i,-0.0067744-0.0060175i,0.0023487+0.0015311i,-0.0041517-0.0053492i,-0.0043505-0.0021642i,0.00099585+0.0029262i,-0.00030898-0.003647i,-0.00080432-0.0041169i,0.012088-0.019468i,0.0050993+0.0043582i,-0.00071521-0.0024857i,-0.0037539-0.00053753i,-0.006247-0.0016141i,0.0033504+0.0075561i,-0.0014011-0.0024319i,0.0023787-0.0019317i,0.00071536+0.0012625i,-0.00043505+0.00019669i,0.0035646+0.00094546i,0.00076817+0.0017131i,0.0047511-0.0024887i,-0.0036023+0.0025947i,-0.0016728+0.0065324i,0.016166+0.012366i,-0.0083002-0.021506i,-0.027909+0.0036988i,-0.018702+0.010515i,0.0038621-0.003778i,0.01527-0.0036833i,-0.0069365-0.0036427i
0.036903-0.017245i,0.015467-0.009027i,0.018717-0.015175i,0.0092123-0.011148i,0.0092629-0.016025i,-0.003441-0.0065024i,0.016705-0.0073942i,-0.0014243-0.015507i,-0.0067101-0.012652i,0.0029601+0.00010453i,-0.0011263-0.00028838i,-0.0018505-0.00075709i,0.0028036+0.0016383i,0.00049663-0.0013811i,4.0769e-06-0.0012894i,0.002834-0.0024372i,-0.0057702-0.0026279i,1.4269e-06-0.00029902i,0.00065518+0.00013393i,-0.00091124+0.0018191i,-0.0013372+0.0018873i,-0.00062331+0.00047192i,0.000816+0.001207i,-0.0036094+0.00054953i,0.00058133-0.0026892i,-0.00018014-0.000648i,-0.00020502+0.00072595i,0.0017736-9.5798e-05i,0.00074446+0.00031603i,0.0013141-0.0005435i,0.0025703+0.00063956i,0.0026539+0.0016254i,0.00068201+0.001427i,0.00053423-5.8734e-05i,0.00064764+0.00078596i,0.0064236+0.00064258i,-0.00039697+0.0010164i,-0.00021755-0.00018978i,0.0010345-0.0014786i,0.00057795-0.0001453i,2.9987e-05+0.0012231i,0.00056067+0.005046i,0.0020144+0.00037612i,0.0048174+0.0024758i,0.010367-0.024924i,0.0090699+0.0064133i,0.018981+0.012854i,0.00070542+0.0093096i,0.0063097-0.02267i,-8.5126e-05+0.0062131i,0.0023164+0.023813i,-0.01077+0.02123i,0.011224+0.025103i,-0.0080315+0.00596i,0.0039373-0.0071071i,0.0039403+0.0017881i,0.004147-0.0025682i,0.007745+0.0089435i,-0.0016586+0.0053777i,-0.012421-0.00032826i,0.0025469-0.0097969i,-0.0001376+0.012814i,0.0015255-0.0021357i,0.00045365+0.00026756i,-0.0013421+0.00083307i,-0.0020892-0.0020579i,0.0035829-0.0033442i,-0.0080409-0.0038253i,0.002293+0.00039889i,-0.0069767-0.0025545i,-0.0039609-0.00049722i,0.0017282+0.00095596i,-0.0011551-0.0040529i,-0.002208-0.0035838i,0.0022653-0.018953i,0.0057424+0.0015463i,-0.0017388-0.0024758i,-0.0039889+0.00091055i,-0.0054665+0.0009681i,0.0049036+0.0063869i,-0.003317-0.0027275i,0.002056-0.0034917i,-0.0018114-0.0043887i,-0.00032949-0.0010185i,0.0042724+0.00019214i,0.001228+0.001774i,0.0027344-0.0020351i,-0.0036737+0.0039965i,-0.00063908+0.0060034i,0.020334+0.0078153i,-0.018584-0.017745i,-0.030782+0.0077419i,-0.013565+0.012596i,0.0027584-0.0020389i,0.009698-0.0057191i,-0.0093656-0.0042017i
0.032325-0.023159i,0.014179-0.012532i,0.01547-0.01755i,0.0059524-0.011286i,0.0056272-0.018238i,-0.0044424-0.0058201i,0.016546-0.012472i,-0.0042307-0.014936i,-0.0093237-0.011837i,0.0028491-0.00072508i,-0.0005005-0.00016142i,-0.0019028+0.00037774i,0.0032301+0.00055977i,0.00025484-0.0010661i,-0.00014566-0.0013552i,0.0027576-0.0031694i,-0.0060355-0.00081236i,4.0749e-05-0.00030685i,0.00049081-6.9892e-05i,-0.00025865+0.001938i,-0.00090343+0.0022026i,-0.00076521+0.00064732i,0.0010579+0.00088223i,-0.0035148+0.0018772i,-0.00064155-0.0026227i,-0.00036876-0.00047474i,4.7381e-05+0.00062031i,0.0013901-0.00059347i,0.00084128+0.00024762i,0.00085796-0.00099416i,0.0027889-0.00046026i,0.0031185+0.0008956i,0.0013076+0.0011585i,0.00063749-0.00044079i,0.0013285+0.00073034i,0.0057342-0.0011061i,0.00047292+0.0019626i,-0.00016284+1.68e-06i,0.00029219-0.0015947i,0.00084512-0.00058131i,0.00038511+0.0012668i,0.0022659+0.0031879i,0.0021882-0.00039634i,0.0050313+0.002207i,0.0049754-0.02593i,0.0079303+0.0035921i,0.019668+0.0091528i,0.0023151+0.0083858i,-0.00060066-0.024113i,0.0028324+0.0085668i,0.0087324+0.02124i,-0.003425+0.020214i,0.017682+0.018736i,-0.0027007+0.0078863i,0.0021735-0.0074512i,0.0038354-0.00080748i,0.0031449-0.0042299i,0.0088244+0.0044037i,-2.3875e-05+0.0048015i,-0.011614+0.0066473i,-0.0013378-0.0090339i,0.0026985+0.011306i,-0.0043561-0.0048871i,-0.00024287+0.00052089i,-0.0010245+0.0014525i,-0.0015764-0.0019621i,0.0036156-0.0021368i,-0.0070128-0.00062787i,0.0022555+0.0004325i,-0.007145+0.00087425i,-0.0030049+0.00029612i,0.0013431-0.00021549i,-0.0032934-0.0043317i,-0.0033177-0.0024466i,-0.0042543-0.016615i,0.0052163-0.0011279i,-0.0026865-0.001767i,-0.0028949+0.0019855i,-0.0040624+0.0025013i,0.0068609+0.0049464i,-0.0049004-0.0011609i,0.00066182-0.004863i,-0.0033607-0.0028219i,-0.0013719-0.0017163i,0.0049602-0.001658i,0.0019213+0.002145i,0.0021934-0.0015252i,-0.0020449+0.00523i,-7.8266e-05+0.0053013i,0.02307+0.001266i,-0.023947-0.0094084i,-0.032689+0.013879i,-0.0092656+0.013107i,0.0015966-0.00039944i,0.0056285-0.0030154i,-0.011375-0.0031939i
