-0.024735-0.0042404i,-0.020667-0.0080171i,-0.01292-0.013172i,-0.035395-0.0074775i,-0.026782+0.0021694i,-0.035247-0.0020687i,-0.065554-0.03712i,-0.032709-0.014331i,-0.0212+0.0030234i,0.0065808+0.0057696i,-0.0047899+0.0069629i,-0.0083291+0.017826i,0.0057016+0.0075763i,-0.0012271+0.0035816i,0.004142+0.0039633i,0.0041752+0.026039i,0.021401+0.018639i,0.0010988-0.00067802i,0.00064473-0.0052423i,0.0086975+0.00011788i,0.0050198-0.0011824i,0.0021098+0.0019121i,0.0010447-0.00043562i,-0.022938-0.0027835i,-0.00557-0.0037796i,-0.00088552+0.0032818i,0.0032276-0.0036981i,-0.0021641-6.411e-05i,-0.00055676+0.0010441i,-0.0024559-0.0015283i,-0.0039376-0.00032343i,-0.0070124-0.008957i,-0.0065027-0.0058737i,-0.00066899+2.2667e-05i,-0.00063788-0.0024091i,-0.0010098+0.02082i,0.0025639-0.0040793i,0.0010855-0.0044059i,0.0025414-0.0022743i,-0.0032246-0.0038135i,0.001001-0.00015166i,0.0082243-0.0010804i,0.0041785-0.0029384i,0.00011207+0.002244i,-0.013484+0.015164i,-0.026214+0.053827i,-0.0056732-0.037261i,-0.015025-0.018371i,-0.039785-0.016019i,-0.027149-0.012739i,0.037031-0.012533i,0.0057321-0.029273i,0.0129-0.038323i,-0.0083548-0.029274i,0.02568-0.023607i,0.013178+0.0069629i,0.027758-0.033056i,-0.001898-0.0045035i,0.0057337-0.0090129i,-0.0006198-0.0058521i,2.9146e-05-0.035428i,-0.013766+0.028893i,0.0087033-0.011325i,-0.0088213-0.0049154i,-0.0026167-0.0020586i,-0.0001323-0.015666i,-0.00758+0.0057717i,0.004294+0.006439i,-0.00084918+0.029953i,0.003087+0.00095401i,-0.0073075-0.0047343i,-0.0040174-0.0063746i,-0.015167-0.010056i,-0.0022409-0.0057026i,-0.038856+0.0077545i,-0.0049465-0.0083053i,-0.013267-0.0011513i,-0.011169-0.0047184i,0.0020794-0.0013016i,-0.014162+0.0023285i,-0.001533-0.00068155i,0.0059247+0.006244i,0.0036066-0.0050032i,-0.011189-0.012478i,0.0070433+0.0078379i,-0.016487+0.0065026i,0.0049992-8.4421e-05i,-0.019495-0.0029413i,-0.01627-0.0036174i,-0.015653-0.035043i,0.020078-0.010058i,-0.040798-0.026476i,-0.010718+0.0043669i,0.017873+0.015101i,-0.022375+0.01693i,-0.0045107-0.0037698i
0.003713+0.013627i,-0.0027517+0.016364i,-0.0014986+0.025755i,0.0021538+0.024427i,0.000362+0.028937i,0.01138+0.02205i,-0.0088273+0.024959i,-0.0045+0.021579i,0.011288+0.0046302i,0.0024326-0.0043394i,0.0023118+0.00012042i,0.0058791-0.0029172i,0.00049404-0.0015616i,0.00035501-0.0033357i,-8.8433e-05-0.0017456i,0.0065453-0.0063488i,-0.0030651-0.0040378i,-0.0011216+0.0019887i,0.00070279+0.0003463i,-0.00022822+0.0016394i,0.00096075+0.0012155i,-3.2998e-05-8.7736e-05i,0.0012739+0.00025581i,-0.0075478-0.0039297i,-0.00026158-0.00055964i,-0.0022273+0.00062077i,-0.0037344-2.4603e-05i,-0.0017314+0.00018746i,-0.0015493+0.00050215i,-7.6065e-05-0.00047868i,-0.0027854+0.00065339i,0.0017177-0.0019999i,0.0010253-0.0031272i,-0.00013677-0.001298i,-0.0011837+0.00066698i,-0.00054661-0.0039143i,-0.0016188+0.0018585i,0.002235+8.1414e-05i,0.00019731+0.003226i,0.0022353+0.0059711i,-1.1299e-05+0.0011177i,-0.001391+0.0006936i,-0.0015409-0.0013944i,0.0029843+0.0044747i,0.014126+0.0070093i,0.043332-0.054372i,-0.027116+0.006024i,0.018744-0.027016i,-0.021887-0.032686i,-0.011817+0.0030678i,-0.031937+0.034316i,-0.019419+0.0050469i,-0.016374+0.0082597i,-0.0021412-0.017463i,-0.040111-0.019026i,-0.0084982+0.0021225i,-0.027711+0.011768i,0.0032376+0.012541i,0.0008192+0.0049926i,-0.0053091-0.0050527i,-9.6478e-05+0.0021824i,-0.014311-0.0031872i,0.0048654+0.013025i,-0.00064063+0.0075412i,-0.0021656+0.0039792i,0.0011978+0.0059847i,0.002458+0.0026824i,-0.0013393+0.019177i,0.0042611+0.015409i,0.0048256-0.0051663i,0.011935-0.0052863i,0.0083344+0.0028295i,-0.0033774-0.0068307i,-0.00016417-0.0019004i,0.02139-0.032947i,0.0094304+0.0043264i,0.0081373-0.00078867i,0.0025108-0.00063239i,0.0061457-0.0086241i,0.022531+0.00078517i,0.0054071-0.0028152i,0.0021223-0.007484i,0.0045438-0.0034059i,0.017347+0.0047413i,0.0061876+0.0034776i,0.0031706-0.0038604i,0.0093002+0.0096585i,-0.0020678+0.0045884i,0.0082325+0.0087953i,-0.013582-0.014811i,-0.0090952+0.0013653i,-0.0093735-0.014628i,-0.0085403-0.0046912i,-0.037892+0.0063137i,-0.0058774+0.0040829i,-0.012471+0.0012204i
0.006092+0.012515i,-0.00049524+0.013939i,0.0046511+0.021109i,0.0057803+0.021976i,0.004426+0.026957i,0.014568+0.019547i,-0.0057372+0.025798i,-0.00017766+0.021272i,0.011082+0.00086057i,0.00063264-0.0047444i,0.0027055+0.00055144i,0.0046681-0.0052775i,9.1188e-05-0.0023068i,0.00030451-0.002975i,-0.00065102-0.0015838i,0.0029456-0.0063562i,-0.0051843-0.0021415i,0.0001727+0.0025508i,0.0017864+8.1366e-05i,0.00093964+0.0014499i,-0.0023121+0.0016107i,0.00038023+0.00033828i,0.0015557-0.00026693i,-0.007111-0.0012421i,-0.0001826-0.0002508i,-0.0018331+0.001334i,-0.0030542+0.0018981i,-0.0011573+0.00061172i,-0.00092301+0.00073815i,8.0009e-05-0.00024062i,-0.0022404+0.0019507i,0.00022711-0.0017944i,-0.00069014-0.0031116i,-0.0012707-0.0010639i,-0.0017864+0.00097198i,0.00042161-0.002743i,-0.0004447+0.0023031i,0.0014254-0.00086471i,0.0010952+0.0041961i,0.0037493+0.0038294i,0.00040898+0.0011595i,-0.0013422+0.0010121i,-0.0020769-0.00087629i,0.0042388+0.0034079i,0.014872+0.0026824i,0.022758-0.063543i,-0.021202+0.01395i,0.0081561-0.035152i,-0.032172-0.025647i,-0.0092155+0.0062057i,-0.020236+0.039928i,-0.015554+0.010096i,-0.0057891+0.0032973i,-0.0041689-0.016022i,-0.043139-0.0045428i,-0.0082279+0.0026864i,-0.022829+0.023801i,0.0062006+0.0091436i,0.0013474+0.0032611i,-0.0092741-0.0056756i,-0.0025053+0.0050139i,-0.014843+0.0040645i,0.0096494+0.0093113i,0.0010723+0.0087673i,-0.00017738+0.0041672i,0.0035943+0.0067935i,0.0037612+0.0026331i,0.0071752+0.015317i,0.008999+0.0087823i,-0.0015682-0.0073696i,0.0058663-0.0066093i,0.0073863+0.001016i,-0.0058818-0.001014i,-0.00077406+0.00081417i,0.0062764-0.033179i,0.011157+0.0019156i,0.0083362-0.0043931i,0.003973-0.0020945i,0.00089985-0.0058849i,0.020571-0.0099355i,0.0030619-0.0044225i,-0.0015568-0.0063391i,0.0008244-0.0028553i,0.015836-0.0023571i,0.0070766+0.0022761i,0.0021927-0.0023922i,0.0123+0.0054171i,-0.0005998+0.0054209i,0.0097727+0.0045419i,-0.019103-0.012739i,-0.0048503-0.012353i,-0.008656-0.012373i,-0.0078666-0.0030718i,-0.032283+0.018669i,-0.0039773+0.0050915i,-0.0094034+0.0022547i
0.0090579+0.011021i,0.00075708+0.012243i,0.007424+0.015581i,0.0083675+0.019422i,0.0091373+0.025215i,0.01743+0.016457i,-0.0016053+0.026475i,0.0039641+0.019862i,0.0094795-0.0018316i,-0.00098521-0.0041467i,0.0037207+0.00027554i,0.00095626-0.0060394i,-0.00065785-0.0024105i,-0.00043291-0.0030666i,-0.0011267-0.0012723i,-0.00032234-0.0047256i,-0.0057192+0.0004316i,0.0015009+0.002507i,0.0020336-0.001388i,0.0020602+0.00027897i,-0.00061406+0.0019514i,0.0011625+3.6112e-05i,0.0015028-0.00094402i,-0.0067696+4.5978e-05i,-5.192e-05+2.0385e-05i,-0.0007248+0.0022362i,-0.0015351+0.0022485i,-0.00056181+0.00090819i,-0.00057885+0.0010308i,1.4826e-05-0.00045276i,-0.0011519+0.0031573i,-0.000424-0.0011811i,-0.0020138-0.00219i,-0.0018318-0.00040351i,-0.0012989+0.001961i,0.0016468-0.0031733i,0.00027727+0.0019946i,0.00057939-0.0013049i,0.0014021+0.014197i,0.0041801+0.0021833i,0.0010157+0.0009852i,-0.00034029+0.001794i,-0.0024274-0.00031205i,0.0047674+0.0014398i,0.01427-0.0010502i,0.0014125-0.061915i,-0.010836+0.017668i,-0.0039125-0.037116i,-0.03567-0.01729i,-0.0037146+0.007283i,-0.0053583+0.039666i,-0.005218+0.011511i,-0.0046507-0.0038732i,-0.0057968-0.01524i,-0.040384+0.0093535i,-0.0073026+0.0043844i,-0.0095049+0.02953i,0.0042606+0.0061213i,-0.00045618+0.0010134i,-0.016353-0.0018089i,-0.0013836+0.0062999i,-0.01035+0.0089774i,0.011284+0.0037194i,0.0041831+0.0099816i,-0.0010191+0.004493i,0.005186+0.0047772i,0.0051795+0.0006874i,0.0095163+0.0083801i,0.0086809+0.0037142i,-0.0065977-0.00295i,0.0038673-0.0058529i,0.0085058-0.00056083i,-0.0021651+0.0071088i,0.0020104+0.0023938i,-0.0017944-0.028878i,0.012117-0.0034615i,0.0055394-0.0070979i,0.0026271-0.0040946i,0.00064334-0.0040066i,0.01297-0.016521i,4.7459e-05-0.001597i,-0.0017579-0.0035678i,-0.00052955+2.5402e-05i,0.010659-0.0069472i,0.010144-0.0015562i,0.0030659-0.0032311i,0.014567-0.00076409i,0.0032975+0.0046325i,0.0090925+0.001009i,-0.022736-0.0052412i,-0.014687-0.019954i,-0.0075483-0.013764i,-0.0060263-0.0036206i,-0.024406+0.025366i,-0.0037464+0.00024702i,-0.0078006-0.0013163i
0.011671+0.0079577i,0.0027455+0.011308i,0.0078838+0.010425i,0.010807+0.017343i,0.013363+0.021571i,0.019867+0.01272i,0.0035513+0.026209i,0.0075737+0.017441i,0.0078626-0.0030798i,-0.0021809-0.0032031i,0.0041269-0.0014707i,-0.0015263-0.0041498i,-0.0015668-0.0023176i,-0.0015123-0.0024252i,-0.0016499-0.00083479i,-0.0015563-0.0018905i,-0.0044283+0.0030839i,0.0023353+0.0015237i,0.001229-0.0017821i,0.0018994-0.0012439i,0.00039681+0.0017189i,0.0014801-0.00063107i,0.0011757-0.00165i,-0.0067014+0.0017482i,0.00025996-0.00021698i,0.00093397+0.0014922i,-0.00038788+0.0018853i,0.00012484+0.0006776i,0.00019596+0.00098474i,-6.9918e-05-0.00028281i,0.00049438+0.0034743i,-0.00099409-0.00080279i,-0.002918-0.00097561i,-0.0019123+0.00067693i,-0.00044902+0.0023056i,0.0017508-0.0054209i,0.0013342+0.0018915i,-0.00025596-0.0010957i,0.0017871-0.00064209i,0.0044757+0.00064747i,0.0014799+0.00046842i,0.00073598+0.0013359i,-0.0024872+0.00059606i,0.0031766-0.0011265i,0.013149-0.0038583i,-0.01543-0.050706i,-0.0014958+0.014779i,-0.01517-0.034065i,-0.039722-0.0095104i,0.0011736+0.0046829i,0.0079062+0.034279i,0.0024134+0.0048146i,-0.0052453-0.0050979i,-0.0062208-0.01283i,-0.034321+0.018068i,-0.0061107+0.0056704i,0.0014099+0.027383i,0.0071958+0.0033872i,-0.0036307+0.002135i,-0.018755+0.0072099i,-0.00058505+0.0083095i,-0.0050338+0.010475i,0.0096347-0.0022171i,0.0082922+0.0083272i,-5.4657e-05+0.0066922i,0.0044929+0.0043627i,0.005485-0.0030833i,0.0076914+0.0027042i,0.0057208+0.00096839i,-0.0050662+0.0014392i,0.001934-0.0057701i,0.0084259-0.0028503i,0.0063836+0.0068581i,0.0037185+0.00072381i,-0.012271-0.022694i,0.0094619-0.0071749i,0.0023989-0.00796i,0.0016226-0.003153i,6.4422e-05-0.0046433i,0.0047773-0.017829i,0.0026122-0.00057087i,-0.0042235-0.00012533i,0.0019927+0.0022423i,0.0074898-0.006345i,0.0087071-0.0066625i,0.0010879-0.0036109i,0.011386-0.0078319i,0.0038194+0.0013512i,0.0086538-0.002641i,-0.018493+0.0027597i,-0.026349-0.018419i,-0.010749-0.017903i,-0.0064004-0.0057288i,-0.014089+0.027473i,-0.0087324-0.00043752i,-0.011248-0.0007756i
0.012901+0.0045053i,0.0035919+0.0092152i,0.0062342+0.0068873i,0.013233+0.014766i,0.01626+0.017353i,0.021136+0.0085005i,0.0087075+0.024213i,0.010101+0.01433i,0.0068699-0.0037581i,-0.0024729-0.0021554i,0.0029307-0.0027048i,-0.002319-0.0023375i,-0.002461-0.0018246i,-0.0016186-0.0016305i,-0.0019747-0.00012302i,-0.0011843+0.00029238i,-0.0022983+0.0046825i,0.0022691+0.00052262i,0.00095999-0.0018468i,0.0009373-0.0020993i,0.00069133+0.0012432i,0.0012649-0.0012802i,0.0003712-0.0020236i,-0.0050535+0.0031043i,0.00013632-0.00067785i,0.0011479-5.399e-05i,0.00052367+0.0011013i,0.00037938+0.00032049i,0.00043365+0.00080081i,0.0003411-0.0002133i,0.0013805+0.0028275i,-0.0011885-0.00050909i,-0.0031389+0.00077746i,-0.0013759+0.0015035i,0.00026981+0.0023773i,-0.00020364-0.0070618i,0.0021298+0.0010115i,-0.00044251-0.00044316i,0.002005-0.0010248i,0.0040778-0.00055892i,0.001519-0.00035751i,0.0010429+0.00061949i,-0.0019696+0.001427i,0.00095772-0.00045316i,0.011816-0.0059648i,-0.020509-0.035517i,0.0032243+0.0093719i,-0.024349-0.026861i,-0.040594+0.0011093i,0.0033406-9.1272e-05i,0.015247+0.028519i,0.0056152-0.0021002i,-0.0044049-0.0068786i,-0.0050658-0.012933i,-0.028862+0.025367i,-0.0043492+0.0062768i,0.011254+0.022951i,0.0066202+0.00050204i,-0.0046336+0.005683i,-0.015536+0.014754i,0.0021678+0.009796i,0.00010462+0.010646i,0.0044512-0.0037907i,0.010765+0.004996i,0.0028289+0.0077819i,0.005209+0.0045009i,0.0035775-0.0051545i,0.0044588+0.0025334i,0.0030856+0.0017208i,-0.0037912+0.0035443i,0.00042973-0.0046561i,0.0069938-0.005277i,0.0099076+0.0014889i,0.0038078-0.0013676i,-0.014594-0.018051i,0.0058451-0.0097551i,-0.00072426-0.0080962i,0.0030357-0.0027299i,-0.0013004-0.0037497i,-0.00016664-0.015626i,0.0035649-0.0025675i,-0.002552+0.0023865i,0.0049758+0.00081704i,0.0061436-0.0067174i,0.004466-0.011011i,0.00087246-0.0034009i,0.0049323-0.010975i,0.002366+6.532e-05i,0.0048287-0.0064226i,-0.012141+0.0041237i,-0.036724-0.0084105i,-0.016409-0.017658i,-0.0080665-0.0074039i,-0.0080059+0.026077i,-0.012898+0.0029002i,-0.011026+0.0030262i
0.013085+0.0012243i,0.0038304+0.008213i,0.0045037+0.0056489i,0.015209+0.011735i,0.017729+0.013014i,0.021899+0.0045338i,0.013546+0.020666i,0.011775+0.011122i,0.0063868-0.0046068i,-0.0027022-0.0017742i,0.0011915-0.0031936i,-0.0025547-0.00069645i,-0.0032832-0.00084152i,-0.0016574-0.0013255i,-0.0020252+0.0004548i,-0.00010377+0.0014898i,0.00027159+0.0050927i,0.0022933-0.00015719i,0.00026431-0.0021695i,-0.00025379-0.0022006i,0.0012498+0.00099316i,0.00085403-0.0017814i,-0.00037434-0.0019069i,-0.0041225+0.0030069i,-0.00032173-0.00062136i,0.00034325-0.00096075i,0.00060078+0.00012308i,0.00060482-0.00013915i,0.00085395+0.00020644i,0.00042588-0.00076368i,0.002099+0.0021265i,-0.0013779-0.00021096i,-0.0021606+0.0022305i,-0.00062665+0.0018642i,0.0008273+0.0021412i,-0.0034467-0.0073002i,0.0019062-0.0008168i,-0.00028224-0.00026634i,0.0016413-0.00166i,0.0034537-0.0011362i,0.0011094-0.00062381i,0.0010582+0.00028755i,-0.0013723+0.0010478i,0.00060363+0.001103i,0.010562-0.0072921i,-0.019919-0.027596i,0.0050798+0.0050408i,-0.02836-0.016164i,-0.035583+0.017041i,0.00058472-0.0042937i,0.017923+0.019875i,0.0061072-0.009062i,-0.004412-0.0078121i,-0.0066847-0.013595i,-0.021056+0.030377i,-0.0034212+0.0069994i,0.017309+0.01168i,0.0058226-0.0017373i,-0.002902+0.0090075i,-0.0087646+0.020111i,0.005415+0.0083962i,0.0046022+0.0086203i,0.0018508-0.0020441i,0.012323+0.0008524i,0.0058277+0.0070452i,0.0065359+0.0037805i,-0.00034938-0.0073281i,0.0042862+0.0045015i,0.003684+0.0033833i,-0.00089873+0.0060563i,0.00049171-0.0040078i,0.0053024-0.0062446i,0.0097527-0.0041699i,0.0032493-0.0033795i,-0.020337-0.015726i,0.0018752-0.01048i,-0.0045231-0.006641i,0.0016882-0.0047436i,-0.001374-0.0020448i,-0.0024721-0.012771i,0.0020706-0.0041892i,0.00013078+0.0027748i,0.005104-0.0031199i,0.0037324-0.008223i,-0.0024605-0.011802i,4.2178e-05-0.004581i,1.7099e-05-0.0092123i,0.0020642-0.00086394i,-0.00042961-0.0056495i,-0.0091306+0.0038858i,-0.033579+0.0088583i,-0.021815-0.015335i,-0.010782-0.0070566i,-0.0044593+0.025741i,-0.011847+0.0090864i,-0.0067311+0.0044681i
0.012887-0.0016245i,0.0045407+0.007823i,0.0035641+0.0055634i,0.016412+0.0082611i,0.018306+0.0093832i,0.022293+0.00023898i,0.01717+0.015892i,0.012551+0.0080867i,0.0058882-0.0054891i,-0.0032312-0.0010023i,-0.00037476-0.0025735i,-0.0015251+0.00078492i,-0.0035995+0.00032063i,-0.0020891-0.0013176i,-0.0019425+0.0010846i,0.00090959+0.0019586i,0.0025313+0.0042646i,0.0019922-0.00066338i,-0.00029395-0.0021231i,-0.0010697-0.0016079i,0.0017332+0.00038606i,0.00018953-0.0021199i,-0.00092323-0.0014912i,-0.003846+0.0038503i,-0.00061059-0.00069443i,-0.00056047-0.00098714i,0.00049284-0.00044729i,0.0003721-0.00080376i,0.00079924-0.00051273i,-8.4854e-05-0.0013162i,0.0027437+0.0013428i,-0.0012442+0.00061337i,-0.00041999+0.002476i,0.00012372+0.0018604i,0.0014363+0.0014635i,-0.0062963-0.0060349i,0.0010081-0.00095327i,-0.0003852-0.00048646i,0.00074522-0.0021995i,0.0029495-0.0016412i,0.0010059-0.00081278i,0.0013246-0.00010805i,-0.0012286+0.0009577i,0.0012919+0.0015183i,0.0099706-0.0090342i,-0.019756-0.026694i,0.006433+0.0017065i,-0.025825-0.0071307i,-0.025403+0.02646i,-0.0018322-0.0043816i,0.019864+0.012991i,0.0030394-0.015006i,-0.0043217-0.0089608i,-0.0073641-0.011503i,-0.012728+0.033741i,-0.00085787+0.0067643i,0.012734+0.00036741i,0.0039685-0.0043035i,0.0001524+0.01032i,-0.0015012+0.020721i,0.0065017+0.0059742i,0.0069717+0.0041623i,0.0022396-0.00068386i,0.012059-0.0032916i,0.0096726+0.0051057i,0.0081646+0.0032577i,-0.0044762-0.0035666i,0.0063668+0.0047413i,0.005402+0.0037013i,0.0029387+0.0058555i,-0.00036309-0.0041942i,0.0036454-0.0074512i,0.007042-0.010777i,0.00021723-0.0043772i,-0.026133-0.0089148i,-0.0014237-0.0098232i,-0.0055842-0.0029982i,0.0013023-0.0031009i,-0.0014856-0.0018433i,-0.0039776-0.012632i,-3.6699e-05-0.0047984i,0.0014467+0.00099872i,0.0026946-0.0047381i,0.0014683-0.0083074i,-0.0066904-0.0071517i,-0.0022682-0.0049184i,-0.0041179-0.0067065i,0.00051045-0.0015458i,-0.0023591-0.0027693i,-0.0061243+0.004011i,-0.025988+0.010834i,-0.022989-0.011289i,-0.012652-0.0055824i,0.00087566+0.023744i,-0.0094212+0.011338i,-0.005132+0.0032477i
0.01191-0.0046143i,0.0061335+0.0074684i,0.0035371+0.0061986i,0.016842+0.0049128i,0.018368+0.0061755i,0.021532-0.0039291i,0.019593+0.01043i,0.012965+0.0054291i,0.0052917-0.0066706i,-0.0033448-4.2325e-05i,-0.0008929-0.0013575i,-0.00024715+0.00074631i,-0.0036243+0.0016995i,-0.0029273-0.00048951i,-0.0015804+0.0018954i,0.0019102+0.0015011i,0.0041706+0.0028636i,0.0017717-0.001082i,-0.00082085-0.001928i,-0.0012756-0.00068391i,0.0018307-0.00041838i,-0.00042613-0.0018361i,-0.0011389-0.00099524i,-0.0023586+0.0047594i,-0.0011246-0.00060395i,-0.0011005-0.00060605i,-6.2551e-05-0.00095783i,-0.00033358-0.0011564i,0.00030379-0.0011465i,-0.0008277-0.0013298i,0.0035662+0.00020702i,-0.00047556+0.00050558i,0.0003403+0.0018483i,0.00064718+0.0015909i,0.0015108+0.00077761i,-0.0093901-0.0036008i,0.00055553-0.0013887i,-0.00080764-0.00028982i,-0.00043609-0.0025475i,0.0025964-0.0018803i,0.00080761-0.0010716i,0.0012721-0.00057886i,-0.0011689+0.00088779i,0.0017996+0.0015367i,0.0085649-0.011368i,-0.024229-0.0253i,0.0061535-0.0021288i,-0.022975-0.00087902i,-0.013211+0.029465i,-0.0041644-0.0042326i,0.021405+0.0058563i,-0.00084703-0.017269i,-0.0050239-0.0097831i,-0.0062017-0.0090363i,-0.0029401+0.0338i,0.00065597+0.0055045i,0.006797-0.001082i,0.00066802-0.0054741i,0.0044974+0.011208i,0.0044056+0.018494i,0.007+0.0032625i,0.0061594-0.00084532i,0.0019661-0.00026748i,0.0093682-0.0079954i,0.012136+0.00094504i,0.0095895+0.0013053i,-0.0048622-0.00049965i,0.0081845+0.0039857i,0.0076661+0.0030202i,0.006234+0.0031696i,-0.0012763-0.0037781i,0.0019912-0.0087053i,0.00045019-0.013556i,-0.001398-0.0024326i,-0.029298+0.0004963i,-0.0037328-0.0087508i,-0.0054217-0.000588i,0.0018486-0.0028178i,-0.0020382-0.0012637i,-0.0074473-0.012379i,-0.0025918-0.0043804i,0.0020302+0.0001094i,0.00057025-0.0050976i,0.00021478-0.0082788i,-0.0080268-0.0036809i,-0.0044963-0.0029836i,-0.0057461-0.0027799i,-0.00010391-0.001856i,-0.0020663-0.0011204i,-0.0033412+0.0032999i,-0.024773+0.012638i,-0.022572-0.0086277i,-0.01443-0.0035771i,0.0026083+0.022239i,-0.0079781+0.012298i,-0.0040347+0.0024835i
0.010427-0.0068288i,0.0082023+0.0060212i,0.0050291+0.0065654i,0.016734+0.0017681i,0.018567+0.0034914i,0.019926-0.0076863i,0.02026+0.0042209i,0.013041+0.0028653i,0.0042196-0.0078662i,-0.0029518+0.00083383i,-0.00051031-0.001484i,-8.0874e-05-4.7245e-05i,-0.0029423+0.0031272i,-0.0028672+0.00071478i,-0.00071768+0.002384i,0.0021549+0.00063933i,0.0045272+0.00070289i,0.0013019-0.00158i,-0.0014497-0.0012759i,-0.00092829-0.00011645i,0.0017238-0.0012455i,-0.00057483-0.0015199i,-0.0011071-0.00056277i,-0.00056143+0.0047942i,-0.0015661-0.00023219i,-0.0015643-0.00016674i,-0.0010918-0.0011128i,-0.0011325-0.0010021i,-0.00053115-0.0014587i,-0.0015215-0.00099766i,0.0021785-0.0011381i,-0.00075948+0.00053774i,0.00064013+0.0014537i,0.0010398+0.001213i,0.0014118+0.00025404i,-0.011588+0.00077254i,-0.0004107-0.0015647i,-0.00083848+8.5254e-05i,-0.0015796-0.0022228i,0.002277-0.0022381i,0.00043692-0.0012666i,0.0011046-0.00091384i,-0.0012063+0.00094672i,0.0023689+0.0014347i,0.0059168-0.0129i,-0.028961-0.020067i,0.004866-0.0052811i,-0.01639+0.0040357i,-0.001643+0.029143i,-0.0057164-0.0012243i,0.021145-0.0020437i,-0.0019431-0.019774i,-0.0051648-0.0093377i,-0.002824-0.006116i,0.0050085+0.031395i,0.0012313+0.0043427i,0.003467-0.0012893i,-0.0028639-0.005102i,0.010016+0.0083423i,0.0077298+0.014944i,0.005289+0.0014982i,0.0035866-0.0045695i,0.0029684+0.0017068i,0.0043238-0.010472i,0.012264-0.0051915i,0.009921-0.0012587i,-0.0048066+0.0025808i,0.010846+0.0019433i,0.010373-6.1141e-05i,0.0067113-0.0009409i,-0.0018828-0.0032084i,-0.00085235-0.0091443i,-0.0083308-0.010412i,-0.00090534-0.00065784i,-0.028839+0.011998i,-0.0059822-0.0077696i,-0.0045306+0.0019652i,0.0020508-0.0057745i,-0.0018946+0.00049652i,-0.011693-0.0095111i,-0.0041493-0.0022366i,0.0016767-0.0016582i,-0.0013489-0.0044647i,-0.0020548-0.0080154i,-0.0078998+0.0011401i,-0.0044711-7.9613e-05i,-0.0071599-0.0019982i,-0.0012822-0.0031552i,-0.00149-0.00085353i,-0.001181+0.0028521i,-0.02394+0.019641i,-0.02328-0.0089621i,-0.013085-0.00073098i,0.006421+0.021397i,-0.0068865+0.014654i,-0.0024282+0.00020434i
0.0087786-0.0085919i,0.0098941+0.0039635i,0.0068598+0.0053585i,0.015965-0.0012708i,0.018552+0.0007007i,0.017872-0.010716i,0.01883-0.0013421i,0.012809+0.00047311i,0.0029258-0.0087288i,-0.0026341+0.0015329i,-0.0011225-0.00098639i,-0.00063356-0.00013708i,-0.0017809+0.0039096i,-0.0023454+0.0017398i,0.0001163+0.0024208i,0.001584+4.4285e-05i,0.0039463-0.00077607i,0.00075444-0.0017171i,-0.0014195-0.00054968i,-0.00043064+9.1164e-05i,0.0014353-0.0018667i,-0.00063097-0.0014502i,-0.00086153-0.00034052i,0.00094633+0.0044905i,-0.0017784+0.00020997i,-0.001803+0.00059263i,-0.0020692-0.0005599i,-0.0015992-0.00043404i,-0.0015058-0.0012462i,-0.0021402-0.00037348i,0.0013831-0.0011709i,-0.00070474+0.001092i,0.0010061+0.0011063i,0.0013376+0.0007331i,0.0011305-0.00016991i,-0.011437+0.0052383i,-0.0012759-0.0012077i,-0.00094967+0.00011348i,-0.0025588-0.0013284i,0.0016971-0.0026791i,0.00016729-0.0012346i,0.00098969-0.0012722i,-0.0013091+0.0012269i,0.0028958+0.00093214i,0.003636-0.01323i,-0.028404-0.012561i,0.0016055-0.0072101i,-0.010164+0.0033772i,0.0087112+0.025966i,-0.0043602+0.0028884i,0.017703-0.0085265i,-0.0059685-0.023826i,-0.0040424-0.0091485i,0.0013376-0.003977i,0.013671+0.026634i,0.0017491+0.0033671i,0.0010475-0.00060304i,-0.00505-0.0028357i,0.01214+0.0024613i,0.010009+0.012841i,0.0028107+0.0021498i,-0.00027983-0.0069844i,0.0059188+0.00023967i,-0.00074232-0.0096081i,0.0081024-0.0098782i,0.0088736-0.0040436i,-0.0040493+0.004607i,0.012227-0.003295i,0.009251-0.0051913i,0.0053106-0.0048137i,-0.002353-0.0026001i,-0.0039855-0.0083458i,-0.0065119-0.0070543i,0.00024476-0.00083291i,-0.021158+0.022985i,-0.0086216-0.0059024i,-0.0021338+0.0034047i,-0.001217-0.0071946i,-0.00063316+0.0010013i,-0.014694-0.0048346i,-0.0038804+0.00028117i,1.4002e-05-0.0028952i,-0.0031861-0.0032174i,-0.0042374-0.0062854i,-0.0055653+0.0041951i,-0.0029213+0.0017357i,-0.0079022+0.0026702i,-0.0049947-0.0025928i,-0.0017067-0.0009189i,0.0028293+0.0024983i,-0.012744+0.025269i,-0.027191-0.0071648i,-0.011161-0.001502i,0.0086808+0.019321i,-0.0037325+0.01685i,-0.0034888-0.0033506i
