-0.026089-0.044825i,-0.021118-0.023084i,-0.013192-0.038109i,-0.029704-0.021071i,-0.025221-0.0020476i,-0.013557-0.0037494i,-0.051784-0.053854i,-0.048235-0.017004i,-0.038007-0.014639i,0.01046+0.014253i,-0.0088322+0.005411i,-0.019767+0.019219i,0.0022855+0.012847i,-0.0036612-0.0024035i,0.0010614+0.0010775i,-8.0927e-05+0.027994i,0.026116+0.025401i,0.0028503-0.0023474i,-0.0020642-0.0071939i,0.0068759+0.00289i,0.0027493+0.0007763i,0.00059217+0.0033212i,-0.00058681+3.0395e-05i,-0.035455-0.011144i,9.5837e-05-0.0076222i,0.0016141+0.002373i,0.0058739+0.0006659i,0.0020004+0.00038288i,0.0012917-0.00038875i,-0.00035909-0.0026679i,0.0017053-0.0021396i,-0.0023162-0.0055332i,-0.00074387-0.0043802i,0.0031132-0.00082525i,0.0045995-0.0030707i,0.0031903+0.029097i,0.0040093-0.0034933i,0.0029594-0.0018026i,0.0083426-0.0010113i,-0.0057381-0.0032003i,-0.00027536+0.00067519i,0.0097057+0.00038039i,0.0049548-0.0016866i,-0.002916+0.0090079i,-0.016225-0.010122i,-0.017944+0.014963i,0.0014021-0.062944i,-0.0044195-0.027146i,-0.02499-0.034528i,-0.0090787-0.02786i,0.051256-0.024548i,0.016696-0.043623i,0.025336-0.047377i,0.0087008-0.054861i,0.028044-0.019961i,0.0086558+0.0068866i,0.0278-0.032148i,-0.0087471-0.0060066i,0.0032295-0.0037007i,-0.0050505-0.0069656i,-0.0013358-0.032321i,-0.020825+0.029308i,0.0095008-0.012067i,-0.0092504-0.0038068i,-0.0041713-0.001989i,0.00035614-0.012656i,-0.011179+0.0039393i,0.0025018+0.010759i,-0.0046927+0.026821i,0.0048005+0.002631i,-0.0052911-0.0018578i,-0.0020521-0.0024144i,-0.012532-0.0080849i,-0.00033496-0.0045359i,-0.037679+0.00042665i,0.0018576-0.011034i,-0.0083831+8.7932e-06i,-0.00735-0.0024076i,0.0049286+0.0010509i,-0.0080492-0.00072969i,0.0021796+0.00020544i,0.0039422+0.0068829i,0.0042844+0.00049922i,-0.0083161-0.014576i,0.0025583+0.0099273i,-0.015354+0.0035761i,0.0071719+0.00017772i,-0.023715-0.0014145i,-0.018809+0.0062921i,-0.0065222-0.070946i,0.0079211-0.012881i,-0.047033-0.024819i,-0.020208-0.0015888i,0.016353+0.013402i,-0.023851+0.013634i,-0.019944-0.0075984i
0.024134+0.040549i,0.015189+0.018704i,0.017236+0.026617i,0.0067791+0.020403i,0.010914+0.0065513i,0.005645-0.0014897i,0.02098+0.011589i,0.017364-0.0036583i,0.009151-0.0063524i,0.0032954+0.0040955i,0.0022956-0.0028905i,0.001158-0.0049745i,-0.0025678+0.00085927i,0.00056002-0.00093661i,0.0022929-0.00036935i,0.0042566-0.0021441i,0.0057213-0.0061067i,-0.00038915+0.00018559i,-0.0042898+0.00099763i,6.2814e-05+0.00063204i,-0.00047881-0.00082807i,-0.0024095-0.00076955i,-0.0017838+0.00099995i,0.0049641+0.0094333i,-0.0013293+0.0010216i,0.00048456+0.0018035i,0.0010966+0.0006086i,-0.0016983+0.0027414i,-0.00097725+0.00017985i,-0.0015414+0.00025781i,-0.00163-0.001989i,-0.0017417-0.0010428i,-0.00028883+8.3571e-05i,0.00063208+0.00049785i,-0.00022059-0.0016074i,-0.0079149+0.0088811i,0.0018004+0.00014598i,0.00065331+0.0011079i,0.00053642+0.0024743i,0.0007885-0.0012565i,-3.087e-05-0.00097907i,-0.00019671-0.0010796i,0.00073479+0.0013335i,0.0001208+0.0019069i,0.01781+0.019805i,-0.026911+0.014751i,-0.016067+0.017857i,-0.024113+0.011331i,-0.0058649+0.039364i,0.013095+0.0036691i,0.00073848+0.00082009i,-0.010856-0.01511i,-0.020788-0.0013272i,-0.0081652+0.015125i,0.017868+0.023423i,-0.00083951+0.0027053i,-0.0035856+0.0011105i,-0.012579-0.0048259i,0.01115+0.0013011i,0.010675+0.0096931i,-0.001611+0.0062434i,-0.00499-0.0082217i,0.0068494-0.003021i,-0.0033717-0.0039993i,0.0040599-0.0084663i,0.0091713-0.0030927i,-0.0019208+0.010729i,0.013113-0.0057063i,0.0037888-0.0082746i,0.0035805-0.009416i,0.0021403+0.0006303i,-0.0022689-0.0057997i,-0.0041195-0.0014173i,0.0026224-0.00012283i,-0.011144+0.033566i,-0.0074668-0.0051453i,0.0001371+0.0011095i,-0.0011192-0.0072595i,0.0035445-0.00021217i,-0.018597-0.0088037i,-0.0021266-0.0039927i,0.0029108-0.002421i,0.0034529-0.0019055i,-0.0028993-0.0087536i,-0.000407+0.0070717i,0.00047052+0.0035833i,-0.0035778+0.0045186i,-0.0080125+0.0013287i,-0.006918-0.0012874i,-0.010873+0.027424i,-0.0023003+0.01481i,-0.027617-0.0093431i,-0.002303-0.0025962i,0.013551+0.019801i,-0.00080239+0.019202i,-0.00017348-0.0051512i
0.030186+0.034339i,0.018287+0.014592i,0.021839+0.023457i,0.010211+0.019913i,0.012603+0.0049733i,0.0057302-0.002864i,0.021208+0.0071906i,0.016407-0.0065379i,0.0074464-0.0084318i,0.0042107+0.0026265i,0.0021095-0.0029968i,-0.00086542-0.003569i,-0.0023529+0.0017145i,0.0003866-9.2162e-05i,0.0021848-0.00084399i,0.003346-0.0022769i,0.0035618-0.0065571i,8.1769e-05+0.0002415i,-0.0039018+0.0017i,0.00035473+9.3105e-05i,-0.00061055-0.0010793i,-0.002377-0.00034487i,-0.0014132+0.0011919i,0.0097358+0.0062062i,-0.0014454+0.0021487i,0.0013888+0.0013716i,0.0009061-0.00020286i,-0.00056466+0.0029574i,-0.0013685+0.00067148i,-0.0014264+0.0010112i,-0.0023576-0.0011253i,-0.0020649-0.0012095i,-0.00045031-6.3346e-06i,0.00070904+0.00024048i,-0.0012846-0.00059742i,-0.0046092+0.010469i,0.0014658-0.00058921i,0.0010977+0.0010638i,0.0014089+0.0017421i,0.00026044-0.001148i,-0.00026101-0.0012113i,-0.00089838-0.00094584i,0.00069843+0.0014042i,-7.9355e-05+0.0024029i,0.022125+0.016808i,-0.021819+0.018727i,-0.015018+0.021072i,-0.018811+0.013531i,0.006269+0.035895i,-0.020242+0.02238i,-0.0052755-0.0019416i,-0.018426-0.016027i,-0.022711-0.00059053i,-0.0012712+0.010484i,0.022198+0.016284i,-0.0011184+0.0024817i,-0.0024643+0.0050318i,-0.012587-0.00032608i,0.0097187-0.0030331i,0.012882+0.0070853i,0.0021366+0.0092397i,-0.0094036-0.0065376i,0.002577-0.0050698i,-0.003446-0.0019382i,-0.0012142-0.008005i,0.007209-0.0058993i,0.0031321+0.0088519i,0.0082792-0.0089297i,-0.0012809-0.0076005i,-0.00085461-0.0065836i,0.003669-0.00017078i,-0.0034953-0.0048651i,-0.0022994+0.0013446i,0.0033217-0.00043647i,0.0070009+0.033471i,-0.0097-0.0025398i,0.0009445+0.00042177i,-0.0041976-0.0054971i,0.0041084-0.0016169i,-0.020027-0.00012376i,-0.0028181-0.002729i,0.0015753-0.0026105i,0.0033333-0.0033284i,-0.0052951-0.0068413i,0.0019715+0.0036566i,0.0018021+0.0026256i,-0.000592+0.0061571i,-0.0062336+0.0041581i,-0.0076297+3.1934e-05i,-0.004674+0.024501i,0.00025062+0.016145i,-0.028728-0.0042607i,-0.0038035-0.0057805i,0.016459+0.01739i,0.0029884+0.020474i,-0.002966-0.0056362i
0.034501+0.027505i,0.019561+0.0092646i,0.026604+0.017926i,0.015155+0.017362i,0.014435+0.0029015i,0.0054075-0.0045127i,0.020761+0.0027603i,0.014965-0.0096653i,0.0054579-0.0093761i,0.0041625+0.0013874i,0.0014185-0.0037691i,-0.0012165-0.0019338i,-0.0014251+0.0020155i,0.0010435+7.1278e-05i,0.0019608-0.0012823i,0.0025843-0.0023798i,0.001796-0.0071309i,9.5632e-05-0.00015691i,-0.003143+0.0025321i,0.00013179-0.00060809i,-0.0014177-0.001439i,-0.0022152+4.1605e-05i,-0.001083+0.0013244i,0.011037+0.0010114i,-0.00046964+0.0030651i,0.001512+0.00044139i,0.00034067-0.00058428i,0.00055564+0.0026392i,-0.0011267+0.001419i,-0.0010292+0.00165i,-0.0027087+0.00013994i,-0.0031109+9.9674e-05i,-0.00052693+0.00013114i,0.00070082-5.3761e-05i,-0.0012343+0.00062915i,-0.0013207+0.010779i,0.00094227-0.00076645i,0.0014175+0.00054168i,0.0014763+0.0011649i,-0.00028215-0.00095786i,-0.00078871-0.0014372i,-0.0016014-0.00094097i,0.00091179+0.0017729i,0.00048551+0.0029296i,0.026747+0.012288i,-0.01656+0.021383i,-0.01188+0.025044i,-0.01272+0.013203i,0.017123+0.028497i,-0.0098529+0.021814i,-0.011309-0.00064685i,-0.024839-0.013319i,-0.019728+0.0038875i,0.0019884+0.0035323i,0.023734+0.007999i,-0.0013175+0.0025303i,-0.00086168+0.0050324i,-0.012578+0.0026394i,0.0058209-0.0072766i,0.01409+0.0031329i,0.0064497+0.0088412i,-0.012489-0.003005i,0.00057136-0.0033923i,-0.0033705-0.00013682i,-0.0038884-0.0053319i,0.0046167-0.007221i,0.0060636+0.0078103i,0.0052179-0.0092638i,-0.0044736-0.0044677i,-0.0012736-0.0034542i,0.0040919-0.0025528i,-0.0061898-0.0033326i,-8.9565e-05+0.0010997i,0.0027501-0.0019038i,0.020522+0.024144i,-0.010395+0.00083621i,0.0014197-0.00024473i,-0.003699-0.0038388i,0.0042223-0.0038212i,-0.015888+0.0083809i,-0.0028681-0.0014341i,0.00044874-0.002661i,0.0016669-0.0039744i,-0.0072808-0.0040231i,0.0014007+0.0024518i,0.0024291+0.0013987i,0.0025473+0.005854i,-0.0040293+0.0049424i,-0.007871+0.0022251i,-0.0017165+0.020649i,0.0076431+0.015374i,-0.028434+7.6967e-05i,-0.0061384-0.0079344i,0.020076+0.012328i,0.0082657+0.020667i,-0.005202-0.0049476i
0.036853+0.020676i,0.01872+0.0052792i,0.028671+0.011062i,0.01859+0.012164i,0.015631-0.00021825i,0.0043144-0.0059981i,0.019331-0.00081817i,0.012622-0.012274i,0.0038193-0.010123i,0.0037256+0.0006681i,0.00014777-0.0035916i,-0.00070567-0.0011334i,-0.0011706+0.0021791i,0.0011701-2.2997e-05i,0.0014656-0.0016476i,0.0018329-0.0021132i,-0.00030887-0.0065737i,8.9833e-05-0.00012418i,-0.0015347+0.0031198i,-0.00049669-0.00082338i,-0.0020538-0.00063736i,-0.0022012+0.00051226i,-0.00080294+0.0014168i,0.0093529-0.0032948i,0.00069012+0.0033103i,0.0011695-0.00011142i,-0.0001255-0.00040625i,0.0011116+0.0019322i,-0.00047815+0.0015689i,-0.0003105+0.0019739i,-0.0024217+0.0015065i,-0.0025188+0.0018413i,-0.00045239+0.00024385i,0.00041735-0.0003275i,-0.0007097+0.0011823i,0.0017613+0.010263i,0.00072155-0.00079692i,0.0012888+1.534e-05i,0.0014722+0.0010645i,-0.00073271-0.00062031i,-0.001545-0.0012647i,-0.0024924-0.00066678i,0.0014314+0.0020104i,0.0013291+0.0030062i,0.029888+0.0053804i,-0.010586+0.023123i,-0.0069089+0.028355i,-0.010105+0.010341i,0.024878+0.016759i,-0.0014265+0.017639i,-0.016276+0.0039579i,-0.03113-0.0073604i,-0.029983+0.019226i,0.00097662-0.0031164i,0.021997-0.0002596i,-0.001449+0.0034012i,2.674e-05+0.00664i,-0.01194+0.0068122i,-0.00020716-0.0073943i,0.014302-0.0017359i,0.010168+0.0065324i,-0.013395+0.0017467i,-0.00036669-0.0026824i,-0.0023403+0.0012833i,-0.004944-0.0018143i,0.0023013-0.0078968i,0.0088592+0.004219i,0.002527-0.0093371i,-0.0053357-0.00023536i,-0.00049628-0.0021512i,0.0025229-0.0047598i,-0.007266+5.0936e-05i,0.00091228+0.00074771i,0.0019241-0.0026385i,0.025483+0.010992i,-0.008955+0.0050893i,0.0015918-0.0012517i,-0.0040858-0.0024959i,0.0025186-0.0062614i,-0.0092204+0.011389i,-0.0022898-0.00072225i,-0.00039273-0.0017836i,0.00053364-0.0037393i,-0.0069781-0.00020383i,0.0013558+0.0020597i,0.0020426+0.00010297i,0.0057476+0.0048878i,-0.0018215+0.0043469i,-0.0079168+0.0041917i,-0.00013073+0.019258i,0.016109+0.0085434i,-0.026222+0.0049386i,-0.010886-0.0088418i,0.019746+0.0064647i,0.01372+0.018516i,-0.0055349-0.0037391i
0.038716+0.01437i,0.018517+0.0028416i,0.028869+0.0050161i,0.020123+0.0067153i,0.015795-0.0035312i,0.0030471-0.0070008i,0.017771-0.0032657i,0.010052-0.014019i,0.0023257-0.010751i,0.0035681+5.2412e-05i,-0.00078357-0.0029788i,-0.00026788-0.0010559i,-0.00080159+0.0026825i,0.0012033-0.00033978i,0.00096261-0.0017374i,0.0016001-0.0014998i,-0.0013349-0.00579i,-1.8385e-05-3.734e-05i,-0.00028682+0.0027817i,-0.0010497-0.00061612i,-0.0022461+1.3192e-05i,-0.0018151+0.0012062i,-0.00049563+0.0015462i,0.006282-0.0059403i,0.0018438+0.0031018i,0.0010222-0.00037708i,-0.00043034-0.00011857i,0.0013948+0.0013684i,-7.6289e-05+0.0016466i,0.00060225+0.0019352i,-0.0014511+0.002445i,-0.0015517+0.0025083i,-0.00065257+0.00031236i,0.00016014-5.9444e-05i,2.2619e-05+0.0015833i,0.0043938+0.0088529i,0.00035272-0.00086279i,0.0010725-0.00043228i,0.0016998+0.00076769i,-0.00073842-9.5879e-05i,-0.0020106-0.00083787i,-0.0040134-0.00035743i,0.0021569+0.0018141i,0.0016202+0.0024341i,0.030148-0.0021043i,-0.0040099+0.022934i,0.00018562+0.029788i,-0.0093639+0.0097577i,0.025707+0.0041297i,0.0019642+0.011938i,-0.017436+0.011494i,-0.033639+0.0023694i,-0.027125+0.021098i,-0.0032215-0.0072528i,0.016687-0.0053398i,-0.00054596+0.0045593i,0.0036484+0.0066874i,-0.0093807+0.010482i,-0.0034313-0.004223i,0.011838-0.007907i,0.012813+0.0024479i,-0.013076+0.0056824i,-0.00077353-0.00086866i,-0.0010116+0.0019646i,-0.0031622+0.00040636i,-0.00092021-0.0075702i,0.0090312+0.00059061i,-0.00044822-0.0086166i,-0.0033135+0.002819i,0.00037186-0.0022308i,0.00028838-0.0055496i,-0.0052457+0.002667i,0.0022587-0.00020595i,0.0013228-0.002661i,0.026795+0.00029149i,-0.0052642+0.0078018i,0.00090531-0.0022198i,-0.0036353-0.0019769i,-0.00023238-0.0070792i,-0.0045644+0.011254i,-0.0023422-0.0002139i,-0.00020006-0.00032253i,0.0002249-0.0032381i,-0.0043801+0.0018038i,0.0017835+0.0019057i,0.00095623-0.00042454i,0.0072551+0.0019189i,-0.0011364+0.0025923i,-0.0068392+0.0066946i,0.0023177+0.018882i,0.018096-0.0041671i,-0.021882+0.0058375i,-0.01571-0.0070744i,0.018771+0.0018058i,0.017872+0.013091i,-0.0063856-0.0037584i
0.04001+0.0075617i,0.018672-5.3646e-05i,0.028751-0.00080781i,0.020662+0.0010402i,0.015567-0.0067316i,0.0016158-0.007822i,0.016865-0.0050363i,0.0073467-0.015414i,0.0007222-0.011583i,0.0029744-0.00049241i,-0.0010554-0.0022745i,-8.9204e-05-0.0010441i,7.9179e-05+0.0031859i,0.0011626-0.00050255i,0.00063786-0.0017639i,0.0020393-0.0010974i,-0.0020599-0.0053864i,0.0001421-8.4054e-05i,0.0004506+0.0021927i,-0.0013856-0.00019357i,-0.0018383+0.00065897i,-0.0010691+0.0014336i,-0.00010693+0.0016155i,0.0026437-0.0073207i,0.0030912+0.0024518i,0.0008477-0.00074187i,-0.00044069+0.00010749i,0.0015383+0.00087194i,0.00038103+0.0016327i,0.0012735+0.0013603i,-0.00013954+0.0027954i,-0.00051527+0.0033282i,-0.00040831+0.00070358i,0.00028869+2.967e-05i,0.0007484+0.0013916i,0.0055421+0.006531i,6.2745e-05-0.00078026i,0.00074795-0.00066911i,0.0015803+0.00033151i,-0.00038104+0.00019049i,-0.0024335-0.0002188i,-0.0020771+0.00075648i,0.0028657+0.0013658i,0.001824+0.0022925i,0.028504-0.0090624i,0.0017753+0.020813i,0.0074244+0.028068i,-0.0083011+0.010467i,0.022779-0.0059487i,0.0021359+0.007993i,-0.013953+0.019002i,-0.030239+0.012776i,-0.019875+0.028117i,-0.0085465-0.0067918i,0.011948-0.0071126i,0.00091337+0.004846i,0.0061339+0.0041534i,-0.0056274+0.013478i,-0.0043811-0.0015614i,0.0058119-0.013036i,0.012714-0.0031197i,-0.012103+0.0091622i,0.00012109+0.00025705i,0.00018665+0.0017125i,-0.001556+0.00077913i,-0.0028544-0.0055343i,0.0074765-0.0020339i,-0.0023425-0.0066937i,-0.00041972+0.0039746i,0.00051238-0.0034833i,-0.0017421-0.0049516i,-0.0033925+0.0033946i,0.0020658-0.0021i,0.0010377-0.002943i,0.023467-0.0092115i,-0.0011145+0.0081078i,-3.7757e-05-0.0021407i,-0.0039215-0.00089152i,-0.0031527-0.0064805i,-0.0010889+0.010711i,-0.0011797+0.00018773i,0.001164-0.00030537i,-0.00026082-0.0037038i,-0.0020356+0.0022266i,0.0019702+0.0021825i,0.00010859+0.00020505i,0.0034726-0.0012493i,-0.0019924+0.0015007i,-0.004383+0.0081213i,0.0052788+0.01765i,0.011882-0.01425i,-0.020186+0.0026601i,-0.020101-0.0026983i,0.015764-0.0037443i,0.018408+0.0076872i,-0.0072991-0.0028092i
0.039991+0.00067405i,0.018008-0.0034022i,0.026481-0.0076742i,0.018995-0.0053866i,0.014683-0.010361i,-0.00017467-0.008187i,0.016463-0.0070674i,0.0043427-0.01659i,-0.0012401-0.011961i,0.0023874-0.00021988i,-0.0015223-0.0018872i,-0.00021142-0.0017311i,0.00099673+0.0030888i,0.0010149-0.00082257i,0.00023773-0.0017249i,0.0025831-0.0013924i,-0.0034323-0.005166i,-0.00013732-0.00026293i,0.00094208+0.0014143i,-0.0016599+0.00032209i,-0.0017262+0.00087618i,-0.00039962+0.0011957i,0.00021461+0.0015472i,-0.0003809-0.0056049i,0.0038967+0.00070123i,0.00042611-0.00094203i,-0.00063503+0.00033517i,0.0014611+0.00049863i,0.0010246+0.0013542i,0.0015523+0.00065308i,0.0011184+0.0025525i,0.00068219+0.0036542i,-0.00029537+0.00091475i,0.00037101+9.0953e-06i,0.0010682+0.00080287i,0.0064326+0.0045663i,-0.00026526-0.00069237i,0.00024935-0.00076861i,0.0017572+0.00016507i,0.0001066+0.00018982i,-0.0025653+0.00068595i,-0.0021904+0.0016973i,0.0033606+0.00044823i,0.0020095+0.0022169i,0.025453-0.015331i,0.006241+0.017271i,0.012779+0.024146i,-0.0056417+0.011611i,0.017794-0.013269i,0.0013048+0.0060438i,-0.0075199+0.023044i,-0.022413+0.019189i,-0.0093216+0.030948i,-0.012124-0.0029747i,0.0081963-0.0073882i,0.0021764+0.0043349i,0.0060274+0.00076261i,-0.00098273+0.014134i,-0.004909+0.0008198i,-0.0031325-0.012987i,0.0098156-0.0073556i,-0.0094069+0.0129i,0.0015798-0.00054714i,0.0009197+0.0011754i,-0.0010939+0.00020563i,-0.0031083-0.0036866i,0.00591-0.0028983i,-0.0030348-0.0056811i,0.001706+0.0030121i,-0.00055295-0.0052301i,-0.0032422-0.0036667i,-0.0012746+0.0039763i,0.00062978-0.0033713i,0.00052514-0.003731i,0.019439-0.022991i,0.0022826+0.0067074i,-0.00041399-0.0020048i,-0.0031729-0.00066817i,-0.005149-0.0049404i,0.0016018+0.0096083i,-0.00036523-0.00063544i,0.001697-0.001082i,-0.0012083-0.0037493i,-0.00065868+0.0011753i,0.0030228+0.0017574i,0.00018574+0.0013035i,0.0049821-0.0018917i,-0.0032003+0.0015546i,-0.0022956+0.0080547i,0.0084599+0.016601i,0.0032076-0.02024i,-0.024052+0.00041227i,-0.021284+0.0034776i,0.0093978-0.0065461i,0.018327+0.0028033i,-0.0069315-0.0026003i
0.03884-0.0058767i,0.017386-0.0058383i,0.02228-0.01225i,0.014541-0.010147i,0.012675-0.013876i,-0.0018074-0.0079835i,0.016064-0.0093506i,0.0010484-0.016982i,-0.0030656-0.012202i,0.0027733+0.00026888i,-0.0018108-0.00091451i,-0.0012309-0.0017669i,0.002001+0.0028421i,0.00063824-0.00094498i,-0.00012482-0.0015623i,0.0027559-0.001937i,-0.005148-0.0039759i,-0.00027007-9.5415e-05i,0.0010568+0.00069867i,-0.0016102+0.0010937i,-0.0014123+0.0013555i,-0.00036235+0.00073435i,0.00051557+0.0014511i,-0.0031431-0.0035644i,0.0033188-0.00091938i,5.6428e-06-0.00088975i,-0.00053067+0.00075553i,0.0013472+0.0002749i,0.0012577+0.00068971i,0.0015537+7.4439e-05i,0.0021129+0.0017821i,0.0020089+0.0031438i,7.8017e-05+0.0012216i,0.00044531-6.9395e-05i,0.00091943+0.00085479i,0.0068982+0.0031009i,-0.00048755-0.00048467i,-6.7072e-05-0.00056974i,0.002092-0.00022183i,0.00049801+5.3852e-05i,-0.0021981+0.001712i,-0.0015481+0.0024985i,0.0033408-0.00070027i,0.0023193+0.0021589i,0.020966-0.020509i,0.0092079+0.012918i,0.01607+0.01964i,-0.0020501+0.011242i,0.012317-0.018133i,0.00050219+0.0058554i,-0.00090284+0.024222i,-0.014385+0.020982i,0.0017206+0.02975i,-0.012181+0.002242i,0.0061465-0.0068749i,0.0034548+0.00342i,0.004664-0.0011628i,0.004092+0.012684i,-0.0041333+0.0038478i,-0.0095765-0.0075689i,0.0058493-0.0092395i,-0.0052698+0.015148i,0.0010522-0.0023088i,0.0012431+0.00058067i,-0.0012427+0.00025484i,-0.0026394-0.0023969i,0.0047379-0.0036379i,-0.0042082-0.0047814i,0.0028524+0.001281i,-0.0040718-0.0057484i,-0.0037986-0.0019456i,0.0010117+0.0029757i,-0.00037732-0.003773i,-0.00061271-0.0042137i,0.0043162-0.022466i,0.0040129+0.0045616i,-0.00094608-0.0020265i,-0.0039585-0.00043966i,-0.0063396-0.0025545i,0.003177+0.0083899i,-0.00079316-0.0019596i,0.0020379-0.0020625i,-0.0018443-0.0043252i,-0.00015722+0.00017215i,0.0036075+0.00081386i,0.001054+0.0018614i,0.0035428-0.0027989i,-0.0040256+0.0025949i,-0.00074417+0.0073961i,0.012867+0.015265i,-0.0078212-0.022132i,-0.028608+0.0024959i,-0.019126+0.0091676i,0.0046611-0.0046281i,0.015811-0.0022115i,-0.0071973-0.0039672i
0.036847-0.01239i,0.01692-0.0090726i,0.018527-0.014903i,0.0099197-0.011786i,0.0098708-0.01678i,-0.0031104-0.0075031i,0.015813-0.012287i,-0.0020827-0.016783i,-0.0050601-0.012253i,0.0034287-0.00015681i,-0.00122-0.00017982i,-0.0019214-0.0008133i,0.002881+0.0021495i,0.00029377-0.00090677i,-0.00028901-0.001377i,0.0028173-0.0024516i,-0.0061079-0.0020408i,-6.2223e-05-0.00023452i,0.00085964+5.615e-05i,-0.0011004+0.0016039i,-0.0010373+0.0014349i,-0.00046181+0.00066513i,0.00090485+0.0013128i,-0.0042916-0.00099239i,0.0025296-0.0017141i,-0.00026745-0.00072783i,-0.00013449+0.0008479i,0.0013837+2.9526e-05i,0.0010149+0.00049589i,0.0014557-0.00048238i,0.0027626+0.00074499i,0.0027627+0.0022878i,0.00068943+0.0012456i,0.00060398-0.00013167i,0.0013325+0.001197i,0.0070246+0.0015973i,-0.00070721-0.0001838i,-0.00017582-0.00043306i,0.0018388-0.0010966i,0.00092338-0.00027468i,-0.0013365+0.002356i,-0.00043291+0.0030502i,0.002765-0.0017229i,0.0026332+0.0022169i,0.015633-0.024022i,0.010083+0.008324i,0.017932+0.015322i,0.00068511+0.0093338i,0.0062101-0.021027i,0.00084993+0.0076162i,0.0054429+0.023707i,-0.0073167+0.020768i,0.010247+0.025056i,-0.0091189+0.0065252i,0.0048054-0.0073564i,0.0043087+0.0015183i,0.0039844-0.002377i,0.0080816+0.0088746i,-0.0016531+0.0051187i,-0.011589-0.001104i,0.0020344-0.0097689i,-0.00077419+0.015024i,-0.00055299-0.0029619i,0.00070309+6.3472e-05i,-0.0012342+0.00063418i,-0.0023464-0.0018442i,0.0035005-0.0034492i,-0.0049894-0.0028581i,0.002463-7.9168e-05i,-0.0070757-0.002992i,-0.0032084-0.00031717i,0.0017476+0.0010938i,-0.001347-0.0039864i,-0.0021364-0.0038699i,-0.0037974-0.019382i,0.0051676+0.002244i,-0.0016939-0.0017853i,-0.0039975+0.0011942i,-0.0060964+0.00025134i,0.004901+0.0075157i,-0.0025295-0.0025066i,0.0016908-0.0034778i,-0.0030258-0.002273i,-0.00052995-0.0011221i,0.0041106+6.4777e-05i,0.0020383+0.0018649i,0.0017904-0.0023629i,-0.0044312+0.0039293i,0.00037517+0.006559i,0.017606+0.011816i,-0.018289-0.018873i,-0.03188+0.0068343i,-0.014614+0.011922i,0.0031703-0.0027594i,0.011226-0.0046552i,-0.0099192-0.0043665i
0.03332-0.018531i,0.015445-0.012852i,0.015229-0.017265i,0.0064689-0.012058i,0.0064487-0.019039i,-0.0043534-0.0069494i,0.014823-0.016483i,-0.0050459-0.015996i,-0.0075799-0.011896i,0.0033885-0.00098307i,-0.00051135-0.00017838i,-0.0019985+0.00036334i,0.0033213+0.0011662i,0.00013739-0.00057635i,-0.00044199-0.0013109i,0.0025687-0.0031821i,-0.0063195+7.5013e-05i,-0.00017317-0.00052941i,0.00055395-0.00022847i,-0.00053553+0.0017954i,-0.00067838+0.0017143i,-0.00052515+0.00075395i,0.0012083+0.00094461i,-0.0036481+0.0017655i,0.0018211-0.0022089i,-0.00046116-0.0005303i,0.0001793+0.0006622i,0.0011913-0.00037876i,0.001096+0.00036931i,0.0010436-0.0010042i,0.0029882-0.00044719i,0.0034551+0.0014331i,0.0012529+0.00095697i,0.00067039-0.00054037i,0.0022823+0.00099437i,0.006757+0.00022282i,-0.00057607+0.00021882i,-0.00026508-0.00021523i,0.0010978-0.0014929i,0.0012281-0.00076454i,-0.00047153+0.0028215i,0.00064193+0.0028292i,0.0018443-0.0022081i,0.0033023+0.0024055i,0.010106-0.026002i,0.0091708+0.0052955i,0.019296+0.011869i,0.0021739+0.0082063i,-0.00021747-0.023042i,0.0039161+0.0095545i,0.011323+0.02101i,-0.00040999+0.018618i,0.016359+0.018021i,-0.0040846+0.0087378i,0.0031288-0.0079297i,0.0039365-0.0012566i,0.0030208-0.0039587i,0.0091184+0.0039289i,-8.3538e-05+0.0045871i,-0.011021+0.0053307i,-0.0017024-0.0088445i,0.0028001+0.01242i,-0.0028703-0.0030162i,2.6774e-05+0.00047513i,-0.001075+0.0011337i,-0.0019133-0.001654i,0.0034685-0.0021538i,-0.0043307-0.0015094i,0.002112+0.0002227i,-0.0074931+0.00063818i,-0.0022131+0.00043404i,0.0014117-4.7957e-05i,-0.0033542-0.0040723i,-0.0033587-0.0026367i,-0.0098865-0.015344i,0.0051775-0.00052175i,-0.0022233-0.001132i,-0.0027184+0.0022822i,-0.0047677+0.0019955i,0.0070668+0.0063755i,-0.0040623-0.0011999i,0.00025667-0.0047978i,-0.0037999-0.0017023i,-0.0018501-0.0014463i,0.0046744-0.0016695i,0.0031433+0.0015761i,0.0014286-0.0017671i,-0.0033446+0.0056614i,0.00085921+0.0054996i,0.021315+0.0061875i,-0.024338-0.010613i,-0.034125+0.013522i,-0.010439+0.012958i,0.0018577-0.0010617i,0.0079093-0.0044816i,-0.011908-0.0032297i
