-0.024728-0.0038689i,-0.023771+0.0028074i,-0.017292-0.0071577i,-0.029788-0.012308i,-0.028761+0.0036738i,-0.038617-0.003852i,-0.061286-0.028109i,-0.032401-0.014507i,-0.02943-0.003253i,0.006267+0.0040034i,-0.0034314+0.0068682i,-0.0055332+0.014121i,0.0062705+0.010554i,-0.0013049+0.0034839i,0.0050927+0.0035214i,0.0053229+0.024513i,0.024579+0.022975i,0.0013352-0.00062299i,0.00063914-0.0051946i,0.0069134-0.00097483i,0.0051074+0.00087253i,0.0026955+0.000989i,0.0014401-0.00061423i,-0.030549-0.0015279i,-0.0044475-0.0057136i,-0.00030419+0.0029021i,0.0028842-0.0023534i,-0.00076508+0.00055966i,-0.00053929+0.0011362i,-0.0013715-0.00301i,-0.0038073-0.0016518i,-0.0068004-0.0059948i,-0.0045662-0.0026018i,-0.00021116+0.00016943i,0.0020488-0.0030842i,0.0023032+0.022278i,0.0011469-0.0026062i,0.00023592-0.0022798i,0.004718-0.0021988i,-0.00251-0.0012407i,0.00066154+0.0007393i,0.006776-0.0018731i,0.0032305-0.0021806i,-0.0011404+0.0034355i,-0.01339+0.017064i,-0.028807+0.055401i,-0.003876-0.038286i,-0.014607-0.017587i,-0.036878-0.015859i,-0.026954-0.011794i,0.033141-0.010652i,0.0073384-0.030844i,0.012394-0.041026i,-0.01182-0.029726i,0.024857-0.023481i,0.0135+0.0066924i,0.027733-0.034024i,-0.0016812-0.0042043i,0.0065505-0.008452i,0.00022815-0.0044709i,0.0018206-0.036825i,-0.011687+0.030082i,0.0072513-0.01191i,-0.0097167-0.0049442i,-0.0023414-0.0021034i,0.00030461-0.015101i,-0.0076089+0.0052008i,0.0036573+0.0052485i,-0.00072252+0.028873i,0.001906-9.4965e-05i,-0.0071668-0.0044859i,-0.0029928-0.0061222i,-0.0145-0.009804i,-0.0024118-0.0059008i,-0.032034+0.0077444i,-0.0057453-0.0080384i,-0.013435-0.0017049i,-0.010585-0.0059214i,0.0016189-0.0015666i,-0.013454+0.0020636i,-0.0019011-0.00034791i,0.0064651+0.0066549i,0.0036798-0.0053657i,-0.01375-0.012236i,0.00751+0.0082972i,-0.016828+0.0059055i,0.0056049-0.00016839i,-0.019069-0.0018526i,-0.017975-0.0041217i,-0.018731-0.032785i,0.020384-0.010462i,-0.039057-0.023284i,-0.0095645+0.0051838i,0.018081+0.015113i,-0.021774+0.017953i,-0.0030875-0.0035285i
0.0053566-0.0094619i,0.0093106-0.0080298i,0.0094147-0.0027778i,0.012426+0.0024233i,0.016111-0.0043039i,0.012022-0.016343i,0.019142-0.0043177i,0.013603+0.0012585i,0.0042972-0.0086653i,-0.0018878+0.0026366i,-0.00073817+0.00084003i,-0.0020619-0.00018659i,-0.00098106+0.0035283i,-0.0019216+0.0027569i,0.0013993+0.0022808i,0.0012426-0.00077098i,0.0026167-0.0012755i,0.00068982-0.0013819i,0.00026008-0.00032356i,-0.00031785-0.00048366i,0.00019229-0.001813i,-0.0018964-0.0010915i,-0.0017399-0.0003998i,0.0062955+0.0050447i,-0.0021741+0.00011341i,-0.0010382+0.0019638i,-0.0019639+0.00031217i,-0.0023434+0.00013087i,-0.0019529-0.0019096i,-0.0032875+0.00073933i,0.0012924-0.0017981i,0.00039167+0.00039863i,0.00095786-0.00098238i,0.0014755+2.2377e-06i,0.00074669+0.00013581i,-0.0097973+0.0059154i,-0.0019499-0.00033413i,-0.0011103+0.0002622i,-0.0019642+0.00036063i,0.0015645-0.0020382i,0.00044177-0.00041612i,0.00025467-0.0010162i,-0.0020379+0.0024014i,0.0036442+0.00070068i,-0.0024999-0.014651i,-0.027109-0.0057934i,-0.00467-0.0081892i,-0.0067312+0.0036972i,0.016498+0.021999i,0.002273+0.0029238i,0.013416-0.016167i,-0.0099938-0.027398i,-0.0048796-0.01274i,0.0085348-0.007982i,0.017498+0.018039i,0.0021193+0.0021457i,-0.00060377+7.3099e-05i,-0.005194-0.0008501i,0.011407-0.0027412i,0.013016+0.0080767i,0.0024333+0.005273i,-0.0053103-0.0058351i,0.0060415-0.0022931i,-0.0040696-0.0066471i,0.002907-0.010237i,0.0063997-0.0066138i,-0.00035232+0.006831i,0.0092555-0.0078329i,0.0041901-0.0076528i,0.00080491-0.0062531i,-0.0029188-0.001316i,-0.0063752-0.0065582i,-0.008027-0.00086985i,-0.00046209-0.0014698i,-0.0076853+0.02461i,-0.0092035-0.0017177i,0.00045971+0.0031543i,-0.0037683-0.0049471i,0.00045206+0.0011786i,-0.016104+0.002036i,-0.0033804+0.001969i,-0.0014672-0.0029884i,-0.0043581-0.00066036i,-0.0059922-0.0032479i,-0.0014416+0.0056203i,-0.0021218+0.0022685i,-0.0051085+0.0059341i,-0.0055872+0.00053088i,-0.0032823-0.0019885i,0.0082087-0.0034592i,-0.0063285+0.018642i,-0.027355-0.0022816i,-0.009853-0.001904i,0.011744+0.015685i,-0.0026709+0.016307i,-0.0070131-0.0052978i
0.0041064-0.010961i,0.0079981-0.010017i,0.0089608-0.004209i,0.01224+0.0010277i,0.015872-0.0069925i,0.0088563-0.018315i,0.016876-0.0076594i,0.013194-0.00091152i,0.0025503-0.0095958i,-0.00098712+0.0028961i,-0.00010623+0.0011772i,-0.0024679+0.0011557i,0.0001723+0.0036918i,-0.0008875+0.0034794i,0.0018528+0.0020003i,0.00077628-0.00034369i,0.0015853-0.0017445i,0.00072843-0.0014249i,0.00016149-0.0011628i,-0.00012899-0.00089777i,-0.00023865-0.001944i,-0.0020798-0.000645i,-0.0017014-0.00037241i,0.0088403+0.0016925i,-0.0026303+0.0017032i,4.9538e-05+0.0022209i,-0.0019333+0.0011125i,-0.0022504+0.0011056i,-0.0032895-0.00070569i,-0.0029431+0.0023981i,0.0002867-0.0019122i,0.0002692-0.00026325i,0.00029147-0.0012324i,0.0012191-0.00055631i,0.00060402+0.00058372i,-0.0071863+0.0085326i,-0.0022426+0.00047053i,-0.0011207+0.00088945i,-0.0020131+0.0010324i,0.0008308-0.0022481i,0.00055998-0.0006542i,-0.00011836-0.0010284i,-0.0015157+0.0029694i,0.0029915+0.00036913i,-0.0039961-0.013512i,-0.024333-0.0029926i,-0.0067927-0.0046286i,-0.0031575+0.0018953i,0.025115+0.015312i,0.0056581+0.00081903i,0.0068266-0.019113i,-0.018257-0.027454i,-0.0099896-0.013455i,0.011204-0.014846i,0.019679+0.011112i,0.00096937+0.0009689i,-3.5995e-05+0.0023785i,-0.0047515+0.00072296i,0.0085341-0.0067171i,0.014394+0.0041685i,0.0055467+0.0059357i,-0.0086708-0.0042445i,0.0029784-0.0042522i,-0.0050086-0.0041635i,-0.0021032-0.0093178i,0.0033204-0.0080771i,0.0029638+0.0049123i,0.0047832-0.0092309i,0.00047437-0.0071795i,-0.0024078-0.0034278i,-0.001972-0.00022169i,-0.007787-0.0043467i,-0.0057378+0.0027266i,0.00010624-0.00099555i,0.0043032+0.023562i,-0.009641+0.0014447i,0.0011894+0.0015597i,-0.0058573-0.0025764i,0.0010173+0.00047662i,-0.013589+0.0091334i,-0.0023318+0.0029644i,-0.0024191-0.0010743i,-0.0030274+0.00083334i,-0.0066562-0.00069264i,0.00046411+0.003135i,-0.00087435+0.0019439i,-0.0014769+0.007381i,-0.0040015+0.002337i,-0.0045885-0.0014332i,0.008829-0.0091527i,-0.0018214+0.02117i,-0.027176+0.0028114i,-0.010725-0.0035973i,0.013522+0.013159i,-0.00016903+0.01821i,-0.0093671-0.0046187i
0.0017996-0.012123i,0.0056711-0.012279i,0.0083239-0.006056i,0.012685-0.0011119i,0.015582-0.010007i,0.0053233-0.019991i,0.014108-0.01074i,0.012561-0.0030892i,0.0006859-0.0094171i,-0.00045943+0.0028675i,0.00032498+0.00074978i,-0.0019411+0.0023962i,0.00099935+0.0031745i,0.00017793+0.0034054i,0.00224+0.0016181i,0.00056926+7.3499e-05i,0.00066982-0.0017767i,0.00052096-0.0019257i,-0.00037151-0.001375i,-0.00056852-0.0015092i,-0.00095596-0.0020307i,-0.0019394-0.00010698i,-0.001952-0.00030856i,0.0083255-0.0028511i,-0.0017089+0.0030426i,0.00068039+0.0019542i,-0.0015975+0.0021743i,-0.0016975+0.0020086i,-0.0035849+0.001287i,-0.0018124+0.0037734i,-0.00055215-0.0014842i,-0.00047442+2.482e-05i,-0.00030711-0.0010221i,0.00079429-0.00094365i,0.00095583+0.00082767i,-0.0041884+0.010209i,-0.002094+0.0017489i,-0.00064284+0.0013568i,-0.0017322+0.0021155i,6.5679e-05-0.0022841i,0.00062157-0.0010454i,-0.00029217-0.00096563i,-0.00085935+0.0035782i,0.0030241+0.00041579i,-0.0043726-0.012329i,-0.022435+0.00029828i,-0.0053917+1.7504e-05i,-0.00049984-0.0012561i,0.032108+0.0051283i,0.0084684-0.00071209i,6.2314e-05-0.019305i,-0.025335-0.02415i,-0.014145-0.010553i,0.0095195-0.022844i,0.01865+0.0046093i,-0.00070784+0.00093264i,-0.00024028+0.0015205i,-0.0048701+0.0015215i,0.0032627-0.010062i,0.014591-0.00066831i,0.0081818+0.0045785i,-0.010971-0.0012146i,0.0012397-0.0036514i,-0.005278-0.0014358i,-0.0046298-0.0067122i,0.00044086-0.0078267i,0.0049747+0.0040786i,0.0019554-0.0087917i,-0.0026926-0.0054302i,-0.0020294-0.00027626i,-0.0017355-0.00053079i,-0.0096594-0.0011826i,-0.0033599+0.0035886i,-0.00047899-0.001629i,0.013132+0.01761i,-0.0089093+0.0052993i,0.0015511+0.00081859i,-0.0048804-0.00014802i,0.0014188-0.00072349i,-0.0067377+0.013581i,-0.0005736+0.0039644i,-0.0028729+4.135e-05i,-0.0023177+0.0017884i,-0.0062844+0.0026211i,-0.00015121+0.0024367i,-0.00037027+0.0014793i,0.0014988+0.0069599i,-0.0026332+0.0021097i,-0.0056804+0.00044631i,0.0059656-0.014283i,0.0084211+0.0196i,-0.025461+0.0062525i,-0.012299-0.0045155i,0.015705+0.0086578i,0.0046315+0.020034i,-0.010963-0.0031591i
-0.00076345-0.012164i,0.0022871-0.013094i,0.0069675-0.0077391i,0.012315-0.0039102i,0.014156-0.013633i,0.0012144-0.020673i,0.010737-0.012675i,0.011467-0.0050036i,-0.00038488-0.0092316i,-3.9051e-05+0.0030458i,0.00024347+0.0005351i,-0.00088047+0.0031654i,0.0012728+0.0028328i,0.00082028+0.0033925i,0.0024503+0.001136i,0.00058241+0.00056803i,-6.6815e-05-0.001301i,0.00013047-0.0021239i,-0.00043483-0.0013406i,-0.0014504-0.0015309i,-0.0015164-0.0016252i,-0.0018799+0.0002082i,-0.0023155+0.00010273i,0.005587-0.0057575i,-0.00032487+0.0036145i,0.0012505+0.0018605i,-0.00052046+0.0029815i,-0.00089683+0.0025934i,-0.0025821+0.0028076i,-8.3455e-05+0.0043197i,-0.0010481-0.00083728i,-0.00031067+0.00063226i,-0.00064784-0.00065021i,0.00016149-0.0011086i,0.0013023+0.00058908i,-0.00077737+0.010906i,-0.0011469+0.0027573i,-0.00014319+0.0014628i,-0.00084124+0.0029652i,-0.0005737-0.0021878i,0.00022714-0.0015172i,-0.00046323-0.0009096i,0.00012574+0.0040289i,0.0030628+0.00033049i,-0.0042288-0.012459i,-0.018447+0.0030468i,-0.0014745+0.0027173i,-0.0012621-0.0052397i,0.034826-0.0082605i,0.010715-0.0050948i,-0.0060473-0.016147i,-0.03173-0.018096i,-0.016264-0.0050221i,0.0038496-0.029243i,0.016806-0.00042744i,-0.0012582+0.0023021i,-0.00077773+0.0035889i,-0.0047849+0.0028876i,-0.0032121-0.0085853i,0.013041-0.0060337i,0.010195+0.001938i,-0.011775+0.0028087i,-1.1921e-05-0.0037761i,-0.0039348+0.00063216i,-0.0058483-0.0032454i,-0.001605-0.0073828i,0.0058529+0.00080255i,-0.00039922-0.0083405i,-0.0038984-0.0017506i,-0.00072646+0.0011622i,-0.0022087-0.00032524i,-0.0091871+0.0029777i,-0.0012654+0.0043869i,-0.0012749-0.0015005i,0.017548+0.0091274i,-0.0059724+0.0092378i,0.0017352-0.0002606i,-0.0039205+0.0017833i,0.00049614-0.001777i,-0.00031998+0.012871i,0.0016847+0.0032779i,-0.0025156+0.0023132i,-0.0014237+0.0028923i,-0.0035121+0.0051303i,-5.3073e-06+0.0026015i,-0.00055403+0.00092419i,0.0044804+0.0061088i,-0.0024181+0.0011347i,-0.006158+0.0027594i,0.002079-0.015584i,0.018631+0.0096096i,-0.02238+0.0097321i,-0.015561-0.0037748i,0.014427+0.0045972i,0.010192+0.018825i,-0.010533-0.0018273i
-0.0027926-0.011567i,-0.00047135-0.012478i,0.0053061-0.0088268i,0.011347-0.0064354i,0.011672-0.016784i,-0.0025754-0.020533i,0.0075104-0.013419i,0.010227-0.0063866i,-0.0011967-0.009084i,0.00061064+0.0030957i,3.1961e-05+0.00050334i,0.00032599+0.0033579i,0.001591+0.0028944i,0.0014842+0.0032223i,0.0026027+0.00077872i,0.0010645+0.0011602i,-0.00015236-0.000765i,-0.0004714-0.002298i,-0.00084965-0.0017127i,-0.0022139-0.0009813i,-0.0019921-0.0013771i,-0.0016519+0.00057704i,-0.0024738+0.00085939i,0.0024196-0.00696i,0.0010919+0.0035905i,0.0020107+0.0014686i,0.00076234+0.0031825i,6.8167e-05+0.0028933i,-0.0012264+0.0037019i,0.0017778+0.0041249i,-0.0009801-0.00022455i,4.5682e-05+0.00094092i,-0.00079324-0.00022293i,-0.0004279-0.00065361i,0.0016251+0.00043431i,0.0025401+0.010666i,0.00010007+0.0031631i,0.00027527+0.0015007i,0.00041312+0.0033585i,-0.0011093-0.0019421i,-0.0002108-0.0017506i,-0.00070708-0.00086217i,0.0013267+0.0039864i,0.0029293-0.00013454i,-0.0053407-0.01321i,-0.013951+0.0035881i,0.0036586+0.0025956i,-0.0032367-0.0062869i,0.031249-0.021377i,0.01027-0.0095849i,-0.0087298-0.011285i,-0.034596-0.0092987i,-0.015633+0.0014679i,-0.0041217-0.031365i,0.013189-0.003703i,-0.0003722+0.0033944i,0.0016308+0.0045658i,-0.004285+0.0042853i,-0.0063324-0.0043572i,0.0089836-0.010999i,0.011109-0.0017812i,-0.010939+0.0066253i,-0.0010905-0.0025505i,-0.0023766+0.0012977i,-0.0046969-0.00099725i,-0.004415-0.005884i,0.0051052-0.0010822i,-0.0023261-0.0070769i,-0.0026104+0.00088811i,0.0009792+0.0015047i,-0.0023595+0.00015306i,-0.0065252+0.0060189i,0.001352+0.0037622i,-0.0018143-0.00033379i,0.017756+0.00095224i,-0.000891+0.010732i,0.001014-0.0010923i,-0.002119+0.0020662i,-0.00059212-0.0014327i,0.0036796+0.010554i,0.0025116+0.0020012i,-0.00073706+0.0043458i,0.00060074+0.0035298i,-1.8173e-05+0.0053364i,0.00070568+0.0028567i,-0.0014496+0.0010911i,0.0061812+0.0035142i,-0.0035483+0.00084413i,-0.0048221+0.0053645i,-0.00016664-0.015599i,0.019353-0.0057076i,-0.017569+0.0097222i,-0.018283-0.001532i,0.01386+0.0016075i,0.014574+0.01437i,-0.011375-0.0020273i
-0.004476-0.010683i,-0.0023622-0.01155i,0.00371-0.0095181i,0.010109-0.009016i,0.0087628-0.019346i,-0.0064544-0.0199i,0.005021-0.013395i,0.0091256-0.0075778i,-0.0018715-0.009316i,0.00114+0.0028804i,5.1647e-05+0.00068877i,0.0014619+0.0031485i,0.0024368+0.0029591i,0.0022122+0.0030786i,0.0028912+0.00029218i,0.0020706+0.0014309i,6.5576e-05-0.00064966i,-0.001224-0.0023512i,-0.0016551-0.0016854i,-0.0026804-0.00013352i,-0.0024842-0.00092825i,-0.0013085+0.00074999i,-0.002224+0.0016605i,-0.0009193-0.0068356i,0.0025137+0.0030049i,0.0025447+0.00064952i,0.0020364+0.0027865i,0.0012021+0.0028943i,0.00030815+0.0039948i,0.0032911+0.003121i,-0.00077546+8.7512e-05i,0.00060467+0.0010798i,-0.00072062+0.0002499i,-0.00047823-0.00013912i,0.0019334-0.00012214i,0.0054372+0.009379i,0.0014779+0.0030035i,0.00082602+0.0014452i,0.0016304+0.0031228i,-0.0015307-0.0015801i,-0.00084732-0.0018396i,-0.00096457-0.00081269i,0.0023686+0.0035663i,0.0029948-0.00034565i,-0.0067385-0.013772i,-0.010315+0.002329i,0.0079671-0.00053057i,-0.0047437-0.0059995i,0.023991-0.031261i,0.0081078-0.012883i,-0.0086638-0.006796i,-0.032943-7.4607e-05i,-0.010514+0.0080268i,-0.011141-0.029461i,0.01009-0.0050314i,0.00082712+0.0036409i,0.0034466+0.0035266i,-0.0033158+0.0058062i,-0.0072013-0.00094163i,0.0026797-0.013976i,0.0092749-0.0063262i,-0.0090042+0.0091812i,-0.00092681-0.0014762i,-0.0013887+0.00091533i,-0.0037243-0.00021464i,-0.0053483-0.0028585i,0.0039386-0.001935i,-0.0034491-0.0053963i,-0.00031293+0.0014548i,0.0025391+7.3557e-05i,-0.0023008+0.00097433i,-0.0035982+0.0071085i,0.002238+0.002036i,-0.0010853+0.00082776i,0.014964-0.0056079i,0.0036486+0.0098279i,0.00030488-0.00046062i,-0.0011584+0.002024i,-0.0012098-0.00023613i,0.0066734+0.0078418i,0.0034663+0.0010569i,0.0025376+0.0043294i,0.0021598+0.0025085i,0.0027041+0.0040481i,0.0013565+0.0028584i,-0.0014908+0.0025083i,0.0061802+0.0014301i,-0.004768+0.0015842i,-0.0024307+0.0066125i,-0.0018664-0.016012i,0.011633-0.016812i,-0.015476+0.0059716i,-0.021055+0.0024044i,0.011467-0.002777i,0.016346+0.0094212i,-0.012787-0.00074601i
-0.0058843-0.0093431i,-0.0040808-0.010693i,0.0020019-0.010321i,0.0077104-0.011778i,0.0052596-0.021752i,-0.010326-0.018106i,0.0031318-0.013294i,0.0080362-0.0089246i,-0.0028912-0.0095072i,0.0014593+0.0028538i,1.1232e-05+0.00078003i,0.0023156+0.0022974i,0.0033085+0.0025063i,0.0029478+0.0026587i,0.0030047-0.00027561i,0.0030545+0.00087198i,-4.3632e-05-0.00077059i,-0.0022165-0.0020598i,-0.002292-0.0011899i,-0.0028858+0.00094504i,-0.0029851-0.0002028i,-0.0010304+0.00065029i,-0.001739+0.0023576i,-0.0039284-0.0053834i,0.0035515+0.001412i,0.0025784-0.00023052i,0.0029728+0.0018871i,0.0023423+0.002402i,0.0020711+0.003573i,0.0042+0.0015834i,-0.00047165+0.00022624i,0.0010737+0.00095914i,-0.00048043+0.00059273i,-0.00031159+0.00023364i,0.0017051-0.00097118i,0.0077115+0.0072371i,0.0026189+0.0021837i,0.0013168+0.0010853i,0.0029135+0.0024756i,-0.0017607-0.0010683i,-0.0016131-0.0015497i,-0.0012748-0.00053405i,0.0034231+0.0027637i,0.0029542-0.00073296i,-0.008805-0.014013i,-0.0082776+0.00041018i,0.010042-0.0050688i,-0.0049204-0.0047846i,0.014474-0.037686i,0.0052211-0.014922i,-0.0073047-0.0045507i,-0.027838+0.0059501i,-0.0020336+0.010115i,-0.016556-0.025222i,0.0076257-0.0055511i,0.0018355+0.0031405i,0.0038241+0.0015824i,-0.0015746+0.0067283i,-0.0073476+0.0023131i,-0.0050275-0.012954i,0.0055547-0.0085064i,-0.0065431+0.011415i,-0.00049-0.0019075i,-0.0012458+0.00025203i,-0.0036107-2.9737e-05i,-0.0045982-0.00062261i,0.0030319-0.0022725i,-0.004165-0.0044187i,0.00075414+0.0005348i,0.0024681-0.0022233i,-0.0018659+0.0019236i,-0.00021177+0.0074239i,0.0019796+0.00072747i,-0.00027688+0.00054542i,0.010371-0.0096382i,0.0072828+0.0071814i,0.00085474-0.00020285i,0.00015397+0.001331i,-0.00049809+0.00038848i,0.008142+0.0045209i,0.0044823-0.00097729i,0.0046114+0.0026353i,0.0027151+0.0016101i,0.0040215+0.0017576i,0.0027019+0.0024787i,-0.00022985+0.0038598i,0.0061432-0.00029757i,-0.0053448+0.0031765i,-0.00037265+0.0063381i,-0.0034837-0.015942i,0.00054722-0.023063i,-0.018664+0.0029652i,-0.021018+0.0078173i,0.0056407-0.004784i,0.01712+0.0048739i,-0.012733+0.00057909i
-0.0063416-0.0079113i,-0.0054583-0.0091227i,-8.9728e-05-0.010493i,0.0041123-0.013369i,0.00083257-0.023348i,-0.013315-0.01544i,0.0017492-0.01311i,0.006739-0.01017i,-0.0038916-0.009907i,0.002127+0.002961i,0.00013628+0.0012502i,0.0026724+0.0015774i,0.0041461+0.0017568i,0.003804+0.0020928i,0.003065-0.00098468i,0.0035335+0.00010883i,-0.00062846-0.00068289i,-0.0030249-0.0011615i,-0.0025968-0.00048409i,-0.0024798+0.0022696i,-0.003071+0.00085505i,-0.0012365+0.00045629i,-0.00093038+0.0028964i,-0.0058669-0.0025882i,0.0034676-0.00021343i,0.002327-0.0010811i,0.0036633+0.00060823i,0.0031835+0.0014055i,0.0033176+0.0022313i,0.0044488-0.00015531i,-0.00024509+0.00015165i,0.0014124+0.00039792i,-3.1946e-05+0.0007848i,4.0726e-05+0.00043914i,0.0010257-0.0010949i,0.009075+0.0043668i,0.003231+0.00091801i,0.0016472+0.00065244i,0.0038589+0.0011213i,-0.0018612-0.00050637i,-0.0021541-0.00081874i,-0.001459-0.00012607i,0.0039657+0.0014364i,0.0028077-0.0012688i,-0.011018-0.013663i,-0.0069788-0.0022466i,0.0095721-0.0095919i,-0.0038197-0.004446i,0.0043457-0.039857i,0.0017299-0.015544i,-0.00631-0.0030449i,-0.022621+0.008314i,0.0060788+0.007464i,-0.018884-0.019864i,0.00625-0.0059199i,0.0027259+0.0019532i,0.0032737+0.00039105i,0.00081054+0.0068103i,-0.0059243+0.0058241i,-0.010684-0.0078486i,0.0019232-0.0085357i,-0.0033916+0.012683i,-0.0013031-0.0025105i,-0.0018271+0.0002672i,-0.0037417+0.00079012i,-0.0033629+0.00069195i,0.0017233-0.0024066i,-0.0050191-0.0031989i,0.0010255-0.00027632i,0.00017394-0.0036096i,-0.00068911+0.0026536i,0.0028895+0.0057694i,0.002292-0.00013165i,-8.2197e-05+0.000245i,0.0052727-0.011306i,0.0092405+0.0033613i,0.0011427-0.00093551i,0.00019558+0.00044184i,0.00047509+0.00041974i,0.0079078+0.0016709i,0.0036232-0.0039843i,0.0060334+0.00039152i,0.003473+0.0007085i,0.0045139-0.00056538i,0.0035309+0.0015928i,0.0014812+0.0040417i,0.0051433-0.0019715i,-0.0051837+0.0053515i,0.0012653+0.0050631i,-0.0042288-0.015547i,-0.012429-0.023478i,-0.022739+0.0040223i,-0.01791+0.012774i,0.0013858-0.0022231i,0.015716-0.00029095i,-0.012449+0.00096289i
-0.0062993-0.007221i,-0.0059376-0.0077442i,-0.0018495-0.0099428i,0.00075927-0.013341i,-0.0037803-0.023729i,-0.015304-0.012585i,0.00082125-0.013514i,0.0052044-0.01139i,-0.0054051-0.01006i,0.0030274+0.0025838i,0.00081484+0.0015575i,0.0028861+0.00094538i,0.0046909+0.00045175i,0.0044693+0.0010126i,0.002865-0.0017906i,0.0037879-0.0005122i,-0.00081305-8.5638e-05i,-0.0031925-0.0001768i,-0.0027753+0.00023845i,-0.0014745+0.0030833i,-0.0028028+0.0017425i,-0.0015062+0.00091497i,8.7239e-05+0.003044i,-0.0062609+0.00074856i,0.0028121-0.0013193i,0.0018275-0.0018159i,0.0036917-0.00094778i,0.0035367+0.00010118i,0.0035687+0.00090847i,0.0040857-0.0017997i,-3.0257e-05+0.00014887i,0.0012159-0.00012827i,0.00048578+0.00066916i,0.00046822+0.00044575i,0.0007069-0.00086797i,0.0090314+0.0014528i,0.00318-0.00043824i,0.0019164+9.2686e-05i,0.0038767-0.00049271i,-0.001725+0.00019283i,-0.002154-4.5223e-05i,-0.0014699+0.0002413i,0.003779+8.5528e-05i,0.0025092-0.0018979i,-0.013351-0.012701i,-0.0087094-0.004816i,0.0071393-0.012932i,-0.0032944-0.0053111i,-0.0039875-0.039446i,-0.00088104-0.013865i,-0.004829-0.001892i,-0.018724+0.0098231i,0.010888+0.0017485i,-0.018437-0.014855i,0.0045759-0.006876i,0.0029217+0.00016704i,0.0032144-0.00054423i,0.0031654+0.0055922i,-0.0028076+0.0072405i,-0.012362-0.0015534i,-0.0010177-0.0076292i,0.00026576+0.01254i,-0.0027825-0.0023731i,-0.0026711+0.0013267i,-0.003404+0.0018145i,-0.0024385+0.0014501i,0.0012495-0.0010732i,-0.0053839-0.0013112i,0.0006841-0.0010968i,-0.0017368-0.0025351i,0.0007745+0.0025734i,0.0042009+0.0031787i,0.0024177-0.0015192i,7.9897e-05+0.00041038i,0.00089977-0.010763i,0.0095424-0.00083558i,0.00061511-0.0015489i,0.00018633+0.00057049i,0.0012998-0.00023747i,0.007484-0.00028241i,0.00076003-0.0056976i,0.0060443-0.0027924i,0.003563-0.0011836i,0.003714-0.003179i,0.004098+0.00066136i,0.0027526+0.0036185i,0.0035639-0.0026867i,-0.0038176+0.0070592i,0.0018613+0.0035812i,-0.0044693-0.016369i,-0.023724-0.017456i,-0.025107+0.0072783i,-0.013242+0.014257i,0.00081259+5.2165e-05i,0.012392-0.0034019i,-0.014142+0.0014959i
-0.0068069-0.0069463i,-0.006153-0.0070054i,-0.0031278-0.0092383i,-0.0018543-0.012554i,-0.0085587-0.02329i,-0.016988-0.0097116i,-0.00052924-0.014841i,0.0033049-0.01251i,-0.0073437-0.0098005i,0.0037763+0.0019299i,0.0016037+0.0013286i,0.0029347+0.00035508i,0.0046009-0.0010053i,0.0047343-0.0002274i,0.0023572-0.0025318i,0.0039409-0.0012427i,-0.00068763+0.00038706i,-0.0031188+0.00071169i,-0.0026793+0.0012296i,-0.0003279+0.0033926i,-0.0022276+0.0026916i,-0.0013136+0.0016234i,0.00095993+0.0027341i,-0.0049707+0.0037025i,0.0020704-0.0019532i,0.0010492-0.002276i,0.0030445-0.0024077i,0.0032766-0.0012446i,0.0035838-0.0003165i,0.002957-0.0032178i,0.00019397-4.2601e-05i,0.0010706-0.00026924i,0.00081458+0.000306i,0.00084585+4.1025e-05i,0.00083865-0.00085103i,0.0082732-0.0010062i,0.002681-0.0014779i,0.0019718-0.00060232i,0.0032339-0.0017965i,-0.0011607+0.00081006i,-0.0020327+0.00066025i,-0.0014322+0.00066137i,0.0031296-0.0007798i,0.0019553-0.0020162i,-0.01563-0.011316i,-0.011671-0.0046213i,0.0044003-0.014497i,-0.0036755-0.0053478i,-0.012099-0.038209i,-0.0013736-0.01197i,-0.0032562-0.0018165i,-0.014044+0.010592i,0.013583-0.0049498i,-0.016144-0.012182i,0.0025632-0.0075063i,0.00164-0.0022034i,0.0029713-0.0017829i,0.0040018+0.0033821i,-0.00069551+0.0069112i,-0.011583+0.0041457i,-0.0036206-0.0059879i,0.0031244+0.010355i,-0.0042176-0.0011571i,-0.0024676+0.0031502i,-0.0028266+0.0027072i,-0.00095861+0.0016466i,0.0023324+0.00057893i,-0.0046208+0.00013156i,0.00035702-0.00097088i,-0.0022113-0.0012857i,0.0018508+0.0018408i,0.0042386+0.0010943i,0.00092574-0.0030347i,0.00064744+0.00025949i,-0.0027967-0.0094244i,0.0080557-0.004477i,-2.2882e-06-0.0017174i,0.0010414+0.0003316i,0.0011088-0.0014326i,0.0070232-0.0023409i,-0.0019827-0.0051117i,0.0044026-0.0055639i,0.0023732-0.0023334i,0.0016562-0.0044486i,0.0046743-0.00088718i,0.0040303+0.0028051i,0.0027081-0.002579i,-0.0012508+0.0075696i,0.0012813+0.0022095i,-0.0054838-0.018081i,-0.028467-0.0072469i,-0.026659+0.01193i,-0.009474+0.014689i,0.0003619+0.0016022i,0.0094148-0.0042815i,-0.015176+0.0036589i
