-0.023701-0.019075i,-0.032264-0.033722i,-0.022293-0.019844i,-0.032254-0.020806i,-0.024113+0.0038516i,-0.028907-0.018367i,-0.055078-0.047975i,-0.040971-0.044879i,-0.029703-0.023747i,0.0054331+0.0057906i,-0.0034902+0.0067612i,-0.010761+0.011199i,0.0040295+0.0067554i,-0.0036085-0.0027972i,0.0029332+0.0017849i,0.0015988+0.028402i,0.025348+0.031814i,-0.00016205+0.0002296i,-0.0027511-0.0027425i,0.0076564+0.0037421i,0.001884+0.00054781i,-0.00020044+0.0025781i,-0.00060976+0.00017984i,-0.0318-0.0017435i,-0.0033192-0.0049908i,7.0491e-05+0.0024396i,0.0039771-0.00090308i,0.0010671-0.00028122i,-0.00072955-0.00053935i,-0.00091256-0.0019583i,-0.0021414-0.00067635i,-0.003989-0.0037529i,-0.0028148-0.0051585i,0.00043637-0.0013219i,0.00070306-0.0032374i,-0.001572+0.025871i,0.0019557-0.0027595i,0.0023857-0.0040262i,0.0045625-0.0021268i,-0.0054849-0.0017478i,0.00077182+0.0014769i,0.010548-0.00013679i,-0.0010424+0.00034595i,-0.0031815+0.0016145i,-0.0082289-0.0018962i,-0.018488+0.021192i,-0.0080944-0.086698i,-0.0024127-0.061352i,-0.021127-0.053862i,-0.011464-0.045806i,0.053482-0.026964i,0.024078-0.066939i,0.040598-0.054484i,0.018336-0.03944i,0.02601-0.019674i,0.012044+0.012019i,0.02539-0.028674i,-0.011286-0.00074347i,-0.0012375-0.00063659i,-0.0086451-0.001736i,-0.0046771-0.029962i,-0.021169+0.026358i,0.0073888-0.0092868i,-0.010657-0.0032102i,-0.0027608-0.0018318i,-0.00060329-0.014652i,-0.0086343+0.0052635i,0.0061259+0.010586i,-0.010584+0.030079i,0.006279+0.0075022i,-0.0035637-0.0015448i,-0.0021896-0.0013596i,-0.012784-0.0061088i,0.00067673-0.0043416i,-0.03338+0.0028901i,0.0031204-0.008727i,-0.0074745-0.0022077i,-0.0053338-0.0030646i,0.0070143+0.0019857i,-0.010559+0.00038722i,0.0021578-0.00032177i,0.0059253+0.007601i,0.0054476+0.0010168i,-0.0074967-0.010088i,0.0026873+0.0081073i,-0.019274+0.0076226i,0.0035049+0.0056986i,-0.020941-0.0094026i,-0.027442-0.0053898i,0.0099544-0.06167i,0.018968-0.015384i,-0.049973-0.028741i,-0.021479+0.0016003i,0.019013+0.010346i,-0.026954+0.011595i,-0.012605-0.0080628i
0.0051788+0.0050983i,0.036979+0.015343i,0.020054-0.0043666i,0.013315+0.0020859i,0.0088226-0.0016979i,0.016094-0.0073154i,0.011828+0.014459i,0.018366+0.020061i,0.0012536-0.0025733i,0.0011547+0.00062046i,0.0023315-0.0012387i,0.001252-0.0039039i,0.00012472-0.0012767i,0.002181-0.00019056i,0.0053335-0.0011675i,0.0052162+0.00054054i,0.0059672-0.0053475i,0.00012894-0.0010247i,-0.0022811+4.803e-05i,0.00051533+0.00074826i,0.00020262-0.00020837i,-0.0021309-0.00047442i,-0.0015509-0.00014578i,0.0063975+0.0077614i,-0.00078478+0.00040672i,0.00035349+0.00080411i,0.00099217+0.00099573i,-4.5616e-05+0.0013323i,-0.00036558-0.00035091i,-0.0011608+0.00015052i,0.0004671-0.0011473i,-0.00071489+0.00036748i,0.00023911+0.00066469i,-2.5829e-05+0.0005927i,-0.00014181-0.0011553i,-0.0091613+0.00689i,0.00056335+0.00023514i,-0.00051233+2.4744e-05i,-0.00054121+0.0016455i,-0.00027716-0.0032037i,-0.00066855+5.3171e-06i,-0.00062042-0.00012197i,0.00052843+0.00136i,0.0034979-0.0022157i,0.00030251+0.0033932i,-0.050293+0.0092152i,-0.0033601+0.029717i,-0.013576+0.041399i,-0.0086048+0.064978i,-0.017515+0.044368i,-0.0066838+0.018924i,-0.0090798+0.012688i,-0.048646+0.0025152i,-0.024954-0.0076611i,0.015485+0.025395i,0.00052484+0.0054805i,-0.0072994+0.0014305i,-0.013808-0.0019039i,0.0038237-0.00035894i,0.005611+0.014016i,-0.0061843+0.007067i,-0.0054979-0.006835i,0.0057033-0.0029179i,-0.0067488-0.0052152i,0.0037197-0.0067472i,0.0043706-0.0021934i,-0.0022961+0.010465i,0.012012-0.0052533i,0.0059119-0.0050089i,0.0054934-0.00834i,0.0030466+0.00084657i,-0.0019635-0.0059436i,-0.0034149-0.0015784i,0.0020015-0.0017914i,-0.010586+0.03129i,-0.0043919-0.0053848i,0.0032478+0.00015667i,-0.00027744-0.0068754i,0.0032697-0.0014757i,-0.013478-0.0061129i,0.00088884+0.00096245i,0.0040407-0.0017969i,0.0028614-0.0013244i,0.0015899-0.0057792i,-0.0021488+0.0054553i,-8.1783e-05+0.0060316i,-0.0051311+0.0071656i,-0.0051102+0.0019598i,-0.0057643+0.00014626i,-0.02304+0.019422i,-0.0088061+0.013666i,-0.022145-0.011425i,-0.0093628-0.0089765i,0.0085018+0.02066i,-0.00021191+0.019887i,-0.0091873-0.0034196i
0.0057017+0.0032044i,0.038682+0.0077051i,0.018954-0.0081124i,0.013813+0.00061534i,0.00959-0.0031736i,0.014597-0.010495i,0.012659+0.01175i,0.020917+0.016337i,5.6967e-05-0.0028877i,0.0014021+0.00014919i,0.0021839-0.0015514i,-0.00038462-0.0027586i,-4.869e-05-0.00071185i,0.0020431-0.00011141i,0.0045879-0.0022921i,0.0048619+0.00011992i,0.0034871-0.0059206i,0.00012159-0.00092332i,-0.0023234+0.00038483i,0.0009848+0.0001197i,3.2765e-05-0.00056517i,-0.0021678+7.3855e-05i,-0.0015533+0.00010007i,0.0099815+0.0045988i,-0.00090319+0.0012752i,0.00087428+0.00050971i,0.001091+0.00031262i,0.00052688+0.0011597i,-0.00081674+0.00020061i,-0.0011837+0.00056767i,-0.00019047-0.0011461i,-0.00070543+6.7108e-05i,0.00019506+0.0005194i,0.00028732+0.00054575i,-0.00076663-0.00020291i,-0.0062307+0.0089743i,0.00024258-4.0008e-05i,-0.00040062+0.00044516i,0.00015983+0.0014515i,-0.0012578-0.0024625i,-0.00058839-4.8746e-05i,-0.00076252+0.00026266i,0.00063509+0.0014679i,0.0024775-0.0024242i,0.0015558+0.0032919i,-0.045088+0.017404i,-0.00031365+0.030653i,-0.0048096+0.041705i,0.0076457+0.061908i,-0.0062631+0.043742i,-0.0089858+0.015713i,-0.012617+0.010741i,-0.050582+0.0074063i,-0.020699-0.0093596i,0.021092+0.019456i,0.00059295+0.00524i,-0.0063717+0.0068739i,-0.013301+0.0026668i,0.0022609-0.002025i,0.0093565+0.012535i,-0.0018475+0.011451i,-0.0094141-0.0047i,0.0022888-0.0045687i,-0.0066951-0.0017356i,-0.00076908-0.0066529i,0.0026431-0.0040539i,0.0025502+0.0082627i,0.0076224-0.0085939i,0.0022132-0.0061881i,0.00065132-0.0058044i,0.0041309-0.00012999i,-0.0033081-0.0046419i,-0.0019264+0.00071588i,0.001693-0.0016279i,0.0057276+0.031488i,-0.0058222-0.0042978i,0.0037095-0.0018469i,-0.0035155-0.0061178i,0.0035628-0.0024467i,-0.013808+0.00037021i,0.001737+0.0013762i,0.0028502-0.0019434i,0.0029076-0.0024912i,-2.928e-05-0.0059669i,-0.00039898+0.0030264i,0.0023473+0.0047062i,-0.0011468+0.008783i,-0.0042236+0.0043361i,-0.006399+0.00098342i,-0.017753+0.018074i,-0.0067745+0.016124i,-0.025127-0.006217i,-0.011614-0.011595i,0.011665+0.02018i,0.0037353+0.021557i,-0.011624-0.0032963i
0.0054081+0.0017043i,0.038406-0.00062185i,0.017521-0.012548i,0.015097-0.0021768i,0.010549-0.0054361i,0.012225-0.013691i,0.01279+0.0090182i,0.023078+0.01202i,-0.00060046-0.0024318i,0.0010788-0.00031728i,0.001785-0.0024115i,-0.00050269-0.001325i,-4.5352e-05-0.00068291i,0.0020637-0.00052765i,0.0036533-0.0031268i,0.0044506-0.00037363i,0.0013393-0.0059637i,-0.0001031-0.0010925i,-0.0022033+0.0012184i,0.00079758-0.00084366i,-0.00062661-0.00088864i,-0.0018567+0.00061304i,-0.0016284+0.00041005i,0.010433-0.00039982i,-0.00011389+0.0016778i,0.00086627-0.00011708i,0.00087278-5.6546e-05i,0.0010064+0.00058801i,-0.00046016+0.00066749i,-0.0010332+0.001021i,-0.0007483-0.00088024i,-0.0011797+0.00061607i,0.0004376+0.00048219i,0.00047483+0.0002793i,-0.00031911+0.00057523i,-0.0031091+0.010024i,3.9039e-05+0.00015214i,-0.00010604+0.00043487i,0.00052041+0.0010841i,-0.001918-0.0015247i,-0.00055013-8.6042e-05i,-0.00046423+0.00050647i,0.00099042+0.0017067i,0.0019981-0.0025341i,0.0035227+0.0024079i,-0.039043+0.023858i,0.0042348+0.0315i,0.0038796+0.038648i,0.022849+0.053434i,0.0036072+0.04248i,-0.011964+0.015231i,-0.015388+0.011845i,-0.050642+0.015297i,-0.019375-0.01282i,0.023833+0.011416i,0.00078372+0.004939i,-0.0037881+0.0088903i,-0.012749+0.0059572i,-9.1176e-05-0.0037417i,0.012432+0.009493i,0.0037648+0.012162i,-0.011776-0.0014556i,0.00032824-0.0030737i,-0.005761+0.00090236i,-0.0029881-0.0042702i,0.00057668-0.0038713i,0.0050196+0.0071428i,0.0043856-0.0090797i,-0.0014966-0.0049329i,0.00030151-0.0027904i,0.0043995-0.0024174i,-0.0051669-0.0031724i,-0.00062958+0.00057178i,0.0010776-0.0019763i,0.018975+0.023934i,-0.0075778-0.0021506i,0.003108-0.0031597i,-0.0036627-0.0043213i,0.0038247-0.0041597i,-0.01088+0.0058894i,0.0035619+0.00088992i,0.0019514-0.0022549i,0.0016249-0.0027537i,-0.0020724-0.0049851i,-0.001105+0.0025315i,0.0033345+0.0026662i,0.0028762+0.0085779i,-0.0027007+0.0052133i,-0.0071061+0.0028249i,-0.015506+0.016358i,-0.00050759+0.01732i,-0.025805-0.001853i,-0.014918-0.012744i,0.017053+0.017222i,0.0091679+0.022271i,-0.013916-0.0016192i
0.0049015+0.00081849i,0.035278-0.0076332i,0.014141-0.016796i,0.015014-0.0064213i,0.010296-0.0087181i,0.0088769-0.015837i,0.012616+0.0072053i,0.023837+0.0074247i,-0.00058836-0.0023133i,0.00054524-0.00028918i,0.00072017-0.0026608i,-0.00011391-0.00067781i,-0.00051224-0.00045994i,0.0016875-0.00075467i,0.0023885-0.0036505i,0.004134-0.00057554i,-0.00035423-0.0050133i,-0.00033504-0.0010237i,-0.0012536+0.0018941i,4.9613e-05-0.0011868i,-0.0011404-0.00038384i,-0.0015964+0.001207i,-0.0015387+0.00093224i,0.0083601-0.0041487i,0.00040941+0.0014525i,0.0005335-0.00028044i,0.00074685-0.00014155i,0.00075673-9.2453e-06i,-8.2772e-05+0.00061594i,-0.00058729+0.0015205i,-0.0011025-0.00029637i,-0.00065779+0.0013248i,0.00055272+0.00020211i,0.00038676+6.0462e-05i,0.00031132+0.00068954i,0.00015287+0.0099793i,0.00010176+0.00025524i,-6.617e-05+0.00029275i,0.000593+0.00089564i,-0.0020914-0.00054452i,-0.00060088-2.9168e-05i,-0.00032197+0.00050806i,0.0016321+0.0016744i,0.001496-0.0025504i,0.0051614+0.00013864i,-0.031597+0.028782i,0.0097663+0.03124i,0.0091533+0.034527i,0.034671+0.039935i,0.013276+0.037332i,-0.015434+0.017709i,-0.018421+0.015283i,-0.048284+0.023738i,-0.021344-0.016215i,0.024111+0.0030323i,0.001229+0.0052994i,-0.00089787+0.011497i,-0.011135+0.0097577i,-0.0042645-0.0029096i,0.015098+0.0044333i,0.0090329+0.0099968i,-0.012644+0.0026457i,-0.00042823-0.0023362i,-0.004051+0.00256i,-0.0036953-0.0013338i,-0.0003883-0.0033671i,0.0069965+0.0036817i,0.0014223-0.0091112i,-0.003476-0.0017248i,0.0013236-0.0016625i,0.0030897-0.0044709i,-0.0056208-0.00028338i,0.00030418+0.00099654i,0.00066348-0.0020067i,0.026423+0.011765i,-0.0078735+0.0012893i,0.0021566-0.0045319i,-0.004132-0.0028204i,0.002136-0.0063801i,-0.0059429+0.0081624i,0.0048216-0.0012117i,0.001215-0.0017534i,0.001183-0.002457i,-0.0027942-0.0031048i,-0.001474+0.0032348i,0.0031434+0.00085846i,0.0063687+0.0066957i,-0.0012739+0.0049886i,-0.0071711+0.0052083i,-0.013879+0.017226i,0.0083821+0.013002i,-0.024264+0.003098i,-0.02024-0.012308i,0.01914+0.012199i,0.015329+0.020407i,-0.013611+0.00047193i
0.0049119+0.00031792i,0.03202-0.012442i,0.0099709-0.019513i,0.013611-0.010383i,0.0087539-0.011819i,0.0056741-0.017076i,0.012758+0.0061512i,0.023779+0.00336i,-0.0002185-0.0025258i,0.00016367-5.3044e-05i,-0.0003506-0.0023696i,0.00026674-0.00059222i,-0.0006944+0.00021155i,0.0014066-0.00091697i,0.0012428-0.0035436i,0.0042951-0.00064059i,-0.0010349-0.0038727i,-0.00078067-0.00086763i,-0.00045924+0.0018416i,-0.00061658-0.0010448i,-0.0012668+6.7213e-05i,-0.00090276+0.0016908i,-0.0011768+0.0014467i,0.0053902-0.0063202i,0.00076858+0.00116i,0.00038412-0.00027215i,0.00057937-0.00033041i,0.00042891-0.0001128i,3.4611e-05+0.00060294i,0.00013291+0.0016757i,-0.001037+0.00026448i,-6.9779e-05+0.001461i,0.00046282-5.8233e-05i,0.00037808+0.00021326i,0.00073538+0.0005856i,0.0029194+0.0091463i,7.4828e-05+0.00033345i,-0.00016963+0.00034702i,0.00092796+0.00080595i,-0.0018035+0.00029019i,-0.00069353-0.00014151i,-0.00022838+0.00050232i,0.0021762+0.0010848i,0.00070344-0.0028936i,0.0052494-0.0028582i,-0.022932+0.031292i,0.016137+0.029334i,0.014343+0.031839i,0.039156+0.024475i,0.018988+0.03034i,-0.016122+0.023803i,-0.018572+0.022555i,-0.044079+0.03286i,-0.026405-0.017177i,0.02012-0.0040954i,0.0024175+0.0055688i,0.0042585+0.011471i,-0.0080152+0.012668i,-0.0059619+0.0006606i,0.014661-0.0026493i,0.012779+0.0058459i,-0.011825+0.0065122i,-0.00061414-0.00066287i,-0.0023709+0.0033882i,-0.0019995+0.00063851i,-0.0021128-0.0022566i,0.0070929+0.0008284i,-0.0013687-0.0080992i,-0.003026+0.0015727i,0.0026107-0.0021654i,0.0010625-0.0055018i,-0.0040018+0.0015828i,0.0018242+0.0004095i,0.00027594-0.0017375i,0.027232-0.00097928i,-0.0056799+0.0043153i,0.0004515-0.0053964i,-0.003635-0.0019801i,-0.0004675-0.0070048i,-0.0019887+0.0077926i,0.0040986-0.0033911i,0.0013555-0.00093537i,0.0013249-0.0020516i,-0.0020225-0.0022917i,3.873e-05+0.0042861i,0.0018836-0.00022113i,0.007817+0.0030523i,-0.0006721+0.0038173i,-0.0054867+0.0080089i,-0.010786+0.018197i,0.011717+0.0020725i,-0.020024+0.005123i,-0.025792-0.0098015i,0.020482+0.0069193i,0.020062+0.014201i,-0.014187+0.00085615i
0.0051269-0.00062695i,0.029189-0.016878i,0.0060278-0.021168i,0.0113-0.01418i,0.0065927-0.014276i,0.0022529-0.017928i,0.013958+0.0050447i,0.023478-0.00049946i,-5.2949e-05-0.0034544i,-0.00022511+0.00032748i,-0.00077891-0.0016517i,0.00045708-0.00059666i,-0.00023241+0.00088053i,0.0010596-0.00093276i,0.00044717-0.003256i,0.0048396-0.0010625i,-0.0013013-0.0034344i,-0.0008609-0.00047655i,0.00012662+0.0016493i,-0.001005-0.00066805i,-0.00098959+0.0004722i,5.2883e-05+0.0015021i,-0.00055935+0.0017078i,0.0021045-0.0070575i,0.0012253+0.0008208i,0.00026538-0.00035168i,0.00035203-0.00050206i,0.00027804-0.00013735i,0.00028117+0.00059735i,0.00075512+0.0013646i,-0.00073874+0.00057734i,0.0005285+0.0012943i,0.00028961-0.00013778i,0.00061399+1.1722e-05i,0.00097279-1.6394e-05i,0.004802+0.0075297i,0.00018222+0.00036736i,-3.0105e-05+0.00050454i,0.00099704+0.00046183i,-0.001153+0.00074825i,-0.00093203-3.418e-05i,-2.9894e-05+0.00038803i,0.0024312+0.00046683i,-0.0001005-0.0026603i,0.0044362-0.0055505i,-0.015081+0.030952i,0.021853+0.025083i,0.020074+0.027961i,0.039055+0.010447i,0.02205+0.02364i,-0.012683+0.030514i,-0.013689+0.03038i,-0.035782+0.042286i,-0.03179-0.014368i,0.015046-0.007463i,0.0038355+0.0049201i,0.0079958+0.0087841i,-0.0039259+0.014863i,-0.005283+0.003492i,0.010241-0.0092533i,0.013653-0.00016186i,-0.010086+0.0091743i,0.00073163+8.3799e-05i,-0.00067495+0.003182i,-0.00044913+0.00058774i,-0.0021736+2.5696e-05i,0.0057926-0.00097406i,-0.0031368-0.00581i,-0.00064954+0.0033694i,0.0027732-0.0040676i,-0.0011512-0.005144i,-0.0027506+0.0019135i,0.0021317-0.0011666i,0.00081518-0.001525i,0.022537-0.011755i,-0.0026462+0.0054318i,-0.0013403-0.0048818i,-0.0036905-0.0011223i,-0.0030797-0.0064167i,0.00053281+0.0066685i,0.0031138-0.0047855i,0.0023492-0.001295i,0.0014067-0.0030803i,-0.0014029-0.002593i,0.0013745+0.0044118i,0.00079825+0.00012726i,0.0070489+0.000194i,-0.0010635+0.0029002i,-0.0024174+0.0096382i,-0.00742+0.018055i,0.0077581-0.0073044i,-0.017695+0.0026924i,-0.031587-0.0040432i,0.0187+1.0025e-05i,0.020903+0.0077282i,-0.015077+0.0025078i
0.0050688-0.0015938i,0.025463-0.021299i,0.0014699-0.022888i,0.0073453-0.017876i,0.0038031-0.016594i,-0.0013765-0.017764i,0.015643+0.0030612i,0.022654-0.0044306i,-0.00044913-0.0043571i,-0.00037807+0.0012027i,-0.0011373-0.0012082i,0.00054003-0.0011735i,0.00029027+0.0010145i,0.00069945-0.00083213i,-0.00012162-0.0028464i,0.0051766-0.0021604i,-0.001833-0.0031058i,-0.001084-0.00029179i,0.0008562+0.0012577i,-0.0014336-0.00014612i,-0.00095546+0.00054875i,0.0005715+0.00086116i,-2.5017e-05+0.0017217i,-0.0011992-0.0065111i,0.0013232-0.00026773i,3.632e-05-0.00023996i,-0.00013971-0.00052526i,0.00014825-0.000102i,0.00060227+0.00032324i,0.0010531+0.00087552i,-0.00029314+0.00071448i,0.00079887+0.0010587i,0.00011788-7.8428e-05i,0.00054775-0.00027218i,0.00058092-0.00073116i,0.0059903+0.0058391i,0.00033159+0.00037012i,1.3503e-05+0.00047888i,0.0010983+0.00024514i,-0.0004239+0.00073203i,-0.0010849+0.00034324i,6.6351e-05+0.00029858i,0.0024242-0.00028642i,-0.00082118-0.0022013i,0.0025828-0.0079312i,-0.0087092+0.029022i,0.025772+0.019464i,0.025294+0.022829i,0.034687-0.0010565i,0.023212+0.018363i,-0.0062577+0.034633i,-0.0040305+0.034701i,-0.023632+0.047965i,-0.036014-0.0086217i,0.010387-0.0086061i,0.0048123+0.0035213i,0.0095617+0.0047986i,0.00060286+0.015021i,-0.0043093+0.0051239i,0.0021285-0.01146i,0.011139-0.0050517i,-0.0077331+0.011551i,0.0018218-0.00099306i,0.00046207+0.0022736i,-6.4771e-05-0.00011965i,-0.00032766+0.0014306i,0.0046679-0.0014343i,-0.0033707-0.0041776i,0.0017237+0.0031886i,0.0013414-0.0061847i,-0.002574-0.0040178i,-0.0016842+0.0022364i,0.0012869-0.0025143i,0.00089811-0.0024448i,0.01428-0.01793i,-1.0774e-05+0.0049832i,-0.0023327-0.0040459i,-0.0030855-0.00080258i,-0.0047913-0.0052268i,0.002148+0.0052308i,0.0015532-0.0064011i,0.0026778-0.0023775i,5.3366e-05-0.0039207i,-0.0020848-0.0031858i,0.0034589+0.0042618i,0.00053406+0.0012928i,0.0062916-0.001464i,-0.0018681+0.0029414i,0.00067526+0.009137i,-0.0041959+0.01823i,0.00089707-0.01357i,-0.020195+0.0001535i,-0.03377+0.0045823i,0.012753-0.0043139i,0.020785+0.0021294i,-0.014434+0.0044785i
0.00516-0.0027131i,0.021408-0.024391i,-0.0039983-0.023046i,0.0017917-0.019681i,7.2147e-05-0.017994i,-0.0043181-0.016608i,0.017246+5.8708e-05i,0.021001-0.0080733i,-0.00088294-0.0055062i,0.00041327+0.0022167i,-0.001392-0.00035264i,-0.00028148-0.0015299i,0.00088578+0.0010444i,0.00072114-0.00056712i,-0.0004193-0.0024525i,0.004904-0.0032295i,-0.0027209-0.0022984i,-0.0011819+0.00016871i,0.0011171+0.00044895i,-0.0013855+0.00076025i,-0.00079286+0.00088896i,0.00045664+0.00013327i,0.00044694+0.0016111i,-0.0035893-0.0044984i,0.00039994-0.0007372i,-1.7975e-05-0.00010941i,-0.00039799-0.00029422i,7.1114e-05+1.4679e-05i,0.00048954-0.00011266i,0.0011747+0.00044937i,5.8749e-05+0.00063751i,0.0009695+0.0006798i,0.00011975+3.5601e-05i,0.00034553-0.00033405i,-0.00016711-0.00050988i,0.0066376+0.0040206i,0.00048413+0.0002573i,3.8872e-05+0.000632i,0.0011788+1.3697e-05i,0.000171+0.00037031i,-0.00099474+0.00090883i,0.00013911+0.00028664i,0.0019657-0.0010333i,-0.0012293-0.0014978i,5.1821e-05-0.0094454i,-0.0039441+0.02599i,0.027841+0.013915i,0.029711+0.016308i,0.02869-0.0086407i,0.023563+0.014251i,0.0011363+0.036485i,0.0054527+0.034054i,-0.010648+0.049385i,-0.037044-0.001405i,0.0074895-0.008647i,0.0055108+0.002111i,0.009209+0.001462i,0.0052881+0.013508i,-0.0027888+0.0068361i,-0.0044821-0.0085179i,0.0075818-0.0073141i,-0.0045213+0.013252i,0.0013652-0.0029438i,0.00055345+0.001442i,-0.00024661-0.00029285i,0.0016534+0.0011898i,0.0039342-0.0017065i,-0.0040014-0.0030524i,0.0032101+0.0018537i,-0.0019437-0.0069433i,-0.0032401-0.0025293i,-0.00013383+0.0018298i,0.00056735-0.003216i,0.00032025-0.0034148i,0.0056546-0.019447i,0.0015674+0.003852i,-0.0030458-0.0034341i,-0.0036146-0.00075028i,-0.0062403-0.0034411i,0.0027679+0.0038643i,-0.00095345-0.0075409i,0.0025398-0.0034571i,-0.0010107-0.003314i,-0.0027676-0.0030358i,0.0047662+0.0032405i,0.0011493+0.0021769i,0.0045228-0.0028998i,-0.0020299+0.0037585i,0.0029139+0.0074761i,0.0005824+0.018081i,-0.0090473-0.016429i,-0.024167+0.00076858i,-0.031719+0.013228i,0.007288-0.0036413i,0.018314-0.0034855i,-0.013202+0.0047297i
0.0050011-0.0044404i,0.0174-0.027312i,-0.0086838-0.021336i,-0.0032988-0.0191i,-0.0037111-0.018302i,-0.006483-0.015429i,0.018257-0.0040444i,0.018947-0.011293i,-0.0019574-0.006724i,0.0018242+0.0023151i,-0.00091657+0.00038721i,-0.0010072-0.00096834i,0.0014278+0.00052217i,0.00084908-0.00059432i,-0.00059017-0.0021775i,0.0044262-0.0040492i,-0.0029933-0.0010999i,-0.00081988+0.00038985i,0.00082576-0.00017187i,-0.00084939+0.0012503i,-0.00049003+0.00096844i,0.00011069-0.00019344i,0.00085606+0.0013253i,-0.0047538-0.0018233i,-0.00016758-0.00034784i,8.3892e-06-3.4982e-05i,-0.00048968-0.00013298i,0.00010863+7.955e-05i,0.00016024-4.3785e-05i,0.0010832-8.9265e-05i,0.00034916+0.00043856i,0.00079937+0.00047139i,0.0002699+1.6988e-05i,0.00035176-0.00025186i,-0.00036977+6.4568e-05i,0.006621+0.0023152i,0.00043397+0.00016891i,0.00037999+0.00076926i,0.0011884-0.00043636i,0.00049031-0.0001264i,-0.00052365+0.0012087i,0.00019213+7.2284e-05i,0.001176-0.0015235i,-0.0014308-0.00084682i,-0.0028709-0.010023i,-0.0013788+0.022689i,0.028989+0.0089756i,0.031817+0.0082436i,0.022352-0.013754i,0.023732+0.012119i,0.0089707+0.036208i,0.013435+0.031379i,0.0011163+0.04681i,-0.035402+0.0058174i,0.0051183-0.0089793i,0.006036+2.7724e-05i,0.0086909-0.0010617i,0.0090309+0.010127i,-0.00014562+0.0073108i,-0.0077189-0.0038454i,0.0038505-0.0079942i,-0.00060422+0.013362i,-0.00057655-0.0036564i,-8.5679e-05+0.0014846i,-0.00039325-6.8954e-05i,0.0026782+1.8623e-05i,0.0034915-0.0012253i,-0.0041438-0.0014878i,0.0035847+0.00022307i,-0.0047494-0.005224i,-0.0028548-0.0012337i,0.00027628+0.00050777i,-0.00038599-0.0038296i,-0.00093652-0.0036399i,-0.0014792-0.01782i,0.0030382+0.0024213i,-0.0039131-0.0025565i,-0.0038109+0.00062852i,-0.006569-0.0010216i,0.0031812+0.0030068i,-0.004409-0.0071956i,0.0019721-0.0048286i,-0.0015596-0.0030149i,-0.0033366-0.0030376i,0.0061411+0.0020861i,0.0022027+0.0023407i,0.0027443-0.002561i,-0.0017197+0.0044147i,0.0041838+0.0054156i,0.0054776+0.015471i,-0.019394-0.013769i,-0.027944+0.0037152i,-0.02672+0.018642i,0.0049884-0.002305i,0.013533-0.0069864i,-0.01452+0.0051138i
0.0039074-0.0061036i,0.01293-0.030069i,-0.012273-0.019022i,-0.0073513-0.017409i,-0.007526-0.01778i,-0.0087073-0.014293i,0.017885-0.0093824i,0.016593-0.014198i,-0.0038736-0.0075569i,0.002995+0.0017011i,-0.00022463+0.00064868i,-0.0012188-3.3726e-05i,0.0014542-0.00013545i,0.0008629-0.00068159i,-0.00090629-0.0020527i,0.0037421-0.004902i,-0.0029088+1.5914e-05i,-0.00060013+0.0003102i,0.00055936-0.00042212i,-0.00027883+0.0014004i,-0.00025758+0.0010816i,-0.00021677-0.00026781i,0.0010658+0.00088873i,-0.0043831+0.00084321i,-0.00012517+0.00014028i,1.1742e-05+1.487e-05i,-0.00049144+7.8426e-05i,0.00010718+4.9684e-05i,0.0001698+5.4616e-05i,0.00070338-0.0004791i,0.00049952+0.00010068i,0.00092612+0.00053401i,0.00028973-5.5595e-05i,0.00038804-0.00048546i,-4.4162e-05+0.00046979i,0.0064754+0.0010061i,0.00048749+9.2347e-05i,0.00076977+0.00067096i,0.00074591-0.00079909i,0.00072139-0.00057789i,6.3779e-05+0.0013479i,0.00013935-1.068e-05i,0.00028226-0.00137i,-0.0013475+0.00015504i,-0.0056048-0.0094028i,-0.00062582+0.020935i,0.029701+0.0041929i,0.03094+0.0016507i,0.015486-0.017329i,0.026181+0.010812i,0.01634+0.033379i,0.021319+0.026684i,0.011412+0.041032i,-0.030718+0.011744i,0.0027984-0.0089193i,0.0051705-0.0029888i,0.0079792-0.003787i,0.010277+0.0055406i,0.0017128+0.0064954i,-0.0086157+0.0016511i,0.0003633-0.0073221i,0.0023464+0.011196i,-0.0025851-0.0029342i,-0.00027889+0.0023524i,-0.00037728+0.00021784i,0.0032007-0.0015837i,0.0042998-0.00027875i,-0.0031752-0.00036392i,0.0035725-0.00016002i,-0.0056193-0.0029251i,-0.002152-0.0007119i,-0.00018939+4.9754e-05i,-0.0023256-0.0041423i,-0.0021021-0.0030014i,-0.0072106-0.015033i,0.0034959+3.1245e-05i,-0.0044718-0.00126i,-0.0029745+0.0016013i,-0.0060428+0.00079154i,0.0039324+0.0024434i,-0.006974-0.0047254i,0.00024971-0.0063021i,-0.0023738-0.0025092i,-0.0048939-0.0023716i,0.0070557-0.00048419i,0.0033572+0.0023212i,0.002471-0.0020382i,-0.00055795+0.0054636i,0.0042124+0.0031616i,0.0090762+0.011244i,-0.024995-0.0055125i,-0.031096+0.0091382i,-0.020911+0.022747i,0.0032883-0.00064653i,0.009285-0.0071436i,-0.014827+0.007188i
