-0.031394-0.038566i,-0.021681-0.019652i,-0.01322-0.035562i,-0.029843-0.019626i,-0.022112+9.3062e-07i,-0.013731-0.0056229i,-0.054981-0.057969i,-0.047141-0.017278i,-0.037576-0.01171i,0.012429+0.012237i,-0.0075791+0.0046627i,-0.019186+0.019389i,0.0016712+0.011358i,-0.0060852-0.0023842i,0.00016302+0.0013409i,-0.0016269+0.030884i,0.026817+0.023349i,0.0023476-0.0023431i,-0.0022805-0.0071386i,0.0080919+0.0028526i,0.0027111+0.0010069i,0.00044966+0.0036029i,-0.00033786+0.00032329i,-0.036686-0.01177i,0.00010575-0.0079544i,0.0013832+0.0022087i,0.0073987+0.00020936i,0.0018521+0.00073057i,0.0010135-0.00035186i,-0.00045763-0.0025562i,0.0014849-0.0024781i,-0.0017413-0.0062461i,-0.00085925-0.0048456i,0.0029817-0.00069776i,0.0045519-0.003091i,0.0014615+0.031039i,0.0039387-0.0036267i,0.0028831-0.0016082i,0.0082749-0.0015934i,-0.0065377-0.0037639i,-0.00015157+0.00086721i,0.0094298-0.00066504i,0.0046433-0.0027192i,-0.0011139+0.0080904i,-0.017696-0.0072715i,-0.019081+0.015664i,-0.0031264-0.061017i,-0.0054648-0.027111i,-0.026984-0.032372i,-0.010908-0.027057i,0.055264-0.02049i,0.016961-0.042953i,0.022944-0.047629i,0.003812-0.054132i,0.026164-0.020989i,0.0083351+0.0059268i,0.025143-0.035094i,-0.0075505-0.006521i,0.0042418-0.0048464i,-0.004813-0.0071324i,-0.0014282-0.032822i,-0.017928+0.029178i,0.0087416-0.011863i,-0.0089221-0.0047855i,-0.0042385-0.0012927i,0.0006782-0.013043i,-0.01113+0.0045148i,0.00229+0.010386i,-0.0050164+0.026075i,0.0048591+0.0029011i,-0.0048502-0.0013845i,-0.0022899-0.0023224i,-0.012012-0.0073391i,-0.00057325-0.0041351i,-0.036212+0.010087i,0.0012615-0.010731i,-0.0085941-8.0499e-05i,-0.0064331-0.0021807i,0.0054475+0.0013475i,-0.0081091+0.00021373i,0.002081+0.00024672i,0.0034388+0.0070986i,0.0043623+0.00037371i,-0.0092833-0.012672i,0.0028225+0.0091817i,-0.015675+0.0050698i,0.0066979-9.7796e-05i,-0.022467-4.2345e-05i,-0.017569+0.0062555i,-0.008771-0.066285i,0.0079706-0.013059i,-0.04828-0.022264i,-0.021058+0.00041298i,0.017642+0.010825i,-0.023343+0.014031i,-0.019269-0.0050414i
0.027056+0.034297i,0.014176+0.014412i,0.017924+0.024414i,0.006553+0.018834i,0.0084137+0.0069718i,0.0045155-0.0010186i,0.015207+0.011815i,0.015388-0.0021202i,0.0077188-0.0081284i,0.0021414+0.0038302i,0.0019571-0.0025973i,0.00063046-0.0049459i,-0.0018604+0.00099486i,0.0012892-0.0013751i,0.0018532-0.00055785i,0.0053753-0.0023776i,0.006377-0.0051926i,0.00018576+0.00012609i,-0.0041015+0.00064741i,1.6671e-05+0.00056779i,-0.00073594-0.0010896i,-0.0026963-0.0010638i,-0.001577+0.00086539i,0.0039171+0.0095011i,-0.001216+0.0011188i,0.00053011+0.0017001i,0.0011364+0.00087627i,-0.0017191+0.0024484i,-0.00098305+0.00036524i,-0.0014565+0.00043216i,-0.0015321-0.0012948i,-0.0034712-0.00020536i,-0.00012582+0.00015963i,0.00023277+0.00031945i,-0.00030128-0.00092479i,-0.0096177+0.0091941i,0.0017975-0.00017098i,0.00058308+0.00098833i,0.0025364+0.0027158i,0.00012066-0.0012575i,-0.00037817-0.00074581i,0.00013143-0.001931i,0.00088029+0.0017753i,-0.0003301+0.0010825i,0.019578+0.012811i,-0.023417+0.01223i,-0.011147+0.016494i,-0.02266+0.011628i,-0.0038276+0.037674i,-0.019199+0.016638i,0.0024282-0.0045051i,-0.012143-0.017428i,-0.01848-0.00086697i,-0.0069052+0.013241i,0.01735+0.020444i,-0.0003159+0.002433i,-0.0035969+0.0009251i,-0.012584-0.0045248i,0.011364+0.0013479i,0.012549+0.010505i,-0.0002084+0.0053782i,-0.0052133-0.0078588i,0.0056383-0.0031248i,-0.0033881-0.0042909i,0.0036503-0.0082501i,0.008923-0.0028391i,-0.0015782+0.010479i,0.012129-0.0065833i,0.0037441-0.0084662i,0.0024007-0.0090143i,0.0022649+0.00089032i,-0.0019105-0.0057322i,-0.0035928-0.0017141i,0.0025615-0.00021559i,-0.0040217+0.036451i,-0.0075805-0.0053878i,0.0002417+0.001077i,-0.0017181-0.0075717i,0.0031523-0.00047768i,-0.01687-0.0061518i,-0.0012366-0.0038801i,0.0028038-0.0022643i,0.0032145-0.0013628i,-0.0025178-0.0074166i,-2.2289e-05+0.0069762i,9.2985e-05+0.0033719i,-0.0037949+0.0043696i,-0.0074731+0.0024114i,-0.0060979-0.0011352i,-0.0047481+0.028997i,-0.0025365+0.01514i,-0.025594-0.012939i,-0.0015096-0.0026117i,0.013521+0.018494i,0.00049255+0.01802i,-0.00073067-0.004422i
0.032396+0.027964i,0.016563+0.010748i,0.021969+0.021163i,0.0097487+0.018375i,0.010449+0.0057162i,0.004625-0.0023988i,0.015179+0.008203i,0.014779-0.0046918i,0.0056417-0.0095216i,0.003327+0.0026506i,0.0017458-0.0027039i,-0.0013491-0.0033953i,-0.0013068+0.0014652i,0.00098774-0.0003655i,0.0017119-0.00086672i,0.0042466-0.0027591i,0.0044702-0.0064187i,0.00061009+3.0181e-05i,-0.0041496+0.0014932i,0.00029125+3.8576e-05i,-0.00091406-0.0012641i,-0.0027464-0.0005075i,-0.0012207+0.000996i,0.009306+0.0070533i,-0.0012451+0.0024212i,0.0013403+0.0013944i,0.0010367-4.5734e-05i,-0.00074541+0.0028656i,-0.0012488+0.00085958i,-0.0013074+0.0010884i,-0.0019398-0.00058127i,-0.0021889+0.00048304i,-0.00028409+9.3614e-05i,0.00052709+2.5679e-05i,-0.00084246-0.00012796i,-0.0057847+0.010537i,0.0012465-0.00084039i,0.00087272+0.00094872i,0.0023555+0.00141i,-5.2112e-05-0.0010358i,-0.00084013-0.0010377i,-0.00056537-0.0011456i,0.0010702+0.0015313i,-0.00066238+0.0012965i,0.022408+0.0096887i,-0.018914+0.015678i,-0.010243+0.018964i,-0.017696+0.01319i,0.0081049+0.033894i,-0.011986+0.017551i,-0.004104-0.008127i,-0.019894-0.018156i,-0.020039-0.00099506i,-0.00075413+0.0091511i,0.020351+0.013326i,-0.00091585+0.002425i,-0.0023786+0.0044758i,-0.01254-0.00020016i,0.009898-0.0030335i,0.014194+0.0065292i,0.0026592+0.0078088i,-0.0095517-0.0065388i,0.0020152-0.0042367i,-0.0036382-0.0019955i,-0.0014174-0.0076948i,0.0069058-0.005538i,0.0031872+0.0085112i,0.006837-0.009154i,-0.0011141-0.0080432i,-0.0012978-0.0060196i,0.0038117-3.6883e-05i,-0.0030068-0.0045642i,-0.0022787+0.0010667i,0.0031854-0.00058224i,0.011974+0.030347i,-0.0092304-0.0023102i,0.0010329+0.00045004i,-0.0049355-0.0056623i,0.0037983-0.0017711i,-0.01731+0.0015298i,-0.0018871-0.003128i,0.0015415-0.002339i,0.0031451-0.0028754i,-0.0044894-0.0054636i,0.0020187+0.003438i,0.0013815+0.0025308i,-0.000521+0.0060448i,-0.0052605+0.0049977i,-0.0068758-0.00020524i,0.0011782+0.024472i,0.0005187+0.016374i,-0.028767-0.0048124i,-0.0033267-0.0063068i,0.016394+0.015934i,0.0037044+0.018806i,-0.0030251-0.0048321i
0.035924+0.021141i,0.017448+0.0060743i,0.026042+0.015636i,0.014297+0.015914i,0.012666+0.003775i,0.0042749-0.0040575i,0.014534+0.0046276i,0.013804-0.00748i,0.003686-0.0098477i,0.0033402+0.001262i,0.0011017-0.0034618i,-0.0014868-0.0016287i,-0.00075757+0.0016925i,0.0016775-0.00034642i,0.0014798-0.0011347i,0.0033167-0.0031861i,0.0022297-0.0071941i,0.0005895-0.0003424i,-0.0033496+0.0021604i,6.7366e-05-0.00066566i,-0.0017537-0.0015272i,-0.0025151+5.4327e-05i,-0.00098224+0.0010774i,0.011553+0.0017482i,-2.2372e-05+0.0031883i,0.001582+0.00065396i,0.0004724-0.00037552i,0.00049864+0.0026285i,-0.00082825+0.0015434i,-0.0008426+0.0015964i,-0.0022244+0.00034041i,-0.0023+0.0015347i,-0.00027851+0.00017007i,0.00058911-0.00025707i,-0.00066995+0.00069645i,-0.0025232+0.010792i,0.00066653-0.00085109i,0.001247+0.00046197i,0.0019628+0.00068932i,-0.00036993-0.00099988i,-0.0015358-0.00083175i,-0.00066693-0.00087442i,0.0013097+0.001712i,-0.00057689+0.0018031i,0.025875+0.0055178i,-0.01408+0.017911i,-0.0074416+0.02247i,-0.011968+0.012619i,0.01836+0.026341i,-0.0056593+0.017842i,-0.011679-0.0073416i,-0.026279-0.015236i,-0.018519+0.002383i,0.0024016+0.0035526i,0.020381+0.0062308i,-0.0013642+0.0023428i,-0.0009281+0.0046655i,-0.012494+0.0029734i,0.006058-0.007427i,0.014848+0.0019024i,0.0061249+0.0079027i,-0.012758-0.0035346i,0.00041219-0.0029152i,-0.0035064-0.0001646i,-0.0038392-0.005079i,0.0046679-0.006776i,0.0059282+0.0074898i,0.0035573-0.0090464i,-0.0047141-0.0046892i,-0.0014698-0.0031655i,0.0042714-0.00243i,-0.0053503-0.002871i,-0.0002888+0.0010163i,0.0027203-0.0018948i,0.023571+0.019247i,-0.01069+0.0010884i,0.0015413-0.00018173i,-0.0042642-0.0035565i,0.0041051-0.00386i,-0.013641+0.0083839i,-0.0018361-0.0022861i,0.00037325-0.0023089i,0.0018248-0.0036316i,-0.0052855-0.0027031i,0.0012751+0.0024299i,0.0019414+0.001472i,0.002859+0.0052954i,-0.0028647+0.0053916i,-0.0074388+0.001515i,0.0032769+0.020065i,0.0076799+0.015655i,-0.028665+0.00029484i,-0.0059909-0.0088427i,0.019613+0.010301i,0.0080027+0.019347i,-0.0052281-0.0040308i
0.037806+0.014253i,0.016273+0.0027241i,0.027623+0.0088571i,0.017494+0.010852i,0.014144+0.00068054i,0.0030717-0.0054356i,0.013245+0.0022072i,0.011945-0.010175i,0.0023658-0.010085i,0.0027786+0.00058092i,-0.00013482-0.0033076i,-0.00085969-0.00081473i,-0.00056444+0.0017632i,0.0016817-0.00050525i,0.001094-0.0013722i,0.0021633-0.0031668i,-2.4316e-05-0.0064042i,0.00047304-0.0004738i,-0.0018033+0.0028656i,-0.00059549-0.00084402i,-0.0023551-0.00072582i,-0.0024336+0.00060594i,-0.00075994+0.0011618i,0.010308-0.0033427i,0.0013072+0.0031677i,0.0019397+0.00032494i,0.00010451-0.00014733i,0.0010645+0.0019372i,-0.00017233+0.001601i,-0.00018094+0.0018628i,-0.0019074+0.0014517i,-0.0010617+0.0024871i,-0.00026215+0.00021847i,0.00034238-0.00030735i,-0.0001427+0.0010991i,0.0003227+0.010992i,0.00038276-0.00090771i,0.0013264-0.00016979i,0.0015202+0.00051444i,-0.000738-0.00066895i,-0.0019374-0.00044551i,-0.0010128-0.00077285i,0.0018221+0.0016352i,-0.00030977+0.0023733i,0.02784-0.00098034i,-0.0088138+0.019229i,-0.0023631+0.025101i,-0.0096078+0.0096601i,0.025627+0.014632i,0.00050367+0.014069i,-0.018306-0.0022603i,-0.032488-0.0093623i,-0.020226+0.015706i,0.0019103-0.001977i,0.018592+7.4913e-05i,-0.0015659+0.0031708i,0.0002243+0.0063754i,-0.011592+0.0070622i,-0.00021664-0.0077114i,0.014062-0.0030575i,0.0095976+0.0059608i,-0.014996+0.00077601i,-0.0006393-0.0022902i,-0.0025745+0.001144i,-0.0048836-0.0016728i,0.002536-0.0075797i,0.0086443+0.0040085i,0.0015444-0.0089248i,-0.005429+3.2349e-05i,-0.00053562-0.0018702i,0.0029655-0.0045949i,-0.0058578+0.00011809i,0.00099135+0.00069084i,0.00184-0.002676i,0.027064+0.0062667i,-0.0089746+0.0057127i,0.0017926-0.0011427i,-0.0042571-0.0018807i,0.0023327-0.0062914i,-0.0076016+0.011089i,-0.0015496-0.0017007i,-0.00019451-0.0014291i,0.00045054-0.003843i,-0.0047074-0.0014515i,0.0011142+0.0022384i,0.0017502+0.0003671i,0.0049173+0.0036625i,-0.00099311+0.0041951i,-0.0077012+0.0034229i,0.0043747+0.018497i,0.015655+0.0087169i,-0.026448+0.0052357i,-0.011359-0.010013i,0.018485+0.0048257i,0.013141+0.01747i,-0.0055689-0.002893i
0.038935+0.0075274i,0.015836+0.00075425i,0.027403+0.0031165i,0.018605+0.0056889i,0.014382-0.0027604i,0.0017674-0.0063453i,0.012092+0.0010381i,0.0095185-0.01205i,0.001207-0.010704i,0.002532+0.00020985i,-0.0008063-0.0024176i,-0.00028344-0.00075952i,-0.00038665+0.0021118i,0.0016818-0.00095138i,0.0007144-0.0013378i,0.0016066-0.002385i,-0.001053-0.0054355i,0.0001994-0.00047039i,-0.0005702+0.0026269i,-0.0011493-0.00061733i,-0.0025619-0.00011397i,-0.0018133+0.0013222i,-0.00049055+0.0013145i,0.0073552-0.0064814i,0.0025551+0.0027841i,0.00042134+6.4271e-05i,-0.00012418-2.5405e-05i,0.0013358+0.0014464i,0.00025557+0.0015281i,0.00067564+0.0018263i,-0.00099046+0.0021511i,-0.00023695+0.002253i,-0.00049246+0.00026228i,0.00029446-3.9808e-05i,0.00058889+0.0012159i,0.0032951+0.0095254i,-2.6045e-05-0.00093841i,0.00084688-0.00061218i,0.0016989+0.00046094i,-0.00079744-0.00026788i,-0.0020798-6.7399e-05i,-0.0012808-0.00073757i,0.0023102+0.0011591i,7.703e-05+0.0023461i,0.027107-0.0079975i,-0.0031051+0.018946i,0.0041714+0.025016i,-0.0093323+0.0091209i,0.026371+0.0016858i,0.0028368+0.008829i,-0.020583+0.0059697i,-0.035227+0.00010072i,-0.022173+0.019269i,-0.0011574-0.0056932i,0.014468-0.0043571i,-0.00093565+0.0041511i,0.0037115+0.006238i,-0.0087262+0.010696i,-0.0034889-0.0043861i,0.011003-0.0088634i,0.012084+0.0022974i,-0.017115+0.0074075i,-0.00094442-0.00058297i,-0.0015109+0.0018059i,-0.0031655+0.00051464i,-0.00063372-0.0070763i,0.008798+0.00053423i,-0.00074601-0.0086832i,-0.0030154+0.0031161i,0.00047428-0.0019865i,0.00089841-0.005898i,-0.0042427+0.0024097i,0.0021528-0.00037772i,0.001117-0.0027297i,0.02675-0.0070886i,-0.0047276+0.0082624i,0.0012617-0.0021896i,-0.0033352-0.0014873i,-0.00046971-0.0070141i,-0.0033771+0.0108i,-0.0018076-0.0028489i,-5.0666e-05-0.00021502i,0.00011135-0.0032457i,-0.0045332+0.001072i,0.0017018+0.0024904i,0.00082069-0.00019405i,0.0061224+0.0003644i,-0.0011321+0.0024302i,-0.0066725+0.0057164i,0.0068266+0.017717i,0.01729-0.0037275i,-0.022235+0.0063452i,-0.016711-0.0080326i,0.017179+0.00086562i,0.017045+0.012124i,-0.0063005-0.0030171i
0.039002+0.00077768i,0.015977-0.0016965i,0.027117-0.0023426i,0.018861+0.00043084i,0.014206-0.0059982i,0.00024656-0.0069012i,0.012128+0.00027978i,0.0071212-0.013529i,-0.00027195-0.011432i,0.0020523-0.00013212i,-0.00093663-0.002092i,-1.0289e-05-0.00079636i,0.00033459+0.002685i,0.0013743-0.0010911i,0.00054775-0.0013035i,0.0017778-0.0017499i,-0.0016558-0.005353i,0.0001865-0.00049803i,0.00022245+0.0020649i,-0.0014692-0.00015194i,-0.0021379+0.00057348i,-0.00092066+0.0014252i,-0.00016955+0.0013727i,0.0034386-0.0083176i,0.0038793+0.0018483i,0.00032966-0.00042208i,-0.00016907+0.00012272i,0.0015286+0.0010006i,0.00069393+0.0013859i,0.0012995+0.0012868i,6.8079e-05+0.0023647i,0.00032147+0.0026738i,-0.00054779+0.00067035i,0.00047004-0.00010445i,0.0010164+0.00079735i,0.0050624+0.0073033i,-0.00039498-0.00064899i,0.00052864-0.00067449i,0.0016249+0.00012457i,-0.0005337+4.3598e-05i,-0.0021732+0.00068135i,-0.0018188-0.00050429i,0.0025877+0.00061982i,0.00026278+0.0026176i,0.024677-0.014204i,0.0019172+0.016802i,0.0097722+0.023002i,-0.0081077+0.009911i,0.023626-0.0091072i,0.0022935+0.0050956i,-0.017982+0.014602i,-0.032937+0.010745i,-0.016387+0.024744i,-0.00556-0.0061041i,0.010494-0.0061499i,0.00023247+0.0045137i,0.005881+0.0037799i,-0.0051108+0.013319i,-0.0045774-0.0015193i,0.0048411-0.01325i,0.011993-0.0027793i,-0.012315+0.014472i,9.537e-05+0.0004309i,-0.0003585+0.0017966i,-0.0015539+0.00082683i,-0.002313-0.0051522i,0.0073633-0.0020783i,-0.0021552-0.0075775i,-5.0573e-05+0.0033491i,0.00055762-0.003141i,-0.0016112-0.0054865i,-0.0027596+0.0031092i,0.0020882-0.0022075i,0.00083811-0.0027331i,0.013472-0.017207i,-0.0006338+0.0083255i,0.00030012-0.0024448i,-0.003555-0.00098381i,-0.0035479-0.0062906i,-0.00013974+0.0099946i,-0.0013053-0.00042674i,0.0011664-4.7212e-05i,-0.00026188-0.0040361i,-0.001892+0.0019264i,0.0030476+0.00034161i,6.0971e-05+0.00032572i,0.0078914+0.0015311i,-0.002359+0.0015397i,-0.004631+0.0070938i,0.0096948+0.016094i,0.011007-0.013759i,-0.020582+0.0035296i,-0.020879-0.0030848i,0.014013-0.0039745i,0.017757+0.0069952i,-0.0071371-0.0023468i
0.037779-0.0059043i,0.015281-0.0045546i,0.024876-0.0087058i,0.016931-0.0055448i,0.013308-0.0095944i,-0.0014216-0.0069294i,0.01302-0.0010649i,0.004368-0.014798i,-0.0021815-0.011785i,0.0014999+0.00022977i,-0.0013924-0.0017746i,-9.4488e-05-0.0014425i,0.0013238+0.0025563i,0.0011032-0.0013151i,0.00034338-0.0012502i,0.0023391-0.0017629i,-0.0029988-0.0049741i,-0.00012885-0.00061429i,0.00075722+0.0013697i,-0.001739+0.00041667i,-0.002092+0.00075768i,-0.00029263+0.00094501i,0.00012573+0.0013264i,-0.00084853-0.0070564i,0.004473-0.00028216i,0.00028904-0.00073769i,-0.00046419+0.00031461i,0.0016009+0.00063101i,0.0011897+0.0009809i,0.0015263+0.00059077i,0.0011728+0.0021136i,0.0012458+0.0027207i,-0.00055622+0.0010513i,0.00051693-0.00019768i,0.0010891+0.0003214i,0.0059498+0.005584i,-0.0006086-0.0003832i,9.3943e-05-0.00067572i,0.0019013-0.00011343i,-0.00020002+5.1874e-05i,-0.0019406+0.0014656i,-0.0018242+0.0002675i,0.002678-0.00010097i,0.00084985+0.0035504i,0.020776-0.019638i,0.0057868+0.013357i,0.014613+0.019539i,-0.0054244+0.010868i,0.016905-0.017566i,0.0009747+0.0035746i,-0.012097+0.020017i,-0.025646+0.018037i,-0.0072959+0.028021i,-0.0086903-0.0033819i,0.007311-0.0065021i,0.0014135+0.0040557i,0.0059196+0.00060804i,-0.00047676+0.014238i,-0.0050279+0.00076777i,-0.0041322-0.012876i,0.0095407-0.006753i,-0.0063965+0.015981i,0.0015846-0.00043338i,0.00052125+0.0011327i,-0.0010529+0.00027639i,-0.0024728-0.0034726i,0.0057008-0.0028999i,-0.0031015-0.0071779i,0.0013546+0.0025875i,-0.00070493-0.0047009i,-0.0034233-0.0041408i,-0.00096185+0.0036301i,0.00063348-0.0033036i,0.00029872-0.003311i,0.010069-0.012482i,0.0024667+0.0067629i,-0.00030173-0.0024537i,-0.0030251-0.00081954i,-0.0054468-0.0046071i,0.0021573+0.0086055i,-0.00058169-0.0013966i,0.0018854-0.00083845i,-0.0020576-0.0039714i,-0.00067728+0.0011046i,0.0031212+0.001177i,8.2332e-05+0.0013898i,0.0048055-0.00034161i,-0.0037038+0.0018785i,-0.0026414+0.0072288i,0.012737+0.01471i,0.0021185-0.019354i,-0.023693+0.001619i,-0.022039+0.0037471i,0.0078309-0.0060141i,0.017849+0.0018796i,-0.0067935-0.0021365i
0.035621-0.012i,0.014567-0.0065714i,0.020828-0.013084i,0.012376-0.0096638i,0.011173-0.012989i,-0.0028309-0.0064453i,0.014021-0.0031477i,0.001345-0.015373i,-0.0040348-0.011941i,0.0017567+0.00084767i,-0.0017166-0.00095202i,-0.0010012-0.0015819i,0.0020478+0.0021009i,0.00074727-0.0013299i,0.00019267-0.0012051i,0.0025904-0.0019904i,-0.0044584-0.0036804i,-0.00037894-0.00036658i,0.00087887+0.0006967i,-0.001603+0.0013142i,-0.0019366+0.0014975i,-0.00045735+0.00037633i,0.00040549+0.0012554i,-0.0058838-0.0055202i,0.0035476-0.001988i,-9.1527e-05-0.00076197i,-0.0004201+0.00061817i,0.0015415+0.00033297i,0.001227+0.00034671i,0.0014812+5.6985e-06i,0.0020154+0.0014004i,0.0022887+0.0022913i,-8.032e-05+0.0015705i,0.00041898-0.00022516i,0.00099055+0.0004285i,0.0066391+0.0037355i,-0.00075931-0.00013375i,-0.00020684-0.00040866i,0.0020913-0.00062037i,0.00014949+4.4349e-06i,-0.0013247+0.0022293i,-0.0015596+0.00060538i,0.0024044-0.00080904i,0.0021765+0.0033648i,0.015432-0.023712i,0.0079907+0.0092636i,0.01764+0.015282i,-0.0020942+0.010481i,0.0096593-0.020898i,-0.00018151+0.0036576i,-0.0051373+0.022151i,-0.017994+0.020757i,0.0026208+0.027587i,-0.0093912+0.00089922i,0.005781-0.0064414i,0.0025008+0.0034239i,0.0045619-0.0013856i,0.0044569+0.012885i,-0.004389+0.0039167i,-0.010731-0.0070505i,0.0061515-0.008806i,-0.0027428+0.016158i,0.0012422-0.0022316i,0.00074719+0.00063456i,-0.0012095+0.00029361i,-0.0021072-0.0023415i,0.0047202-0.0036725i,-0.0055183-0.0067721i,0.0019513+0.0014252i,-0.0038884-0.0050917i,-0.0042401-0.0023197i,0.0010713+0.0027464i,-0.00018733-0.0036496i,-0.00085285-0.0038374i,0.0050231-0.015715i,0.004203+0.0046681i,-0.00088151-0.0024797i,-0.0037258-0.00063801i,-0.0066713-0.0019779i,0.0036482+0.0073521i,-0.001387-0.0023891i,0.0023839-0.0018925i,-0.0072374-0.00036129i,-0.0001277+0.00019609i,0.0036475+0.00042515i,0.00093453+0.0018641i,0.0036332-0.0017682i,-0.004536+0.0033538i,-0.0010457+0.0068036i,0.017112+0.012659i,-0.0084801-0.020851i,-0.02769+0.0035848i,-0.019368+0.010227i,0.0035145-0.0034203i,0.015329-0.0042567i,-0.0068196-0.0032731i
0.032685-0.017564i,0.014089-0.0094167i,0.01712-0.015474i,0.0079969-0.010784i,0.0082541-0.015768i,-0.0038171-0.0057461i,0.014974-0.0064185i,-0.0017184-0.015287i,-0.0061301-0.011852i,0.002309+0.0010352i,-0.0012468-0.00019214i,-0.0016807-0.0007738i,0.0026721+0.0012881i,0.00042892-0.0013003i,0.00011506-0.001166i,0.0027983-0.0023143i,-0.0052894-0.0021616i,-0.00029581-0.00032542i,0.00073659+0.00013205i,-0.00099533+0.0017748i,-0.0014407+0.0018888i,-0.00065123+0.00033175i,0.00073445+0.0010987i,-0.005896-0.0012864i,0.0022787-0.0028292i,-0.00034968-0.00054243i,-0.0001598+0.00068012i,0.0015728-5.6031e-05i,0.00098349+0.00024995i,0.0012921-0.0005125i,0.0025081+0.00047563i,0.0028435+0.0015333i,0.00080836+0.0015081i,0.00054302-0.00021411i,0.0013912+0.00060087i,0.0068754+0.0014118i,-0.0008206+0.00073259i,-0.00019062-0.00019112i,0.0018832-0.0014607i,0.00059112-0.00023315i,-0.0003451+0.0025155i,-0.001677+0.0016388i,0.0019945-0.0013246i,0.0026867+0.0028425i,0.0096673-0.026002i,0.008261+0.0051159i,0.019677+0.011001i,0.0002984+0.008629i,0.0036392-0.022761i,-6.4998e-05+0.0055753i,0.0016705+0.02225i,-0.011142+0.021647i,0.011224+0.024296i,-0.0068602+0.0048144i,0.0046379-0.0072159i,0.0036353+0.0019605i,0.0036186-0.0025469i,0.0085054+0.009227i,-0.0017142+0.0052582i,-0.012456-0.00041878i,0.0023561-0.0096114i,0.0011842+0.01488i,0.00032282-0.0036604i,0.00030584+0.00029572i,-0.0011174+0.00072312i,-0.0019053-0.0019364i,0.0035743-0.0034486i,-0.006553-0.0048521i,0.0021361+0.00032569i,-0.0064405-0.0026209i,-0.0038639-0.00058989i,0.0017101+0.00090956i,-0.001032-0.0039286i,-0.0021538-0.0033457i,-0.0017208-0.014685i,0.0053277+0.0022121i,-0.0017462-0.0024566i,-0.0038477+0.00085567i,-0.0061098+0.00077584i,0.0049863+0.0061775i,-0.0033194-0.0026205i,0.0021139-0.0035299i,-0.00062661-0.0027764i,-0.00026446-0.00099597i,0.0042173-0.00020875i,0.0017707+0.0016163i,0.0022485-0.0017043i,-0.0048705+0.005183i,0.0002164+0.0059701i,0.021694+0.0083603i,-0.018509-0.017032i,-0.030469+0.0074436i,-0.013769+0.0128i,0.0026542-0.0013733i,0.0083631-0.0062814i,-0.0092871-0.0038032i
0.028661-0.022697i,0.01264-0.012678i,0.013921-0.017455i,0.0049287-0.010804i,0.0047111-0.017743i,-0.0046309-0.0050183i,0.01484-0.011332i,-0.0045749-0.01462i,-0.0084448-0.011062i,0.0029534+0.0014746i,-0.00058939-6.8264e-05i,-0.001791+0.00031079i,0.0027438+0.00038876i,0.00022833-0.0010326i,-6.3158e-05-0.0012409i,0.0028524-0.0030537i,-0.0056844-0.00040066i,-0.00039642-0.00046903i,0.00051914-0.00013313i,-0.00037863+0.0018629i,-0.00074743+0.0022608i,-0.00084779+0.00046091i,0.00099712+0.00076574i,-0.0045883+0.0018067i,0.0010929-0.0032958i,-0.00043284-0.00033061i,8.8254e-05+0.00061963i,0.0013258-0.00054351i,0.0010558+0.00013535i,0.00085068-0.00099338i,0.0026887-0.0005908i,0.0032974+0.00070597i,0.0013131+0.001148i,0.00059483-0.00057633i,0.0020715+0.00022026i,0.006818-0.00052024i,-0.00049401+0.0016813i,-0.00016143+2.4407e-05i,0.00097161-0.0018356i,0.00091993-0.00073205i,0.00049636+0.0025419i,-0.00047802+0.0023791i,0.0014184-0.0015787i,0.0031735+0.0029445i,0.0042216-0.02674i,0.0069944+0.0025655i,0.020554+0.00716i,0.0018009+0.0078042i,-0.0026163-0.023629i,0.002859+0.0077555i,0.0080006+0.020025i,-0.003977+0.020592i,0.017683+0.017987i,-0.0022842+0.006659i,0.003195-0.007871i,0.0037438-0.00074522i,0.0025943-0.003897i,0.0094028+0.0041094i,-5.2555e-05+0.0046875i,-0.011626+0.006386i,-0.0014621-0.0086758i,0.0039648+0.012118i,-0.0030083-0.0029992i,-0.00023782+0.00079176i,-0.00077006+0.0012717i,-0.0013846-0.0020639i,0.0035921-0.002313i,-0.0065308-0.0023055i,0.0022581+0.00026956i,-0.0068222+0.00064896i,-0.0029326+0.00025002i,0.001267-0.00022337i,-0.0029681-0.0042364i,-0.0030693-0.0022169i,-0.0066436-0.011815i,0.0050827-0.00057971i,-0.0026402-0.001862i,-0.0026253+0.0019331i,-0.004629+0.0024215i,0.0067318+0.0050374i,-0.0049051-0.0010756i,0.00065518-0.0049291i,-0.0022919-0.0020723i,-0.0013961-0.0015181i,0.0048254-0.0018848i,0.0022098+0.0014193i,0.0020331-0.001237i,-0.0027651+0.0078035i,0.00065398+0.0048832i,0.025348+0.0016525i,-0.0234-0.0086773i,-0.032722+0.01323i,-0.0091663+0.013184i,0.0018217+0.00028913i,0.0049091-0.0016333i,-0.011323-0.0026738i
