-0.022909-0.018906i,-0.032285-0.034261i,-0.022227-0.019791i,-0.032304-0.020272i,-0.023982+0.004162i,-0.028844-0.017395i,-0.05784-0.044242i,-0.040655-0.041642i,-0.030217-0.017247i,0.0056408+0.0058074i,-0.0035811+0.0061318i,-0.011097+0.011188i,0.0037607+0.0069636i,-0.0040107-0.0026864i,0.002909+0.0016594i,0.0040699+0.028522i,0.01824+0.022195i,-4.5801e-05+0.00034604i,-0.0029339-0.0027679i,0.0085057+0.0042334i,0.0018814+0.00061052i,-9.1743e-05+0.0023781i,-0.00061324+0.00043798i,-0.03133-0.0013286i,-0.003292-0.0048135i,-3.4069e-05+0.0027319i,0.0047184-0.00054407i,0.0005678-0.0002527i,-0.00041433-0.00060481i,-0.0012909-0.0018577i,-0.0022314-0.0004832i,-0.0036849-0.0042094i,-0.0033946-0.0058495i,0.00041747-0.0011794i,0.00042616-0.0027228i,-0.0037473+0.02479i,0.0021412-0.0031226i,0.0023965-0.0039089i,0.0042576-0.0024251i,-0.0087676-0.0014335i,0.0005588+0.0012327i,0.008738+0.0021519i,-0.0031546+0.00036508i,-0.0033969+0.0011509i,-0.0093935-0.003087i,-0.019002+0.021504i,-0.0083275-0.086369i,-0.0025225-0.060804i,-0.021438-0.053467i,-0.01091-0.04623i,0.0539-0.02624i,0.023911-0.068094i,0.041003-0.053267i,0.019443-0.039272i,0.02593-0.019954i,0.012335+0.011732i,0.025278-0.029782i,-0.011076-0.0011847i,-0.00084721-0.0012791i,-0.007317-0.0018556i,-0.0053369-0.028801i,-0.020599+0.027007i,0.0071245-0.0095386i,-0.010168-0.0033483i,-0.0025605-0.0018413i,-0.00064335-0.015003i,-0.0080938+0.0048352i,0.0052755+0.010632i,-0.012445+0.031636i,0.0072168+0.0074559i,-0.0036569-0.0018304i,-0.0022045-0.0014281i,-0.012817-0.0059325i,0.00032229-0.0039204i,-0.035871+0.00092408i,0.0030616-0.0086613i,-0.0073958-0.001718i,-0.0051786-0.0029161i,0.0066498+0.0019117i,-0.010528+0.00067387i,0.0022639-0.00048296i,0.0061662+0.0078933i,0.0053393+0.0011611i,-0.0083218-0.0093695i,0.0029114+0.0076472i,-0.020911+0.0076658i,0.0031438+0.0055513i,-0.02101-0.0089809i,-0.02727-0.0044312i,0.0094688-0.06129i,0.019067-0.01473i,-0.051099-0.028512i,-0.023862+0.003321i,0.018903+0.010386i,-0.026972+0.012188i,-0.012692-0.0072227i
0.0059019+0.0048803i,0.036999+0.014913i,0.019796-0.003723i,0.013194+0.0024058i,0.0084684-0.0020094i,0.015924-0.0074339i,0.01239+0.014391i,0.019036+0.020918i,0.0010856-0.0022357i,0.0012468+0.00088951i,0.0024646-0.0012992i,0.0015312-0.0040515i,1.9027e-05-0.0011878i,0.0021501-2.0396e-05i,0.0051043-0.0012809i,0.0061178+0.00045824i,0.005254-0.0051231i,5.4895e-05-0.0010638i,-0.002156-2.9787e-05i,0.00054593+0.00071333i,0.00017506-0.00018763i,-0.0022232-0.00051093i,-0.0015547-7.0424e-05i,0.0064057+0.0073998i,-0.00064239+0.00028505i,0.00031809+0.00077043i,0.0011207+0.00091845i,-5.4089e-05+0.001282i,-0.00038722-0.00019166i,-0.0012703-8.1724e-05i,0.00085398-0.0011014i,-0.00046829+0.00048283i,5.1153e-05+0.00069661i,2.243e-05+0.00047383i,-0.00042527-0.00099103i,-0.010549+0.0069237i,0.00051866+0.00031627i,-0.00046047+6.8811e-05i,-0.00055457+0.0016525i,0.00060709-0.0028506i,-0.00070423+0.00044763i,-0.00033521-0.00025276i,0.00080148+0.0014597i,0.0034461-0.002352i,9.1164e-05+0.002963i,-0.049978+0.0089402i,-0.0032076+0.02935i,-0.014014+0.040865i,-0.0090964+0.065583i,-0.016629+0.043602i,-0.0059277+0.019426i,-0.0080418+0.014593i,-0.04499+0.0042607i,-0.024517-0.0076002i,0.01516+0.026056i,0.00046832+0.0053911i,-0.006894+0.0020475i,-0.014274-0.0026804i,0.0038111-0.00034839i,0.0076474+0.013001i,-0.0058557+0.0066127i,-0.0046376-0.0067298i,0.0053795-0.0025962i,-0.0065269-0.0054085i,0.0034359-0.0064697i,0.0040389-0.0021275i,-0.0024859+0.010136i,0.011441-0.0057369i,0.0059246-0.0048104i,0.0050174-0.0082533i,0.0030462+0.00091406i,-0.001736-0.0058998i,-0.003751-0.0014038i,0.002163-0.0017642i,-0.012919+0.032618i,-0.0041823-0.0053018i,0.0033112+0.00022448i,-0.00053249-0.0069316i,0.0032207-0.0019606i,-0.013151-0.0054839i,0.00086035+0.00066698i,0.0043956-0.0011839i,0.0024941-0.00089181i,0.0014551-0.0054876i,-0.0018913+0.0054627i,-0.00083204+0.00588i,-0.0053753+0.0075461i,-0.0048844+0.0026083i,-0.0056459-6.8352e-05i,-0.023961+0.019423i,-0.0089719+0.013983i,-0.021959-0.01133i,-0.0091831-0.010298i,0.0089285+0.02057i,-0.00079334+0.019759i,-0.0089173-0.003576i
0.006263+0.0027942i,0.038513+0.0070613i,0.018897-0.0075625i,0.013794+0.00088115i,0.009191-0.0034304i,0.014442-0.01057i,0.01325+0.011291i,0.022301+0.016641i,0.0004756-0.00258i,0.0015508+0.00030051i,0.0023043-0.0015729i,-0.00040224-0.0031264i,-8.5705e-05-0.00061466i,0.0021399-0.00010976i,0.0044241-0.0023463i,0.0055378-0.00040688i,0.0029315-0.0053013i,7.7166e-05-0.0009397i,-0.0024281+0.0003249i,0.00086171+0.00017745i,2.4224e-05-0.00058223i,-0.0022778+9.3734e-05i,-0.0015287+0.00014124i,0.0096676+0.0039912i,-0.00095622+0.0010691i,0.00090704+0.00050884i,0.0011145+0.00026737i,0.0004964+0.001071i,-0.00074088+0.00032312i,-0.0012879+0.00046745i,-0.00030303-0.0014505i,-0.00057538+5.6718e-05i,0.00019933+0.00056163i,0.00032823+0.00039242i,-0.00078629+5.1778e-05i,-0.0084174+0.0096521i,0.00028687+0.00010792i,-0.00026901+0.00040545i,0.00013112+0.0013556i,-0.00019579-0.0028488i,-0.00038619+0.00025843i,-0.00050027+3.9465e-06i,0.00088885+0.0012446i,0.0023508-0.0026398i,0.0014349+0.0030085i,-0.045035+0.017204i,-0.00032811+0.030215i,-0.0053426+0.041287i,0.0078622+0.062452i,-0.0062002+0.042658i,-0.0079096+0.015814i,-0.010932+0.011831i,-0.046853+0.0068282i,-0.020714-0.0094233i,0.021407+0.020236i,0.00040974+0.0051679i,-0.005747+0.006884i,-0.013581+0.0020656i,0.0023632-0.0021658i,0.010255+0.010839i,-0.0021705+0.01089i,-0.0085752-0.0053251i,0.0023428-0.0040905i,-0.0066014-0.0021117i,-0.0008513-0.0062964i,0.0024917-0.0036791i,0.0023708+0.0082777i,0.0068597-0.0084019i,0.0021379-0.0059719i,0.00094785-0.0055636i,0.0043583-0.00014387i,-0.0028817-0.0047878i,-0.0019835+0.00093066i,0.0020692-0.0019797i,0.0049282+0.029781i,-0.0059069-0.0044148i,0.0036284-0.0015817i,-0.0036869-0.0061303i,0.0030479-0.0027109i,-0.013042+0.00059945i,0.0017495+0.00094541i,0.0033059-0.0017544i,0.0030166-0.0020164i,-0.0001784-0.0057119i,-0.00050691+0.0029006i,0.0016519+0.0050198i,-0.0012192+0.0089878i,-0.0032749+0.0047394i,-0.006467+0.00080769i,-0.01831+0.018416i,-0.0070682+0.016313i,-0.025099-0.0065945i,-0.012643-0.012734i,0.011944+0.020085i,0.0029855+0.021393i,-0.011675-0.0028814i
0.0058013+0.0011796i,0.038107-0.0013764i,0.017512-0.012132i,0.015109-0.0020229i,0.010033-0.005553i,0.012117-0.013754i,0.013229+0.0082583i,0.024446+0.011428i,3.8703e-05-0.0024625i,0.0012717-0.00030429i,0.0019637-0.0024329i,-0.00060531-0.0015574i,-5.6236e-05-0.00062989i,0.0021196-0.00056332i,0.0034728-0.0031259i,0.0048235-0.0012457i,0.0015791-0.0050236i,-0.00013365-0.0011175i,-0.0025174+0.0011184i,0.00070303-0.00067387i,-0.00067718-0.00093113i,-0.0019687+0.00070198i,-0.0015956+0.0004288i,0.010386-0.00068553i,-0.00022363+0.0014537i,0.00093365-0.00010857i,0.00079077-0.00010941i,0.00090346+0.00054562i,-0.00043032+0.00071357i,-0.0011104+0.00092008i,-0.00082508-0.0010243i,-0.0012387+0.00060319i,0.00044719+0.00048491i,0.00042449+0.0001971i,-0.00032726+0.000665i,-0.0030213+0.01099i,0.00014928+0.00020525i,-5.3847e-05+0.00033015i,0.00041315+0.00098528i,-0.0018405-0.0028329i,-0.00025236+7.3382e-05i,-0.00045717+0.00026918i,0.0010371+0.0012332i,0.0017234-0.0025848i,0.0034703+0.002239i,-0.03867+0.023872i,0.0040815+0.03119i,0.0032579+0.03849i,0.023327+0.053838i,0.0034107+0.041708i,-0.011176+0.014756i,-0.013535+0.012199i,-0.048782+0.013039i,-0.019645-0.012558i,0.024568+0.01186i,0.0006671+0.0050193i,-0.0033838+0.0085995i,-0.012821+0.0058774i,-9.8964e-05-0.0039559i,0.012513+0.0078189i,0.0030074+0.011867i,-0.01138-0.0026364i,0.00043378-0.0027696i,-0.0061653+0.00075232i,-0.0029563-0.0040108i,0.00071014-0.0037662i,0.0049015+0.007172i,0.0041042-0.0087026i,-0.0009579-0.0050057i,0.00071161-0.003122i,0.0044838-0.0024743i,-0.0042822-0.0039217i,-0.00064994+0.00065739i,0.00096166-0.0024974i,0.016894+0.024687i,-0.0075122-0.0019463i,0.0031649-0.0029654i,-0.0041381-0.0041235i,0.0033905-0.0041224i,-0.010308+0.005763i,0.0034451+0.00040871i,0.002239-0.002291i,0.001912-0.0026059i,-0.002131-0.0046612i,-0.0013238+0.0028404i,0.0029832+0.0033382i,0.0028746+0.0092307i,-0.0018974+0.0050682i,-0.0070868+0.0026637i,-0.015885+0.016568i,-0.00053112+0.017415i,-0.02613-0.0020759i,-0.016653-0.013436i,0.017077+0.016926i,0.0080798+0.022082i,-0.013731-0.00080229i
0.005157+0.00022152i,0.034706-0.0082593i,0.013966-0.016513i,0.014999-0.0062782i,0.0098726-0.0085955i,0.0088164-0.015931i,0.012805+0.0062297i,0.024829+0.0064316i,-3.9342e-05-0.0027394i,0.00071414-0.00037858i,0.00088641-0.00279i,-0.00024893-0.00082922i,-0.00050746-0.00038797i,0.0017663-0.00075626i,0.0022719-0.003563i,0.0040703-0.0015053i,0.00044899-0.0045443i,-0.00034381-0.0010188i,-0.0015217+0.0019987i,3.5918e-05-0.0010345i,-0.0012196-0.00036999i,-0.0015498+0.001358i,-0.0014876+0.00090836i,0.0081997-0.0042862i,0.00037279+0.0013408i,0.00058991-0.00029438i,0.00055939-0.00015984i,0.00078652+2.5954e-05i,-5.9098e-05+0.00065184i,-0.00074224+0.0014205i,-0.0012655-0.00042552i,-0.00068751+0.0013265i,0.00056916+0.00018309i,0.00035825+4.0593e-05i,0.00020285+0.00069117i,0.0007032+0.0098237i,0.00028092+0.00025955i,-6.9954e-05+0.0001949i,0.00046981+0.00088552i,-0.0027312-0.00068798i,-0.00031503+1.7459e-05i,-0.00034169+0.0003339i,0.0013077+0.0011898i,0.0012977-0.002403i,0.0053476+0.00010011i,-0.031218+0.028592i,0.0093554+0.031105i,0.0085871+0.035077i,0.035378+0.040318i,0.012865+0.036995i,-0.014946+0.016997i,-0.016486+0.014797i,-0.048039+0.02112i,-0.021524-0.015647i,0.024784+0.0031875i,0.0012368+0.0053088i,-0.00068959+0.010933i,-0.011082+0.01001i,-0.0042867-0.0030742i,0.014693+0.0029796i,0.0080568+0.0099694i,-0.013809+0.0012084i,-0.00034588-0.0021396i,-0.0046369+0.0027034i,-0.0034455-0.0010266i,-0.00026912-0.0033552i,0.0068352+0.0038603i,0.0015289-0.0090715i,-0.0033572-0.0018331i,0.0014254-0.002i,0.003227-0.0043697i,-0.0048119-0.00065247i,0.00038373+0.0008587i,0.00038166-0.0021156i,0.025662+0.01294i,-0.0076336+0.0015375i,0.0022448-0.0043156i,-0.0042212-0.0023077i,0.0020059-0.0062664i,-0.0059315+0.0080017i,0.0047397-0.0017914i,0.0011132-0.0019228i,0.0012358-0.0025344i,-0.0026121-0.0030472i,-0.0010474+0.0039082i,0.0031163+0.0015544i,0.0069706+0.0072854i,-0.00061319+0.0045432i,-0.0071743+0.005116i,-0.014358+0.017575i,0.0085453+0.012625i,-0.02488+0.0031061i,-0.022302-0.01182i,0.018972+0.011904i,0.014559+0.020702i,-0.013197+0.00089873i
0.0049552-0.00033792i,0.031411-0.01291i,0.0097635-0.019069i,0.013591-0.010372i,0.0084116-0.011626i,0.0056148-0.017121i,0.012558+0.0050813i,0.024315+0.0021791i,-0.00012474-0.0031789i,0.00029225-0.00021237i,-0.00026147-0.0024301i,0.00010738-0.00059034i,-0.00067893+0.00026183i,0.0014495-0.000976i,0.0011759-0.0034378i,0.0037829-0.0013639i,-0.00036732-0.0037908i,-0.00077233-0.00089825i,-0.00055538+0.0018661i,-0.00057966-0.00092468i,-0.0012999+0.00013196i,-0.00075833+0.0017263i,-0.0011427+0.0014063i,0.0050861-0.0064352i,0.00058331+0.0011045i,0.00037-0.000301i,0.00042368-0.00035011i,0.00044359-0.00013866i,1.2943e-05+0.00058142i,3.2123e-05+0.001741i,-0.0012175+0.00025505i,2.6491e-06+0.0013944i,0.00051892-0.00011291i,0.000369+0.00019i,0.00075795+0.0006043i,0.0015837+0.0069138i,0.00022452+0.00029013i,-0.00021996+0.00022811i,0.00089558+0.0007874i,-0.0017108+0.00042942i,-0.00053994-8.346e-05i,-0.00023554+0.00036532i,0.0016009+0.00081576i,0.00076778-0.0020385i,0.0055921-0.0029881i,-0.022806+0.031095i,0.015737+0.029443i,0.014611+0.032616i,0.040032+0.024378i,0.018856+0.030256i,-0.015967+0.023088i,-0.017064+0.021142i,-0.045124+0.030704i,-0.026077-0.016587i,0.020265-0.0039414i,0.0024158+0.0054354i,0.0042025+0.010818i,-0.0079786+0.012994i,-0.0059871+0.0005911i,0.013442-0.0032418i,0.011981+0.0063711i,-0.014014+0.006599i,-0.00044528-0.00056066i,-0.0027484+0.0037564i,-0.0018083+0.0005112i,-0.0020066-0.0022237i,0.0068553+0.0010915i,-0.00083248-0.0082797i,-0.0029026+0.0013934i,0.0026549-0.002398i,0.0013377-0.0055122i,-0.0034744+0.001719i,0.0014902+0.00017468i,0.00030246-0.0015823i,0.026838+0.00032591i,-0.0054831+0.0043652i,0.00055045-0.0051596i,-0.0033574-0.0016573i,-0.00040042-0.0070012i,-0.0023018+0.0078027i,0.0037151-0.0040739i,0.0011609-0.00091932i,0.0015322-0.0023456i,-0.0016817-0.0023859i,0.00079024+0.0045036i,0.0020567+0.00031331i,0.010147+0.0032512i,-0.00033995+0.003298i,-0.0055276+0.007964i,-0.011016+0.018786i,0.011775+0.0017883i,-0.020749+0.005406i,-0.026928-0.0083587i,0.019952+0.0067943i,0.019963+0.014558i,-0.013814+0.001192i
0.0049629-0.0012293i,0.028529-0.017133i,0.0058617-0.02073i,0.01119-0.014274i,0.0062801-0.014049i,0.0022865-0.017948i,0.013347+0.004151i,0.02356-0.0022253i,-0.00023713-0.0039517i,-0.00016003+0.00014669i,-0.00082003-0.0017993i,0.00031283-0.0004499i,-0.00023978+0.00092681i,0.0010522-0.00098375i,0.00038699-0.0031136i,0.0040212-0.001378i,-0.00073216-0.0033174i,-0.00081577-0.00060719i,0.00016001+0.0017123i,-0.00092098-0.00056395i,-0.0009689+0.00040994i,0.0002034+0.0014828i,-0.00056257+0.0016841i,0.0017548-0.0069487i,0.0010262+0.00098855i,0.0002228-0.00035577i,0.00021079-0.00050767i,0.00028778-0.00015244i,0.0001929+0.00059299i,0.00069486+0.0013875i,-0.00088902+0.0006304i,0.00058981+0.0010998i,0.00026916-0.00018299i,0.00059289+3.4398e-06i,0.00091157-9.2189e-05i,0.0024816+0.0064227i,0.00032094+0.00028124i,-0.00016424+0.00045263i,0.00090076+0.00036797i,-0.0011221+0.00061931i,-0.00087669+0.00030678i,-9.9158e-05+0.00024598i,0.0017393+0.00053859i,-0.0010933-0.0038083i,0.0048677-0.0058031i,-0.015179+0.031084i,0.021669+0.025422i,0.020595+0.028257i,0.03965+0.0099142i,0.02199+0.023653i,-0.01282+0.029931i,-0.013434+0.028534i,-0.037734+0.041415i,-0.031176-0.014119i,0.015283-0.0077515i,0.0036923+0.0047277i,0.0077575+0.0084678i,-0.0039567+0.014958i,-0.0052541+0.0033917i,0.0092979-0.0087803i,0.01341+0.00066965i,-0.011182+0.011088i,0.00071211+8.3815e-06i,-0.00086805+0.0040031i,-0.00038239+0.00046606i,-0.0020611+9.6161e-05i,0.0057113-0.00064374i,-0.0023911-0.0061284i,-0.00079091+0.003079i,0.0027727-0.0041479i,-0.0011298-0.0053022i,-0.0025046+0.0018287i,0.001975-0.00083428i,0.00079445-0.0014105i,0.022522-0.010976i,-0.002486+0.0054235i,-0.0010736-0.0048687i,-0.0032452-0.0011802i,-0.0029191-0.0063801i,0.00048352+0.0068619i,0.0031331-0.0050444i,0.0020566-0.0010579i,0.0013634-0.0034301i,-0.001401-0.0027971i,0.0025503+0.0041158i,0.00085961+0.0004519i,0.0060542+0.0012583i,-0.00089459+0.0024954i,-0.0023336+0.0095318i,-0.0074811+0.018559i,0.0080401-0.0077549i,-0.017988+0.0030236i,-0.031858-0.0019341i,0.018379+0.00018351i,0.021294+0.0077308i,-0.0152+0.0030156i
0.0047911-0.0020538i,0.024859-0.021418i,0.0014051-0.022417i,0.0071148-0.017946i,0.003575-0.01625i,-0.0014296-0.017827i,0.014895+0.0024544i,0.022441-0.0062257i,-0.00083053-0.0045908i,-0.00036609+0.001038i,-0.0012708-0.0012346i,0.00050074-0.00096974i,0.00028384+0.0010657i,0.00064776-0.00084879i,-0.00016513-0.0026805i,0.0042647-0.0020039i,-0.001103-0.0032489i,-0.0011202-0.00045202i,0.00084773+0.0012796i,-0.0013016-0.00013027i,-0.00093958+0.00047492i,0.00065537+0.00081893i,-6.7849e-05+0.0016906i,-0.0013464-0.0060803i,0.0012649+0.00019459i,-3.9637e-05-0.00020425i,-0.00027351-0.00050196i,0.00012367-8.9753e-05i,0.00051303+0.00037958i,0.0009896+0.00084094i,-0.00039204+0.00078621i,0.00066777+0.00058541i,1.6515e-05-7.7826e-05i,0.00053117-0.00021459i,0.00038569-0.00073967i,0.0042564+0.005964i,0.00039874+0.00025485i,-8.9598e-05+0.00048912i,0.0009169+0.00023609i,-0.00050103+0.00066724i,-0.00087826+0.00074424i,-5.1273e-05+0.0002418i,0.0018767+0.00013637i,-0.00096549-0.0024362i,0.0028017-0.008366i,-0.0088355+0.029335i,0.025768+0.019779i,0.025662+0.022862i,0.035099-0.0017531i,0.02324+0.018201i,-0.0066986+0.034291i,-0.0045833+0.03347i,-0.025493+0.048325i,-0.035141-0.0088794i,0.010364-0.0090081i,0.0045585+0.0035559i,0.0093635+0.0045637i,0.00071163+0.014896i,-0.004427+0.0051949i,0.0017594-0.010681i,0.011326-0.0044169i,-0.0072381+0.01297i,0.0018302-0.0010756i,0.0013784+0.0019882i,2.2125e-07-0.0002043i,-0.0003206+0.0014382i,0.0045619-0.0010486i,-0.0032036-0.0047911i,0.0013517+0.0030728i,0.0013474-0.006146i,-0.0028249-0.0040586i,-0.0017377+0.0021058i,0.0015132-0.0022867i,0.00086695-0.0021939i,0.014017-0.017327i,0.00013743+0.0049539i,-0.0020808-0.0043236i,-0.0028786-0.000996i,-0.004536-0.0053668i,0.0023192+0.0053485i,0.0016113-0.0067427i,0.0025391-0.0018961i,-0.00013467-0.0039145i,-0.0023112-0.0032202i,0.0037274+0.0040229i,0.00044642+0.0014447i,0.0061528-0.0015079i,-0.0017853+0.0026751i,0.0008538+0.0089642i,-0.0041476+0.018631i,0.00076656-0.013814i,-0.020301+0.00035308i,-0.032761+0.0065718i,0.012401-0.0040368i,0.021512+0.002083i,-0.014341+0.0050388i
0.0048245-0.0030023i,0.020805-0.024304i,-0.003983-0.022536i,0.0015439-0.019656i,-6.5221e-05-0.017624i,-0.0044095-0.016653i,0.016474-0.0003509i,0.020321-0.009646i,-0.001289-0.0054464i,0.00039157+0.0020406i,-0.0014543-0.00029205i,-0.00023722-0.001371i,0.00089421+0.0011581i,0.00063196-0.00053369i,-0.00039172-0.0023121i,0.0041144-0.0025662i,-0.002345-0.0029478i,-0.0012784+0.00011914i,0.0010645+0.00050872i,-0.0013615+0.00072321i,-0.0007329+0.00086785i,0.00050869+0.0001253i,0.00037281+0.001622i,-0.0040534-0.0035447i,0.00042066-6.0934e-05i,-0.00011028-4.7718e-05i,-0.00058384+6.4399e-05i,4.1251e-05+2.5351e-05i,0.00047341+3.3764e-06i,0.0010526+0.00044746i,-3.3553e-05+0.00075432i,0.00080711+0.00045594i,6.2499e-05+0.00011503i,0.00039117-0.00021734i,-0.00025746-0.00040532i,0.0056164+0.0044708i,0.00048627+0.00012569i,1.6551e-05+0.00070709i,0.00096194+0.00013546i,0.00012484+0.00031835i,-0.00078626+0.0011432i,8.9277e-05+0.00018798i,0.0017043-0.0004141i,-0.0013964-0.0016415i,4.2479e-05-0.0096496i,-0.0038652+0.026423i,0.028126+0.014234i,0.029952+0.016136i,0.028843-0.0094919i,0.023391+0.014148i,0.00078046+0.03644i,0.0048+0.033488i,-0.011984+0.050395i,-0.035925-0.0021093i,0.0071446-0.0087879i,0.0053967+0.0023279i,0.0088161+0.0012022i,0.0052837+0.013394i,-0.0027507+0.0070497i,-0.0046135-0.0078685i,0.0081242-0.0070196i,-0.0038945+0.014047i,0.0013157-0.002954i,0.00089932+0.0012516i,-0.0003045-0.00031484i,0.0017128+0.0012797i,0.0040775-0.0012846i,-0.0041961-0.0033859i,0.002912+0.0020179i,-0.0019704-0.0070742i,-0.003433-0.0024553i,-0.00026815+0.0016011i,0.00094951-0.0032185i,0.00037662-0.003246i,0.0058423-0.019146i,0.0016202+0.0037795i,-0.002961-0.0036957i,-0.0036184-0.00099051i,-0.0060488-0.0035613i,0.0028803+0.0039813i,-0.0010968-0.007573i,0.0027928-0.0030778i,-0.0010431-0.0032248i,-0.0029643-0.0027682i,0.0048368+0.0030064i,0.0010609+0.0021691i,0.0044203-0.0026969i,-0.0020137+0.0037673i,0.0030651+0.0073068i,0.00054316+0.018409i,-0.0089935-0.016436i,-0.02418+0.00077264i,-0.029371+0.014717i,0.0072552-0.0034721i,0.019565-0.0043947i,-0.012772+0.004866i
0.004675-0.0045794i,0.016881-0.027071i,-0.0084702-0.020854i,-0.0034938-0.018969i,-0.0038518-0.017928i,-0.006563-0.015365i,0.017322-0.0043209i,0.017835-0.0125i,-0.0021614-0.0064207i,0.0016286+0.0019532i,-0.00098416+0.00044749i,-0.00094619-0.0008432i,0.0014908+0.00054672i,0.00073912-0.00051083i,-0.00056213-0.0020709i,0.0040418-0.0031415i,-0.003082-0.0016946i,-0.0008904+0.00030689i,0.00079341-0.00012856i,-0.00082774+0.0012096i,-0.00043736+0.0011459i,0.0001412-0.00023797i,0.00080277+0.0013845i,-0.0052515-0.001516i,4.6018e-05+2.2713e-05i,-8.3761e-05+4.6511e-05i,-0.00047679+3.9587e-05i,4.5766e-05+9.9295e-05i,0.00019424+1.4566e-05i,0.0009979-3.3596e-05i,0.00037585+0.000574i,0.00077901+0.00033047i,0.00024446+8.1341e-05i,0.00043108-0.00011753i,-0.00030305+0.00015579i,0.0068048+0.003585i,0.0003509+6.5566e-05i,0.00040718+0.00075149i,0.00096685-0.00024889i,0.00038298-0.00021044i,-0.00071652+0.00105i,0.00014234-4.3184e-05i,0.0012105-0.0009755i,-0.0015718-0.00090506i,-0.0028506-0.01008i,-0.0011272+0.023023i,0.029375+0.0089929i,0.031918+0.0078562i,0.022108-0.014479i,0.023597+0.012055i,0.0086604+0.036422i,0.012882+0.031322i,0.00057563+0.048546i,-0.034282+0.0046336i,0.0047719-0.0091234i,0.0061444+0.00027491i,0.0082851-0.00097646i,0.0091709+0.010158i,0.00011126+0.0073544i,-0.0077719-0.0029839i,0.0043202-0.0083355i,-3.049e-05+0.013486i,-0.00040087-0.0037631i,0.00052115+0.0013425i,-0.00037329-9.2019e-05i,0.0026817-3.941e-05i,0.0037575-0.00099228i,-0.0045209-0.0014598i,0.0033809+0.00057443i,-0.0048129-0.0051376i,-0.0035757-0.0011145i,5.2653e-05+0.00038583i,4.1386e-08-0.0040915i,-0.00086706-0.0036365i,-0.001236-0.017886i,0.0029431+0.0022973i,-0.0039914-0.0028423i,-0.0040725+0.00060725i,-0.0064563-0.0012405i,0.0035185+0.0030943i,-0.0043605-0.0069537i,0.0024618-0.0047894i,-0.0014939-0.0028496i,-0.0033405-0.0027366i,0.0061058+0.0020059i,0.0019439+0.0023049i,0.0028317-0.0024294i,-0.0017287+0.0043743i,0.004193+0.0051327i,0.0054792+0.016044i,-0.019488-0.013691i,-0.027847+0.0035905i,-0.024096+0.018263i,0.0049858-0.0022769i,0.01333-0.0086762i,-0.014074+0.0050847i
0.0036617-0.0061209i,0.012474-0.029691i,-0.011972-0.018737i,-0.0074814-0.017158i,-0.0075586-0.017425i,-0.008739-0.014238i,0.016852-0.0092899i,0.015297-0.014976i,-0.0038388-0.0072779i,0.002679+0.0013336i,-0.00032252+0.00070763i,-0.0011288+9.122e-05i,0.0015302-0.00013981i,0.00079231-0.00057943i,-0.00084998-0.0019947i,0.0038787-0.0039457i,-0.0032735-0.0003967i,-0.00068297+0.00023744i,0.00053488-0.00035967i,-0.00025096+0.0013531i,-0.00036556+0.0011439i,-0.00023795-0.00027832i,0.0010916+0.00096759i,-0.0044875+0.0011549i,-5.3728e-05+4.4737e-05i,-2.9457e-05+0.00012239i,-0.00045502+0.00018669i,0.0001095+0.00014106i,0.00022873+8.5515e-05i,0.00062386-0.00039901i,0.00052854+0.00013727i,0.0008499+0.00054463i,0.00030955-9.6051e-06i,0.00041631-0.00051223i,1.8119e-05+0.00044217i,0.0080891+0.0016023i,0.0004314+5.122e-05i,0.00070444+0.00064534i,0.00019861-0.00081222i,0.00064118-0.00054009i,-0.00051767+0.00054446i,5.4423e-05-0.00010599i,0.000431-0.0009859i,-0.001561+0.00015966i,-0.0055198-0.0095535i,-0.00029343+0.021258i,0.030035+0.0038775i,0.030873+0.0013181i,0.014975-0.017626i,0.026136+0.010796i,0.016176+0.033641i,0.02098+0.027042i,0.011728+0.042518i,-0.029804+0.010063i,0.0025711-0.0089757i,0.0053862-0.0029552i,0.0077307-0.0037304i,0.01024+0.0052741i,0.0018291+0.0064408i,-0.0079947+0.0023902i,0.00037781-0.0077484i,0.002751+0.01148i,-0.0026036-0.0032703i,0.00010893+0.002289i,-0.00034101+0.00016524i,0.0030662-0.0016575i,0.0045591-0.00029063i,-0.0033787-0.00033745i,0.0035936+0.00014423i,-0.0055827-0.0027826i,-0.0022793-0.00079405i,-0.00036365+7.5984e-05i,-0.0020297-0.0046786i,-0.0021824-0.0030498i,-0.0071115-0.015374i,0.0033767+7.6202e-05i,-0.0045555-0.0013986i,-0.0030704+0.0017635i,-0.0059028+0.00085077i,0.0041291+0.0024207i,-0.0066316-0.004604i,0.00039801-0.0066369i,-0.0023333-0.0022648i,-0.0049875-0.0021934i,0.0071366-0.00047613i,0.0031432+0.0021332i,0.0027011-0.0020786i,-0.00060084+0.0053482i,0.0041279+0.0029478i,0.0093855+0.011829i,-0.025292-0.0055313i,-0.030824+0.0089156i,-0.019397+0.021596i,0.0031399-0.00043839i,0.0079206-0.0076123i,-0.014258+0.0068783i
