-0.023749-0.018516i,-0.032186-0.032256i,-0.022435-0.019902i,-0.032338-0.020576i,-0.024006+0.004341i,-0.028724-0.017423i,-0.058325-0.043733i,-0.04148-0.04093i,-0.030508-0.023884i,0.0053576+0.0056714i,-0.0030031+0.0062283i,-0.011179+0.010862i,0.0038645+0.0069459i,-0.0037978-0.0027435i,0.0029113+0.0016832i,0.0041039+0.02867i,0.026587+0.032533i,9.5323e-05+0.00050657i,-0.0026571-0.0030539i,0.0076152+0.0038097i,0.0021853+0.00070041i,-0.00013651+0.0025654i,-0.00057662+0.0004598i,-0.032356-0.00077791i,-0.0031315-0.0046448i,5.663e-05+0.0025069i,0.0039612-0.0011312i,0.00047778-0.00046791i,-0.00047663-0.00044368i,-0.0010291-0.0018821i,-0.0020352-0.00056585i,-0.0039565-0.0037866i,-0.0030228-0.0051716i,0.00019364-0.0011815i,0.00045845-0.0028615i,-0.0014578+0.025222i,0.0021871-0.0030459i,0.0023048-0.0039122i,0.004248-0.0025798i,-0.0065741-0.0017819i,0.00083118+0.0012936i,0.010032-0.00075426i,-0.0018227-2.709e-05i,-0.0033154+0.0014366i,-0.0093573-0.0024086i,-0.018846+0.021536i,-0.0079821-0.086345i,-0.0032769-0.060482i,-0.02097-0.052606i,-0.01067-0.045496i,0.05397-0.025654i,0.02435-0.067166i,0.04146-0.053816i,0.018511-0.038572i,0.025204-0.020251i,0.012214+0.011597i,0.026463-0.028199i,-0.011195-0.0013674i,-0.00049902-0.00066533i,-0.0072316-0.0013566i,-0.0051484-0.029287i,-0.020207+0.027096i,0.0071199-0.0096783i,-0.010696-0.0030757i,-0.0025036-0.0016233i,-0.00074451-0.014569i,-0.007709+0.0050004i,0.0052812+0.010176i,-0.010581+0.031073i,0.0071933+0.0080687i,-0.0037495-0.0017636i,-0.0024488-0.0015619i,-0.012723-0.0054031i,0.00012803-0.0036428i,-0.033017+0.0034106i,0.0028147-0.0090185i,-0.0073765-0.0018872i,-0.0053637-0.0028925i,0.0069092+0.001737i,-0.010371+0.0012096i,0.0022159-0.00035475i,0.0059409+0.007764i,0.0054989+0.00086901i,-0.0084134-0.0097166i,0.0027177+0.0078028i,-0.019665+0.0074609i,0.002897+0.005902i,-0.02114-0.0088833i,-0.027595-0.0048042i,0.0097137-0.061133i,0.018814-0.015031i,-0.051017-0.029142i,-0.02425+0.0020467i,0.019018+0.01045i,-0.027583+0.012025i,-0.012949-0.0078961i
0.0056327+0.0049189i,0.036662+0.014495i,0.019524-0.00433i,0.013499+0.0022337i,0.008421-0.0020827i,0.015771-0.0075503i,0.012103+0.014279i,0.018136+0.01992i,0.00076154-0.0027531i,0.0012197+0.0007318i,0.0023905-0.0010743i,0.0012437-0.0040499i,0.00011006-0.0012524i,0.002225-0.00013438i,0.0051176-0.0012178i,0.0058148+0.00078198i,0.0057168-0.0053023i,7.0148e-05-0.00095483i,-0.0018359-1.9722e-05i,0.00044998+0.00069175i,0.00023448-0.00018557i,-0.0022547-0.00049755i,-0.0015579-0.00011307i,0.0060385+0.0075993i,-0.00056543+0.0002698i,0.00038152+0.00076504i,0.0010442+0.00095245i,-5.6682e-05+0.0012639i,-0.00048976-0.0002571i,-0.0011081-4.3967e-05i,0.00049547-0.0011234i,-0.00057951+0.00048421i,9.0425e-05+0.00070023i,4.176e-05+0.00061018i,-0.00031996-0.0010443i,-0.0089193+0.0068323i,0.00052778+0.00023929i,-0.00054067-3.3066e-06i,-0.00046483+0.0015353i,-0.00049003-0.0028644i,-0.00071343+0.0001116i,-0.00033131-0.00013204i,0.00085914+0.0014495i,0.003292-0.0022357i,0.00018621+0.0026861i,-0.050004+0.008656i,-0.0032242+0.029073i,-0.014963+0.040227i,-0.0082655+0.065335i,-0.016868+0.044239i,-0.0062534+0.019664i,-0.0088688+0.013966i,-0.046864+0.0049627i,-0.024424-0.0075538i,0.014996+0.025651i,0.00048939+0.0055358i,-0.0062798+0.0015776i,-0.014384-0.0024885i,0.0038837-0.00012282i,0.0073671+0.014425i,-0.0057816+0.0065939i,-0.0050413-0.0062433i,0.0054326-0.0027166i,-0.0067174-0.0052652i,0.0033226-0.0064004i,0.0042186-0.002196i,-0.0024105+0.010148i,0.011434-0.0055984i,0.0058355-0.0046936i,0.0057462-0.0082993i,0.0030674+0.00076754i,-0.0017409-0.0061205i,-0.0036396-0.0015075i,0.0020103-0.0016226i,-0.010157+0.031239i,-0.0043542-0.0052587i,0.0033473+0.00010106i,-0.00029563-0.0070459i,0.0032102-0.00189i,-0.013184-0.005762i,0.00087324+0.00086662i,0.0040348-0.0017095i,0.0023509-0.00093288i,0.001375-0.0055938i,-0.002033+0.0056228i,-0.0002365+0.0056868i,-0.0050623+0.0068244i,-0.0052496+0.0021784i,-0.0055579+8.0873e-05i,-0.023232+0.018682i,-0.0084332+0.014851i,-0.022156-0.011283i,-0.0089402-0.0092072i,0.009062+0.020371i,-0.00033583+0.020005i,-0.008437-0.0035249i
0.0060713+0.0029612i,0.038098+0.0067508i,0.018351-0.0080338i,0.014005+0.00056069i,0.0090765-0.0034476i,0.014232-0.010675i,0.013001+0.011371i,0.021018+0.016284i,-0.000102-0.0027826i,0.0014908+0.00021052i,0.0023636-0.0015623i,-0.00050099-0.0028882i,-0.00011439-0.00069816i,0.0020539-0.00023723i,0.0044212-0.0022973i,0.0054248+2.8398e-05i,0.0031683-0.0057501i,0.00014951-0.00083723i,-0.0019728+2.9521e-05i,0.00087571+0.00016487i,7.3829e-05-0.00060493i,-0.0022814+6.2933e-05i,-0.001527+0.00011477i,0.0096394+0.0044063i,-0.00092197+0.00098636i,0.00090448+0.00046688i,0.0010976+0.00027534i,0.0004827+0.0010824i,-0.00086066+0.00032935i,-0.0011872+0.00040643i,-0.00014461-0.0011728i,-0.00056121+0.00010289i,0.00018738+0.00058301i,0.00032267+0.00046011i,-0.00074787+9.3669e-05i,-0.0060439+0.0087915i,0.00025621+5.0475e-05i,-0.00040223+0.00042512i,0.00028018+0.0012962i,-0.0012159-0.0020697i,-0.00048795+0.00011727i,-0.00043724+8.3457e-05i,0.0010075+0.0012625i,0.0022681-0.0023428i,0.0013963+0.0028645i,-0.044924+0.016909i,-0.00032285+0.029854i,-0.0064547+0.040989i,0.0085283+0.061877i,-0.0058954+0.04333i,-0.0081037+0.016071i,-0.011677+0.011627i,-0.047601+0.0088491i,-0.020727-0.0095774i,0.020651+0.020163i,0.00045747+0.0052257i,-0.0055802+0.006338i,-0.014175+0.0026468i,0.0023192-0.0019905i,0.010575+0.012141i,-0.0019172+0.010693i,-0.0086861-0.0046511i,0.0022436-0.0041761i,-0.0067481-0.0017475i,-0.00087191-0.0061737i,0.0026674-0.0037926i,0.002377+0.008001i,0.0070776-0.0083332i,0.0023061-0.0057169i,0.00124-0.0060991i,0.0041511-0.00026116i,-0.0032721-0.0050736i,-0.0020678+0.00071901i,0.00206-0.0016754i,0.0059659+0.031411i,-0.0055978-0.00436i,0.0036024-0.001821i,-0.0034287-0.006046i,0.0032362-0.0027357i,-0.013428+0.00053874i,0.0018224+0.0012188i,0.0030684-0.0018663i,0.0026262-0.0020361i,-0.00028177-0.0060173i,-0.00025247+0.0028386i,0.0018444+0.0045362i,-0.0014673+0.0083597i,-0.0037048+0.0043043i,-0.0063539+0.00095053i,-0.018174+0.017663i,-0.0061922+0.016997i,-0.02507-0.0061832i,-0.011713-0.012037i,0.011885+0.019679i,0.0034133+0.021525i,-0.011382-0.0034254i
0.0057164+0.0014135i,0.037563-0.0014743i,0.016909-0.012267i,0.015175-0.0023841i,0.0099606-0.0054792i,0.011851-0.013772i,0.013128+0.0084855i,0.023454+0.011902i,-0.00049204-0.0023025i,0.001181-0.00032413i,0.0018141-0.0025784i,-0.00072596-0.001357i,-7.3481e-05-0.00064985i,0.0020189-0.00057825i,0.0034905-0.0031061i,0.0049353-0.00079843i,0.0013228-0.0054396i,-6.6379e-05-0.0010245i,-0.002199+0.00077007i,0.00077807-0.00069126i,-0.00059713-0.00091684i,-0.0020093+0.00066868i,-0.0015971+0.00041081i,0.010181-0.00054365i,-0.00018149+0.0014417i,0.0008127-0.00014348i,0.00080841-9.8783e-05i,0.00092547+0.00058278i,-0.00047809+0.00073799i,-0.0010868+0.00087486i,-0.00069508-0.00091171i,-0.0010731+0.00058621i,0.00044854+0.00050708i,0.0003822+0.00022931i,-0.00024588+0.00067407i,-0.0029903+0.0097914i,7.4758e-05+0.00015743i,-7.3039e-05+0.00041843i,0.00057992+0.00089866i,-0.0017371-0.001184i,-0.00036987+1.0191e-05i,-0.00026581+0.00025177i,0.0012203+0.0012525i,0.0018902-0.0023901i,0.0034013+0.0019771i,-0.038733+0.02333i,0.0038807+0.030729i,0.0022725+0.038701i,0.023254+0.052913i,0.0037734+0.042233i,-0.011118+0.015116i,-0.014254+0.012073i,-0.047569+0.01515i,-0.019778-0.012818i,0.024265+0.012146i,0.00070799+0.0050085i,-0.0037126+0.0080446i,-0.013138+0.0064226i,-1.4545e-05-0.0038249i,0.013289+0.0090353i,0.0032246+0.01146i,-0.011119-0.0019535i,0.00044208-0.0026987i,-0.0058387+0.0010911i,-0.0028094-0.0038869i,0.00071532-0.0037827i,0.0047241+0.0070971i,0.004079-0.0087787i,-0.0012501-0.0046896i,0.00041498-0.0035944i,0.0043537-0.0024599i,-0.0054051-0.0034807i,-0.00087224+0.00053474i,0.0010543-0.0023546i,0.019113+0.02397i,-0.0073197-0.0023275i,0.0030988-0.0031966i,-0.0036116-0.0042411i,0.0032945-0.0041789i,-0.010453+0.0058913i,0.0034512+0.00068517i,0.0022031-0.002355i,0.0015938-0.0022643i,-0.0021691-0.0049678i,-0.0012806+0.0026202i,0.0029338+0.0028637i,0.0022391+0.0083254i,-0.0024071+0.0047454i,-0.0069837+0.0026397i,-0.015807+0.016075i,0.00036796+0.017689i,-0.025777-0.0018393i,-0.015683-0.013121i,0.016677+0.016868i,0.0086462+0.022123i,-0.013707-0.0013541i
0.0051586+0.00039974i,0.034212-0.0082165i,0.013582-0.016439i,0.01487-0.0066102i,0.0098739-0.008523i,0.0084998-0.015898i,0.012855+0.0064528i,0.024387+0.0070427i,-0.00032082-0.0024018i,0.00060092-0.00029069i,0.00066018-0.002833i,-0.00032777-0.00054504i,-0.00050723-0.00040703i,0.0016728-0.00075754i,0.0022952-0.0035873i,0.004319-0.001209i,-4.3574e-05-0.0045729i,-0.00026892-0.00094402i,-0.0014748+0.001677i,0.00010765-0.0010774i,-0.0011158-0.00042018i,-0.0015599+0.0013282i,-0.00152+0.00092362i,0.0081182-0.0042672i,0.00041023+0.001312i,0.00044573-0.00024134i,0.00065505-0.00014179i,0.00076667+7.2961e-05i,-4.6808e-05+0.00065883i,-0.00075053+0.0014236i,-0.0010892-0.00035365i,-0.00063082+0.0012067i,0.00057992+0.00019044i,0.00029537+7.8083e-05i,0.00022909+0.00066146i,0.00013295+0.009825i,0.00018443+0.00019071i,-2.4863e-05+0.00022097i,0.00059779+0.00075295i,-0.0017041-0.00034872i,-0.00044378-4.2717e-05i,-0.00015509+0.00026917i,0.0015353+0.0011654i,0.0014773-0.0023864i,0.0049864-0.00025873i,-0.031433+0.028122i,0.0091088+0.030761i,0.0080004+0.035518i,0.034934+0.039598i,0.013391+0.037052i,-0.014738+0.017319i,-0.017413+0.015202i,-0.045689+0.022356i,-0.02166-0.015815i,0.024979+0.0030476i,0.0010387+0.0053556i,-0.0011547+0.01094i,-0.010917+0.010042i,-0.0042861-0.0029984i,0.015604+0.0035638i,0.0081138+0.0096984i,-0.012441+0.0018352i,-1.3039e-05-0.0019822i,-0.0040261+0.002681i,-0.0035044-0.001211i,-0.00035075-0.0032989i,0.0069568+0.0038694i,0.0012562-0.0087514i,-0.0032875-0.0017079i,0.00093826-0.0021167i,0.0031331-0.0043693i,-0.0058857-0.00022613i,0.00035505+0.00092824i,0.00043552-0.002143i,0.026469+0.011984i,-0.0078276+0.0012266i,0.002211-0.0045454i,-0.0041834-0.0027039i,0.0018251-0.0061067i,-0.0058379+0.0080075i,0.004559-0.0012534i,0.001266-0.002036i,0.0012288-0.0022353i,-0.0027475-0.0031463i,-0.0014544+0.0036204i,0.0030013+0.0011087i,0.005744+0.0067796i,-0.0012868+0.0045673i,-0.0070488+0.0049786i,-0.014228+0.017111i,0.008949+0.012874i,-0.024387+0.00326i,-0.021179-0.012062i,0.018893+0.012106i,0.014944+0.020412i,-0.013333+0.00059378i
0.0049892-0.00020219i,0.030879-0.012738i,0.0094866-0.018998i,0.013375-0.010589i,0.0084115-0.01159i,0.0052904-0.017027i,0.012753+0.0052525i,0.024303+0.0026755i,-6.8797e-05-0.0028457i,0.00018465-6.7944e-05i,-0.00041761-0.002495i,0.000174-0.00038984i,-0.00068798+0.00027321i,0.0013725-0.00092312i,0.0011742-0.0034807i,0.0041028-0.0012827i,-0.00072018-0.0036924i,-0.00068399-0.00087139i,-0.00067316+0.0017245i,-0.00053347-0.00097669i,-0.0012565+5.9652e-05i,-0.00076548+0.0016717i,-0.0011528+0.0014495i,0.0052293-0.0063845i,0.00075183+0.00099605i,0.00032133-0.0002461i,0.00051091-0.00029595i,0.00050773-0.00011609i,6.7465e-05+0.00058105i,2.5027e-06+0.0016848i,-0.0010267+0.00024992i,-4.5167e-05+0.0013494i,0.00052263-0.00012062i,0.00033536+0.00021284i,0.0006866+0.00062902i,0.0028231+0.0090345i,0.00015405+0.00025395i,-0.00019678+0.00023986i,0.00090581+0.00069439i,-0.0014357+0.00020306i,-0.00058779-0.00020155i,-7.9089e-05+0.00029625i,0.0017788+0.0007022i,0.00083405-0.002641i,0.0050189-0.0031528i,-0.023171+0.03065i,0.015585+0.029164i,0.014157+0.032788i,0.039491+0.023945i,0.019041+0.029988i,-0.015567+0.023135i,-0.017523+0.021887i,-0.042761+0.030517i,-0.026356-0.016721i,0.020568-0.0044938i,0.0023059+0.005717i,0.004041+0.010902i,-0.0077286+0.012847i,-0.0060398+0.00062142i,0.014371-0.0033751i,0.012073+0.0061254i,-0.012331+0.0058908i,7.5624e-05-0.00059355i,-0.0023921+0.0034106i,-0.0018091+0.0006618i,-0.0019764-0.0021915i,0.0069985+0.00086633i,-0.001287-0.0076852i,-0.0027681+0.0013961i,0.0023101-0.0022359i,0.0012164-0.0054112i,-0.0039904+0.0016943i,0.0017331+1.4073e-05i,0.00025506-0.0016089i,0.027118-0.00081202i,-0.0056814+0.0042528i,0.00041521-0.0053279i,-0.0037067-0.0016613i,-0.00032459-0.0065817i,-0.0020284+0.0077827i,0.0039694-0.0034645i,0.0012925-0.001048i,0.0015584-0.0021562i,-0.0018458-0.0022943i,0.00014108+0.0045286i,0.0019186+6.0869e-05i,0.0073856+0.0032771i,-0.00070672+0.0034698i,-0.0055801+0.007854i,-0.011076+0.018262i,0.012233+0.0016683i,-0.020363+0.0053957i,-0.026342-0.0092951i,0.020094+0.0069038i,0.020075+0.014338i,-0.013823+0.0009979i
0.0050205-0.0011621i,0.027968-0.016891i,0.0056343-0.020632i,0.010945-0.014324i,0.0062858-0.01402i,0.0019323-0.017751i,0.013603+0.0042707i,0.023781-0.001467i,-0.00015455-0.0037887i,-0.00027323+0.00026143i,-0.00096293-0.0017416i,0.00046473-0.00034225i,-0.00021788+0.00093135i,0.0010599-0.00088933i,0.00039236-0.0031609i,0.0042915-0.0015816i,-0.0009375-0.0032834i,-0.00076709-0.00057369i,-5.5567e-05+0.0016385i,-0.00092513-0.00063195i,-0.00095962+0.00038372i,0.00018397+0.0014678i,-0.00054259+0.0016916i,0.001962-0.0072406i,0.00115+0.00070178i,0.00019711-0.00032675i,0.00031812-0.00044509i,0.00036232-0.00019156i,0.00025459+0.00054436i,0.00065207+0.0013619i,-0.00075848+0.00060055i,0.00052204+0.0011941i,0.00031006-0.00019832i,0.00051484+1.8331e-05i,0.00094909+1.3491e-05i,0.0046425+0.0074562i,0.00026391+0.00027089i,-0.0001122+0.00040858i,0.00094984+0.00035238i,-0.00095574+0.00048922i,-0.00089082-9.48e-05i,3.3472e-05+0.00017888i,0.0018615+0.00038606i,5.5808e-05-0.0024551i,0.0041994-0.0058062i,-0.015401+0.03058i,0.02159+0.025119i,0.020132+0.028672i,0.039159+0.0096946i,0.021917+0.023372i,-0.012364+0.029697i,-0.013335+0.029196i,-0.036073+0.040174i,-0.031424-0.013982i,0.015233-0.0081046i,0.0039025+0.004965i,0.0075307+0.0084771i,-0.0035705+0.014911i,-0.005312+0.0034044i,0.0096768-0.0092998i,0.013393+0.00040026i,-0.010647+0.0089961i,0.0012558-0.00032145i,-0.00072995+0.0032114i,-0.0002347+0.00050439i,-0.0020457+0.00012911i,0.0056917-0.00079644i,-0.002849-0.0057817i,-0.00054642+0.0031224i,0.0025358-0.0038877i,-0.0010177-0.0051398i,-0.0028014+0.0019225i,0.0018679-0.0013132i,0.00080473-0.0014539i,0.022309-0.011465i,-0.002709+0.0052513i,-0.0013222-0.004852i,-0.0034102-0.00094788i,-0.002654-0.0061897i,0.00060267+0.0067304i,0.0029854-0.0048164i,0.0021338-0.0011803i,0.0013857-0.0032597i,-0.0014103-0.0025854i,0.0015776+0.004585i,0.00084034+0.00041382i,0.0069877+0.00075194i,-0.0011084+0.0026452i,-0.0024219+0.0094745i,-0.0076082+0.018158i,0.0080309-0.0079413i,-0.017937+0.0031637i,-0.031807-0.0033819i,0.018551+4.4351e-05i,0.020975+0.0076621i,-0.014837+0.0027905i
0.0048121-0.0020428i,0.024266-0.02098i,0.0012379-0.022244i,0.0069095-0.017818i,0.0035766-0.016301i,-0.0016505-0.017595i,0.015191+0.0024338i,0.022645-0.0056089i,-0.00072106-0.0045579i,-0.00047608+0.0012105i,-0.0013448-0.0011493i,0.00068977-0.00092146i,0.00037379+0.0010688i,0.00075633-0.00078514i,-0.00016983-0.0027207i,0.004405-0.0023593i,-0.0012893-0.0031151i,-0.0010507-0.00041384i,0.00066725+0.0013004i,-0.0013438-0.00016508i,-0.00096607+0.00047361i,0.00069417+0.00078789i,-5.0625e-05+0.0016609i,-0.0013987-0.0066277i,0.0012155-0.0002697i,-2.2014e-05-0.0001886i,-0.00013242-0.00050498i,0.00017588-0.00014353i,0.00051265+0.0002656i,0.000979+0.00086757i,-0.00031388+0.00074177i,0.00074251+0.0009619i,2.6995e-05-0.00010692i,0.00045117-0.00015374i,0.00050677-0.00073749i,0.0058258+0.0058921i,0.00032313+0.00022027i,-8.3869e-05+0.00044656i,0.00096152+0.00019903i,-0.00039647+0.0005274i,-0.0010693+0.00031275i,6.4408e-05+0.00018025i,0.0019139-5.2547e-05i,-0.00062208-0.002026i,0.0022247-0.0081431i,-0.0090383+0.028761i,0.025687+0.019553i,0.025411+0.023401i,0.034564-0.0018774i,0.023051+0.018243i,-0.0062173+0.033935i,-0.0043741+0.033867i,-0.024725+0.046534i,-0.035349-0.0085393i,0.010326-0.0093246i,0.0049206+0.0036033i,0.0091338+0.0047425i,0.000948+0.014841i,-0.0043451+0.0050901i,0.0019362-0.011291i,0.011276-0.0045475i,-0.008216+0.011646i,0.0018321-0.001604i,0.00051452+0.0024248i,8.2246e-05-0.00032069i,-0.00027398+0.0013179i,0.0045004-0.0010926i,-0.0034109-0.0044665i,0.001683+0.0029284i,0.0011736-0.0058678i,-0.0025092-0.0040557i,-0.0017024+0.0022973i,0.0011996-0.0024276i,0.00090224-0.0022203i,0.014194-0.017548i,-0.00019621+0.0050034i,-0.0022206-0.0040351i,-0.0029814-0.00080461i,-0.0044307-0.0052893i,0.0022121+0.0053327i,0.001517-0.0065397i,0.0024774-0.0020996i,8.6381e-05-0.0037842i,-0.0021399-0.002951i,0.0035548+0.0044135i,0.00053823+0.0014386i,0.0063523-0.0011835i,-0.0020647+0.0027888i,0.00074742+0.0088161i,-0.00426+0.018172i,0.00078082-0.013892i,-0.020218+0.00044178i,-0.033328+0.0052863i,0.01261-0.0040687i,0.02077+0.0021733i,-0.014064+0.0046376i
0.0048087-0.0030522i,0.020294-0.023784i,-0.0040441-0.022406i,0.001405-0.019445i,-0.00012601-0.017742i,-0.0045759-0.016427i,0.016693-0.00048744i,0.020531-0.0092866i,-0.0011823-0.0055223i,0.00036457+0.002285i,-0.0014943-0.00019217i,-9.1465e-05-0.0013995i,0.00092848+0.0010528i,0.00074883-0.00056654i,-0.00041494-0.0023052i,0.0041172-0.0029701i,-0.0023596-0.0027512i,-0.001142+9.9637e-05i,0.0010068+0.0005645i,-0.001383+0.00069902i,-0.00084691+0.0008417i,0.00052695+6.9643e-05i,0.00039182+0.0015808i,-0.0037727-0.0043417i,0.00033682-0.00065922i,-3.9122e-05-1.4996e-05i,-0.00039132-0.00031715i,6.7691e-05-2.1749e-05i,0.00039038-5.6824e-05i,0.0010669+0.00043992i,3.0375e-05+0.00066947i,0.00088111+0.00063937i,4.363e-05+5.4839e-05i,0.00034209-0.0002196i,-0.00020749-0.00050382i,0.0065349+0.004133i,0.0004047+0.00012119i,-2.4918e-05+0.000634i,0.0010484+3.0871e-05i,0.00014309+0.00019303i,-0.00092616+0.0008759i,0.00015835+0.00015138i,0.0016487-0.00062658i,-0.0010736-0.0013477i,-0.00037505-0.0093426i,-0.0042279+0.02582i,0.027883+0.013931i,0.030011+0.016863i,0.028188-0.0092204i,0.023447+0.014124i,0.00096605+0.035945i,0.0049223+0.033618i,-0.011981+0.048576i,-0.036227-0.0015429i,0.0070737-0.0091001i,0.005684+0.0021294i,0.0088307+0.0015316i,0.0053357+0.01305i,-0.0028635+0.0069085i,-0.0047674-0.0086458i,0.007864-0.0070084i,-0.0048866+0.0136i,0.0011636-0.0033569i,0.00072426+0.001555i,-0.00028684-0.00045213i,0.001558+0.0012009i,0.0038788-0.0013894i,-0.0043044-0.0030738i,0.0030785+0.0016642i,-0.0019442-0.0066842i,-0.0030909-0.0026034i,-0.0002068+0.0017517i,0.00072051-0.0029688i,0.0004379-0.0033429i,0.0057042-0.019325i,0.0015066+0.0039973i,-0.0029366-0.0034603i,-0.0035957-0.00073167i,-0.0059068-0.0037168i,0.0027202+0.0040826i,-0.00109-0.007539i,0.0026098-0.0032758i,-0.0010074-0.0032716i,-0.0026375-0.0027089i,0.004943+0.0031902i,0.0012201+0.0021504i,0.0046677-0.0027164i,-0.0023139+0.0039565i,0.002806+0.0072176i,0.00023006+0.017896i,-0.0089229-0.016503i,-0.024186+0.0010308i,-0.030496+0.013739i,0.0075102-0.0035992i,0.018384-0.0035535i,-0.012928+0.0046406i
0.0045916-0.0046641i,0.016526-0.026507i,-0.0085738-0.020717i,-0.0035639-0.018697i,-0.0039497-0.017983i,-0.0067144-0.015149i,0.017515-0.0045693i,0.018097-0.012272i,-0.0021897-0.006558i,0.0017786+0.0023425i,-0.00098331+0.0005807i,-0.00079113-0.00094235i,0.0014734+0.00052501i,0.00081326-0.0005559i,-0.00056392-0.0020594i,0.0038979-0.0034395i,-0.0029998-0.0016248i,-0.00079005+0.00030442i,0.00081178-9.5444e-05i,-0.00089172+0.001201i,-0.00054291+0.00099003i,0.00014712-0.00027315i,0.00083021+0.0013262i,-0.0047536-0.0016274i,-0.00016974-0.00029264i,2.3163e-05+6.4004e-06i,-0.00049899-0.00015356i,7.2648e-05+5.2928e-05i,0.00013085+5.329e-05i,0.0010253-6.2092e-05i,0.00035926+0.00048553i,0.00077239+0.00044617i,0.00021067+5.4934e-05i,0.00040502-0.00018909i,-0.00031375+5.7737e-05i,0.0066507+0.0024198i,0.00032239+8.9937e-05i,0.00034809+0.00076231i,0.0011081-0.00045289i,0.00034429-0.00026136i,-0.00041078+0.0011491i,0.00019383-3.0625e-05i,0.0011332-0.0011024i,-0.0011974-0.00073197i,-0.0031695-0.0097129i,-0.0014978+0.022549i,0.029015+0.0088025i,0.032338+0.0085093i,0.021686-0.013902i,0.023679+0.011995i,0.0088179+0.035944i,0.013006+0.031245i,-0.00034267+0.046823i,-0.034704+0.005267i,0.0045688-0.0091629i,0.0062911-0.00011839i,0.0083801-0.00084507i,0.0088429+0.0097434i,-2.4735e-05+0.0073727i,-0.0082048-0.0036954i,0.0042314-0.0081217i,-0.00073322+0.013622i,-0.00093598-0.0040634i,8.8978e-05+0.0013725i,-0.00043523-0.00011642i,0.0026122+0.00014218i,0.0034652-0.00087531i,-0.0042273-0.0012742i,0.0033272+0.00029475i,-0.004583-0.0049804i,-0.0027931-0.0014323i,0.00013326+0.00048724i,-4.1971e-05-0.0038418i,-0.00087292-0.0037296i,-0.0014716-0.017889i,0.0030231+0.002402i,-0.0039078-0.0026937i,-0.0037909+0.00069383i,-0.0065618-0.0014484i,0.003344+0.0033889i,-0.0043192-0.0070312i,0.0021351-0.0047439i,-0.001571-0.0028777i,-0.0030174-0.0030107i,0.0060964+0.0019038i,0.0020816+0.0023223i,0.0029689-0.0025427i,-0.0017486+0.0046379i,0.0039976+0.0052762i,0.0049712+0.015553i,-0.01913-0.014022i,-0.027845+0.0036927i,-0.025289+0.018279i,0.0050173-0.0025782i,0.013462-0.0070077i,-0.014207+0.0052294i
0.0035254-0.0061904i,0.012277-0.029203i,-0.012021-0.018496i,-0.0074025-0.016885i,-0.0076343-0.01742i,-0.0088808-0.013981i,0.016905-0.0096305i,0.015493-0.014837i,-0.0040036-0.007337i,0.0029814+0.0017733i,-0.0002519+0.00084717i,-0.0010692-0.00011092i,0.0015221-0.00017697i,0.00083455-0.00064221i,-0.00085686-0.0019659i,0.0036227-0.0041313i,-0.0031939-0.00039477i,-0.00061707+0.00022604i,0.00051768-0.00035501i,-0.00034181+0.001422i,-0.00025742+0.0010731i,-0.0002261-0.00028442i,0.0010849+0.00090278i,-0.0043408+0.0010094i,-0.00016413+0.00018008i,1.628e-05+8.6602e-05i,-0.00052515+8.6236e-05i,9.2058e-05+0.0001083i,0.00019849+0.0001388i,0.00064523-0.00041778i,0.00051071+0.00012181i,0.00087252+0.00047989i,0.00025455+2.3447e-05i,0.00041188-0.00050948i,-4.9415e-05+0.00041359i,0.0065878+0.0010066i,0.00041126+5.0969e-05i,0.00074744+0.0006406i,0.00062773-0.00084384i,0.00058323-0.00054944i,0.00015093+0.0012446i,8.475e-05-0.00014297i,0.00040942-0.0010568i,-0.0011897+0.00014998i,-0.0056909-0.0091259i,-0.00066649+0.020763i,0.029561+0.0038892i,0.031469+0.0015525i,0.014689-0.01701i,0.026217+0.01077i,0.016234+0.033299i,0.020829+0.026826i,0.010468+0.041535i,-0.030272+0.011055i,0.0022849-0.0088781i,0.0052939-0.0034147i,0.0077903-0.003527i,0.01003+0.0052867i,0.001739+0.0063457i,-0.0088211+0.0020005i,0.00038967-0.0076557i,0.0023544+0.011404i,-0.00317-0.0030503i,-0.00020854+0.0021173i,-0.00044262+0.00015936i,0.0031706-0.0014271i,0.004391-6.9166e-05i,-0.0031413-0.00037247i,0.0034445+6.5173e-05i,-0.005453-0.0028332i,-0.0022285-0.00087592i,-0.00031597+0.00017192i,-0.0020554-0.0042964i,-0.0022008-0.003096i,-0.0071402-0.015i,0.0034581+0.00012935i,-0.0044494-0.0013612i,-0.0027867+0.0016803i,-0.0062932+0.00060462i,0.004059+0.0025824i,-0.0067644-0.0047228i,0.00024305-0.0063339i,-0.002465-0.002347i,-0.0046384-0.002555i,0.0069874-0.00043757i,0.003129+0.0023819i,0.0027101-0.0022084i,-0.0006854+0.0055896i,0.0041308+0.0030163i,0.0087323+0.011484i,-0.02525-0.0057301i,-0.030964+0.0091986i,-0.020103+0.021841i,0.0029281-0.00058214i,0.0091942-0.0070845i,-0.014271+0.0070467i
