-0.023415-0.038358i,-0.012096-0.049953i,-0.018544-0.044335i,-0.030889-0.034961i,-0.030163-0.015848i,-0.050367-0.026655i,-0.057514-0.02557i,-0.044792-0.036861i,-0.03047-0.031155i,0.0078778+0.011672i,-0.005239+0.015198i,-0.004514+0.014303i,0.01061+0.020637i,0.00085754+0.0043195i,0.0031076+0.0035131i,0.0061184+0.018309i,0.020555+0.037797i,-0.0026802-0.0011479i,-0.0046215-0.0058188i,0.0081032+0.003131i,-0.00028526-0.00069004i,-0.0012721+0.002277i,3.0866e-05-0.00032348i,-0.028984-0.0026434i,-0.0022012-0.0058351i,0.0013479+0.004393i,0.0030875-0.00030137i,-0.00030583+0.00070708i,0.00061592-0.00023867i,-0.0010703-0.0026794i,-0.0018822-0.0058676i,-0.0045-0.0047216i,-0.0026952-0.0042939i,0.0022548-0.00048197i,0.0017204-0.0030139i,-0.0012651+0.026203i,0.0011223-0.0031721i,0.0029786+0.00072087i,0.0054116+0.0013042i,-0.0086969-0.0028252i,-0.0039757+0.00028969i,0.0048422+1.2934e-05i,0.0072103-0.00024748i,-0.0033696+0.0048077i,0.0011684-0.0098103i,-0.011564+0.017669i,0.035757-0.090751i,0.01188-0.070212i,-0.016133-0.059763i,-0.016382-0.055269i,0.038787-0.045602i,0.017638-0.062296i,0.033274-0.055051i,0.029856-0.060198i,0.01599-0.013686i,0.0047841+0.016621i,0.016448-0.025822i,-0.010935+0.0054634i,-0.00032131+0.0057959i,-0.0048741-0.0012049i,-0.0020357-0.029585i,-0.02428+0.031806i,0.010659-0.011557i,-0.01337-0.0025594i,-0.00018631-0.005033i,-0.0012987-0.016766i,-0.0070823+0.0049951i,0.0053815+0.0063532i,-0.0082374+0.029978i,0.0046958+0.0057177i,-0.0052066-0.00091389i,-0.003082-0.00060533i,-0.011544-0.0080506i,-0.0013269-0.0047429i,-0.026079+0.0048587i,0.0002102-0.0096942i,-0.0097071-0.001852i,-0.0063531-0.003183i,0.0070413+0.0027665i,-0.0078935+0.0011348i,-0.00021701+0.00043647i,0.0063345+0.011263i,0.0038972+0.0014674i,-0.009292-0.010118i,0.0031736+0.0078781i,-0.021942+0.0043879i,0.0082745+0.00035351i,-0.02911-0.003657i,-0.042445+0.0022935i,0.020534-0.099954i,-0.0018144-0.012184i,-0.052513-0.021525i,-0.02228-0.001402i,0.017788+0.010548i,-0.02533+0.013389i,-0.018299-0.014025i
0.0084475+0.021453i,0.015066+0.051608i,0.024726+0.034542i,0.017313+0.026644i,0.024592+0.026557i,0.032042-0.014613i,0.016885-0.0092978i,0.02903+0.0043938i,0.011676+0.012783i,0.0027662+0.0038281i,0.0051112+0.0028986i,0.0044141+0.0031548i,0.0059147+0.0027479i,0.0050598+0.0035035i,0.0030274-0.0033759i,0.0077575-0.0013043i,0.011066-0.004556i,-0.0015629-0.0012421i,-0.0034099+0.00080732i,-2.6687e-05+0.0014065i,-0.0010739-0.00015121i,-0.0024987+0.0012248i,-0.0019024+0.00095917i,0.0043906+0.0076316i,0.0013054+0.00072614i,0.0023145+0.00049925i,0.0018152+0.0010677i,0.0011009+0.0013555i,0.00055124+7.779e-05i,-0.00034883+0.00086221i,-0.0022679-0.0033814i,-0.00090553-0.00044371i,-0.00090495+0.00077941i,-0.0011338+0.00018091i,-0.00023195-0.001512i,-0.0072009+0.0079332i,0.0011864+0.00028639i,0.0014048-0.00045178i,-0.00095324+0.002653i,6.6178e-05-0.0040701i,-0.0011951+0.00025702i,-0.0022546-0.00057547i,0.0016702+0.00080254i,0.0076174+0.0053896i,-0.014045+0.032016i,-0.080714+0.034672i,-0.051365+0.037925i,-0.036999+0.059397i,-0.018503+0.0723i,-0.0087623+0.051294i,0.011801+0.036429i,0.0025697-0.0024554i,-0.038003+0.0098707i,-0.044655+0.020694i,0.0016969+0.023873i,-0.007882+0.0024686i,-0.010423-0.00074264i,-0.012756-0.0024521i,0.0023612+0.00063106i,0.0053271+0.010912i,-0.0018168+0.0087357i,-0.0063585-0.011564i,0.0053879-0.0069633i,-0.0063897-0.0069712i,0.0018219-0.0061242i,0.0039182-0.0041943i,-0.001646+0.010145i,0.010502-0.0042466i,0.0058378-0.0057005i,0.0030728-0.0064237i,0.0031119-0.00060525i,-0.0011672-0.0046927i,-0.0035951-0.00083227i,0.0024571-0.00025381i,-0.013204+0.03517i,-0.0043252-0.0039485i,0.002245+0.00045912i,8.5886e-05-0.0066508i,0.0024633-0.0014462i,-0.014516-0.00322i,0.00045869+9.049e-05i,0.0054444-0.00319i,0.002961-0.0012202i,0.00056682-0.0047747i,-1.8265e-05+0.0059549i,-0.0007425+0.0067408i,-0.0028635+0.0043708i,-0.012146+0.0024663i,-0.015423-0.0018029i,-0.039917+0.056728i,0.00059916+0.0048821i,-0.025032-0.016809i,-0.008127-0.0047306i,0.0092746+0.020308i,-0.0016233+0.022659i,-0.0008021-0.00067705i
0.011021+0.017816i,0.02341+0.046742i,0.030261+0.030044i,0.021945+0.024362i,0.030315+0.022473i,0.028733-0.020251i,0.01412-0.012391i,0.029143-0.00087358i,0.013211+0.010344i,0.0038526+0.0027032i,0.0056658+0.0015509i,0.0041513+0.0029294i,0.0061211+0.001684i,0.0055748+0.0021617i,0.0018973-0.0039059i,0.0064953-0.0025996i,0.0078759-0.0077965i,-0.0012514-0.0010551i,-0.003409+0.000592i,0.00061068+0.00055211i,-0.0013047-0.00023449i,-0.0021568+0.0017314i,-0.0015453+0.0010594i,0.0079427+0.0050816i,0.0013295+0.00071905i,0.0026128-0.00048846i,0.0019753+8.471e-05i,0.0015563+0.00043347i,0.00026291+7.0177e-05i,-0.00021864+0.0008935i,-0.0033429-0.0019128i,-0.0013036-0.00044761i,-0.00068588+0.0011069i,-0.00086323+0.00055385i,-0.00099692-0.00061871i,-0.003965+0.0094291i,0.00092713-0.00019506i,0.0010482-0.00079068i,0.00042563+0.0025933i,-0.0013079-0.003447i,-0.0010299+0.00038425i,-0.0025209+0.00017286i,0.0015076+0.00088013i,0.0082532+0.0041433i,-0.0083151+0.033777i,-0.069251+0.0488i,-0.047221+0.046688i,-0.026778+0.063083i,-0.002615+0.069705i,0.0021059+0.049132i,0.01105+0.032182i,-0.0032328-0.0065334i,-0.038504+0.01277i,-0.035818+0.022339i,0.0073779+0.022371i,-0.0081984+0.0048389i,-0.0095987+0.0049009i,-0.011501+0.0013149i,0.001363-0.00065883i,0.0078426+0.010221i,0.0026889+0.011594i,-0.012059-0.0096866i,0.00067469-0.0077488i,-0.0061083-0.0031462i,-0.0015716-0.0058177i,0.0013412-0.0057027i,0.0027411+0.0077665i,0.0066942-0.0072065i,0.0020498-0.0061752i,-5.6757e-05-0.0039388i,0.0037774-0.0016647i,-0.0021701-0.0039426i,-0.0014775+0.0013928i,0.0027939-0.00047066i,0.0068057+0.027845i,-0.0052723-0.0031141i,0.0028492-0.0017429i,-0.0029959-0.0057232i,0.0027705-0.0022813i,-0.01365+0.0026849i,0.00093203+0.00049429i,0.0031354-0.0031217i,0.0031645-0.0023113i,-0.00053613-0.0045611i,0.0018772+0.002737i,0.0024717+0.0055938i,-0.00038394+0.005114i,-0.010723+0.0059662i,-0.016349+0.0017639i,-0.029037+0.057954i,0.00087076+0.0055459i,-0.02878-0.010953i,-0.010101-0.0083609i,0.01227+0.019136i,0.002801+0.023882i,-0.0029658-0.0021827i
0.012453+0.014867i,0.029727+0.040095i,0.035491+0.023307i,0.027579+0.019832i,0.035972+0.016819i,0.024187-0.025468i,0.010679-0.015149i,0.028642-0.0063522i,0.014597+0.0079631i,0.0039159+0.0013668i,0.0054583-0.00027125i,0.0049502+0.0028505i,0.0060409+0.00012301i,0.005866+0.00042601i,0.00064353-0.0040653i,0.0050607-0.0035008i,0.0038433-0.008828i,-0.0016257-0.00095424i,-0.0027589+0.00050313i,0.00045805-0.0005158i,-0.0017913-0.00021972i,-0.0016405+0.0022568i,-0.0013839+0.0011707i,0.008619+0.0006988i,0.0017563+0.00020061i,0.0019992-0.0015377i,0.0015629-0.00075223i,0.0013724-0.00018912i,0.00021657+0.0001531i,-0.00011064+0.0010818i,-0.0038274-0.00013864i,-0.001919+0.00041472i,-0.00016495+0.0013809i,-0.00053125+0.00086229i,-0.00078607+0.00018319i,-0.00050726+0.0093429i,0.00070195-0.00030136i,0.00069659-0.0011752i,0.0011448+0.0014929i,-0.0024776-0.0024537i,-0.00093067+0.00048601i,-0.0022133+0.00086315i,0.001737+0.0013421i,0.0097286+0.0024138i,-0.0013847+0.034269i,-0.056417+0.05938i,-0.039173+0.054945i,-0.015555+0.063882i,0.011577+0.063005i,0.011734+0.046969i,0.010553+0.028797i,-0.0086588-0.0067716i,-0.037701+0.018361i,-0.02891+0.021103i,0.012365+0.017979i,-0.0075726+0.0070751i,-0.0073154+0.0077864i,-0.01178+0.0050202i,-0.00043363-0.0024216i,0.010523+0.0079193i,0.0077206+0.011004i,-0.016263-0.0050663i,-0.0014097-0.0052868i,-0.0051811-0.00028462i,-0.0033079-0.0038597i,-0.0013054-0.0049477i,0.0048634+0.0066825i,0.0038512-0.0076268i,-0.001529-0.0060078i,0.00011353-0.0018329i,0.003342-0.0040961i,-0.0039416-0.0030951i,-0.00022447+0.00097316i,0.0024109-0.001367i,0.015945+0.020275i,-0.0068317-0.001178i,0.0023898-0.002981i,-0.00297-0.0039667i,0.003-0.0038179i,-0.0097785+0.0075931i,0.0020957+0.00052307i,0.0018702-0.003363i,0.001904-0.0027462i,-0.0012672-0.0039998i,0.00088137+0.0017196i,0.0039443+0.003194i,0.0021074+0.0049621i,-0.0090124+0.0084409i,-0.016616+0.0062074i,-0.020252+0.057451i,0.0044793+0.0053314i,-0.030306-0.0057141i,-0.013043-0.010127i,0.016613+0.015854i,0.0084926+0.024402i,-0.0051132-0.0018376i
0.013319+0.012532i,0.033125+0.033642i,0.038027+0.015498i,0.031179+0.012746i,0.039847+0.0087357i,0.018189-0.02926i,0.0067167-0.016608i,0.026466-0.011639i,0.015956+0.00527i,0.0035739+0.00069193i,0.0047438-0.0010291i,0.0058326+0.0018782i,0.005179-0.00084285i,0.0053203-0.0011703i,-0.00068362-0.0037731i,0.0037178-0.0038311i,0.0009419-0.0079271i,-0.0015561-0.0004268i,-0.0015749+0.0013904i,-0.00040696-0.0009125i,-0.0021556+0.00055969i,-0.0010509+0.0027267i,-0.0012176+0.0014801i,0.0071438-0.0025542i,0.0015245-0.00037707i,0.0010652-0.0017475i,0.00098714-0.00095666i,0.0009254-0.00086228i,0.00029448+1.5934e-05i,0.00019395+0.0012794i,-0.003511+0.0017448i,-0.0013462+0.0014279i,0.00035354+0.0012589i,-0.00021389+0.0010137i,-0.00044995+0.00058938i,0.0022124+0.0085388i,0.00058214-0.00048547i,7.8336e-05-0.001453i,0.0010553+0.00098195i,-0.0029253-0.001287i,-0.00083188+0.00073979i,-0.001937+0.0014433i,0.0024715+0.0013782i,0.010218-6.4172e-05i,0.0054715+0.032175i,-0.041452+0.066505i,-0.02995+0.06099i,-0.0067229+0.063005i,0.023729+0.052377i,0.021443+0.041099i,0.0093624+0.027015i,-0.014685-0.0044068i,-0.035548+0.024798i,-0.024623+0.018274i,0.015346+0.011792i,-0.0056429+0.0098041i,-0.0043753+0.011131i,-0.010972+0.0077939i,-0.0042265-0.0015309i,0.013027+0.003939i,0.0122+0.0078185i,-0.018392+0.00013994i,-0.0018897-0.0040969i,-0.003364+0.0012897i,-0.0039062-0.0014227i,-0.0027054-0.0035315i,0.0068906+0.0034182i,0.0012215-0.0074313i,-0.0056696-0.0014552i,0.0010526-0.0010171i,0.0011989-0.0057393i,-0.0048931-0.00078255i,0.00085143+0.0012578i,0.0022163-0.001982i,0.021258+0.010298i,-0.0068405+0.0019967i,0.001749-0.0043735i,-0.0033638-0.0027489i,0.0013438-0.0057822i,-0.004624+0.0089953i,0.0032816-0.00076044i,0.0010176-0.002506i,0.0010728-0.0025064i,-0.0027217-0.0032052i,0.00052893+0.0015248i,0.0034568+0.001004i,0.0042437+0.0039658i,-0.0062336+0.010126i,-0.015295+0.011255i,-0.012747+0.057704i,0.010926+0.00091588i,-0.029154+5.3901e-05i,-0.017996-0.010085i,0.017823+0.010627i,0.0151+0.022698i,-0.0051352-0.00085523i
0.014696+0.010523i,0.036429+0.028663i,0.039021+0.0084453i,0.032512+0.0054248i,0.041154+7.9069e-06i,0.012325-0.031568i,0.0029008-0.016561i,0.023482-0.015968i,0.017232+0.0023528i,0.0033382+0.00018177i,0.0041078-0.001521i,0.0063625+0.00056914i,0.0046325-0.0011918i,0.0044222-0.0022411i,-0.0017387-0.0028554i,0.0026228-0.0036489i,-0.00061816-0.0067457i,-0.0017016+7.9793e-05i,-0.0010063+0.0015839i,-0.0011726-0.0006577i,-0.001914+0.0012889i,-5.8869e-06+0.0030881i,-0.00092317+0.0019496i,0.0049812-0.004516i,0.0011176-0.00062757i,0.00042459-0.0017614i,0.00062256-0.0010452i,0.00010532-0.00046911i,0.0001304-3.1177e-05i,0.00082098+0.0012812i,-0.0021772+0.0029463i,-0.00062545+0.0018018i,0.00074256+0.00087043i,0.00023242+0.0012893i,3.6137e-05+0.00081762i,0.0049112+0.0064078i,0.0002202-0.00048774i,-0.00050739-0.0013143i,0.0013953+0.00061571i,-0.0029013-6.6233e-05i,-0.00058063+0.0007629i,-0.0012868+0.0019983i,0.0031795+0.00077264i,0.0096229-0.0028695i,0.010697+0.028773i,-0.025277+0.069539i,-0.018009+0.065645i,0.0024031+0.062466i,0.029801+0.039325i,0.027646+0.03347i,0.0098496+0.028328i,-0.01802+0.0025756i,-0.031717+0.032566i,-0.023945+0.015997i,0.01427+0.0058069i,-0.0022972+0.011801i,0.00078994+0.011669i,-0.0087532+0.010295i,-0.0054635+0.0017677i,0.013264-0.0019238i,0.014663+0.0027491i,-0.018504+0.0061153i,-0.0023962-0.0024686i,-0.0021169+0.0016315i,-0.0026855+0.00022193i,-0.0039937-0.0014298i,0.0067462+0.00050515i,-0.0009779-0.0065505i,-0.004098+0.0028851i,0.0022469-0.0015468i,-0.0013217-0.0060096i,-0.0037113+0.0011616i,0.0022954+0.00038508i,0.0016643-0.0023804i,0.021551+0.00032848i,-0.0045949+0.0044061i,-1.2948e-06-0.0055241i,-0.0028361-0.0019368i,-0.00099849-0.0060896i,-0.00065561+0.00813i,0.0031921-0.0028134i,0.0012292-0.0013106i,0.0011145-0.0021023i,-0.0015517-0.0016725i,0.0010208+0.0018864i,0.0020191-0.0002956i,0.0048227+0.0015911i,-0.0037428+0.009943i,-0.011423+0.015883i,-0.0044181+0.05747i,0.012522-0.0097434i,-0.025644+0.0022615i,-0.023092-0.0075696i,0.018317+0.0063532i,0.020191+0.016538i,-0.0062047-0.0012302i
0.016127+0.0078944i,0.039879+0.022974i,0.039678+0.0013849i,0.032395-0.0020513i,0.040885-0.008457i,0.0060796-0.032904i,8.5935e-05-0.015821i,0.020185-0.019727i,0.018054-0.0015282i,0.002767-0.00027479i,0.0039813-0.0018849i,0.0065052-0.00086832i,0.0048822-0.0016776i,0.0034349-0.0029758i,-0.0021796-0.0019237i,0.0020782-0.0032908i,-0.0016014-0.0060311i,-0.0014995+0.00048464i,-0.00053442+0.0016833i,-0.0016-0.00011114i,-0.001272+0.0017867i,0.0013005+0.0027613i,-0.0002405+0.0022382i,0.0023411-0.0054113i,0.00093668-0.00071777i,-0.00022699-0.0017014i,0.00024062-0.0011424i,0.00089774-0.0012228i,4.8576e-05+9.5936e-05i,0.0012214+0.00074831i,-0.00063728+0.0034181i,0.00023231+0.0018454i,0.00085402+0.00055129i,0.00085443+0.0010693i,0.00044242+0.00045387i,0.005911+0.0038992i,6.4948e-05-0.00037124i,-0.00090981-0.00098397i,0.0013732+5.5493e-05i,-0.0023594+0.00066659i,-0.00041049+0.00072209i,-0.0004554+0.0020612i,0.0035703-3.8542e-06i,0.0085339-0.0053391i,0.014849+0.024555i,-0.010717+0.068036i,-0.0044057+0.065888i,0.011957+0.060556i,0.031836+0.027344i,0.031353+0.025596i,0.013089+0.030058i,-0.016498+0.010963i,-0.023792+0.040943i,-0.025002+0.016945i,0.012217+0.0028122i,0.0017624+0.011763i,0.0046098+0.0098473i,-0.0055019+0.012381i,-0.0046769+0.0041232i,0.010033-0.0080444i,0.014277-0.0031044i,-0.016306+0.01076i,-0.001597-0.0013925i,-0.001155+0.0013734i,-0.0015569+0.0004337i,-0.0034484+0.0013638i,0.0052048-0.0012841i,-0.0024834-0.0048519i,-0.00057509+0.0055034i,0.0023336-0.0032587i,-0.0033779-0.0045359i,-0.0026175+0.0017137i,0.0025184-0.0013005i,0.0016164-0.0026816i,0.017569-0.0080911i,-0.0020079+0.0051751i,-0.0022011-0.0053659i,-0.0028912-0.0013497i,-0.0031242-0.0052561i,0.001712+0.0065804i,0.0024024-0.0038678i,0.00261-0.0016534i,0.00079826-0.0031026i,-0.00047313-0.0022125i,0.0016314+0.0022275i,0.00078037+0.00042404i,0.0042438+0.00035185i,-0.0022213+0.0093188i,-0.0052876+0.018215i,0.0040723+0.055964i,0.0069294-0.01876i,-0.023981+0.000715i,-0.027836-0.0020847i,0.017099+0.00034318i,0.021614+0.010183i,-0.0073482-0.00029321i
0.017361+0.005078i,0.042106+0.016504i,0.038429-0.0067032i,0.029869-0.0098401i,0.03892-0.017383i,-0.00044355-0.032726i,-0.0020154-0.015012i,0.0162-0.023125i,0.017595-0.0057317i,0.0023367+8.4898e-05i,0.0034158-0.0024467i,0.0062913-0.0028833i,0.0046341-0.0028753i,0.0023293-0.0034112i,-0.0023729-0.0009393i,0.0018073-0.0032437i,-0.0027589-0.0052533i,-0.0015921+0.00088128i,0.00015529+0.0016504i,-0.0019443+0.00060548i,-0.00088054+0.0019543i,0.0021964+0.0017781i,0.00040156+0.0022006i,-0.00051662-0.0049976i,0.0005424-0.0012079i,-0.00079699-0.0011889i,-0.00029277-0.0011954i,-0.000197-0.00096283i,0.00021986+0.00019582i,0.0011462+0.00013474i,0.0010318+0.0031387i,0.00087857+0.0015858i,0.00078789+0.00017574i,0.0012955+0.00080169i,0.00038104-2.1132e-05i,0.00574+0.0020047i,-8.8728e-05-0.00031485i,-0.0012103-0.00071234i,0.0012506-0.00030218i,-0.0018319+0.00090036i,-0.00028825+0.00073017i,0.00016974+0.0017778i,0.003634-0.001101i,0.0054226-0.0078526i,0.017577+0.019916i,0.0016463+0.064418i,0.0075764+0.062017i,0.021378+0.056984i,0.030324+0.017194i,0.033151+0.018933i,0.01874+0.030072i,-0.0093685+0.016271i,-0.011444+0.045132i,-0.025055+0.020754i,0.010447+0.00095688i,0.0047501+0.009648i,0.0068556+0.0069096i,-0.0018331+0.012974i,-0.0039732+0.0055889i,0.0031722-0.010639i,0.010807-0.0079339i,-0.013515+0.01518i,-0.00098652-0.0017698i,-0.00082893+0.0007214i,-0.0011704+0.00028771i,-0.00096155+0.0028231i,0.0039973-0.0012513i,-0.0025963-0.0036768i,0.0030131+0.0042225i,0.0010604-0.0049827i,-0.0043462-0.0027373i,-0.0014461+0.0021805i,0.001547-0.0027462i,0.0010993-0.0037329i,0.01142-0.012267i,0.0003148+0.0050298i,-0.0036499-0.0041795i,-0.0023844-0.0011358i,-0.0043718-0.00411i,0.0030854+0.0049176i,0.0014069-0.0052958i,0.002996-0.003131i,-0.00036738-0.0034057i,-0.0012578-0.0032724i,0.0027908+0.0020498i,0.00089961+0.0018119i,0.0045574-0.00035768i,-0.0013241+0.009202i,0.00018716+0.017139i,0.012255+0.053624i,-0.0017321-0.02393i,-0.026773-0.00067201i,-0.02929+0.005722i,0.011691-0.0037682i,0.021865+0.0047053i,-0.006801+0.00053437i
0.018231+0.0014691i,0.044124+0.010498i,0.034967-0.013468i,0.024627-0.015641i,0.034178-0.025561i,-0.0060952-0.030887i,-0.0035862-0.014179i,0.011541-0.025505i,0.01629-0.0096918i,0.0027608+0.00057101i,0.002974-0.0025304i,0.0048597-0.0047267i,0.0039637-0.003899i,0.0012998-0.0033652i,-0.0020574-6.3889e-05i,0.0014163-0.0030647i,-0.0044492-0.0037719i,-0.0012774+0.0014496i,0.0005789+0.001127i,-0.0017674+0.0017579i,-0.00032926+0.0022923i,0.0023217+0.00049952i,0.00098569+0.0020079i,-0.0024105-0.0032343i,-0.00024727-0.0011091i,-0.00099745-0.0006367i,-0.00072801-0.00086901i,-0.00054197-0.00048719i,0.00029703-2.0525e-05i,0.0010074-0.00025785i,0.0022576+0.002118i,0.0013898+0.0011155i,0.00071467-6.9623e-05i,0.0016171-0.00088684i,9.9809e-05+5.284e-05i,0.0049645+0.00054909i,-0.00015969-0.00017894i,-0.0014469-0.00018332i,0.0010633-0.00046758i,-0.0012637+0.0010174i,-0.00020517+0.00084541i,0.00062672+0.0014731i,0.0030531-0.0021725i,0.0018667-0.0070369i,0.01915+0.015261i,0.012486+0.058599i,0.016519+0.056511i,0.030296+0.05165i,0.027351+0.010093i,0.033645+0.01264i,0.024701+0.027576i,-0.002171+0.016754i,0.0013074+0.044905i,-0.022805+0.025308i,0.0095593-0.0001324i,0.0067495+0.0071609i,0.0075+0.0040614i,0.0020834+0.012524i,-0.0025866+0.0074051i,-0.0029604-0.0087288i,0.0063042-0.0099094i,-0.008538+0.017865i,-0.001661-0.0025424i,-0.0014451+0.00053853i,-0.001109+0.00044653i,0.0014374+0.0025365i,0.0034917-0.0013926i,-0.0030677-0.0029632i,0.0043927+0.0019952i,-0.0015715-0.0055837i,-0.0043418-0.00091607i,-6.9945e-05+0.00179i,0.00094286-0.0034893i,-5.631e-05-0.0048491i,0.0056265-0.01386i,0.0021371+0.0039546i,-0.0044129-0.0030043i,-0.0030269-0.001409i,-0.0055449-0.002456i,0.0033788+0.0035981i,-0.00062886-0.006633i,0.0025903-0.0046085i,-0.0011737-0.0030783i,-0.0022065-0.0032103i,0.0037843+0.0010822i,0.0019381+0.0024903i,0.0035017-0.0014885i,0.00020349+0.0095108i,0.0043902+0.014645i,0.021007+0.050345i,-0.012494-0.025527i,-0.030553+0.0012269i,-0.026537+0.01321i,0.0068735-0.0033661i,0.020042-0.0012889i,-0.0061939-0.00053648i
0.018152-0.0027516i,0.045728+0.0032832i,0.030953-0.01851i,0.019363-0.018619i,0.02806-0.031875i,-0.010601-0.028507i,-0.0047591-0.013781i,0.0068821-0.02717i,0.014059-0.013386i,0.0035968+0.00021272i,0.0029008-0.0029782i,0.0030876-0.0054065i,0.0028751-0.005092i,0.00052854-0.0032014i,-0.0015911+0.00040474i,0.0012015-0.0028222i,-0.0047745-0.0015502i,-0.00071317+0.0013146i,0.00052188+0.00057293i,-0.00082684+0.00236i,0.00042855+0.0023011i,0.0019753-0.00035514i,0.0015486+0.001608i,-0.0031989-0.00082935i,-0.00060072-0.00064794i,-0.00096935-0.00022264i,-0.00088903-0.00056141i,-0.00033946+1.8168e-05i,-1.3292e-05-1.0934e-05i,0.00063709-0.00063441i,0.0029787+0.00071179i,0.0014088+0.0005838i,0.00075336-0.00028621i,0.00085582-0.00011679i,0.00014627+0.00026613i,0.0065865-0.0012262i,-0.00018355+3.6452e-05i,-0.0014045+0.00043063i,0.0008177-0.00081468i,-0.00071518+0.0011129i,-4.2753e-05+0.00083448i,0.00088003+0.00099249i,0.0020727-0.0028747i,0.00020585-0.00586i,0.019547+0.011122i,0.020245+0.05079i,0.02349+0.051286i,0.037924+0.043985i,0.024049+0.0048777i,0.033198+0.0083189i,0.029576+0.023714i,0.0037438+0.015418i,0.01263+0.040628i,-0.018529+0.029991i,0.0089985-0.0017086i,0.008121+0.0039083i,0.0078734+0.0017156i,0.0055009+0.010317i,0.00018332+0.0079885i,-0.0065096-0.0050107i,0.0021065-0.010012i,-0.0024954+0.018144i,-0.0029954-0.0023459i,-0.0024465+0.0017604i,-0.00094883+0.00066426i,0.0031108+0.0012345i,0.0030022-0.00066033i,-0.0033067-0.0017833i,0.0045709-0.00021628i,-0.0039267-0.0041997i,-0.0032517+0.00058673i,0.00037563+0.00066458i,2.4843e-05-0.0042962i,-0.0020637-0.0048406i,0.00063344-0.013218i,0.003576+0.0022716i,-0.0053574-0.0016299i,-0.0034704-0.00020781i,-0.0055495-0.00019961i,0.0040187+0.0028968i,-0.0037664-0.0064162i,0.0016679-0.0063338i,-0.0017307-0.0028643i,-0.0028825-0.0033129i,0.0042386+0.00054629i,0.0033444+0.0022512i,0.0023787-0.001112i,0.0016485+0.0091354i,0.0068078+0.011172i,0.029484+0.044809i,-0.023259-0.022356i,-0.033673+0.0050546i,-0.021428+0.017854i,0.0046516-0.0019685i,0.015493-0.0054832i,-0.0083581-0.0014307i
0.016642-0.0066769i,0.045795-0.004826i,0.026937-0.022859i,0.014852-0.020306i,0.021022-0.036663i,-0.014829-0.025961i,-0.0062297-0.014224i,0.0020619-0.028054i,0.010666-0.016585i,0.0041156-0.00064136i,0.0026995-0.0038276i,0.0014025-0.0054596i,0.0011441-0.0058148i,-9.5295e-05-0.0030481i,-0.0013003+0.00054872i,0.0012271-0.0027593i,-0.0045287+0.00023596i,-0.0005662+0.0010007i,0.00039807+0.00038293i,7.1177e-05+0.002449i,0.0010838+0.0021034i,0.0015762-0.00080523i,0.0018709+0.00093185i,-0.0024691+0.0013301i,-0.00058786-0.00020115i,-0.00079808+0.00023306i,-0.0010405-0.00028891i,-0.00057127+9.5487e-05i,5.1653e-06+0.0001282i,6.1157e-05-0.00079184i,0.0029898-0.00076952i,0.0015626+0.00030959i,0.00058588-0.00050359i,0.0010054-0.00052548i,0.00037371+0.00030462i,0.0090561-0.0038222i,-3.371e-05+9.0984e-05i,-0.0011028+0.00087862i,0.00016256-0.0008835i,1.6249e-05+0.00095656i,0.00014803+0.0010209i,0.00089554+0.00060927i,0.00096617-0.0028186i,-0.00065162-0.0042383i,0.019428+0.0076911i,0.024448+0.044109i,0.03002+0.045795i,0.042747+0.03632i,0.020207+0.00053151i,0.03417+0.0047895i,0.033778+0.018664i,0.0097211+0.01214i,0.021944+0.033237i,-0.011265+0.033454i,0.0079525-0.0032304i,0.0076785-0.00044292i,0.0079399-0.0010221i,0.0073191+0.0069779i,0.0020711+0.0072222i,-0.0081343-0.0001188i,-0.0016156-0.0085841i,0.0017563+0.015367i,-0.0040296-0.00094845i,-0.0022501+0.003849i,-0.00084082+0.00095251i,0.0037855-0.00081576i,0.0042641+0.00077903i,-0.0029513-0.00079388i,0.0040757-0.00095327i,-0.0047202-0.0023022i,-0.0015155+0.0014192i,5.0693e-05+0.00020136i,-0.0020078-0.0049179i,-0.0037163-0.0036745i,-0.0035853-0.011967i,0.0039865+0.00014297i,-0.0056532+0.00018979i,-0.0028475+0.00088987i,-0.0048564+0.0012618i,0.0052329+0.0020613i,-0.0060641-0.0042284i,-0.00079098-0.007758i,-0.0025368-0.0022746i,-0.0048107-0.0026892i,0.0050858-0.00095148i,0.0045823+0.0017362i,0.0027541-0.00079652i,0.0035135+0.0090222i,0.0071335+0.0078445i,0.036771+0.037083i,-0.030305-0.013467i,-0.036294+0.011052i,-0.016023+0.020536i,0.0029223-0.00047138i,0.010988-0.0060982i,-0.009876-0.00043987i
