-0.025771-0.004609i,-0.022168-0.0075208i,-0.013141-0.014044i,-0.035757-0.0087551i,-0.027272+0.0010251i,-0.036757-0.0034968i,-0.068348-0.036444i,-0.033366-0.014773i,-0.022841+0.0031134i,0.0064463+0.0064724i,-0.0056202+0.0076747i,-0.0083148+0.018275i,0.0061316+0.0084753i,-0.0011324+0.0031504i,0.0043715+0.0036916i,0.0056259+0.025174i,0.023351+0.019975i,0.0013724-0.0006095i,0.00094193-0.0046257i,0.0090825+5.1441e-05i,0.0055456-0.00031275i,0.002306+0.0012061i,0.0014599-0.00072673i,-0.024037+0.000173i,-0.0049155-0.0041343i,-0.0005425+0.0032657i,0.0045843-0.0045687i,-0.0017966-0.00052038i,-0.00034041+0.0010495i,-0.0020383-0.001412i,-0.0038334-0.00038781i,-0.0073677-0.0082958i,-0.0051964-0.0072437i,-0.00053176+0.00025022i,-0.00022632-0.0022055i,0.0005692+0.021741i,0.0027239-0.0039939i,0.00074148-0.00435i,0.0031601-0.0020638i,-0.003101-0.0028966i,0.00087897+9.0566e-05i,0.0081491-0.0022833i,0.002803-0.0023099i,0.00013531+0.0025018i,-0.013817+0.015899i,-0.026508+0.053164i,-0.0062175-0.037557i,-0.014971-0.018851i,-0.040593-0.01594i,-0.027499-0.012593i,0.034985-0.011685i,0.0057991-0.029489i,0.012204-0.038184i,-0.0084745-0.029985i,0.025148-0.023532i,0.013352+0.0067161i,0.027975-0.036369i,-0.0019527-0.0039647i,0.0062812-0.0094208i,-0.00070522-0.0059672i,-0.00077762-0.03504i,-0.013143+0.029053i,0.0085642-0.011975i,-0.0088366-0.0041921i,-0.0023056-0.0022238i,7.704e-05-0.015223i,-0.0075348+0.0056979i,0.0040049+0.0067947i,-0.00044732+0.028659i,0.0017819+0.00066372i,-0.0071229-0.0043289i,-0.0040114-0.0063867i,-0.014426-0.0095663i,-0.002547-0.0055939i,-0.033884+0.006593i,-0.0051326-0.0083284i,-0.013072-0.00068686i,-0.010226-0.0056181i,0.0016852-0.0012551i,-0.013914+0.0019304i,-0.0016632-0.00039349i,0.0054158+0.0055703i,0.0034643-0.0051961i,-0.014606-0.013722i,0.0071712+0.0083577i,-0.016082+0.0051268i,0.0052823+0.00027255i,-0.018879-0.0027708i,-0.015981-0.0044882i,-0.015723-0.034984i,0.019353-0.011102i,-0.039737-0.024008i,-0.0094491+0.0059655i,0.017738+0.014321i,-0.022356+0.017132i,-0.0045238-0.003361i
0.0069122-0.010208i,0.011342+0.0016206i,0.0083026+0.0034567i,0.015533-0.0034234i,0.019014-0.0015103i,0.017103-0.013722i,0.016805-0.0049384i,0.013121-0.0019536i,0.001882-0.0092633i,-0.0028639+0.0035275i,-0.0006434-0.00013921i,-0.0014268+0.00010269i,-0.00092746+0.0041597i,-0.0017341+0.0024642i,0.00048445+0.0024241i,0.00093194-0.00051764i,0.0031636-0.0016333i,0.00092554-0.0012476i,-0.00019676-0.00083611i,-6.7341e-05-0.00014542i,0.00076271-0.0026416i,-0.0012177-0.001355i,-0.00062659-0.00055448i,0.0036004+0.0041772i,-0.0014692+0.00066256i,-0.0012201+0.0012915i,-0.0025155+0.00041441i,-0.0019831-2.136e-05i,-0.002597-0.0011045i,-0.0020422+0.00028866i,0.0015871-0.0013007i,0.0009343+0.0012303i,0.0014748+0.00026488i,0.001624-0.00031262i,0.001157-0.00054106i,-0.0099677+0.0064187i,-0.001405-0.00020201i,-0.0010434+0.00026486i,-0.0026428-2.7808e-05i,0.0017694-0.0029517i,0.000163-0.00067067i,0.00058716-0.0013896i,-0.0012098+0.0025832i,0.0019814+0.00056472i,0.0013183-0.013179i,-0.023964-0.0087932i,-0.0023299-0.0056121i,-0.0065286+0.0030533i,0.017489+0.021044i,0.0013547+0.0046775i,0.013714-0.01357i,-0.010975-0.026984i,-0.0046015-0.012525i,0.0075244-0.0084634i,0.018682+0.018476i,0.002018+0.0015514i,-0.0013103+0.00025139i,-0.006102-0.00058729i,0.010652-0.0033966i,0.013596+0.0081269i,0.0028076+0.0051313i,-0.0049357-0.0069327i,0.0068728-0.0030706i,-0.0038159-0.0065533i,0.0031882-0.01156i,0.006557-0.0063187i,-0.00038748+0.0072086i,0.0099574-0.0081364i,0.0038036-0.0078146i,0.0010033-0.0067375i,-0.002824-0.0013311i,-0.0061078-0.0066889i,-0.0083252-0.00057614i,-3.9726e-05-0.0011192i,-0.0083596+0.027856i,-0.0093513-0.0023238i,0.00043721+0.0032045i,-0.0036529-0.0044359i,0.00029327+0.00078252i,-0.016127+0.0014653i,-0.0033138+0.0019673i,-0.001709-0.0020056i,-0.0039998-0.00012629i,-0.0063152-0.0031644i,-0.0015392+0.0055844i,-0.001874+0.0021078i,-0.0055059+0.0059164i,-0.0057561+0.00022378i,-0.0026774-0.0015531i,0.0075753-0.0018463i,-0.005605+0.019693i,-0.028353-0.0021627i,-0.010647-0.0032122i,0.011645+0.015734i,-0.0022016+0.016718i,-0.0063527-0.0045389i
0.0053683-0.011889i,0.011681-0.0022404i,0.0087195+0.002346i,0.014215-0.0052892i,0.018718-0.0047119i,0.014427-0.016473i,0.014006-0.0080513i,0.01237-0.0041158i,0.00012661-0.0097128i,-0.0015909+0.0037678i,-0.0002964+0.0003067i,-0.0014565+0.0014403i,0.00028857+0.0041869i,-0.00073024+0.0030316i,0.0010146+0.0022732i,0.00067757-4.6874e-05i,0.0020426-0.0023519i,0.00096646-0.0013306i,-0.00045158-0.001424i,0.00031936-0.00067917i,4.3681e-05-0.0027964i,-0.0014624-0.00097612i,-0.00069782-0.00075592i,0.0057485+0.0022257i,-0.0016208+0.0017829i,-0.0005437+0.0016972i,-0.0024902+0.0013029i,-0.0020986+0.0007835i,-0.0034242+0.00026332i,-0.0018961+0.0013708i,0.00082868-0.0016263i,0.00090862+9.678e-05i,0.00099879-0.00034635i,0.0011356-0.00086934i,0.00076487-0.00046608i,-0.0072122+0.0091279i,-0.0018409+0.00045279i,-0.0010854+0.00096704i,-0.0025905+0.0011538i,0.00080416-0.0030615i,0.00021453-0.0008582i,1.8713e-05-0.0013476i,-0.00063635+0.0028663i,0.0015529+0.00055737i,-0.00036313-0.012663i,-0.021778-0.0060281i,-0.0038827-0.0027795i,-0.0032204+0.0008681i,0.025981+0.014146i,0.0052456+0.0022772i,0.0074104-0.016842i,-0.019053-0.02656i,-0.0092175-0.013284i,0.010355-0.015632i,0.020882+0.010898i,0.00072946+0.00061295i,-0.00049915+0.002648i,-0.0055415+0.0013077i,0.007582-0.0067372i,0.014952+0.0039268i,0.0056611+0.0057266i,-0.0089612-0.0053489i,0.0032871-0.0052187i,-0.0046744-0.0043762i,-0.0024476-0.010503i,0.0036456-0.0078062i,0.0029261+0.0051231i,0.0051783-0.009846i,-0.00021234-0.0071597i,-0.0026802-0.003773i,-0.0019405-0.00040568i,-0.0077301-0.0043685i,-0.0059055+0.0030212i,0.00046196-0.001092i,0.0053413+0.026757i,-0.01014+0.00097316i,0.0012433+0.0017653i,-0.0057176-0.0021029i,0.0006891+0.00028889i,-0.013779+0.0087846i,-0.0021941+0.0032861i,-0.0023245-0.00016745i,-0.0027792+0.00084392i,-0.0067894-0.00085714i,1.376e-05+0.0025224i,-0.00087461+0.0018105i,-0.001831+0.0075295i,-0.0041641+0.0021054i,-0.0039552-0.001179i,0.0087769-0.0077852i,-0.00069912+0.021592i,-0.028062+0.0035995i,-0.011877-0.0046688i,0.013584+0.013582i,0.00056585+0.01823i,-0.0085623-0.0037415i
0.0027838-0.01314i,0.0098108-0.0064245i,0.0097715+0.00044926i,0.013315-0.0071818i,0.01816-0.0079187i,0.011229-0.019099i,0.010773-0.010672i,0.011422-0.0062525i,-0.0015857-0.0092879i,-0.00091908+0.0038454i,-5.842e-05-2.1895e-06i,-0.00065545+0.0023035i,0.0013318+0.0036042i,0.00028293+0.0027417i,0.0015533+0.0020143i,0.000662+0.00023162i,0.00088305-0.0024996i,0.00089393-0.0018895i,-0.0010399-0.0014348i,-1.8801e-05-0.0015552i,-0.00088734-0.002966i,-0.0013545-0.00056875i,-0.0010903-0.00090015i,0.0058882-0.00084991i,-0.00069556+0.0026869i,-0.00014066+0.0018086i,-0.0022374+0.0025509i,-0.0017549+0.0016204i,-0.0032112+0.0021482i,-0.0012321+0.0022387i,0.00011678-0.0015675i,-8.0561e-06+0.00029392i,0.00060917-0.00049622i,0.00056431-0.0011253i,0.00064513-0.00040631i,-0.0039762+0.010761i,-0.0018025+0.0016957i,-0.0005173+0.0013949i,-0.0019693+0.0024189i,-0.00012575-0.0030458i,0.00018677-0.0011968i,-0.00018401-0.0011764i,-8.0633e-06+0.0031457i,0.0016945+0.00087245i,-0.0012557-0.01191i,-0.020401-0.002741i,-0.0022766+0.00095731i,-0.00077406-0.0022748i,0.033097+0.0040486i,0.0083083+0.00040035i,0.00097779-0.017239i,-0.025666-0.023123i,-0.013263-0.010828i,0.0087043-0.023625i,0.019572+0.0037636i,-0.00083311+0.00058446i,-0.00068468+0.0018619i,-0.0055327+0.0023766i,0.0024055-0.0097997i,0.014898-0.00069967i,0.008227+0.0044603i,-0.011635-0.0020054i,0.0012138-0.004281i,-0.0052263-0.0019461i,-0.0054548-0.0073223i,0.00095612-0.0076856i,0.0048754+0.004462i,0.0020422-0.0094321i,-0.0032447-0.0050035i,-0.0023176-0.00037419i,-0.0018295-0.00071661i,-0.009536-0.00092669i,-0.0032512+0.0040313i,-0.00057542-0.0016023i,0.015585+0.019687i,-0.0095885+0.0050826i,0.0016322+0.0010455i,-0.004469+0.00020191i,0.0011939-0.00079568i,-0.007255+0.01342i,-0.00026608+0.004026i,-0.0025122+0.00067525i,-0.0023815+0.0017375i,-0.0068711+0.0024251i,-0.0010392+0.0024198i,-0.00046049+0.0013573i,0.0012337+0.0073479i,-0.0030118+0.001669i,-0.0052721+0.0003544i,0.0061613-0.013118i,0.0096247+0.019311i,-0.025993+0.0064675i,-0.013764-0.0053419i,0.016045+0.0091369i,0.0050283+0.019616i,-0.01-0.0025734i
4.4704e-05-0.013185i,0.0062016-0.0083317i,0.0096078-0.0022354i,0.012058-0.0094358i,0.016701-0.011226i,0.0072297-0.020795i,0.0071527-0.011886i,0.0099854-0.0082131i,-0.0027668-0.0087702i,-0.00031746+0.0041747i,-0.00026573-4.5067e-05i,0.00034959+0.0025448i,0.0017023+0.002958i,0.00065212+0.0025133i,0.0018823+0.0015863i,0.00069983+0.00051569i,-0.00015844-0.0020334i,0.0005288-0.0022975i,-0.0011751-0.0012248i,-0.0010031-0.0018516i,-0.0017839-0.0024313i,-0.001351-0.00043525i,-0.0016309-0.00070072i,0.0045555-0.0030583i,0.00048201+0.002845i,0.00042502+0.0020676i,-0.0010197+0.0036164i,-0.0011836+0.0022042i,-0.0018864+0.0034398i,-0.00019276+0.0026464i,-0.00041793-0.0012863i,0.00024101+0.00078127i,0.00034768-0.00060192i,-7.6491e-05-0.0011347i,0.00056528-0.00049016i,-0.0004208+0.011365i,-0.00090341+0.0026589i,-7.3873e-05+0.0014119i,-0.00084048+0.0032615i,-0.00096153-0.0028535i,-0.00028297-0.001479i,-0.00031432-0.0012092i,0.00080523+0.0033099i,0.0020612+0.00093283i,-0.0016242-0.011962i,-0.016834+0.00050335i,0.0013216+0.0029141i,-0.0017485-0.0063815i,0.035978-0.010066i,0.010512-0.0041682i,-0.0048556-0.014496i,-0.031644-0.016977i,-0.015181-0.005711i,0.0029161-0.03025i,0.017007-0.0013818i,-0.0015486+0.0018283i,-0.00072283+0.0042884i,-0.0050488+0.004179i,-0.0038913-0.0080802i,0.01346-0.0060059i,0.010179+0.0018159i,-0.012609+0.0021891i,-0.00037333-0.0041206i,-0.004381+0.00034457i,-0.0064781-0.0034267i,-0.00094016-0.0073899i,0.0063604+0.0012047i,-0.00041503-0.0089391i,-0.0041645-0.0013289i,-0.00080092+0.0012621i,-0.0022538-0.00037853i,-0.0088417+0.0032135i,-0.00085958+0.0044761i,-0.001288-0.0012668i,0.020519+0.0097679i,-0.0066111+0.0093988i,0.0018931+0.00019983i,-0.0033798+0.0019019i,0.00030273-0.0019094i,-0.00072686+0.013212i,0.0018513+0.0032189i,-0.0021302+0.0024399i,-0.0014526+0.0028885i,-0.0039731+0.0052738i,-0.0006384+0.0032538i,-0.00061811+0.00081119i,0.0045966+0.0062875i,-0.0030385+0.0010223i,-0.0059829+0.0025135i,0.0023751-0.01467i,0.018931+0.0089939i,-0.023052+0.010106i,-0.017118-0.0044183i,0.014879+0.0051119i,0.01037+0.018537i,-0.0096543-0.0013716i
-0.0021007-0.012617i,0.0037964-0.0082013i,0.0086464-0.0042044i,0.010522-0.011452i,0.014712-0.014101i,0.003376-0.021643i,0.004028-0.011822i,0.0082825-0.00965i,-0.0037204-0.0080755i,0.00057167+0.0043441i,-0.00053998+0.00016448i,0.001217+0.0023261i,0.0018264+0.0026885i,0.00090635+0.0022988i,0.002121+0.0012713i,0.0010382+0.00097582i,-0.00058873-0.0013242i,-0.00014129-0.0026739i,-0.0015615-0.0013423i,-0.0019494-0.0014856i,-0.0023638-0.0019216i,-0.0013553-0.00025556i,-0.0020176-0.00016608i,0.002745-0.004249i,0.0015398+0.0025658i,0.0012808+0.0020055i,0.00046253+0.0038811i,-0.00045989+0.0026408i,-0.00028701+0.0039835i,0.00095532+0.0026108i,-0.00063301-0.00092579i,0.0005945+0.00082823i,-0.00015631-0.00053452i,-0.00066095-0.00053845i,0.00055297-0.00042526i,0.0030235+0.010936i,0.00020842+0.0030758i,0.00023481+0.001552i,0.00061984+0.0035788i,-0.0016255-0.002497i,-0.00073982-0.0015756i,-0.00065774-0.0012537i,0.0017252+0.0030766i,0.0023023+0.00050539i,-0.0027347-0.012449i,-0.012462+0.0012793i,0.005926+0.002268i,-0.0042157-0.0074456i,0.031815-0.023455i,0.0099699-0.0087801i,-0.0074805-0.009872i,-0.034168-0.0084936i,-0.014713+0.00042904i,-0.0054939-0.032684i,0.012972-0.0046396i,-0.0010869+0.0029229i,0.0020466+0.0050092i,-0.0039107+0.0055797i,-0.0066863-0.0038149i,0.0092223-0.011113i,0.010865-0.0020389i,-0.011725+0.0063961i,-0.001429-0.0025391i,-0.002875+0.00125i,-0.0051239-0.00097358i,-0.003774-0.0062599i,0.0054267-0.0010031i,-0.0027376-0.0076922i,-0.0027558+0.0011761i,0.00099415+0.0014937i,-0.002182+0.00027i,-0.0060704+0.0060348i,0.0018532+0.003517i,-0.0015396-0.00022435i,0.020472+0.0001928i,-0.0013415+0.01112i,0.001558-0.00054637i,-0.0015287+0.0021194i,-0.00075732-0.0015654i,0.0035152+0.010995i,0.0027476+0.0020412i,-0.00036352+0.0042801i,0.00071506+0.0035644i,-0.00014432+0.0054685i,0.00077868+0.0035466i,-0.0013357+0.00093973i,0.0063681+0.0035937i,-0.0039301+0.0011209i,-0.0048829+0.0050893i,0.00017792-0.014733i,0.019449-0.0063186i,-0.018014+0.010576i,-0.019877-0.0019163i,0.014579+0.001759i,0.014655+0.014035i,-0.010488-0.0013825i
-0.0038393-0.011828i,0.0026039-0.0082458i,0.0078813-0.0057949i,0.00868-0.013525i,0.012393-0.016736i,-0.00072153-0.021975i,0.0019683-0.011066i,0.0065647-0.010783i,-0.0042957-0.0074688i,0.0013408+0.0042315i,-0.00059103+0.00060545i,0.0019597+0.001979i,0.0022551+0.0026707i,0.0012548+0.0023069i,0.0024634+0.00081805i,0.0018146+0.0012705i,-0.00051106-0.00084224i,-0.0010767-0.0028669i,-0.0023021-0.0010964i,-0.0026091-0.00076272i,-0.00278-0.0013511i,-0.0012941-8.1902e-05i,-0.0021352+0.00050231i,0.00053825-0.0047484i,0.0025454+0.0018877i,0.002076+0.0014849i,0.001976+0.0034431i,0.0005669+0.0029404i,0.0013159+0.0038271i,0.0019304+0.0020501i,-0.00078041-0.00065115i,0.0010889+0.00075273i,-0.00041973-5.8756e-07i,-0.00059452+0.00010445i,0.00054827-0.00057948i,0.0059861+0.0094803i,0.0015585+0.002932i,0.00085527+0.0016957i,0.0020292+0.0030902i,-0.0020946-0.0020113i,-0.0014044-0.0015091i,-0.001102-0.0011457i,0.0024378+0.0026349i,0.0024332+0.00023546i,-0.0040744-0.012814i,-0.0089906+2.8437e-05i,0.009742-0.0010429i,-0.0059697-0.0067726i,0.024327-0.033565i,0.0076644-0.012095i,-0.0072711-0.0054665i,-0.032397+0.0003424i,-0.0099157+0.0067598i,-0.013316-0.030494i,0.0093443-0.0058351i,-0.0001504+0.0034014i,0.0040726+0.0037667i,-0.002487+0.0070276i,-0.0073198-0.00030487i,0.0025564-0.014026i,0.0088673-0.0063371i,-0.0097328+0.009123i,-0.00104-0.0014552i,-0.0017743+0.001132i,-0.0040609-0.00010866i,-0.0049468-0.0034956i,0.0039573-0.0018094i,-0.0041207-0.0056947i,-0.00047942+0.0018354i,0.0025894+0.00012976i,-0.0020529+0.0008885i,-0.003214+0.007071i,0.0026944+0.0016252i,-0.0008221+0.00071263i,0.016829-0.0074807i,0.0034426+0.010221i,0.0011727-0.00030237i,-0.00053422+0.0018189i,-0.0012038-0.00045714i,0.0066608+0.0081804i,0.0038781+0.0010991i,0.0025675+0.0040956i,0.002352+0.0022277i,0.0027308+0.0041333i,0.0017113+0.0032004i,-0.0016493+0.0022409i,0.0065273+0.0013761i,-0.0049549+0.0018549i,-0.0025664+0.0063351i,-0.0013919-0.015373i,0.010818-0.017123i,-0.015561+0.0065638i,-0.022392+0.0024392i,0.012303-0.0032323i,0.016181+0.0093998i,-0.011612-8.7286e-05i
-0.0054598-0.010679i,0.0011597-0.0083872i,0.0066703-0.0081347i,0.0060014-0.015568i,0.009474-0.019133i,-0.0051208-0.02121i,0.00076054-0.010478i,0.004815-0.011852i,-0.0048057-0.0069423i,0.0019143+0.0044044i,-0.00064176+0.00090981i,0.0022206+0.0010193i,0.0028466+0.0024056i,0.0016922+0.0022106i,0.0026256+0.00028712i,0.0026752+0.00085294i,-0.00058409-0.00061478i,-0.0022393-0.0026844i,-0.0027688-0.00033409i,-0.0031239+0.00025164i,-0.0033226-0.00067115i,-0.0012407-0.00014684i,-0.0020637+0.0012007i,-0.001659-0.0042183i,0.0031765+0.00051571i,0.0025177+0.00071697i,0.0029525+0.00256i,0.0017635+0.0027541i,0.0028553+0.0029979i,0.0025598+0.0010938i,-0.00079456-0.00037888i,0.0013755+0.00054567i,-0.00029082+0.00052415i,-0.00023167+0.00048658i,0.00037562-0.00088237i,0.008332+0.007088i,0.0026804+0.0021163i,0.0015318+0.0013632i,0.0031938+0.0020752i,-0.0023354-0.0014976i,-0.0020708-0.0010279i,-0.001463-0.00081489i,0.0032144+0.0019049i,0.00241-0.00015306i,-0.0058764-0.01295i,-0.0067929-0.0020786i,0.01124-0.0055615i,-0.0060792-0.0049611i,0.014365-0.040158i,0.0046218-0.013866i,-0.0056725-0.0034227i,-0.027282+0.0061512i,-0.001758+0.0088414i,-0.019066-0.025615i,0.0064736-0.0058483i,0.00084117+0.003316i,0.0042955+0.0016332i,-0.000317+0.0076607i,-0.007133+0.0028667i,-0.0051639-0.012898i,0.0052851-0.0084426i,-0.0071321+0.011631i,-0.00033638-0.0018693i,-0.0014776+0.00087587i,-0.0038255+0.00020384i,-0.004606-0.0012163i,0.0030531-0.0018368i,-0.0047814-0.0043616i,0.00087822+0.001205i,0.002706-0.002174i,-0.0017059+0.0015699i,0.00011271+0.0071194i,0.0024206+0.00028395i,-0.00014004+0.00047001i,0.01127-0.011966i,0.0071732+0.0075429i,0.0017213-0.0003634i,0.00060715+0.00094005i,-0.00041222+0.00025838i,0.0081165+0.0047912i,0.0047915-0.001263i,0.0045543+0.0025483i,0.0029603+0.0011362i,0.0039563+0.0019102i,0.0032462+0.0029646i,-0.0005869+0.003685i,0.0064078-0.00049117i,-0.0055118+0.0035248i,-0.0003756+0.0060426i,-0.0030136-0.015396i,-0.00020986-0.022624i,-0.018572+0.0035417i,-0.022269+0.0081284i,0.0061279-0.0054994i,0.016986+0.0051108i,-0.0117+0.0010662i
-0.0062337-0.0093197i,0.00045099-0.0078991i,0.0042355-0.0096689i,0.0024248-0.016789i,0.0059418-0.020939i,-0.0088492-0.019197i,0.00013129-0.010116i,0.0028434-0.01269i,-0.0052101-0.0066925i,0.0032385+0.0045593i,-0.00047621+0.0015923i,0.0021022+0.00056474i,0.0034843+0.0019287i,0.0022598+0.0020415i,0.0026799-0.00028676i,0.0030963+0.00032307i,-0.00090694-0.000295i,-0.0033123-0.0017971i,-0.0027511+0.0004587i,-0.0030055+0.001633i,-0.0035949+0.00048974i,-0.0016585-0.00024669i,-0.0016747+0.0018984i,-0.0033652-0.002659i,0.002828-0.00085775i,0.0026401-0.00020655i,0.0038177+0.0012661i,0.0027984+0.0020211i,0.0037586+0.0014753i,0.0027385+5.8461e-05i,-0.00073996-0.00016972i,0.0015801-9.403e-05i,0.00024519+0.00081061i,0.00023945+0.00058659i,4.2127e-07-0.00077944i,0.0096416+0.0040336i,0.0033327+0.00084141i,0.0019487+0.00084129i,0.0038644+0.00056401i,-0.0025649-0.00089613i,-0.0023786-0.00013282i,-0.0016696-0.00044798i,0.0035791+0.00082869i,0.0023559-0.00056997i,-0.007849-0.012633i,-0.0058763-0.0053913i,0.010361-0.0098875i,-0.0045003-0.0044505i,0.0037145-0.042399i,0.0012912-0.01413i,-0.0043919-0.0023758i,-0.02243+0.0084035i,0.0059771+0.0063954i,-0.021682-0.019491i,0.0053165-0.0055364i,0.0018102+0.0025425i,0.0038619+0.00041091i,0.002327+0.0072587i,-0.0053898+0.0061622i,-0.010754-0.0076366i,0.0016459-0.0085972i,-0.0036307+0.013067i,-0.0011324-0.0029407i,-0.0015433+0.00087989i,-0.0038286+0.00089882i,-0.0035238+0.00024905i,0.0022184-0.0020147i,-0.0054525-0.0028649i,0.0013812+0.00025764i,0.00026966-0.003726i,-0.00071656+0.0022137i,0.0029596+0.005276i,0.0026103-0.00069698i,0.00016882+0.00012308i,0.0051431-0.0135i,0.0091841+0.0036471i,0.0018921-0.0013742i,0.00029577+2.5342e-05i,0.00066508+0.00030208i,0.0080385+0.001929i,0.0038597-0.0040286i,0.0059968+0.00039645i,0.0036561+5.4298e-05i,0.0045362-0.00033782i,0.0042917+0.0016278i,0.0012945+0.0038806i,0.0052349-0.0023091i,-0.0049685+0.0059836i,0.0013349+0.0048589i,-0.0037966-0.015064i,-0.01296-0.022927i,-0.02222+0.0045872i,-0.018849+0.01331i,0.0017004-0.0031325i,0.015905-0.00011244i,-0.011339+0.0014672i
-0.0065403-0.0086257i,0.00027031-0.0083577i,0.0020387-0.0098415i,-0.0011914-0.016633i,0.0022457-0.021983i,-0.011553-0.016848i,-0.00016534-0.0106i,0.00073652-0.013254i,-0.0058024-0.0065002i,0.0048383+0.0037864i,0.00029716+0.0021399i,0.0020569+0.00034527i,0.0041051+0.0010065i,0.0028535+0.0015595i,0.0026122-0.00091161i,0.0034666-7.4439e-06i,-0.00089073+0.00023273i,-0.0037108-0.00065424i,-0.0026349+0.0010597i,-0.0022264+0.0026068i,-0.0033571+0.0015208i,-0.0021573+0.00028735i,-0.00096823+0.0024047i,-0.0042616-0.0004915i,0.0021379-0.0016592i,0.0024164-0.0011274i,0.0040271-0.00034334i,0.0034966+0.00085021i,0.0037473+5.7765e-05i,0.0026079-0.0009278i,-0.00058856+8.8274e-05i,0.0011568-0.00057478i,0.00083483+0.0005927i,0.00066327+0.00048935i,-0.00018089-0.00048404i,0.0094822+0.00090686i,0.0033003-0.00048146i,0.0022887+0.00017909i,0.0037068-0.001075i,-0.0025302-8.3159e-05i,-0.0021372+0.00067698i,-0.0018299-8.8438e-06i,0.0033871-0.0003065i,0.0022204-0.00096643i,-0.0098867-0.011946i,-0.0081178-0.0084568i,0.007989-0.013048i,-0.0038064-0.0053644i,-0.0052473-0.041618i,-0.00099072-0.012299i,-0.0029138-0.0016207i,-0.018749+0.0099771i,0.010561+0.0011952i,-0.020957-0.013607i,0.0041159-0.0063146i,0.0023086+0.0011439i,0.0038562-0.00076104i,0.0046723+0.005365i,-0.0022798+0.0072782i,-0.012291-0.001327i,-0.0013881-0.0078129i,0.00027449+0.012876i,-0.0028251-0.0029194i,-0.0020941+0.001582i,-0.0035442+0.0019608i,-0.0026506+0.0011018i,0.0014951-0.0011539i,-0.0056486-0.00090385i,0.0010813-0.00056841i,-0.0017317-0.0027633i,0.0004672+0.0020793i,0.0040451+0.0027752i,0.0025268-0.0019242i,0.00025558+4.6951e-05i,-7.6482e-06-0.012621i,0.0095371-0.00064742i,0.0012359-0.0021972i,0.00015018+0.00015819i,0.0014387-0.00037657i,0.0076699-0.00024927i,0.0012203-0.0056889i,0.0061552-0.0026395i,0.0034977-0.0018676i,0.0038064-0.0029979i,0.0046065+0.00014811i,0.0026407+0.0033242i,0.0034171-0.0027092i,-0.0032704+0.0074538i,0.0020213+0.0034465i,-0.0039952-0.015826i,-0.024117-0.016949i,-0.024951+0.0075216i,-0.013882+0.01498i,0.0010507-0.00085488i,0.012746-0.0035941i,-0.012877+0.0018821i
-0.0073565-0.0081072i,-0.00054397-0.0096887i,0.00051404-0.0097521i,-0.0042503-0.015548i,-0.0016949-0.022555i,-0.014022-0.014393i,-0.0010176-0.012144i,-0.0015077-0.013511i,-0.0066869-0.006227i,0.0059305+0.0024932i,0.0013597+0.0020738i,0.002083+0.00022196i,0.0043123-0.00022096i,0.0034101+0.0009062i,0.0023118-0.0015914i,0.00385-0.00056551i,-0.00070195+0.00061503i,-0.0038087+0.00045466i,-0.0023022+0.0018606i,-0.001291+0.0031765i,-0.0028458+0.0025323i,-0.0021682+0.0012162i,-0.00024954+0.0025602i,-0.0040054+0.0018511i,0.0014107-0.0021179i,0.0018442-0.0018122i,0.003528-0.0018472i,0.003593-0.00056055i,0.0034138-0.0011682i,0.0020628-0.0018679i,-0.00028211+0.00015402i,0.00088595-0.00053307i,0.001216+7.9426e-05i,0.001058-4.9215e-05i,-9.254e-05-0.0003118i,0.0085012-0.0016461i,0.0029523-0.001616i,0.0024293-0.00072293i,0.0028545-0.0024595i,-0.0020749+0.00075445i,-0.0017417+0.0013476i,-0.0019208+0.00052744i,0.0027854-0.0010249i,0.001919-0.0010605i,-0.011933-0.010871i,-0.011832-0.0084277i,0.0052896-0.014596i,-0.0039338-0.0054454i,-0.01342-0.040029i,-0.0010249-0.010293i,-0.00134-0.0019345i,-0.014279+0.01084i,0.013295-0.005132i,-0.018204-0.010307i,0.0025535-0.0068466i,0.0016815-0.00098973i,0.0033107-0.0023734i,0.0050847+0.0026409i,-0.00026284+0.0067762i,-0.011257+0.0044113i,-0.0039573-0.0059163i,0.0030478+0.010633i,-0.004469-0.0015406i,-0.001863+0.0030795i,-0.0028725+0.0029862i,-0.001157+0.0013976i,0.0024695+0.00032625i,-0.0047067+0.00052931i,0.00082955-0.00036365i,-0.002313-0.0015179i,0.0013614+0.0014904i,0.0039561+0.00085i,0.00081644-0.0033447i,0.00053913-8.4187e-05i,-0.0041828-0.010689i,0.0081065-0.0042603i,0.00042197-0.0025389i,0.00075104-0.000105i,0.0013781-0.0015792i,0.0070888-0.00233i,-0.0014624-0.0053641i,0.0045146-0.0054268i,0.002073-0.0029141i,0.0015966-0.0043938i,0.0045508-0.0016606i,0.003616+0.0025615i,0.0027117-0.0025171i,-0.00073035+0.0078253i,0.0016169+0.0019562i,-0.0048993-0.01762i,-0.028602-0.0067367i,-0.027003+0.012105i,-0.0099014+0.015236i,0.000475+0.00086324i,0.0094239-0.0047568i,-0.013826+0.0036895i
