-0.0084107-0.040004i,-0.014095-0.04273i,0.00037537-0.046013i,-0.027441-0.02724i,-0.020265+0.014037i,-0.033566-0.030018i,-0.060863-0.059853i,-0.022361-0.071486i,-0.034599-0.050984i,0.0012126+0.014706i,-0.0069417+0.010536i,-0.01391+0.013321i,0.0023308+0.01553i,-0.0034916-0.0034943i,0.00078613+0.0062466i,0.0014024+0.037125i,0.020191+0.059024i,0.00088769-0.00056762i,-0.0050495-0.0079625i,0.0078764+0.0041723i,0.001696+0.001175i,-0.00096226+0.0034682i,6.7363e-05-0.0013542i,-0.035808-0.0098092i,-0.0025946-0.0072262i,-0.00016407+0.0044961i,0.0047923+0.00012387i,1.7303e-05+0.00087152i,1.5372e-05-0.0010213i,-3.6642e-05-0.0026892i,-0.0013242-0.005775i,-0.002472-0.0038014i,-0.00042355-0.0076892i,0.0032474-0.0012328i,0.0031468-0.0025948i,-0.00038464+0.033568i,0.0062104-0.0039883i,0.0035826-0.0022022i,0.0050032+9.855e-05i,-0.014147-0.0048221i,-2.7519e-05+0.0001886i,0.0095352-0.00084722i,0.0051251-0.00058693i,-0.0038592+0.003831i,0.0036035+0.001666i,-0.0027131+0.0055976i,0.010959-0.088932i,-0.0084736-0.049758i,-0.025965-0.040378i,-0.021384-0.041643i,0.061466-0.01953i,0.025714-0.062418i,0.038139-0.047088i,0.028481-0.058312i,0.018286-0.016023i,0.0084538+0.0098643i,0.023513-0.031969i,-0.0076597-0.004861i,0.0023786-0.0029551i,-0.0049314-0.0059475i,0.00027082-0.03184i,-0.023289+0.031148i,0.0074606-0.010922i,-0.010774-0.00093397i,-0.0049026-0.0011292i,-0.0011553-0.014302i,-0.0096306+0.0039351i,0.0037327+0.0074422i,-0.010861+0.031341i,0.0061436+0.0073545i,-0.005164-0.0012437i,-0.0019414-0.002002i,-0.011039-0.007663i,0.00032378-0.0035096i,-0.034512+0.0057326i,0.0018438-0.012539i,-0.0088527-0.0019738i,-0.0065305-0.0026247i,0.0063985+0.0014753i,-0.0092184+0.001317i,0.00099912+0.00054104i,0.0054949+0.0084808i,0.0044789+0.00054801i,-0.0092852-0.0097378i,0.0031135+0.008767i,-0.018801+0.0070282i,0.006537+0.0023561i,-0.029765-0.0073362i,-0.03384+0.0038052i,0.023906-0.079974i,0.011486-0.010363i,-0.044111-0.026754i,-0.023194-0.0031102i,0.018012+0.011976i,-0.026088+0.013205i,-0.011656-0.0075334i
-0.01205+0.020504i,0.013402+0.046349i,0.027358+0.043898i,0.00073308+0.017329i,-0.001924+0.0059898i,0.026655+0.00046313i,0.014244+0.016251i,0.013327+0.045245i,0.006179+0.020331i,-0.0024223+0.0050048i,0.0012077+0.0012721i,0.0028339-0.0042154i,0.0025385-0.0025398i,0.0033442-0.00050254i,0.0029831-0.0023362i,0.0050181-0.00062622i,0.013148-0.0066338i,-0.00043579-0.00061465i,-0.0048254+0.00047647i,-7.3532e-05+0.0022991i,-0.00051345-0.0010247i,-0.0051002-0.001605i,-0.0024888+0.00056242i,0.0045337+0.0082126i,0.0014777+0.0016453i,0.0024103+0.00064898i,0.0019824+0.0015615i,-0.0014478+0.0032232i,-0.00046238+0.00088981i,-0.00060484+0.0011245i,0.00030561-0.0036814i,-0.001084-0.0012098i,-0.00064154-0.0005294i,-0.00012835+0.00079567i,-0.0004456-0.001889i,-0.0055516+0.010385i,0.0031322+3.2177e-05i,0.00088994-4.0566e-05i,-0.00073401+0.0024329i,-0.00054899-0.0033617i,-0.0021541+0.00057644i,-0.0021968-0.0014694i,0.00081726+0.008536i,0.0036039+0.00053785i,-0.027659+0.022326i,-0.052114+0.027517i,-0.026859+0.049228i,-0.016805+0.03409i,-0.0028235+0.051072i,-0.005966+0.032019i,0.010319+0.012437i,-0.0054391-0.0052458i,-0.039879-0.0054508i,-0.042164+0.018796i,0.0096914+0.019661i,-0.0016861+0.0029428i,-0.005134+0.0027038i,-0.011718-0.0027144i,0.0094925+0.001371i,0.012519+0.014901i,-0.002429+0.0084468i,-0.0071327-0.011435i,0.0052736-0.0028757i,-0.0046133-0.0041706i,0.0034932-0.007398i,0.0050421-0.0024844i,-0.00064336+0.009504i,0.012263-0.0048356i,0.0071313-0.0066825i,0.0051335-0.0072118i,0.003332-0.00045442i,-0.0032293-0.0062401i,-0.0037075-0.0015954i,0.0027866-0.0011265i,-0.011892+0.035011i,-0.0054762-0.0047683i,0.0014192+0.00063662i,-0.00052774-0.0073492i,0.0033635-0.0012921i,-0.013802-0.00472i,0.0010497-0.000521i,0.0029508-0.0030064i,0.0021861-0.002132i,0.00014787-0.0056737i,-0.00078531+0.0067186i,-0.00010704+0.0029743i,-0.0024685+0.0054765i,-0.011285-0.0018629i,-0.0086139+0.0033091i,-0.039005+0.042744i,-0.0067986+0.016403i,-0.022595-0.004963i,-0.00094949-0.00044934i,0.0090847+0.019136i,-0.001067+0.019478i,-0.0062361-0.00045339i
-0.0094229+0.019842i,0.020224+0.042013i,0.034768+0.038297i,0.0047164+0.019096i,0.0015265+0.0061891i,0.026338-0.0051867i,0.015403+0.01275i,0.02075+0.040736i,0.0088359+0.018565i,-0.00085641+0.0049979i,0.0018722+0.0011456i,0.00046686-0.0032034i,0.0011792-0.0024596i,0.0032075-0.00048488i,0.0023163-0.0027923i,0.0042746-0.00081581i,0.0097266-0.0091086i,0.00013759-0.00020924i,-0.0046633+0.001137i,0.00082605+0.0013742i,-0.0009459-0.0012865i,-0.0052949-0.00030162i,-0.0022829+0.00073545i,0.0084498+0.0051242i,0.0013549+0.0020888i,0.0028875-0.00044084i,0.0021966+0.00051053i,-1.1192e-05+0.0034245i,-0.00060116+0.0015812i,-0.00032599+0.0013449i,-0.0011883-0.0032411i,-0.0017169-0.0010849i,-0.0010746-0.00034381i,0.000327+0.00061685i,-0.001146-0.00047888i,-0.0017172+0.010784i,0.0026226-0.0011142i,0.00093419-0.00013589i,0.0006271+0.0019492i,-0.0012117-0.0027613i,-0.0017168+0.00085297i,-0.0028478-0.00051637i,0.0027481+0.0088459i,0.0027632-0.00017185i,-0.022671+0.026696i,-0.044265+0.035508i,-0.020164+0.053351i,-0.00962+0.035158i,0.010495+0.046722i,0.0031753+0.029104i,0.0059977+0.0056344i,-0.011561-0.0087215i,-0.042889-0.0031723i,-0.033201+0.019331i,0.013669+0.015533i,-0.0022799+0.0033107i,-0.0038896+0.0064075i,-0.011661+0.0017927i,0.0080315-0.0020946i,0.015238+0.01149i,0.0018592+0.011789i,-0.012464-0.0093365i,0.0017916-0.0036574i,-0.0042789-0.0017405i,-0.00079466-0.006988i,0.0034141-0.0043777i,0.0035972+0.0071247i,0.008043-0.00784i,0.0023843-0.0080291i,0.0016454-0.0053987i,0.0040245-0.0016375i,-0.0045963-0.0044522i,-0.0020219+0.00071627i,0.0029867-0.0015895i,0.0066191+0.034979i,-0.0066087-0.0034212i,0.002011-0.0010095i,-0.003868-0.0063711i,0.0036963-0.0022413i,-0.0133+0.0019144i,0.0015194-9.9095e-05i,0.0015132-0.0026455i,0.0020859-0.0032009i,-0.0015315-0.0054366i,0.00095081+0.0033187i,0.001207+0.0022871i,0.00079503+0.0063421i,-0.01068+0.0018743i,-0.008293+0.0046861i,-0.030061+0.0439i,-0.0036194+0.018481i,-0.024093-0.00028264i,-0.0015839-0.0043452i,0.012+0.018396i,0.0028554+0.021084i,-0.008364-0.00022936i
-0.0077709+0.019672i,0.025638+0.036456i,0.042365+0.030309i,0.011508+0.017307i,0.0055868+0.0048891i,0.024593-0.011014i,0.015598+0.0091653i,0.027456+0.034428i,0.011877+0.017428i,0.00011028+0.0048071i,0.0022592+0.00028149i,-0.00012085-0.0014384i,1.0767e-05-0.0024096i,0.0033562-0.00095655i,0.0016477-0.0029585i,0.003556-0.00082445i,0.0062322-0.010489i,0.0002366-0.00071992i,-0.0043854+0.0026503i,0.00077077+0.00020747i,-0.0018664-0.001405i,-0.0050041+0.0012922i,-0.0023358+0.0010468i,0.0089743+0.00021571i,0.0026114+0.0015934i,0.0021719-0.0017417i,0.0019146-0.00024101i,0.0014385+0.0027409i,0.00037266+0.0018276i,-1.8653e-05+0.0016181i,-0.0024031-0.0021438i,-0.0023382+0.00011132i,-0.0010611+0.00017096i,0.00031555+0.00023929i,-0.00081153+0.00045037i,0.0013688+0.010108i,0.0018293-0.0015739i,0.00075955-0.00060199i,0.0010009+0.0011294i,-0.001981-0.0022133i,-0.0014609+0.0010458i,-0.0028931+0.00057375i,0.0053076+0.0088259i,0.0023969-0.00040727i,-0.015875+0.029841i,-0.035573+0.041443i,-0.011523+0.056326i,-0.0021171+0.033717i,0.021837+0.038107i,0.0107+0.026355i,-0.00023017+0.0028978i,-0.017764-0.0081788i,-0.04555+0.0023728i,-0.026463+0.016594i,0.015905+0.010129i,-0.0024144+0.0039584i,-0.0021045+0.0076185i,-0.011012+0.0054055i,0.0049319-0.0057198i,0.017859+0.0071839i,0.0069911+0.01171i,-0.016082-0.0052964i,0.00071422-0.0021537i,-0.0037773+0.00028717i,-0.0029064-0.0048908i,0.0013341-0.0047203i,0.0055212+0.0059037i,0.0052204-0.0083613i,-0.0020485-0.0065866i,0.0011083-0.00356i,0.0036548-0.0040227i,-0.0061744-0.0022911i,-0.00044815+0.00060433i,0.0019143-0.0026676i,0.021022+0.026133i,-0.0079249-0.0010339i,0.0019071-0.0020438i,-0.0040088-0.0040626i,0.0040657-0.0040803i,-0.0095301+0.0066653i,0.0026756-0.00031464i,0.00032337-0.0028802i,0.00086684-0.0032616i,-0.0033952-0.0040539i,-2.6843e-05+0.0027817i,0.0019521+0.0011697i,0.0036644+0.0055449i,-0.0095542+0.0043307i,-0.0076485+0.0066993i,-0.023595+0.043722i,0.0036234+0.018896i,-0.023454+0.0037906i,-0.0036532-0.007959i,0.016609+0.015458i,0.0086698+0.022087i,-0.0098087+0.0015988i
-0.006157+0.019887i,0.028884+0.031129i,0.046465+0.019922i,0.016287+0.011464i,0.0085415+0.0011612i,0.021069-0.015799i,0.015091+0.0065506i,0.031605+0.026754i,0.015498+0.014442i,0.0010338+0.0047898i,0.0019246+9.1477e-06i,0.0003911-0.00055987i,-0.0013482-0.0012545i,0.0029033-0.0015582i,0.00080052-0.0030973i,0.0032501-0.00053027i,0.0023442-0.01019i,0.00023071-0.00078585i,-0.0026947+0.0037058i,2.5906e-05-0.00023413i,-0.0025064-0.00036076i,-0.0041352+0.0031935i,-0.0021257+0.001655i,0.0069632-0.003321i,0.0028693+0.00038319i,0.0010191-0.002076i,0.0014928-0.00071537i,0.0018906+0.001576i,0.0011138+0.00098629i,0.00060821+0.0018798i,-0.0028704-0.0005027i,-0.0018488+0.0012203i,-0.00083199+0.00049323i,1.8007e-06+0.00017891i,-0.00026634+0.00082254i,0.0040194+0.0088479i,0.0012504-0.001881i,0.00033054-0.00084889i,0.00096713+0.0010176i,-0.002457-0.0016472i,-0.0011795+0.0013151i,-0.00261+0.0012627i,0.0082082+0.0076917i,0.0021741-0.00046796i,-0.0081412+0.029519i,-0.025591+0.045393i,-0.0024818+0.058042i,0.0026976+0.031065i,0.029894+0.025983i,0.017585+0.019925i,-0.0067332+0.0046834i,-0.024575-0.0043901i,-0.046781+0.010493i,-0.023395+0.012421i,0.016742+0.0041882i,-0.0018493+0.0052633i,0.00032126+0.0097056i,-0.008984+0.0088731i,-0.00048643-0.0057173i,0.019579+0.0007327i,0.011853+0.009128i,-0.018387-2.7649e-07i,0.00023772-0.0017564i,-0.0024009+0.0014943i,-0.003724-0.0017745i,-0.00018088-0.0043476i,0.0071928+0.0025764i,0.0025826-0.0087326i,-0.0044041-0.0023273i,0.0014603-0.0029204i,0.0017134-0.0058304i,-0.006011+0.00065751i,0.00071382+0.00069672i,0.0010654-0.0026276i,0.028792+0.012472i,-0.0078516+0.0028833i,0.0015074-0.003099i,-0.0041471-0.0023625i,0.0023076-0.0064214i,-0.0047412+0.0080662i,0.0034735-0.0020621i,-0.00079971-0.0019884i,2.4412e-05-0.0029189i,-0.0035391-0.0017403i,0.00010875+0.0033501i,0.0016763-6.3131e-05i,0.0059487+0.0036864i,-0.0080024+0.0060738i,-0.0064929+0.0087237i,-0.017721+0.04515i,0.01317+0.013657i,-0.021192+0.0077769i,-0.0091462-0.010118i,0.018732+0.010545i,0.015414+0.019866i,-0.0089178+0.0029287i
-0.0039717+0.020445i,0.032061+0.026787i,0.04769+0.010306i,0.018191+0.0049115i,0.0088613-0.0034631i,0.017282-0.019303i,0.014698+0.0050231i,0.033555+0.01982i,0.018347+0.010588i,0.0020197+0.0045456i,0.0018048+5.657e-05i,0.0011713-0.00046369i,-0.0014792+0.00066895i,0.0023828-0.002002i,9.1356e-06-0.0026613i,0.0035285-0.00020555i,-0.00012131-0.00863i,-0.00017706-0.00093247i,-0.0013548+0.0035787i,-0.00059339-0.00011022i,-0.0025853+0.00048218i,-0.0022932+0.0041492i,-0.0015549+0.0021611i,0.0041445-0.0051331i,0.002482-0.00048448i,0.00028138-0.0021558i,0.0010582-0.0010906i,0.001789+0.00071014i,0.00093526+0.00039888i,0.001541+0.0016808i,-0.0022939+0.000784i,-0.0011169+0.0017886i,-0.00058395+0.00065617i,0.00012951+0.00075105i,0.0004336+0.0010029i,0.0060781+0.0069472i,0.00046916-0.0019568i,-0.00018965-0.00081482i,0.0015688+0.00087404i,-0.0026486-0.0009326i,-0.00084663+0.0012376i,-0.0021766+0.0019499i,0.010278+0.005i,0.0016681-0.00098037i,-0.0030037+0.027377i,-0.014993+0.046575i,0.0087111+0.057945i,0.0073717+0.02924i,0.031907+0.013079i,0.020362+0.012263i,-0.0097341+0.01092i,-0.028589+0.0043309i,-0.046132+0.021053i,-0.024668+0.0096254i,0.013953-0.0010925i,-0.00023596+0.0063037i,0.0049069+0.0091632i,-0.0060865+0.011386i,-0.0031801-0.002582i,0.017515-0.0074536i,0.015262+0.0045839i,-0.01849+0.0057889i,0.00025566-0.00059041i,-0.0012444+0.0020249i,-0.0022027+0.00021489i,-0.0022611-0.0030299i,0.0067133+0.00014117i,-5.5763e-05-0.0082662i,-0.0032433+0.0014678i,0.0021845-0.003363i,-0.00080326-0.006321i,-0.0039339+0.0023531i,0.0019766-0.00017422i,0.00054028-0.0022856i,0.029276-0.0014897i,-0.0047772+0.0056068i,0.00029355-0.003881i,-0.0034246-0.0015641i,-0.00029125-0.0070645i,-0.0014191+0.0073838i,0.0027358-0.0035871i,-0.00083853-0.00035672i,0.00014258-0.0023116i,-0.0020892-0.00081106i,0.0013834+0.0038464i,0.00059999-0.0007475i,0.0062789+0.00092707i,-0.0064282+0.0069542i,-0.0041271+0.010825i,-0.010603+0.045903i,0.016807+0.0017644i,-0.016862+0.0088344i,-0.01514-0.0088569i,0.019885+0.005333i,0.020492+0.013337i,-0.0090505+0.0030081i
-0.0015235+0.020283i,0.035493+0.021827i,0.04789+0.0012002i,0.018454-0.0015655i,0.008133-0.0070546i,0.012999-0.02226i,0.015357+0.003893i,0.034582+0.013328i,0.020581+0.005579i,0.0027453+0.0039946i,0.0022442+3.7844e-05i,0.0017434-0.00073417i,-6.7173e-05+0.002003i,0.0018631-0.0021781i,-0.00029184-0.0022502i,0.0041836-8.9101e-05i,-0.0012592-0.0075532i,-2.2263e-05-0.00089877i,-0.00047121+0.0033994i,-0.00089919+0.00032632i,-0.0020573+0.0011725i,-0.00026284+0.0038751i,-0.0008605+0.0023261i,0.00088063-0.0057554i,0.0021818-0.001053i,-0.00061148-0.0020463i,0.00046607-0.0012785i,0.0016524+0.00030576i,0.00069489+0.00022184i,0.0020236+0.00078311i,-0.0015905+0.0015402i,-0.00027587+0.0020611i,-0.00033553+0.00088222i,0.00081826+0.00043829i,0.00091183+0.00020722i,0.0070294+0.0047118i,-0.00022243-0.0018257i,-0.0004032-0.00040044i,0.0014977+9.5453e-06i,-0.0024383-0.0003676i,-0.00093995+0.0014032i,-0.0013774+0.0023429i,0.011225+0.0022623i,0.0011098-0.0006932i,0.00077001+0.024597i,-0.0053873+0.044798i,0.019934+0.053645i,0.012279+0.026833i,0.030299+0.0018105i,0.020172+0.0057178i,-0.0079191+0.018023i,-0.027127+0.015483i,-0.03959+0.033545i,-0.027541+0.010822i,0.010314-0.0035885i,0.0017303+0.0060813i,0.0077534+0.0064442i,-0.002293+0.013412i,-0.0035676-9.2568e-05i,0.011602-0.014421i,0.015918-0.0017627i,-0.016206+0.010453i,0.0013345-0.00046533i,-4.7843e-05+0.0018875i,-0.00069913+0.00018844i,-0.0023091-0.00054806i,0.0055062-0.0013234i,-0.0020603-0.0068942i,-0.000667+0.0033075i,0.0017585-0.0047705i,-0.003091-0.0052595i,-0.0024744+0.00258i,0.0019952-0.0016556i,0.00075018-0.0020309i,0.024035-0.013146i,-0.0014735+0.0059966i,-0.0012313-0.0036566i,-0.0033021-0.00095246i,-0.0028915-0.0064055i,0.00074013+0.0062064i,0.0021785-0.0045301i,0.00043956+6.8919e-05i,6.8617e-05-0.0029799i,-0.0010196-0.001288i,0.0023552+0.003856i,-0.00057093-0.00016209i,0.0054803-0.00065973i,-0.0054445+0.0074534i,-0.00055204+0.011636i,-0.0033841+0.045059i,0.012661-0.0086312i,-0.014126+0.0062617i,-0.020581-0.0043011i,0.018361-0.0013519i,0.021392+0.0066877i,-0.0094255+0.0046335i
0.0010305+0.019974i,0.037971+0.015856i,0.046045-0.0086729i,0.015814-0.0088701i,0.0066519-0.010844i,0.0080566-0.024084i,0.01679+0.0019179i,0.034796+0.0071812i,0.020843+0.00018111i,0.0033298+0.0037902i,0.0023361-0.00055911i,0.0020906-0.0019716i,0.0014639+0.0020185i,0.0011844-0.0023121i,-0.0004882-0.0019154i,0.0049256-0.0006485i,-0.0026422-0.0070443i,-0.00059003-0.0012683i,0.00068497+0.0030034i,-0.0010815+0.00087596i,-0.0017528+0.0014458i,0.00090835+0.0026706i,-0.00042841+0.0023317i,-0.0021401-0.0046712i,0.0015183-0.002383i,-0.0014354-0.0013372i,-0.00026688-0.0012526i,0.0015181+3.7686e-06i,0.00083259-0.00010264i,0.0019295-0.00015754i,-0.00050812+0.0018209i,0.00046613+0.0020578i,-7.7183e-05+0.0011158i,0.00078134+4.0806e-05i,0.00029584-0.00060659i,0.0072089+0.0027893i,-0.00094878-0.0013939i,-0.00050514-0.00021883i,0.00124-0.00022159i,-0.0019162+2.8671e-05i,-0.00071033+0.0017621i,-0.00058018+0.0025812i,0.011575-0.00099294i,0.00073404-0.00021212i,0.0035144+0.022213i,0.0027075+0.04141i,0.028543+0.046422i,0.017281+0.023612i,0.025561-0.007158i,0.018498+0.0013394i,-0.0019141+0.022173i,-0.018839+0.024077i,-0.027075+0.041879i,-0.029041+0.01558i,0.0071003-0.0041744i,0.0033173+0.0049946i,0.0086228+0.0029726i,0.0024068+0.013249i,-0.0038484+0.0016598i,0.0013361-0.016744i,0.013057-0.0074024i,-0.013439+0.014229i,0.0019861-0.0018357i,0.00068207+0.0013299i,-0.00058936-0.00047225i,-0.00079228+0.00091488i,0.0044911-0.0014777i,-0.0031927-0.005763i,0.0018624+0.0031181i,0.00013613-0.0060623i,-0.0044029-0.0034936i,-0.0010967+0.0026827i,0.0010875-0.0029644i,0.00089379-0.0026759i,0.014835-0.019834i,0.00093976+0.0052905i,-0.0020908-0.0029396i,-0.0028297-0.00077619i,-0.0047529-0.0053624i,0.0019987+0.0048737i,0.0010524-0.0061682i,0.0013424-0.00039875i,-0.0010634-0.0031285i,-0.0013509-0.0020845i,0.00419+0.003558i,-0.00078213+0.0012479i,0.0048329-0.0020817i,-0.0045635+0.008318i,0.0026621+0.010821i,0.0035339+0.044103i,0.0053087-0.015277i,-0.015831+0.0030878i,-0.022515+0.0027762i,0.012697-0.0058288i,0.021186+0.00084641i,-0.007589+0.0055337i
0.0036057+0.019019i,0.039721+0.010249i,0.041439-0.017154i,0.0097293-0.013545i,0.0033796-0.014033i,0.0033343-0.024466i,0.01835-0.0011462i,0.033808+0.0014741i,0.01985-0.0053718i,0.0045516+0.003581i,0.002115-0.00075462i,0.0010436-0.0031166i,0.0027647+0.001371i,0.00067669-0.0021933i,-0.00046186-0.0018822i,0.0054116-0.0015884i,-0.0047078-0.0054321i,-0.0011614-0.00083837i,0.0013367+0.002086i,-0.00069859+0.001729i,-0.0012979+0.0019177i,0.00095387+0.0013888i,2.0535e-05+0.002375i,-0.0040484-0.0021962i,-0.00037282-0.0025061i,-0.0016646-0.00043805i,-0.00070113-0.00094401i,0.0013653-0.00020258i,0.0003855-0.00063996i,0.0014949-0.0008116i,0.00048331+0.0015003i,0.0011567+0.0017069i,0.00045118+0.001316i,0.00068605-8.1183e-05i,-0.00033451-8.1452e-05i,0.0070466+0.0009025i,-0.0013305-0.00078376i,-0.00049315+0.00013239i,0.0011922-0.00033401i,-0.0014687+6.7716e-05i,-0.00015197+0.0021794i,0.00030337+0.002448i,0.01053-0.0043919i,0.00064088+0.00038306i,0.0059626+0.019465i,0.0091993+0.036485i,0.034173+0.03879i,0.022196+0.019001i,0.01947-0.012723i,0.016296-0.0014404i,0.0047994+0.023343i,-0.0087141+0.026733i,-0.0127+0.044615i,-0.027534+0.021761i,0.0054943-0.0039298i,0.0045639+0.003545i,0.0080568+0.00019324i,0.0068028+0.01098i,-0.0031846+0.004148i,-0.0078001-0.012657i,0.0087083-0.010536i,-0.0094335+0.017195i,0.001193-0.0033112i,0.00097395+0.00071203i,-0.00093055-0.00045278i,0.0010591+0.0010673i,0.0040977-0.001942i,-0.0045261-0.0043908i,0.0033104+0.0016575i,-0.0027975-0.0063226i,-0.0047337-0.0015157i,0.00037838+0.0018194i,0.0003009-0.0035193i,0.0002442-0.0038633i,0.0053623-0.021613i,0.0025908+0.0040369i,-0.0026761-0.0023935i,-0.0035013-0.00058416i,-0.0064044-0.0034498i,0.002437+0.0039035i,-0.0013449-0.0072605i,0.0020535-0.0012572i,-0.0015929-0.0023519i,-0.0016745-0.0021428i,0.0053283+0.0022155i,-2.0341e-05+0.0022192i,0.0032036-0.0030292i,-0.0032065+0.0096002i,0.0051147+0.0089414i,0.011769+0.042032i,-0.0048143-0.018478i,-0.019477+0.0030221i,-0.020266+0.0098855i,0.0072915-0.0057077i,0.018162-0.0054574i,-0.0059467+0.0040061i
0.0058479+0.0175i,0.041013+0.0037109i,0.035996-0.023211i,0.0041531-0.014277i,-0.00056302-0.015737i,-0.00058582-0.024319i,0.019189-0.00564i,0.032585-0.0034985i,0.017395-0.010187i,0.0057908+0.0024799i,0.0024551-0.0010268i,-0.00031741-0.0030181i,0.0034348-0.00022106i,0.00039894-0.0019875i,-0.00066135-0.0019836i,0.005728-0.002492i,-0.0053319-0.0030962i,-0.0012044-0.00067591i,0.0013422+0.0012412i,0.00016742+0.0019276i,-0.00075172+0.0020659i,0.00052332+0.00054594i,0.00057244+0.002304i,-0.0044286+0.00082164i,-0.0012921-0.0012984i,-0.0015608+0.00025958i,-0.00089882-0.0005927i,0.0011532-0.00044488i,-0.00017899-0.00022732i,0.00079265-0.0012449i,0.0011903+0.00084805i,0.0015379+0.0012317i,0.0011432+0.0010198i,0.00092015-0.00012634i,-0.0001983+0.00052648i,0.0063503-0.00067487i,-0.0016216+4.1835e-05i,-0.00027079+0.00039058i,0.0011258-0.00086584i,-0.00097802-2.1932e-05i,0.0006664+0.0021021i,0.0010703+0.0020312i,0.0079957-0.0069932i,0.00079017+0.00074924i,0.0072619+0.01688i,0.013035+0.030903i,0.038261+0.031418i,0.02534+0.012546i,0.013493-0.01594i,0.014656-0.0016235i,0.011509+0.022597i,0.00028374+0.026846i,0.00037201+0.042191i,-0.023115+0.027923i,0.0044502-0.0044172i,0.0052138+0.0013646i,0.0074629-0.0020976i,0.0099819+0.0070372i,-0.00085223+0.0049959i,-0.012355-0.0058727i,0.0037623-0.011864i,-0.0041372+0.018198i,-0.0005538-0.0037838i,0.00030762+0.00057744i,-0.0011533-0.00011465i,0.002139+4.0881e-05i,0.0037322-0.0015906i,-0.0050622-0.002414i,0.0036355+0.00020322i,-0.0050611-0.0044254i,-0.0039746+0.00010998i,0.00051682+0.00049525i,-0.00073351-0.004145i,-0.0012778-0.0043875i,-0.0026371-0.01982i,0.0041179+0.0019818i,-0.0034909-0.0016432i,-0.0037683+0.00083868i,-0.0067191-0.00059033i,0.0030583+0.003459i,-0.0047077-0.0069371i,0.0022869-0.0027626i,-0.001825-0.0021081i,-0.0022228-0.0028167i,0.0062413+0.00092595i,0.0010873+0.0025404i,0.0016539-0.0022535i,-0.0013392+0.0099599i,0.0065329+0.0065188i,0.019701+0.037264i,-0.015552-0.016225i,-0.022639+0.0053235i,-0.015061+0.013537i,0.0044212-0.0046058i,0.012652-0.008934i,-0.007253+0.0030146i
0.007338+0.015944i,0.041023-0.0033378i,0.030564-0.028256i,0.00026178-0.013609i,-0.0044742-0.016222i,-0.0048324-0.024089i,0.018435-0.011231i,0.031054-0.0084917i,0.013658-0.014018i,0.0065799+0.0008527i,0.0026689-0.0020337i,-0.0012852-0.0023035i,0.0028844-0.0017332i,0.00022744-0.0018353i,-0.0012362-0.002078i,0.0058721-0.003812i,-0.0050492-0.0012619i,-0.0015937-0.00066454i,0.00128+0.00080718i,0.0008804+0.0017446i,-0.00028339+0.0022234i,-0.00011632+0.0003745i,0.0010309+0.0020756i,-0.0031031+0.0035365i,-0.0012285-0.00023843i,-0.0012737+0.0010042i,-0.0010396-0.0001966i,0.00082083-0.00052461i,-0.00021489+8.1071e-05i,-6.6716e-05-0.0012298i,0.00149+5.7016e-06i,0.0019202+0.00070647i,0.0014488+0.00049435i,0.00094295-0.00075467i,0.00035493+0.00076403i,0.0054546-0.0018607i,-0.0013626+0.00081741i,9.4263e-05+0.00051836i,0.00019236-0.0011415i,-0.00057443-0.00032618i,0.0014269+0.0018481i,0.0015176+0.0014603i,0.0051329-0.0080234i,0.0013514+0.0015426i,0.00801+0.014921i,0.014989+0.026804i,0.041158+0.024008i,0.02601+0.0069827i,0.007183-0.017926i,0.01604-0.0011998i,0.017741+0.019373i,0.0098839+0.024017i,0.012187+0.035539i,-0.015294+0.03206i,0.003112-0.0048482i,0.0044959-0.0017182i,0.0062088-0.0043661i,0.010427+0.0021647i,0.00033591+0.0044401i,-0.01319+0.0018698i,-0.0012708-0.011071i,0.00015377+0.016446i,-0.0023529-0.0029679i,5.3142e-05+0.0013363i,-0.0011584+0.00036706i,0.0028921-0.0013725i,0.004471-0.00090948i,-0.0042145-0.00082471i,0.003602-0.00046011i,-0.005826-0.0022232i,-0.002905+0.00083965i,1.3242e-06+0.00010798i,-0.0030992-0.0045412i,-0.0027444-0.0036658i,-0.0090728-0.016379i,0.0041792-0.00055141i,-0.0038993-0.00039021i,-0.0024495+0.0018177i,-0.0058599+0.001615i,0.0042639+0.0029534i,-0.0072383-0.0045665i,0.0010854-0.0044089i,-0.0026267-0.0015507i,-0.0041157-0.0025729i,0.0068511-0.0016515i,0.0021644+0.0026731i,0.0018997-0.0018075i,0.00089119+0.010133i,0.0068967+0.0039473i,0.025947+0.030326i,-0.021458-0.0084033i,-0.025324+0.0098682i,-0.010013+0.01485i,0.0020171-0.0024965i,0.0078257-0.0086329i,-0.0080093+0.0032135i
