-0.0087978-0.039093i,-0.013526-0.042925i,0.00032572-0.046407i,-0.027054-0.026924i,-0.020278+0.014374i,-0.032872-0.031019i,-0.06061-0.059751i,-0.023679-0.07245i,-0.022974-0.057327i,0.0013437+0.013985i,-0.0072432+0.010165i,-0.014982+0.013352i,0.002698+0.016498i,-0.0036795-0.0035174i,0.0007027+0.0061088i,0.0012307+0.036827i,0.015019+0.060958i,0.00093629-0.00031454i,-0.0051336-0.008034i,0.0086721+0.0035001i,0.001547+0.00086067i,-0.0010969+0.0035086i,1.9173e-05-0.0014582i,-0.034445-0.0082647i,-0.0021668-0.0072899i,-0.00017665+0.004344i,0.0072532-4.7222e-05i,6.7985e-05+0.00072229i,5.4484e-05-0.0012248i,-0.00038781-0.0025195i,-0.0011588-0.0055803i,-0.0024364-0.0041582i,-0.00070288-0.0075521i,0.0034535-0.00093719i,0.0029097-0.0026073i,-0.0028288+0.032872i,0.0060692-0.0047193i,0.0035965-0.001979i,0.0046783-0.00013209i,-0.011726+0.0030345i,-0.00034641+0.00021136i,0.014978-0.0015297i,0.0059676-0.00024804i,-0.0026697+0.0039391i,0.0031698+0.0017884i,-0.0031481+0.0073913i,0.014386-0.086773i,-0.0061367-0.049399i,-0.025284-0.039642i,-0.020246-0.041699i,0.06202-0.018836i,0.026943-0.061146i,0.038022-0.045376i,0.029008-0.058049i,0.018902-0.015042i,0.0090076+0.0099499i,0.024118-0.031768i,-0.0089801-0.0049171i,0.0023117-0.0027912i,-0.0050585-0.0060867i,0.0016491-0.032181i,-0.023436+0.030492i,0.0074265-0.010158i,-0.010587-0.0014412i,-0.0053038-0.00098295i,-0.0016652-0.013647i,-0.0099364+0.0038781i,0.0042883+0.0083945i,-0.0086048+0.030793i,0.0058991+0.0075896i,-0.0044885-0.001287i,-0.0019069-0.0020293i,-0.012408-0.0082699i,0.00074883-0.0038047i,-0.028095+0.0027349i,0.0023748-0.013059i,-0.0092712-0.0016046i,-0.0060562-0.0030273i,0.0063021+0.0015042i,-0.009278+0.0012531i,0.0014521+0.00053722i,0.0060512+0.0087949i,0.0043823+0.00068592i,-0.0095099-0.0082145i,0.0021841+0.008804i,-0.019174+0.0069174i,0.006591+0.0030878i,-0.029412-0.00796i,-0.033568+0.0020117i,0.026463-0.079759i,0.012716-0.010734i,-0.043052-0.026437i,-0.022522-0.0037123i,0.018256+0.012372i,-0.026484+0.012641i,-0.011201-0.007964i
-0.012978+0.018206i,0.012884+0.045315i,0.025544+0.044079i,0.0002551+0.017549i,-0.0024419+0.0067974i,0.026768+0.0010588i,0.014075+0.016055i,0.012979+0.042346i,0.0064839+0.020205i,-0.0019949+0.0070917i,0.00086647+0.001314i,0.0022836-0.0043417i,0.002634-0.0022708i,0.0036637-0.00064098i,0.0031209-0.0020759i,0.0048319-0.0013182i,0.013232-0.005723i,-0.00048001-0.00055029i,-0.0049347+0.00010555i,-0.00030429+0.002812i,-0.00046859-0.00093063i,-0.0051452-0.0015652i,-0.0022598+0.00056098i,0.0027995+0.0089077i,0.0024324+0.0016185i,0.0021536+0.00063834i,0.0018478+0.0016292i,-0.00076587+0.003348i,-0.00044045+0.00093234i,-0.00081858+0.0012889i,0.00072041-0.0040642i,-0.00095815-0.00099144i,-0.00073937-0.00040836i,-0.00032754+0.00088007i,-0.00046683-0.0020244i,-0.0061056+0.0092598i,0.0034055-0.00028733i,0.00097237+2.2091e-05i,-0.00067833+0.0024996i,-0.00069835-0.002733i,-0.0020686+0.00051704i,-0.00090457-0.0022116i,0.0013287+0.0086808i,0.0034429+0.00085897i,-0.028127+0.021904i,-0.053971+0.025542i,-0.029126+0.048887i,-0.017816+0.031682i,-0.0040451+0.050505i,-0.0068955+0.031824i,0.0094734+0.010194i,-0.0047934-0.0070509i,-0.038058-0.0076574i,-0.042859+0.017601i,0.0096849+0.019294i,-0.0023796+0.0027004i,-0.0052595+0.0023276i,-0.012086-0.0029775i,0.0095024+0.001347i,0.010868+0.012995i,-0.0027325+0.0084993i,-0.0062613-0.01175i,0.0052441-0.0025259i,-0.0045247-0.0045609i,0.0041043-0.0078031i,0.0049898-0.0023627i,-0.0010263+0.0099566i,0.01231-0.004261i,0.0070291-0.0069624i,0.0053363-0.0072547i,0.0035395-0.00053377i,-0.0035791-0.0063125i,-0.0032587-0.0015771i,0.0029168-0.0012948i,-0.015826+0.037044i,-0.0051903-0.006112i,0.0014525+0.00072057i,-0.00047837-0.006895i,0.003292-0.00091285i,-0.013439-0.0042083i,0.0010647-0.00085385i,0.0036823-0.0033397i,0.0024992-0.0026591i,-0.00046905-0.0061384i,-0.0013205+0.0069276i,-0.00050246+0.0034979i,-0.0023673+0.0048995i,-0.011031-0.0017427i,-0.0089464+0.0027777i,-0.038504+0.039876i,-0.0071587+0.016585i,-0.022705-0.0036716i,-0.00074405-0.0018514i,0.010296+0.019346i,-0.0012144+0.019414i,-0.0056949-0.00023305i
-0.011047+0.017994i,0.019464+0.041291i,0.033622+0.039063i,0.0045746+0.01966i,0.001381+0.0071019i,0.026589-0.0046229i,0.015038+0.012652i,0.019715+0.037927i,0.0090032+0.018027i,-0.00010258+0.0062342i,0.0015745+0.0012238i,0.00014954-0.0029457i,0.0013788-0.0023828i,0.0032908-0.00073764i,0.002532-0.0026616i,0.0038077-0.0011856i,0.0099031-0.0088692i,0.00020764-0.0001669i,-0.0048751+0.00096582i,0.00088223+0.0016854i,-0.00094369-0.0012127i,-0.005186-0.00018686i,-0.0021801+0.00063546i,0.0069858+0.0070073i,0.0022116+0.0018973i,0.0026358-0.0004932i,0.0020974+0.0006445i,0.00013191+0.0033463i,-0.00068807+0.0015162i,-0.00041028+0.0016274i,-0.00096284-0.0038349i,-0.0015849-0.0010553i,-0.0011708-0.00014334i,0.00017136+0.00056332i,-0.0015044-0.00058253i,-0.0026651+0.010084i,0.002622-0.0015981i,0.0010709-0.00011691i,0.0007076+0.0018789i,-0.0011348-0.0019049i,-0.0017999+0.00073387i,-0.0046998-0.0028608i,0.0034667+0.0086847i,0.002992+0.00056974i,-0.022999+0.02632i,-0.046011+0.033759i,-0.022012+0.0536i,-0.011273+0.033269i,0.0095641+0.04609i,0.0021254+0.02943i,0.0045401+0.0039075i,-0.011843-0.010865i,-0.041971-0.0053175i,-0.034089+0.018835i,0.013524+0.016881i,-0.0027255+0.00317i,-0.0041162+0.0060605i,-0.012115+0.0018867i,0.007946-0.0022027i,0.013248+0.011025i,0.0015489+0.011988i,-0.012355-0.010172i,0.0021125-0.0035395i,-0.004464-0.0020142i,-0.0010692-0.0073107i,0.0035147-0.0042496i,0.0037359+0.0076462i,0.0084398-0.0077431i,0.0023603-0.0088704i,0.001867-0.0054246i,0.0041588-0.001933i,-0.0054322-0.0045853i,-0.0016055+0.00045311i,0.0029072-0.0019115i,0.0083679+0.035036i,-0.0068217-0.0042256i,0.0020725-0.00095745i,-0.0038293-0.006084i,0.0038671-0.0019781i,-0.013229+0.001714i,0.0012564-0.00043389i,0.0016066-0.0032173i,0.0019773-0.0037598i,-0.0022424-0.0052232i,0.0010397+0.0037489i,0.0012326+0.0029017i,-0.00017581+0.0058422i,-0.010502+0.0021152i,-0.0087249+0.0043366i,-0.030411+0.041029i,-0.0039517+0.019375i,-0.02448-0.00020281i,-0.0021462-0.0056719i,0.012813+0.01791i,0.0026607+0.021624i,-0.0077334-0.00017321i
-0.0097644+0.01841i,0.024755+0.036124i,0.041481+0.031225i,0.011745+0.017291i,0.0056614+0.0057424i,0.024939-0.010528i,0.015163+0.0091298i,0.025523+0.032029i,0.011715+0.016765i,0.0010835+0.0055342i,0.0017437+0.00044077i,-2.7926e-05-0.0011072i,0.0001053-0.0024073i,0.0032701-0.0011815i,0.0018661-0.0029293i,0.0030187-0.001002i,0.006268-0.010541i,0.00026441-0.00067171i,-0.0044055+0.0030805i,0.00091292+0.00036387i,-0.0019102-0.0013594i,-0.0048547+0.0012072i,-0.0023405+0.00090685i,0.0088469+0.0023579i,0.0033177+0.0010453i,0.0019022-0.0016195i,0.0019801-0.00012029i,0.0015208+0.0027195i,0.00022665+0.0018831i,4.1608e-05+0.0018214i,-0.0024092-0.0028229i,-0.0021007+0.00010277i,-0.0016664+0.00057646i,0.00022604+0.00012294i,-0.0010358+0.0006152i,0.000434+0.0097727i,0.001548-0.0020128i,0.0011122-0.00058636i,0.00095598+0.00099739i,-0.0014857-0.0014296i,-0.0017192+0.0010454i,-0.0038504-0.00086719i,0.0058683+0.0078895i,0.003034+0.00029452i,-0.016075+0.029427i,-0.037489+0.039972i,-0.012641+0.056569i,-0.0039963+0.03237i,0.020832+0.037394i,0.010004+0.027463i,-0.0017993+0.0017139i,-0.018624-0.0099681i,-0.044881+0.0005332i,-0.027011+0.01685i,0.017315+0.01119i,-0.0026591+0.0041711i,-0.0026819+0.0071603i,-0.011362+0.0055637i,0.0047535-0.0056654i,0.015943+0.0075957i,0.0070634+0.011951i,-0.016297-0.0056323i,0.00083009-0.0021403i,-0.0040447+0.00024394i,-0.0031571-0.0046907i,0.0013483-0.0047151i,0.0056761+0.00615i,0.0056536-0.0084733i,-0.0042493-0.0067041i,0.0013458-0.0034979i,0.0036091-0.0042431i,-0.006096-0.00079551i,-0.0004113+0.00039418i,0.0017813-0.0027048i,0.019625+0.026789i,-0.0083639-0.0013115i,0.0019914-0.0020234i,-0.003692-0.0037524i,0.0043043-0.0040353i,-0.0099099+0.0070008i,0.0023302-0.00057165i,0.00014024-0.0031795i,0.00031444-0.0035252i,-0.0032187-0.003437i,6.059e-05+0.0025606i,0.0023892+0.0015254i,0.0024491+0.0066738i,-0.0092883+0.0045759i,-0.0079141+0.006585i,-0.024542+0.04133i,0.0037512+0.020286i,-0.023561+0.0044249i,-0.0045329-0.0087032i,0.016776+0.014546i,0.0092428+0.022894i,-0.0090604+0.001324i
-0.0083452+0.019288i,0.027993+0.031099i,0.045476+0.021284i,0.016101+0.01134i,0.0088425+0.0019462i,0.021457-0.015506i,0.014568+0.0067358i,0.028979+0.02542i,0.015213+0.014011i,0.0018079+0.005159i,0.0019851+0.00059607i,0.00073484-0.00041935i,-0.0013127-0.0012006i,0.0028365-0.0015971i,0.00094725-0.0032036i,0.002633-0.00038919i,0.0023417-0.010396i,0.00037603-0.0007258i,-0.0025439+0.0058546i,0.00019636-0.00024931i,-0.0025853-0.00050073i,-0.0041334+0.0029935i,-0.0022422+0.0015399i,0.0075275-0.0016716i,0.0033301-0.00026292i,0.0009009-0.0018171i,0.0015527-0.0007092i,0.0019231+0.0017184i,0.0010222+0.0010408i,0.00062308+0.0021046i,-0.0031636-0.0011023i,-0.0016173+0.0010467i,-0.00066673+0.0008335i,7.6885e-05+7.2294e-05i,-0.00027041+0.00085841i,0.0031321+0.0087365i,0.00066402-0.0023157i,0.00044727-0.0010023i,0.0009115+0.00096712i,-0.0017556-0.00087347i,-0.0013958+0.0013774i,-0.0035064+0.0011013i,0.0083979+0.0062263i,0.0031233+1.2006e-05i,-0.0085499+0.029186i,-0.02762+0.044489i,-0.0034858+0.057438i,0.00071044+0.030154i,0.02892+0.025578i,0.017811+0.020643i,-0.0085902+0.0038481i,-0.026053-0.0059216i,-0.046646+0.0083458i,-0.02324+0.012953i,0.018478+0.0038512i,-0.0019515+0.0054626i,-0.00038473+0.0098407i,-0.0092498+0.0087032i,-0.00062283-0.0055772i,0.018152+0.0020741i,0.01218+0.0092021i,-0.018317+0.00014531i,0.0004353-0.0015667i,-0.00256+0.0016169i,-0.0039422-0.00176i,-0.00015473-0.0044364i,0.0074426+0.00282i,0.0029593-0.0092893i,-0.004674-0.0017785i,0.0017255-0.0030115i,0.0016907-0.0058527i,-0.0063358+0.00051486i,0.00054718+0.00052356i,0.001049-0.0028398i,0.0286+0.013829i,-0.0082781+0.0030414i,0.0015901-0.003339i,-0.0034909-0.0025903i,0.0025315-0.0065761i,-0.0048989+0.0086749i,0.0031695-0.0019344i,-0.0010596-0.0022218i,-0.00054763-0.0029061i,-0.0028737-0.0016614i,-0.00016775+0.0030005i,0.0022544-4.9144e-05i,0.0071389+0.0065719i,-0.0077649+0.0062129i,-0.0064922+0.0085429i,-0.018777+0.043127i,0.013902+0.014535i,-0.020892+0.0080684i,-0.010239-0.010134i,0.018534+0.010086i,0.01583+0.019888i,-0.0084549+0.0024338i
-0.0061121+0.020463i,0.031366+0.027108i,0.047204+0.012376i,0.017914+0.0050084i,0.0093783-0.0028996i,0.017624-0.0191i,0.014184+0.0055294i,0.031019+0.019312i,0.018079+0.010355i,0.0026334+0.00464i,0.0020981+0.0001332i,0.0015478-0.00054361i,-0.0014498+0.00071327i,0.0021918-0.0020056i,9.0012e-05-0.0027402i,0.0030013+0.00025325i,-0.00013563-0.0090069i,-1.5279e-05-0.00091953i,-0.002485+0.0042318i,-0.00049693-0.00018697i,-0.0027454+0.00032646i,-0.0022303+0.0040466i,-0.0016832+0.0021513i,0.0053594-0.0044889i,0.0027706-0.0012394i,0.00029906-0.0018622i,0.00099855-0.0010559i,0.00184+0.00094313i,0.00088696+0.00048009i,0.0016055+0.0018954i,-0.002815+0.00032494i,-0.00099586+0.001535i,-0.00081331+0.00091815i,0.00037748+0.00065903i,0.00036342+0.00097345i,0.0052731+0.0069992i,-0.00022365-0.002013i,-8.0611e-05-0.00088667i,0.0015213+0.00080724i,-0.001789-0.00025086i,-0.0011586+0.0013236i,-0.0026503+0.0020029i,0.010106+0.0034472i,0.0026791-0.00079949i,-0.0036038+0.027005i,-0.01699+0.045817i,0.0069059+0.05778i,0.0054344+0.028551i,0.031304+0.01267i,0.020647+0.012618i,-0.011613+0.010595i,-0.030838+0.003454i,-0.046425+0.019204i,-0.023724+0.0099075i,0.014973-0.0020292i,-0.0002302+0.0065096i,0.0044301+0.0094397i,-0.0063562+0.011298i,-0.0032486-0.0024403i,0.017142-0.005634i,0.015637+0.0043273i,-0.017981+0.0059309i,0.00041182-0.00054284i,-0.0014077+0.0020607i,-0.0024239+0.00017754i,-0.0021926-0.00321i,0.007037+0.000236i,0.00012124-0.0090188i,-0.0038035+0.0016081i,0.0022194-0.0034627i,-0.00076165-0.0065335i,-0.0040484+0.001933i,0.0017749-0.00013312i,0.00054579-0.0024606i,0.029329-0.0016068i,-0.005224+0.0059734i,-3.3196e-07-0.0039531i,-0.0031781-0.0022566i,-0.00020836-0.0073833i,-0.0012704+0.0074816i,0.0024103-0.0035381i,-0.0012227-0.00049512i,-0.00048194-0.0017894i,-0.0018276-0.0009707i,0.0011962+0.0036937i,0.00089926-0.00093297i,0.012466-0.00037335i,-0.0063069+0.0067381i,-0.0040974+0.010266i,-0.011748+0.043949i,0.018017+0.0018289i,-0.016571+0.0090762i,-0.015992-0.0084569i,0.01961+0.0053862i,0.020435+0.013292i,-0.0089627+0.0023661i
-0.0034553+0.020858i,0.03498+0.02218i,0.048044+0.0028641i,0.018269-0.0012273i,0.0086961-0.0067254i,0.013296-0.022039i,0.015138+0.0044848i,0.032098+0.013653i,0.020464+0.0053259i,0.0032971+0.0042014i,0.002362-8.5276e-05i,0.0020106-0.00086085i,7.6969e-05+0.0021325i,0.0016422-0.0021145i,-0.00020573-0.0023896i,0.0039759+0.00054068i,-0.0013865-0.0077368i,0.00021129-0.0010747i,-0.0011913+0.0038314i,-0.00087147+0.00030963i,-0.0022489+0.0010576i,-0.00027577+0.0037079i,-0.00097623+0.0023404i,0.0021071-0.0065579i,0.0023135-0.001798i,-0.00051703-0.0017662i,0.00046417-0.0011912i,0.0016266+0.00050064i,0.00085341+0.00027044i,0.0021761+0.00099785i,-0.0022857+0.0012926i,-0.00021414+0.0019129i,-0.00058203+0.0013123i,0.00099421+0.00022911i,0.00072912+0.00030807i,0.0061037+0.0045853i,-0.00068928-0.001549i,-0.00027067-0.00050852i,0.0014725-2.0794e-05i,-0.0012285-9.3056e-05i,-0.0011022+0.0016039i,-0.0015768+0.0024056i,0.010776-0.00038754i,0.0020446-0.00067545i,0.00020527+0.024633i,-0.0075645+0.04418i,0.018371+0.054436i,0.010181+0.026528i,0.029641+0.0014157i,0.020301+0.0060619i,-0.0093342+0.018308i,-0.02943+0.015639i,-0.040455+0.032297i,-0.026293+0.010315i,0.010835-0.0046443i,0.0019075+0.0061771i,0.007393+0.0069789i,-0.0024829+0.013707i,-0.0036403+1.9416e-05i,0.011989-0.012984i,0.015928-0.002534i,-0.015926+0.010288i,0.0013768-0.00015842i,-0.00036113+0.0020172i,-0.0009328+0.00036608i,-0.0024478-0.0007103i,0.0056469-0.0013293i,-0.002059-0.0074073i,-0.0011354+0.0039214i,0.001835-0.0047084i,-0.0032604-0.0054045i,-0.0027591+0.0023832i,0.0021001-0.0016517i,0.00077141-0.0020433i,0.023662-0.012717i,-0.0019093+0.0063426i,-0.0014476-0.0036025i,-0.0036547-0.0015172i,-0.002861-0.006697i,0.00071343+0.0062798i,0.0025596-0.0067019i,0.00022454+0.00023852i,0.00054769-0.0019049i,-0.001045-0.0013236i,0.0022821+0.0049251i,-0.00033929-0.00020705i,0.004786-0.0028706i,-0.005493+0.0070517i,-0.0010921+0.010868i,-0.0045367+0.043373i,0.013867-0.0090619i,-0.013654+0.0062089i,-0.02051-0.003568i,0.018088-0.0011509i,0.021116+0.0069045i,-0.0095151+0.0040868i
-0.00062812+0.020993i,0.037557+0.016289i,0.04646-0.0073125i,0.015774-0.0085855i,0.0071583-0.010679i,0.0083672-0.023808i,0.016895+0.0024007i,0.032751+0.0081934i,0.020381-0.00016253i,0.0040119+0.0039407i,0.002358-0.00068237i,0.0022008-0.0020955i,0.0016479+0.0020819i,0.0010721-0.0021279i,-0.00042651-0.0020851i,0.0051747-0.00026081i,-0.002813-0.0068877i,-0.00052316-0.0014167i,0.00042331+0.0034885i,-0.0010676+0.00089893i,-0.002001+0.001327i,0.00078165+0.0025686i,-0.00047318+0.0023653i,-0.0031752-0.007115i,0.0014547-0.0031846i,-0.0012239-0.001112i,-0.00023332-0.0011852i,0.0015467+0.0002261i,0.0011032-0.00011156i,0.0020977-5.4517e-05i,-0.0012304+0.0019347i,0.00050705+0.0018958i,-0.00027297+0.0016665i,0.00095605+0.00014433i,0.00038574-0.00032869i,0.0062394+0.002661i,-0.0012826-0.0010885i,-0.00037609-0.00037584i,0.001178-0.00023223i,-0.00071728-0.0003015i,-0.00060935+0.0020025i,-0.00089213+0.0026667i,0.0091895-0.0037727i,0.0016304-0.00045697i,0.0032611+0.022333i,0.00029352+0.041212i,0.0277+0.047302i,0.015153+0.023811i,0.025053-0.0074869i,0.018513+0.0016803i,-0.0030411+0.022791i,-0.020314+0.024889i,-0.027406+0.040894i,-0.028093+0.014375i,0.0069586-0.0052043i,0.0033331+0.0050607i,0.0086328+0.0036405i,0.0022543+0.013424i,-0.0038558+0.0019011i,0.002299-0.015861i,0.012617-0.0079333i,-0.013126+0.013713i,0.0022301-0.0014755i,0.00074961+0.0016728i,-0.00071067-0.00032421i,-0.00087248+0.00073605i,0.0045155-0.0016049i,-0.0033852-0.0059486i,0.0018698+0.0034298i,0.00036635-0.0062666i,-0.0044239-0.0033538i,-0.0015059+0.002679i,0.00098784-0.0033187i,0.00091584-0.0026357i,0.015794-0.019263i,0.00072889+0.0056789i,-0.0023654-0.0029977i,-0.0030444-0.00081615i,-0.0048136-0.0054899i,0.0018205+0.0049882i,0.0013586-0.006669i,0.0013004-0.00029724i,-1.5846e-05-0.003128i,-0.0015293-0.0019781i,0.0032801+0.0034247i,-0.00060514+0.0011371i,0.0041317-0.0024331i,-0.0047088+0.0078629i,0.001631+0.010323i,0.0023052+0.042241i,0.0062794-0.01632i,-0.015693+0.0030482i,-0.022318+0.0027247i,0.012486-0.0053935i,0.021311+0.00084088i,-0.0077751+0.0051574i
0.0023715+0.020506i,0.039423+0.010647i,0.042061-0.015791i,0.0097318-0.013122i,0.003848-0.014066i,0.0037763-0.024308i,0.018539-0.00086283i,0.032336+0.0030391i,0.019504-0.0057001i,0.0053537+0.0037123i,0.0021163-0.00075291i,0.00098667-0.00332i,0.0028714+0.0013711i,0.00068125-0.0019712i,-0.00044916-0.0019928i,0.0056106-0.0015742i,-0.0046917-0.0052223i,-0.0010795-0.00099044i,0.0013652+0.0024298i,-0.00072514+0.0017863i,-0.0016013+0.0020221i,0.00080658+0.0012227i,3.3164e-05+0.0023608i,-0.0060279-0.0014042i,-0.00078862-0.0031763i,-0.0013662-0.00042653i,-0.00076816-0.00084819i,0.0013106+0.00010614i,0.00063115-0.0007496i,0.0015982-0.00075086i,-0.0001005+0.0018934i,0.0011726+0.0014962i,0.00083333+0.0018822i,-0.00017272+0.00058442i,-9.1281e-05+1.9232e-05i,0.0060347+0.00096236i,-0.0018627-0.00025848i,-0.00050442+1.0884e-05i,0.0011504-0.0002313i,-0.00045241-0.00081021i,0.00012262+0.0022216i,4.2418e-05+0.002813i,0.0072299-0.0044037i,0.0015371-0.00026368i,0.0059289+0.019543i,0.0067962+0.037042i,0.033519+0.039236i,0.020246+0.019825i,0.018842-0.012934i,0.016192-0.0011431i,0.0038223+0.024194i,-0.0096808+0.027645i,-0.013017+0.043571i,-0.026912+0.020208i,0.0050239-0.0046146i,0.0044621+0.0034915i,0.0084261+0.00065018i,0.0066482+0.011265i,-0.0030103+0.0042503i,-0.0065491-0.012435i,0.0080735-0.010615i,-0.0092423+0.016319i,0.0015194-0.0028419i,0.0010549+0.00091138i,-0.0010786-0.00042021i,0.00094815+0.0010007i,0.0039542-0.0020683i,-0.0048049-0.0043675i,0.0035221+0.0015841i,-0.002661-0.006563i,-0.0046757-0.0013491i,2.5727e-05+0.0020394i,8.4992e-05-0.0037558i,0.00037145-0.0038832i,0.0063074-0.022253i,0.0026527+0.0044008i,-0.0029687-0.0022444i,-0.0036249-0.00059697i,-0.0063014-0.0032885i,0.00217+0.0041703i,-0.00119-0.0076901i,0.0020901-0.0014565i,-0.0012744-0.002912i,-0.00183-0.0020728i,0.0049553+0.0022518i,-3.9503e-05+0.0019319i,0.0032129-0.0029449i,-0.0037914+0.009143i,0.0039137+0.0089978i,0.0098834+0.04007i,-0.0044815-0.01996i,-0.019649+0.0029032i,-0.020427+0.0099052i,0.0075869-0.0055047i,0.017226-0.005105i,-0.006277+0.0037608i
0.0051936+0.019143i,0.040883+0.0041301i,0.037138-0.021973i,0.0042831-0.013907i,-0.00016726-0.015884i,-0.00018156-0.024279i,0.019424-0.0054511i,0.032128-0.0018752i,0.016741-0.010462i,0.0067779+0.0019393i,0.0025346-0.0010197i,-0.00048952-0.0030311i,0.0034643-0.0002636i,0.00043299-0.0019025i,-0.00063205-0.0020631i,0.0058507-0.002613i,-0.0052768-0.0027898i,-0.0012207-0.0010091i,0.0014194+0.0014522i,0.00014859+0.0020675i,-0.0010411+0.0024732i,0.00036791+0.00047342i,0.00065354+0.0022191i,-0.0043808+0.0023866i,-0.0019565-0.0018432i,-0.0013757+0.00018649i,-0.0009391-0.00040357i,0.0011289-0.00022257i,-5.0298e-05-0.00040689i,0.00099649-0.001344i,0.00079941+0.001444i,0.0015324+0.0011139i,0.0015322+0.0010648i,0.00062784+3.8543e-05i,8.426e-05+0.00068936i,0.005454-0.0005782i,-0.0020117+0.0010693i,-0.00030078+0.00021644i,0.0010495-0.00081505i,-0.00037789-0.0012885i,0.00087294+0.0019592i,0.00099097+0.0023318i,0.0064354-0.0049351i,0.0013932-0.00024061i,0.0072968+0.016979i,0.011075+0.032023i,0.037511+0.031367i,0.023897+0.013855i,0.012784-0.015898i,0.014466-0.0013565i,0.010777+0.023585i,-0.00016823+0.027599i,-7.3615e-05+0.040613i,-0.023266+0.026062i,0.0039205-0.0047619i,0.0051696+0.0013644i,0.0079747-0.00181i,0.0097574+0.0071992i,-0.00075572+0.0050044i,-0.011246-0.0061808i,0.0033329-0.011536i,-0.0041038+0.017399i,0.00080289-0.0044114i,0.00045986+0.00067291i,-0.0012641-3.5672e-05i,0.0021437+0.00010118i,0.003406-0.0017255i,-0.0053725-0.0023188i,0.0037427-0.0002271i,-0.0051808-0.0044952i,-0.0038107+0.00057169i,0.00035164+0.00077546i,-0.00082209-0.0042744i,-0.0011568-0.0042737i,-0.0024047-0.020421i,0.0042899+0.0020583i,-0.0037202-0.0014092i,-0.0038385+0.0010319i,-0.0064942-0.00056869i,0.0028677+0.0039403i,-0.0045294-0.0071392i,0.002164-0.0031026i,-0.0021673-0.0025115i,-0.0022342-0.0027215i,0.0060995+0.00097211i,0.00079868+0.0021383i,0.0019252-0.0023476i,-0.0020392+0.0099568i,0.0055264+0.0068753i,0.017104+0.035706i,-0.0157-0.017434i,-0.023214+0.0051161i,-0.014823+0.013393i,0.0047653-0.0046839i,0.012538-0.0073988i,-0.0077641+0.0029987i
0.0072302+0.017589i,0.040996-0.0029474i,0.032127-0.027813i,0.00046445-0.013406i,-0.004269-0.016373i,-0.0043917-0.024227i,0.018565-0.011247i,0.031326-0.0075183i,0.012865-0.014076i,0.0072073-8.6206e-05i,0.0027677-0.002022i,-0.0013787-0.0021773i,0.0027905-0.0017913i,0.00026097-0.0018369i,-0.0012199-0.0021857i,0.0058528-0.0039626i,-0.0049633-0.00089044i,-0.0016902-0.0010888i,0.0014149+0.00090193i,0.00086096+0.0019355i,0.00012493+0.0024733i,-0.00028716+0.00033454i,0.0010461+0.0019079i,-0.0021288+0.0040318i,-0.0019948-0.00045329i,-0.0011528+0.00079144i,-0.00094302-4.8565e-05i,0.00085308-0.00059721i,-0.00015469-8.3549e-05i,5.0302e-05-0.0014281i,0.0012891+0.00074259i,0.0018559+0.00063348i,0.0018812+0.00046962i,0.00081136-0.0004894i,0.00081465+0.00076796i,0.0048241-0.0016209i,-0.0013737+0.0016815i,-6.997e-05+0.00038648i,2.1222e-05-0.0008998i,-0.00050336-0.0018152i,0.0015219+0.0017284i,0.0015332+0.0017056i,0.0057301-0.0064057i,0.0015022+0.00042534i,0.0082539+0.015073i,0.01352+0.027987i,0.040079+0.023854i,0.02501+0.0083492i,0.0067329-0.017605i,0.01581-0.00079364i,0.017402+0.020324i,0.0097354+0.024446i,0.010886+0.033839i,-0.01622+0.030671i,0.0026362-0.0049885i,0.0045041-0.0016152i,0.0068531-0.0043256i,0.010357+0.002421i,0.00042812+0.0044291i,-0.012554+0.0010091i,-0.0013598-0.010603i,-0.00017144+0.015821i,-0.0028931-0.0037932i,0.00011695+0.0012897i,-0.0012475+0.00049709i,0.002915-0.0013086i,0.0040375-0.00087733i,-0.0043468-0.00064843i,0.0035205-0.00090924i,-0.0060351-0.0019986i,-0.0023506+0.0013915i,1.9659e-05+0.00029308i,-0.0031858-0.0047681i,-0.0026142-0.0035321i,-0.0088156-0.016738i,0.0042167-0.00060904i,-0.0041103-0.00031304i,-0.0024665+0.0021066i,-0.0057638+0.0015109i,0.0041694+0.0033334i,-0.0072886-0.0047147i,0.00075426-0.0048007i,-0.0028926-0.0017302i,-0.0039532-0.0025353i,0.0068454-0.0015907i,0.001598+0.0025562i,0.0021279-0.0022472i,0.00055277+0.010414i,0.0060714+0.0045145i,0.023178+0.029494i,-0.022139-0.0091821i,-0.026003+0.0099793i,-0.0099742+0.014668i,0.0021062-0.0030112i,0.008828-0.0070085i,-0.0084676+0.0035268i
