-0.027987-0.04212i,-0.0206-0.022146i,-0.011931-0.037796i,-0.029411-0.021488i,-0.024618-0.0020001i,-0.013232-0.003745i,-0.052152-0.054522i,-0.046981-0.016468i,-0.038284-0.012535i,0.012261+0.013728i,-0.0086475+0.0050923i,-0.019676+0.01981i,0.0018728+0.012058i,-0.0044749-0.0018286i,0.00087309+0.0010267i,-0.00056662+0.029216i,0.023568+0.025412i,0.0026542-0.0020243i,-0.0026379-0.0072906i,0.0084744+0.0025259i,0.0023657+0.00083441i,-0.00021074+0.0030274i,-0.00046559+7.6656e-05i,-0.033611-0.0089419i,0.00041628-0.0083861i,0.0016534+0.0022612i,0.0065941+0.00078104i,0.002261+0.0004312i,0.0011681-0.00039952i,-0.00036366-0.0027586i,0.0015204-0.0022298i,-0.0020419-0.0063325i,-0.00063136-0.0045158i,0.0033873-0.0003842i,0.0050966-0.0031319i,0.00040143+0.030004i,0.0044275-0.0035151i,0.0029877-0.001496i,0.0085291-0.00061129i,-0.0072832-0.0028196i,-0.00044419+0.00083453i,0.0092661+0.00090086i,0.0052745-0.001992i,-0.0029818+0.0083035i,-0.016607-0.0085718i,-0.018405+0.016564i,0.00057881-0.061569i,-0.0040615-0.027196i,-0.025544-0.034183i,-0.0096499-0.027432i,0.052648-0.022846i,0.017424-0.043515i,0.02647-0.045673i,0.0081724-0.052884i,0.028253-0.019767i,0.0087593+0.0064018i,0.027429-0.033654i,-0.0085137-0.0065249i,0.0033297-0.0039613i,-0.0048324-0.0070123i,-0.00075316-0.033495i,-0.019255+0.028831i,0.0091944-0.011797i,-0.0087714-0.004087i,-0.0042924-0.0017954i,0.00076636-0.013102i,-0.011422+0.0040205i,0.002133+0.010568i,-0.0053295+0.026434i,0.0049155+0.0028093i,-0.0053039-0.0016855i,-0.0019932-0.0022709i,-0.013105-0.0087359i,-0.00011776-0.0043352i,-0.032684+0.00077901i,0.0017168-0.010781i,-0.0088242-0.00022452i,-0.007165-0.0024661i,0.0051266+0.0015087i,-0.0084496-0.00055246i,0.0023244+1.6226e-05i,0.0045037+0.0077263i,0.0043202+0.00067133i,-0.0073897-0.012664i,0.0028235+0.0098812i,-0.01524+0.0041186i,0.0072006+0.00021814i,-0.02256-0.0021697i,-0.018217+0.0057537i,-0.0053566-0.06551i,0.0084738-0.012585i,-0.04687-0.025391i,-0.019674-0.0010302i,0.016628+0.013158i,-0.024024+0.014459i,-0.019766-0.0058126i
0.022398+0.040851i,0.014502+0.017518i,0.017353+0.026632i,0.006589+0.020714i,0.0099601+0.0070418i,0.0052904-0.001536i,0.020559+0.011429i,0.016477-0.003066i,0.0085734-0.0071328i,0.0026815+0.004313i,0.0020394-0.0027792i,0.001086-0.00487i,-0.0027046+0.00083299i,0.00063602-0.00095112i,0.0021496-0.00041685i,0.0045269-0.0018799i,0.006103-0.003282i,-0.00026537+8.6014e-05i,-0.004318+0.00045219i,8.728e-05+0.00079029i,-0.00048791-0.00082052i,-0.0024534-0.00079216i,-0.0017318+0.00099471i,0.0017819+0.009618i,-0.0013909+0.0012852i,0.00059293+0.0019394i,0.00096565+0.00063766i,-0.0017135+0.002668i,-0.00076704+0.00035532i,-0.0015422+0.00028157i,-0.0013862-0.0018186i,-0.0037457-6.8136e-05i,-0.00028358+0.00012239i,0.00035778+0.00028612i,-0.00018274-0.0010152i,-0.0085639+0.0081542i,0.0017226-0.00011296i,0.00062806+0.001337i,0.0021657+0.0028646i,0.00018284-0.00093634i,-0.00069519-0.00075654i,-0.0035439-0.00049455i,0.00041362+0.0010422i,-0.00040964+0.001451i,0.01743+0.017148i,-0.027354+0.013602i,-0.015191+0.015965i,-0.024591+0.011046i,-0.0051259+0.039356i,-0.028524+0.031742i,0.00029183-0.0011371i,-0.011608-0.016363i,-0.02028-0.0030889i,-0.0092708+0.012401i,0.019416+0.023512i,-0.00052911+0.0027576i,-0.0039054+0.00082939i,-0.012438-0.0048785i,0.01104+0.0012292i,0.011206+0.0097826i,-0.0013952+0.0057512i,-0.0055681-0.0085169i,0.0065058-0.0026452i,-0.003438-0.0040699i,0.0040404-0.0083973i,0.0088782-0.0029588i,-0.0019548+0.010828i,0.012917-0.005805i,0.0042621-0.0089443i,0.003045-0.010127i,0.0022876+0.00063174i,-0.0021628-0.0057723i,-0.0039844-0.0015361i,0.0026685-8.2943e-05i,-0.0097661+0.035761i,-0.0074209-0.0048386i,0.00014226+0.001106i,-0.0011912-0.0076035i,0.0035652-0.00030816i,-0.017815-0.0077009i,-0.0015358-0.0038513i,0.0029174-0.0025033i,0.0033422-0.0015145i,-0.0024605-0.0082709i,-0.00020146+0.0071954i,0.00026385+0.0034028i,-0.0038315+0.004925i,-0.0080074+0.0023505i,-0.0066465-0.0012968i,-0.0088337+0.026912i,-0.002655+0.014887i,-0.026891-0.010303i,-0.0024615-0.0027134i,0.013737+0.019839i,-0.00015661+0.019019i,-0.0005904-0.0046497i
0.029023+0.034897i,0.017456+0.013643i,0.021896+0.02341i,0.010136+0.020235i,0.011776+0.005633i,0.0053888-0.0028427i,0.020733+0.0070341i,0.015624-0.0059637i,0.0067599-0.0089364i,0.003896+0.0029965i,0.001738-0.0028066i,-0.00083667-0.0035052i,-0.0018173+0.0019991i,0.00045156+3.2315e-05i,0.0020254-0.00084331i,0.0035994-0.0021754i,0.0052059-0.0044763i,0.00015492+0.00018119i,-0.0036972+0.0009712i,0.00045+0.00012602i,-0.00058415-0.0010718i,-0.0024292-0.00033953i,-0.0013422+0.0011646i,0.0065593+0.0085631i,-0.0013556+0.0026175i,0.0015502+0.0016256i,0.0008274-8.1563e-05i,-0.00057934+0.0029633i,-0.0010902+0.00083884i,-0.0014051+0.0010102i,-0.0021867-0.001081i,-0.0024921+0.00068893i,-0.00040889+4.954e-06i,0.00052344-5.2804e-05i,-0.00089216-0.00027804i,-0.0049507+0.0096804i,0.0012436-0.00072261i,0.0010722+0.0012297i,0.0022063+0.0017755i,6.9621e-05-0.00079161i,-0.0010706-0.0010883i,-0.0031153-0.0042776i,0.00036947+0.0012489i,-0.0008225+0.0017103i,0.021233+0.014329i,-0.022337+0.017741i,-0.014591+0.019197i,-0.019442+0.013151i,0.0069925+0.035432i,-0.016734+0.019839i,-0.005912-0.0037991i,-0.019349-0.017276i,-0.02189-0.0028789i,-0.0025273+0.0087293i,0.023137+0.014545i,-0.0010194+0.0024309i,-0.0026254+0.0047807i,-0.012646-0.00056563i,0.0097538-0.0029434i,0.013124+0.0070221i,0.0020815+0.0086908i,-0.010101-0.0073376i,0.0025861-0.004474i,-0.0035455-0.0019952i,-0.0012144-0.0079305i,0.0069046-0.0057564i,0.002984+0.0089552i,0.0080334-0.0091402i,-0.00093088-0.0089558i,-0.0012604-0.0064381i,0.0038747-0.00022614i,-0.0033504-0.0050825i,-0.0022497+0.0013424i,0.0033873-0.00040209i,0.010246+0.03236i,-0.010021-0.0021744i,0.00094525+0.00041998i,-0.0046102-0.0058587i,0.0040525-0.0017523i,-0.018825+0.00024818i,-0.0021196-0.0029916i,0.0015362-0.0025737i,0.0034097-0.0029904i,-0.0044027-0.0064548i,0.0020377+0.0035724i,0.0016362+0.0026027i,-0.00075858+0.0065798i,-0.0056215+0.0049959i,-0.0073175-0.00016977i,-0.002847+0.023601i,-0.00017644+0.016301i,-0.029125-0.0043204i,-0.0040814-0.0060163i,0.016599+0.017217i,0.0033314+0.020181i,-0.003076-0.0049528i
0.033619+0.028256i,0.018606+0.0085614i,0.026647+0.017678i,0.015185+0.017708i,0.013848+0.0036441i,0.0050941-0.0044224i,0.020147+0.0025749i,0.014295-0.0090526i,0.0047369-0.0096119i,0.0039943+0.0015762i,0.0010126-0.0033763i,-0.0011921-0.0018503i,-0.0012796+0.0019504i,0.0012397+0.00017513i,0.0017778-0.0012743i,0.0027895-0.0023598i,0.003738-0.0060091i,0.00017469-0.00019792i,-0.0029699+0.0020897i,0.00017098-0.0006247i,-0.0013032-0.0014372i,-0.0022783+7.1262e-05i,-0.0010418+0.0012541i,0.0092231+0.0043359i,-9.5245e-05+0.0034369i,0.0016455+0.00081462i,0.00031237-0.00046087i,0.0005748+0.0026852i,-0.00079491+0.0015081i,-0.0010072+0.001616i,-0.0025737+0.00015414i,-0.0022817+0.001906i,-0.00048944+0.00012167i,0.00056741-0.00028383i,-0.00081104+0.00058245i,-0.0017091+0.0097953i,0.00074323-0.00079821i,0.0014616+0.00063809i,0.0019784+0.0011742i,-0.00023039-0.00074784i,-0.0016113-0.0010194i,0.00024124-0.0042005i,0.0005787+0.001575i,-0.00083761+0.0024507i,0.025438+0.010005i,-0.017096+0.020662i,-0.012007+0.023288i,-0.013241+0.012856i,0.017829+0.02797i,-0.0085992+0.019999i,-0.01236-0.0024122i,-0.025959-0.014428i,-0.015034+0.0020511i,0.0013931+0.0026622i,0.022701+0.0064258i,-0.0015051+0.0025502i,-0.0009888+0.004759i,-0.012735+0.0025019i,0.0058825-0.0072863i,0.01424+0.0030337i,0.0062851+0.0085642i,-0.013838-0.0042686i,0.0005219-0.0030907i,-0.0034056-0.00013862i,-0.0038405-0.0053089i,0.0044904-0.0069678i,0.0059633+0.0079043i,0.0048613-0.0095135i,-0.0058609-0.0057301i,-0.0013921-0.0033083i,0.004235-0.0026609i,-0.0056725-0.0034526i,-6.7245e-05+0.0011854i,0.0027255-0.0018372i,0.021297+0.022985i,-0.01072+0.0010539i,0.0014659-0.00021846i,-0.0041457-0.0038609i,0.0042611-0.0040831i,-0.015089+0.0078497i,-0.0023774-0.001872i,0.00035354-0.0026287i,0.0018636-0.0037849i,-0.0057171-0.0041772i,0.0013103+0.0025366i,0.0023482+0.0014294i,0.0024332+0.0067078i,-0.0031686+0.0054569i,-0.0077664+0.0018246i,-0.0003477+0.019378i,0.0070018+0.016024i,-0.028924+0.00034315i,-0.0065691-0.0082006i,0.020176+0.012064i,0.0084557+0.020566i,-0.0052337-0.0040771i
0.036776+0.021702i,0.017665+0.0047066i,0.028511+0.010635i,0.018574+0.012321i,0.015303+0.00053524i,0.0040277-0.0058443i,0.018617-0.00086003i,0.011966-0.011614i,0.0033042-0.010241i,0.0035024+0.00084969i,1.2103e-05-0.002748i,-0.00075851-0.0010683i,-0.0009488+0.0020996i,0.0014524+7.2455e-05i,0.0012836-0.0015717i,0.0019444-0.0022113i,0.0015064-0.0060697i,0.00012597-0.00024193i,-0.0014495+0.0027882i,-0.00048387-0.00086151i,-0.0019549-0.00076078i,-0.0023219+0.00060671i,-0.00077235+0.0013305i,0.0087423-0.00053282i,0.0012431+0.0034517i,0.001062+0.00037484i,-0.00011883-0.0002913i,0.0011627+0.0019739i,-0.00018838+0.001568i,-0.00030616+0.0019383i,-0.0023452+0.0014905i,-0.0010351+0.0023961i,-0.00039468+0.00022631i,0.00031717-0.00035817i,-0.00038975+0.0010032i,0.0010832+0.0091306i,0.00049301-0.00083391i,0.0014454-0.00012703i,0.0016826+0.0010509i,-0.00064091-0.00054049i,-0.0019271-0.00047561i,-0.0011263-0.0046705i,0.0011361+0.0018162i,-0.0003689+0.0033514i,0.028208+0.0032829i,-0.011164+0.022438i,-0.0066804+0.026943i,-0.010826+0.0098188i,0.025673+0.016024i,-0.0011825+0.016221i,-0.017736+0.0025577i,-0.032302-0.0083798i,-0.029458+0.018421i,0.0014398-0.0039156i,0.020697-0.00023808i,-0.0015155+0.0035453i,-7.8956e-05+0.0065986i,-0.011871+0.0063803i,-0.00024503-0.0074315i,0.014262-0.0018289i,0.01013+0.0062924i,-0.016321+0.0012916i,-0.00051109-0.0024343i,-0.0023722+0.0013444i,-0.004982-0.0019179i,0.0022656-0.007636i,0.0088695+0.0042568i,0.002362-0.010053i,-0.0064729+0.00057759i,-0.00041243-0.0020901i,0.0027061-0.0048618i,-0.006156+0.00023967i,0.00099525+0.0008475i,0.0019446-0.0025691i,0.029248+0.013058i,-0.0091537+0.0053613i,0.0016682-0.0012216i,-0.0041682-0.0023836i,0.0023591-0.0066073i,-0.0089743+0.010696i,-0.0018976-0.0011888i,-0.000332-0.0016928i,0.00070892-0.0036924i,-0.0054357-0.0021301i,0.0013735+0.0024576i,0.0019605+0.00011598i,0.0056161+0.0052429i,-0.0011403+0.0044292i,-0.0077913+0.0037912i,0.00081716+0.017994i,0.015695+0.0095083i,-0.026592+0.0055155i,-0.01156-0.0092984i,0.019723+0.006082i,0.013925+0.018534i,-0.0055233-0.0029865i
0.039326+0.015002i,0.017357+0.0025244i,0.028628+0.0047143i,0.019979+0.0067247i,0.015626-0.0028698i,0.0028111-0.006813i,0.016974-0.0031272i,0.0093806-0.013282i,0.0019345-0.01092i,0.003247+0.00030162i,-0.00023264-0.0024477i,-0.00030789-0.0009762i,-0.00064954+0.0025694i,0.001533-0.00036023i,0.00077642-0.0015633i,0.0016684-0.0016603i,0.00039201-0.0056487i,-4.2965e-05-0.00012332i,-0.00035146+0.0024301i,-0.0010622-0.00067487i,-0.0021629-0.00015131i,-0.0018817+0.0013725i,-0.00048249+0.0014488i,0.0064804-0.003205i,0.002361+0.0030314i,0.00084603-0.00015781i,-0.00034499-4.152e-05i,0.001485+0.0013798i,0.00018254+0.0015499i,0.00059351+0.0019318i,-0.0013776+0.0024299i,-0.00060875+0.0021381i,-0.00046539+0.00015725i,0.00022007-9.6357e-05i,0.00020986+0.0012282i,0.003268+0.0078385i,5.0681e-05-0.0007857i,0.0010239-0.00060569i,0.0018541+0.00076827i,-0.00067447-0.00012817i,-0.0020613-9.55e-05i,0.00012661-0.0097856i,0.0015548+0.001547i,0.00038621+0.0033292i,0.028035-0.0038327i,-0.0045841+0.022402i,0.00042626+0.027987i,-0.010237+0.0092786i,0.026465+0.003007i,0.0019217+0.010811i,-0.019107+0.010571i,-0.035055+0.0015127i,-0.027437+0.020813i,-0.0021547-0.0084872i,0.01617-0.0049482i,-0.00065927+0.0045836i,0.003733+0.0066808i,-0.0093169+0.0099841i,-0.0035685-0.0041834i,0.01185-0.007958i,0.012748+0.0023527i,-0.017014+0.0085089i,-0.00088991-0.0007276i,-0.0010997+0.0019644i,-0.0031694+0.00036248i,-0.00093382-0.0073524i,0.0090461+0.0006501i,-0.00049107-0.0097028i,-0.0029991+0.0040273i,0.00042678-0.0023216i,0.00037529-0.0057781i,-0.0047609+0.0025869i,0.0022763-0.00013398i,0.0013238-0.0026794i,0.031125-0.0042513i,-0.0050928+0.0079192i,0.001067-0.0022612i,-0.0035431-0.0020023i,-0.00062909-0.0073071i,-0.0043801+0.010555i,-0.0020423-0.0011826i,-0.00014972-0.00041846i,0.0005882-0.0030954i,-0.0050039+0.00060454i,0.0018853+0.0025148i,0.00090772-0.00036781i,0.0076312+0.001666i,-0.0009475+0.0026208i,-0.0066908+0.0062631i,0.0030894+0.017622i,0.01849-0.0033758i,-0.02187+0.0063771i,-0.016646-0.0075218i,0.018758+0.0013632i,0.018116+0.012915i,-0.006374-0.0030283i
0.040694+0.0076968i,0.017562-9.9194e-05i,0.028528-0.0010323i,0.020362+0.0010094i,0.015481-0.0061209i,0.001394-0.0076228i,0.01609-0.0047204i,0.0068385-0.014462i,0.00039687-0.011775i,0.002604-0.00015521i,-0.00050852-0.002376i,-0.00010463-0.00095059i,0.00024051+0.0031037i,0.0014217-0.00058321i,0.0005345-0.0015321i,0.0020512-0.0011718i,-0.00041991-0.0058349i,0.00011539-0.00011582i,0.00034853+0.0018941i,-0.0013816-0.00026748i,-0.0018155+0.00048897i,-0.0010454+0.0015998i,-0.00012706+0.0015053i,0.0041356-0.0040999i,0.0036267+0.0021162i,0.00086641-0.00050347i,-0.00035013+0.00013943i,0.0016093+0.00084938i,0.00061584+0.0014472i,0.001248+0.0014002i,-0.00015306+0.0027942i,-1.0338e-05+0.0026544i,-0.00063849+0.00055547i,0.00033837-7.3701e-05i,0.00074086+0.00097851i,0.0045294+0.0057469i,-0.00017485-0.00051235i,0.00066556-0.00065853i,0.001763+0.00029218i,-0.0004034+0.00010965i,-0.0022493+0.0005149i,-0.0099971-0.0018175i,0.0018941+0.0012629i,0.0008006+0.0036786i,0.026162-0.010416i,0.0012584+0.020232i,0.0072425+0.026257i,-0.0090228+0.010091i,0.023547-0.007574i,0.0018645+0.0070219i,-0.015591+0.018497i,-0.032023+0.012205i,-0.020348+0.028169i,-0.0073008-0.0087131i,0.011698-0.0067938i,0.00071521+0.0049305i,0.006254+0.0041178i,-0.0056043+0.012923i,-0.0045355-0.0014793i,0.0058291-0.013118i,0.012693-0.0030568i,-0.011527+0.014821i,1.3668e-05+0.00019669i,7.6375e-05+0.0017905i,-0.0015916+0.00074615i,-0.0027972-0.0054069i,0.0074652-0.0020098i,-0.0022739-0.0080533i,0.00058003+0.0039596i,0.0005182-0.0035293i,-0.0019651-0.0051197i,-0.0031242+0.0032746i,0.0022093-0.0020606i,0.0010398-0.0029386i,0.021947-0.017191i,-0.00083785+0.0082362i,0.00010179-0.0022782i,-0.0039335-0.00098882i,-0.0036699-0.0064108i,-0.0010548+0.010026i,-0.0012034-7.9033e-05i,0.0011495-0.00033176i,0.00042987-0.0041087i,-0.0022819+0.0018868i,0.0027104+0.0010771i,0.00016986+0.00025883i,0.01108+0.0064763i,-0.0020299+0.0016067i,-0.0041781+0.0076973i,0.0059807+0.016549i,0.012312-0.014155i,-0.020048+0.0031278i,-0.02136-0.0028233i,0.015411-0.003881i,0.019031+0.0073047i,-0.007328-0.0022176i
0.040579+0.00045803i,0.01695-0.003273i,0.026313-0.0079433i,0.018455-0.0053576i,0.014744-0.0097616i,-0.00037572-0.0079671i,0.015663-0.0065861i,0.0040973-0.015522i,-0.0015926-0.01224i,0.0021256+0.00016145i,-0.0012569-0.0020238i,-0.00023105-0.0015844i,0.0011783+0.003136i,0.001209-0.00094708i,0.00021895-0.0014664i,0.0026202-0.0014041i,-0.0019938-0.005981i,-0.00013461-0.00030853i,0.00080991+0.0012249i,-0.0016925+0.00026226i,-0.0016753+0.00063773i,-0.00031106+0.0012991i,0.00019758+0.0014412i,0.00058692+0.0025239i,0.0041567+0.0001379i,0.00052498-0.0009408i,-0.00057102+0.00034458i,0.0015493+0.00046078i,0.0011392+0.0010761i,0.0015621+0.00071583i,0.0011217+0.0026106i,0.0008546+0.0029179i,-0.00068494+0.0011316i,0.00037209-9.4252e-05i,0.000893+0.00049928i,0.0047281+0.0036714i,-0.00039223-0.00029362i,0.00024721-0.00071524i,0.0019106-7.5464e-05i,-6.8727e-06+0.00012357i,-0.0021237+0.001382i,-0.0045626-0.0015329i,0.0023106+0.00086596i,0.0017294+0.004093i,0.022893-0.016151i,0.0057465+0.016664i,0.012644+0.022433i,-0.006373+0.011271i,0.018073-0.015491i,0.0009229+0.0052286i,-0.0091463+0.022872i,-0.02416+0.019233i,-0.0097461+0.031807i,-0.011226-0.0054663i,0.0082653-0.006822i,0.0019596+0.0044094i,0.006273+0.00073516i,-0.0011036+0.013635i,-0.0050722+0.00094226i,-0.003175-0.013099i,0.0099113-0.0071264i,-0.0065328+0.015074i,0.0013071-0.00036195i,0.00084486+0.0010354i,-0.0011189+0.00013921i,-0.0030847-0.0036058i,0.0058894-0.0028911i,-0.0032052-0.0072504i,0.002178+0.0026738i,-0.00060941-0.0051214i,-0.0036491-0.0037185i,-0.0012722+0.0039253i,0.00073753-0.0035464i,0.00048205-0.0036811i,0.0099124-0.016833i,0.00244+0.0066652i,-0.00042763-0.0022243i,-0.0031783-0.00085593i,-0.0056144-0.0046785i,0.0014019+0.0089281i,-0.00040677-0.00092263i,0.0017981-0.0010616i,-0.001376-0.0053633i,-0.00084069+0.001014i,0.0029539+0.0014565i,0.0003178+0.0013018i,0.0049692-0.00067949i,-0.0033231+0.0019998i,-0.0019681+0.0075893i,0.0091803+0.01557i,0.0034532-0.020258i,-0.023679+0.00081088i,-0.022322+0.0041186i,0.0090888-0.0064432i,0.019173+0.002105i,-0.0069095-0.0020997i
0.039427-0.0065909i,0.016427-0.0054939i,0.02185-0.012509i,0.01388-0.0099637i,0.012848-0.013322i,-0.0019931-0.0077349i,0.015369-0.0086654i,0.0011346-0.015973i,-0.003478-0.012592i,0.002425+0.00061343i,-0.0016392-0.00099799i,-0.001122-0.0016837i,0.0021819+0.0028838i,0.00075536-0.0010835i,-2.6461e-05-0.0013411i,0.002791-0.001925i,-0.0040773-0.0051919i,-0.00028795-0.00017719i,0.00092155+0.00055695i,-0.0015834+0.0010649i,-0.0016631+0.0010374i,-0.00027441+0.00075955i,0.00048492+0.00136i,-0.004643-0.0013832i,0.0032661-0.0014096i,7.776e-05-0.00092565i,-0.00041954+0.00076697i,0.0014681+0.00022994i,0.0012651+0.0004139i,0.0015601+0.00014549i,0.0021727+0.0018508i,0.0019545+0.0024964i,-7.1826e-05+0.0016755i,0.00037613-0.00011289i,0.00081324+0.00060638i,0.0048308+0.0024696i,-0.00046993+5.76e-05i,-3.8792e-05-0.00056899i,0.0020892-0.00060773i,0.00030551+3.2065e-05i,-0.0015146+0.0021335i,-0.0036869-0.00031237i,0.0026053+0.00026387i,0.0029417+0.0035417i,0.018282-0.020644i,0.0087051+0.01214i,0.015966+0.017855i,-0.0027852+0.010977i,0.0116-0.019917i,3.6553e-05+0.0051597i,-0.0021929+0.024372i,-0.015938+0.021316i,0.0016132+0.03111i,-0.012115-0.00042106i,0.0065087-0.0065221i,0.0032304+0.0035289i,0.004942-0.0013042i,0.0038527+0.012558i,-0.0041957+0.003928i,-0.0098242-0.007675i,0.0059747-0.0091857i,-0.003094+0.015587i,0.0011622-0.0018049i,0.00098613+0.00048874i,-0.0013113+0.00013832i,-0.002596-0.0023624i,0.0047173-0.0036761i,-0.0046887-0.0065095i,0.0027885+0.0009682i,-0.0039693-0.0055413i,-0.0043116-0.0020267i,0.0010639+0.0028799i,-0.00027793-0.0040124i,-0.00069362-0.0041787i,0.0047046-0.017786i,0.0042798+0.0045626i,-0.00096533-0.0022069i,-0.0040134-0.00052577i,-0.0066588-0.0020124i,0.0029224+0.0078293i,-0.00096233-0.0021069i,0.0022274-0.002089i,-0.0071384-0.0049756i,-0.00022768+0.00017199i,0.0035514+0.00058941i,0.0012481+0.0015827i,0.0034471-0.0020601i,-0.0039609+0.0033795i,-0.00038386+0.0067819i,0.013847+0.014136i,-0.0076588-0.022472i,-0.028022+0.0027495i,-0.01928+0.010464i,0.0043931-0.0044532i,0.016668-0.0038319i,-0.0069848-0.003404i
0.037022-0.01346i,0.016096-0.0085989i,0.018-0.015001i,0.009331-0.011383i,0.010096-0.0163i,-0.0032463-0.0072313i,0.015318-0.01148i,-0.0017355-0.015844i,-0.0056897-0.012613i,0.0029844+0.00029225i,-0.0011238-0.00022766i,-0.0017757-0.00081067i,0.0029231+0.0020437i,0.00039043-0.0010574i,-0.00015559-0.0012283i,0.002836-0.0023914i,-0.0055252-0.0036044i,-8.0241e-05-0.0002493i,0.00071747+1.0521e-05i,-0.001039+0.0015021i,-0.0012585+0.0015009i,-0.00040199+0.00064522i,0.00085133+0.0011951i,-0.0043508-0.00020547i,0.0022771-0.0021817i,-0.00022558-0.00078491i,-2.5625e-05+0.00079096i,0.0014937-0.00013794i,0.0010228+0.00029257i,0.0014648-0.00040469i,0.0028664+0.00080899i,0.0026791+0.0018228i,0.00077845+0.0016034i,0.0005572-0.00010302i,0.0012246+0.00081774i,0.0052555+0.00080867i,-0.00023075+0.00045452i,-0.00015586-0.00040341i,0.0016897-0.001445i,0.00069053-0.00020603i,-0.00071309+0.0023885i,-0.0033825+0.0042922i,0.0026071-0.00051512i,0.0033444+0.0031146i,0.013042-0.023533i,0.0093241+0.007434i,0.017859+0.013915i,-2.6939e-05+0.0091498i,0.0053133-0.022434i,0.00035382+0.0070145i,0.0044457+0.023959i,-0.0087521+0.021386i,0.010567+0.02692i,-0.0097763+0.0043167i,0.0052411-0.007172i,0.0041793+0.001671i,0.0040641-0.0025971i,0.0079665+0.0089801i,-0.0017042+0.0051077i,-0.011893-0.0011064i,0.0021512-0.0096372i,0.00074995+0.014762i,0.00098993-0.0020072i,0.00044722+0.00010465i,-0.0013613+0.00060333i,-0.0023183-0.0018829i,0.003428-0.0034597i,-0.0060638-0.0047542i,0.0022833-0.00017398i,-0.0067237-0.0027732i,-0.0037998-0.00041767i,0.0016631+0.00095976i,-0.0012879-0.0043218i,-0.0022182-0.0038027i,-0.0017734-0.015982i,0.0053052+0.002079i,-0.0017931-0.0019474i,-0.004196+0.0010989i,-0.0060429+0.0007641i,0.004502+0.0070658i,-0.0027502-0.002561i,0.0019112-0.0036383i,-0.0021291-0.00162i,-0.00037241-0.0011386i,0.0040119-4.4277e-05i,0.0020387+0.0010505i,0.0020256-0.0017847i,-0.0040248+0.005034i,0.00065296+0.0057785i,0.018946+0.010616i,-0.01862-0.018957i,-0.031236+0.0067689i,-0.014178+0.013123i,0.0029468-0.0025475i,0.010806-0.0073112i,-0.0093628-0.0038762i
0.033028-0.019585i,0.014758-0.01239i,0.014688-0.017151i,0.005977-0.011522i,0.0067304-0.018664i,-0.0044194-0.0066281i,0.014596-0.01567i,-0.0045653-0.015278i,-0.0083605-0.011973i,0.0030845+0.00039742i,-0.00040139-0.00013754i,-0.0018887+0.00028827i,0.0032558+0.00096516i,0.00021797-0.0007484i,-0.00027509-0.0012219i,0.0026291-0.003119i,-0.0063495-0.0015649i,-0.00012609-0.00052872i,0.00047015-0.0002007i,-0.000461+0.0016347i,-0.00086802+0.0018711i,-0.00046721+0.00076206i,0.0011614+0.00083874i,-0.0033565+0.0018807i,0.0013305-0.0026308i,-0.00050809-0.00057322i,0.00020736+0.00058785i,0.0011721-0.00054717i,0.0010815+0.00021117i,0.0010828-0.00095284i,0.0031245-0.00043147i,0.0033562+0.00094818i,0.0013588+0.0013104i,0.00067601-0.00047687i,0.0019772+0.00056505i,0.0051931-0.00077948i,0.00061061+0.00072611i,-0.00018283-0.00016435i,0.00090547-0.0017575i,0.0010035-0.00064121i,4.7672e-06+0.0025634i,6.9776e-05+0.0040772i,0.0021865-0.0013124i,0.0039823+0.0031227i,0.0078484-0.025085i,0.008148+0.0044391i,0.019287+0.010161i,0.0014923+0.0082055i,-0.0012904-0.02395i,0.0034328+0.0091258i,0.010465+0.021211i,-0.0014968+0.019525i,0.017618+0.020549i,-0.0051162+0.0070806i,0.0035311-0.0079142i,0.0038146-0.0011882i,0.0030117-0.0041566i,0.0091259+0.0041019i,-0.0002067+0.0045541i,-0.011267+0.005505i,-0.0014147-0.008873i,0.0037394+0.012104i,-0.0033528-0.0045084i,-0.00013788+0.00060691i,-0.0011925+0.0012345i,-0.0017814-0.0016961i,0.0035281-0.0021502i,-0.0062464-0.0021729i,0.0020596+7.1966e-05i,-0.0067744+0.00055735i,-0.0026949+0.00038998i,0.0013153-0.00010099i,-0.003535-0.004418i,-0.0033806-0.0025825i,-0.0068376-0.01345i,0.0052492-0.00065276i,-0.0024163-0.0012091i,-0.0029582+0.0022588i,-0.0045119+0.0022791i,0.00643+0.006015i,-0.0043402-0.0011004i,0.00040276-0.0050168i,-0.0030976-0.0014953i,-0.0017522-0.0016886i,0.0047413-0.0017495i,0.0021911+0.00063846i,0.0017575-0.001413i,-0.0020961+0.0068146i,0.00094207+0.0047902i,0.023413+0.0043839i,-0.024453-0.010361i,-0.033498+0.013269i,-0.0095882+0.013811i,0.0017332-0.00085054i,0.0044843-0.0054876i,-0.01131-0.0029558i
