-0.00078688-0.041383i,-0.0011389-0.046124i,-0.007783-0.047554i,-0.030714-0.023403i,-0.022738+0.01084i,-0.036649-0.033417i,-0.063192-0.058131i,-0.019209-0.07078i,-0.024422-0.043564i,-0.00081438+0.015878i,-0.010557+0.013055i,-0.014161+0.012948i,0.0036495+0.013337i,-0.0027595-0.0021866i,0.0019125+0.0057211i,0.00027769+0.03347i,0.019702+0.056601i,0.00095485-0.00061808i,-0.0034551-0.0090973i,0.0074293+0.0042461i,0.0016648+0.0013296i,-0.00046391+0.003197i,-2.6865e-05-0.00062127i,-0.037409-0.0091452i,-0.0023832-0.0075553i,-0.0014193+0.0045114i,0.0053499-0.00025926i,1.0927e-05+0.00023749i,0.00056533-0.0008748i,0.00038298-0.0021738i,-0.001355-0.0059471i,-0.0032853-0.0060128i,-0.00075079-0.0072537i,0.0032198-0.0006444i,0.0033802-0.0016643i,-0.001459+0.03887i,0.0066733-0.0036763i,0.0032511-0.00077293i,0.0052377-0.00021536i,-0.01253-0.0060904i,-0.0011042+0.00037632i,0.0095546-0.00044974i,0.0031425+0.0016086i,-0.0046972+0.0021331i,1.6807e-05+0.010277i,-0.0057947+0.018282i,0.026172-0.08172i,-0.00023581-0.05514i,-0.023366-0.043235i,-0.019657-0.037157i,0.063003-0.016345i,0.030383-0.058119i,0.038736-0.044698i,0.033867-0.052573i,0.01935-0.015587i,0.0077976+0.012077i,0.023977-0.034892i,-0.0086709-0.0054709i,0.0030208-0.0016164i,-0.0024387-0.0056227i,0.0048198-0.031769i,-0.025653+0.030786i,0.0087911-0.010372i,-0.012606-0.0026925i,-0.004611-0.0017214i,0.0001418-0.014752i,-0.010774+0.0053786i,0.003371+0.0067307i,-0.014019+0.029851i,0.0054509+0.006935i,-0.0059562-0.0020858i,-0.0011914-0.0024311i,-0.01184-0.0080741i,0.00031718-0.0035796i,-0.036089+0.0064578i,0.0017114-0.012547i,-0.0093361-0.0029191i,-0.0070639-0.0034096i,0.006493+0.0020736i,-0.0092355+0.0021165i,-2.0877e-05+0.0017018i,0.0057933+0.010032i,0.005008+0.00053643i,-0.0093422-0.010322i,0.001957+0.0084516i,-0.020226+0.0053629i,0.006979+0.0031398i,-0.027868-0.0088119i,-0.036041-0.0024861i,0.026586-0.077353i,0.013757-0.0094238i,-0.043098-0.028342i,-0.024619-0.0061101i,0.017337+0.011526i,-0.026968+0.011319i,-0.012116-0.0095544i
-0.015969+0.029606i,-0.0015128+0.057789i,0.031828+0.038145i,0.0037363+0.01249i,-0.0026478+0.0051429i,0.03165-0.0063496i,0.010512+0.016097i,0.011838+0.049016i,0.0051963+0.018926i,-0.0038444+0.0069713i,0.00037744+0.001489i,0.0027734-0.004489i,0.0023944-0.0024296i,0.0031282-0.0011343i,0.0036836-0.0015013i,0.0064975+0.00026852i,0.011203-0.0070228i,-0.0014774-0.00015396i,-0.0046236+0.00096506i,0.00026681+0.0021781i,-0.0014454-0.00016903i,-0.0044419-0.0012799i,-0.0025531+0.0004854i,0.0058838+0.0081908i,0.0018586+0.0025622i,0.0024588+0.0010002i,0.0017865+0.0015439i,-0.00081745+0.0030568i,5.466e-05+0.0010491i,-0.00085025+0.00099387i,0.00091188-0.0032542i,-0.00091182-0.0015975i,-0.00072726-0.00039815i,0.00028867+0.00023699i,-4.5364e-05-0.0019662i,-0.0071862+0.013724i,0.0029014-3.5554e-06i,0.00053116-0.00050534i,0.00040837+0.0026533i,-0.00048454-0.004483i,-0.0015505-0.00033125i,-0.002654-0.0018856i,0.00044153+0.0059841i,0.0038347+0.0022944i,-0.030617+0.013811i,-0.074948+0.015444i,-0.044052+0.039234i,-0.019812+0.035003i,-0.0020717+0.050183i,-0.0090099+0.030392i,0.010628+0.0083287i,-0.0077457-0.0084835i,-0.036041-0.0043451i,-0.0434+0.013727i,0.0087337+0.022203i,-0.0029231+0.0040091i,-0.0036691+0.0035867i,-0.013504-0.0026317i,0.0097601+0.001648i,0.011649+0.015454i,-0.0037223+0.0090594i,-0.0070371-0.011646i,0.0065934-0.0036767i,-0.0067325-0.0045062i,0.0034809-0.0081677i,0.0061562-0.002233i,-0.000498+0.0095955i,0.013469-0.0052104i,0.0077001-0.0072087i,0.0054522-0.0069564i,0.0036154-0.00088131i,-0.0028001-0.0072542i,-0.0044464-0.0020106i,0.002242-0.00090078i,-0.010709+0.037174i,-0.0060795-0.0049089i,0.0011395+0.00079747i,-3.0921e-05-0.0080426i,0.0036768-0.0013391i,-0.01392-0.005277i,0.001209-0.0004059i,0.0036533-0.0038001i,0.0027-0.0020177i,0.00056577-0.0057665i,-0.0005839+0.0065454i,-0.000134+0.0038254i,-0.0034654+0.0053541i,-0.011164-0.0011181i,-0.0093986+0.0020851i,-0.036122+0.039136i,-0.0082142+0.015908i,-0.023327-0.0058298i,-0.00034413-0.00062588i,0.0097882+0.020466i,-0.0010953+0.020404i,-0.0057202-0.0010229i
-0.010936+0.028904i,0.0076521+0.055248i,0.037888+0.032196i,0.0064907+0.012759i,0.0010736+0.0060702i,0.029982-0.013247i,0.011632+0.013297i,0.019514+0.045499i,0.0082304+0.017595i,-0.0013176+0.0074106i,0.001397+0.0015434i,0.00047342-0.0037992i,0.0013219-0.0023035i,0.0026732-0.00094537i,0.0030916-0.0020501i,0.0060383-0.00054633i,0.0079044-0.0089413i,-0.00082253+0.00040115i,-0.0044233+0.0012011i,0.0011875+0.0012637i,-0.0014395-6.5939e-05i,-0.0046876-0.00018936i,-0.0023477+0.00068014i,0.009514+0.004504i,0.002245+0.0029929i,0.0031358-0.00012277i,0.0020031+0.00056401i,0.00040679+0.0031296i,-8.575e-05+0.0011884i,-0.00052715+0.0014496i,-0.00060093-0.0029821i,-0.0017672-0.0016136i,-0.0010337-0.00017066i,0.00044886+2.5737e-05i,-0.00087782-0.00062647i,-0.0019897+0.014635i,0.0021648-0.0010897i,0.00037224-0.00036373i,0.0015488+0.0019205i,-0.0016141-0.0035587i,-0.0013693-5.9848e-05i,-0.0033985-0.00094771i,0.0015514+0.0059004i,0.0032069+0.001668i,-0.02622+0.019046i,-0.068031+0.027614i,-0.039463+0.047087i,-0.012301+0.036887i,0.011604+0.045787i,-0.00047955+0.027716i,0.005717+0.0013588i,-0.014802-0.011722i,-0.038474-0.0033358i,-0.034406+0.014826i,0.013916+0.017861i,-0.0027151+0.0046433i,-0.0022432+0.0068163i,-0.013499+0.0027151i,0.0081995-0.001976i,0.01511+0.011868i,0.00082238+0.01325i,-0.012679-0.0093688i,0.0022856-0.0047323i,-0.0061562-0.0012183i,-0.0010669-0.007481i,0.0043413-0.0047312i,0.0035401+0.0071994i,0.0088205-0.0086054i,0.0026297-0.0087609i,0.0018774-0.0055021i,0.004318-0.0021973i,-0.0045204-0.0054818i,-0.0028927+0.00088274i,0.0028538-0.0012423i,0.0086867+0.036263i,-0.007316-0.0035842i,0.0018942-0.0010468i,-0.00377-0.007145i,0.0038109-0.0025765i,-0.013747+0.0014076i,0.0016448+0.00010983i,0.001756-0.0034881i,0.0028208-0.0033626i,-0.00091472-0.0058688i,0.0013083+0.0029749i,0.0015017+0.0030736i,-0.00024325+0.006663i,-0.010285+0.0026597i,-0.0092201+0.0038331i,-0.027777+0.039808i,-0.0059723+0.018785i,-0.024755-0.00076128i,-0.0012091-0.0051776i,0.012887+0.019551i,0.0033005+0.022023i,-0.0081853-0.00084621i
-0.0073709+0.028382i,0.015072+0.050952i,0.043841+0.02399i,0.010676+0.010249i,0.0058042+0.0049402i,0.026473-0.019984i,0.011918+0.010348i,0.026758+0.040412i,0.011417+0.016109i,0.00040422+0.0072859i,0.0017297+0.00056329i,-0.00043412-0.0020109i,0.00034079-0.0024264i,0.0026749-0.0013417i,0.0024637-0.0024595i,0.0054951-0.0013257i,0.0049297-0.010044i,-0.00068441+0.00024762i,-0.0043932+0.0027246i,0.0012713-0.00015i,-0.00188-6.9181e-05i,-0.0042449+0.0010873i,-0.0023929+0.00098324i,0.0097359-0.00061074i,0.0039982+0.0020242i,0.0024858-0.0016181i,0.0018269-0.00015367i,0.0016354+0.0023788i,0.0003377+0.0013273i,-0.00025588+0.0017099i,-0.001749-0.0020184i,-0.002771-0.00022887i,-0.00092164+0.00033858i,0.00024316-0.0002539i,-0.00053893+0.00048753i,0.0023421+0.013691i,0.0013212-0.0012972i,0.00029699-0.00048444i,0.0019535+0.0011182i,-0.0026002-0.0026231i,-0.001337+9.9076e-05i,-0.003401+0.00026825i,0.0029877+0.0061185i,0.0032998+0.0017282i,-0.020111+0.022294i,-0.059892+0.038101i,-0.030929+0.054304i,-0.0039163+0.036499i,0.023287+0.036768i,0.0068466+0.025396i,-0.0011756-0.0011785i,-0.021841-0.010632i,-0.041527+0.0010622i,-0.027741+0.012253i,0.016612+0.011873i,-0.0024331+0.0051919i,-0.00074426+0.006869i,-0.012368+0.0068182i,0.0048819-0.0058139i,0.017798+0.0072014i,0.0069647+0.013669i,-0.016011-0.0052995i,0.00061068-0.0028196i,-0.005141+0.0015635i,-0.003134-0.0050906i,0.0017879-0.0053222i,0.0054017+0.0059826i,0.0054193-0.0093267i,-0.0025497-0.0072616i,0.0012642-0.0036759i,0.0036262-0.0049302i,-0.0066776-0.0034317i,-0.00084719+0.0012651i,0.0019186-0.0024677i,0.023736+0.026252i,-0.0086743-0.00074392i,0.0018034-0.0020721i,-0.004162-0.0047305i,0.0042376-0.0042786i,-0.0099166+0.0065118i,0.0029083+4.8567e-05i,0.00039326-0.003918i,0.001259-0.0037447i,-0.0031328-0.0046748i,0.00029604+0.0022595i,0.0025589+0.0018267i,0.0030271+0.0063484i,-0.0087196+0.0051439i,-0.0088154+0.0063584i,-0.021353+0.039089i,0.0016053+0.020698i,-0.023993+0.0035014i,-0.0037381-0.0090665i,0.018055+0.016301i,0.0091568+0.023205i,-0.01028+0.00093889i
-0.0040038+0.028041i,0.020159+0.04679i,0.046759+0.014159i,0.012657+0.0055096i,0.0092394+0.00089358i,0.020869-0.025132i,0.011647+0.0084192i,0.032153+0.033713i,0.014525+0.013323i,0.0018897+0.0071646i,0.0014518+0.00039831i,-5.67e-05-0.00099059i,-0.0010461-0.0015565i,0.0020227-0.001497i,0.0016132-0.0028502i,0.0048375-0.0018119i,0.0014098-0.0097837i,-0.00028908+0.00048874i,-0.0024876+0.0039463i,0.00044925-0.00091057i,-0.0020559+0.00081477i,-0.0036014+0.0023374i,-0.0022423+0.0016289i,0.0073197-0.004317i,0.0040994+0.00025626i,0.0013018-0.0019938i,0.0014871-0.00058162i,0.0018685+0.0014204i,0.00098439+0.00081595i,0.00028793+0.0020312i,-0.0022129-0.00047563i,-0.0022091+0.0011813i,-0.00065448+0.00051939i,-9.4164e-05-0.00033462i,-4.966e-05+0.00069002i,0.0061584+0.011799i,0.00086132-0.0014112i,-1.4219e-05-0.00059912i,0.0019025+0.00058507i,-0.0032289-0.0016293i,-0.0013388+0.00049119i,-0.0030446+0.0012306i,0.0048975+0.0056153i,0.0037+0.0016988i,-0.01356+0.022405i,-0.048751+0.046402i,-0.021268+0.059307i,0.0022998+0.033685i,0.031501+0.023532i,0.013304+0.019075i,-0.0085966+0.001192i,-0.029192-0.0059663i,-0.043165+0.0078871i,-0.024732+0.0080722i,0.017603+0.0053077i,-0.001714+0.0064677i,0.00079168+0.009108i,-0.0097049+0.010775i,-0.00079107-0.0056342i,0.019372+0.00012359i,0.012875+0.010828i,-0.018354-0.00033615i,1.1606e-05-0.0021498i,-0.0028264+0.0028776i,-0.0041008-0.0020471i,-7.6173e-05-0.0048861i,0.0072318+0.0028044i,0.0022264-0.0095653i,-0.0050652-0.0024178i,0.0015668-0.0030756i,0.0011224-0.006591i,-0.0071164+0.0001085i,0.00073237+0.0015188i,0.0010228-0.0026777i,0.031143+0.011339i,-0.0081785+0.003346i,0.0015014-0.0034756i,-0.0044524-0.0029273i,0.0026836-0.0069909i,-0.0049792+0.0081495i,0.0040105-0.0016514i,-0.00099243-0.0028645i,0.00047842-0.00344i,-0.0035149-0.0023084i,-3.3292e-05+0.0028301i,0.0025645+0.00018644i,0.0060512+0.0048215i,-0.0067952+0.0066194i,-0.0077698+0.0088284i,-0.016279+0.03976i,0.012871+0.016041i,-0.021713+0.0077421i,-0.009404-0.011313i,0.020102+0.010683i,0.015812+0.021169i,-0.0091803+0.0028124i
-4.4689e-05+0.027683i,0.025498+0.043914i,0.047263+0.0050442i,0.012954+0.00097838i,0.0097678-0.0041619i,0.01502-0.028485i,0.011714+0.0074276i,0.035825+0.027289i,0.016923+0.0098216i,0.0034475+0.0066639i,0.0012797+0.00053824i,0.00057763-0.00087958i,-0.0013729+0.00020302i,0.0015571-0.0016484i,0.00073779-0.0026287i,0.0044943-0.0019642i,-0.00097196-0.0082254i,-0.00030872+0.00063502i,-0.0010398+0.0037768i,-0.00045607-0.00088375i,-0.0017252+0.0014212i,-0.002248+0.003194i,-0.0016861+0.002282i,0.0040928-0.006117i,0.0033233-0.0010685i,0.00061027-0.0020358i,0.0010257-0.00096958i,0.0016588+0.00074683i,0.00095677+0.00024122i,0.0011931+0.0019397i,-0.0015731+0.00056395i,-0.0013626+0.0018293i,-0.00044482+0.0005859i,-0.00023226+0.00011206i,0.00042888+0.0008462i,0.0090747+0.0089215i,0.00026072-0.0012169i,-0.00037831-0.00045973i,0.0020602+0.00021788i,-0.003314-0.00061406i,-0.0010574+0.0006076i,-0.00256+0.0020805i,0.0064524+0.0041009i,0.0036323+0.0006823i,-0.009755+0.020964i,-0.036382+0.051171i,-0.0087212+0.062669i,0.0075503+0.031538i,0.03274+0.0093481i,0.015464+0.012115i,-0.012285+0.0083583i,-0.033553+0.0036259i,-0.043746+0.017538i,-0.026279+0.0049089i,0.014429-0.00053267i,0.00024723+0.0075049i,0.005146+0.0088366i,-0.0059782+0.013357i,-0.0033091-0.0021984i,0.016849-0.0082701i,0.017023+0.0057021i,-0.018599+0.0057184i,9.1236e-05-0.0004948i,-0.0009902+0.0029796i,-0.0024865-8.6369e-05i,-0.0024047-0.0035239i,0.0066191+0.00060268i,-0.00072766-0.0085656i,-0.0039594+0.0013326i,0.001982-0.0036156i,-0.0017506-0.0067087i,-0.0049634+0.0025946i,0.0025214+0.00035431i,0.0006218-0.0023361i,0.030636-0.0033845i,-0.0049771+0.0060301i,-3.0356e-05-0.004662i,-0.0036301-0.0021219i,1.1016e-05-0.0078723i,-0.0013656+0.0074346i,0.0035216-0.0033941i,-0.0011756-0.0010324i,0.00020869-0.0028306i,-0.0023185-0.0012098i,0.00098254+0.0032841i,0.0015264-0.00089523i,0.0069618+0.0015044i,-0.005094+0.0070865i,-0.0052146+0.011544i,-0.01026+0.040006i,0.017936+0.0033437i,-0.017083+0.0088886i,-0.016531-0.010277i,0.021066+0.0052289i,0.020989+0.014626i,-0.0092648+0.0027823i
0.0041005+0.026262i,0.031644+0.040043i,0.046733-0.0036894i,0.012453-0.0036026i,0.0089985-0.0082844i,0.0087463-0.030743i,0.012924+0.0067008i,0.038598+0.020755i,0.018653+0.0054237i,0.0046358+0.0057145i,0.0018656+0.00067017i,0.00096004-0.0010144i,-0.00017142+0.001482i,0.0011967-0.0015294i,0.00025611-0.0023241i,0.0045351-0.0020805i,-0.002011-0.0071105i,0.0003645+0.00070841i,-6.3099e-05+0.0036008i,-0.00095768-0.00045996i,-0.00098422+0.001694i,-0.00071375+0.0032047i,-0.00087291+0.0026006i,0.00039135-0.0065867i,0.0027738-0.0018523i,-0.00019627-0.0020769i,0.000475-0.0011516i,0.0016099+0.00040676i,0.00071243-2.1164e-05i,0.0017495+0.0011463i,-0.00091997+0.0010056i,-0.00037659+0.0020929i,-0.00024368+0.0007587i,1.1613e-05+0.00012024i,0.00073936+0.00017584i,0.010346+0.0055244i,-8.1514e-05-0.0010629i,-0.00048597-6.8928e-05i,0.0015964-0.00049987i,-0.0028746+0.0002041i,-0.0010964+0.0007586i,-0.0017476+0.0025495i,0.0073067+0.0023906i,0.0033911+0.00039876i,-0.0070901+0.019365i,-0.024595+0.052053i,0.0048561+0.060769i,0.01295+0.029044i,0.029464-0.0025886i,0.015182+0.0067241i,-0.010422+0.016383i,-0.032022+0.015525i,-0.038996+0.03054i,-0.030026+0.0058037i,0.010208-0.0028654i,0.0026504+0.0072218i,0.0079954+0.0062062i,-0.0013439+0.014962i,-0.0036761+0.00022142i,0.010216-0.015029i,0.017931-0.0018116i,-0.016321+0.010541i,0.0013437-7.6061e-05i,0.00024131+0.0021753i,-0.00089034+1.0846e-05i,-0.0028229-0.00077843i,0.0056323-0.00075549i,-0.002483-0.0067591i,-0.0011572+0.0035528i,0.0014813-0.0048117i,-0.004044-0.0050617i,-0.0033035+0.0029858i,0.0026511-0.0017644i,0.00093741-0.0022904i,0.024165-0.015366i,-0.0014311+0.0067031i,-0.0020446-0.0042851i,-0.0035798-0.0013162i,-0.0030697-0.0075728i,0.0007834+0.0063154i,0.0027367-0.0047577i,0.00020523-0.00033883i,4.8428e-05-0.0035412i,-0.00089345-0.0014444i,0.0018208+0.0034501i,0.00017719-0.00047439i,0.0060701-0.00063583i,-0.0041463+0.0069835i,-0.0011086+0.012738i,-0.0043519+0.039369i,0.01427-0.0077823i,-0.014579+0.0057497i,-0.023229-0.004955i,0.0191-0.0017392i,0.022086+0.0075514i,-0.0097381+0.0042865i
0.0080193+0.024434i,0.037078+0.034685i,0.044082-0.01311i,0.0096552-0.008717i,0.0071298-0.012649i,0.0020955-0.031278i,0.014909+0.0048887i,0.040553+0.013789i,0.018696+0.00088481i,0.0054314+0.0051805i,0.0022043+0.00028194i,0.0011834-0.0018744i,0.0010436+0.0015988i,0.00089999-0.0015134i,-2.2402e-05-0.0019425i,0.0045748-0.0026726i,-0.0033951-0.0063066i,0.00027874+0.00018311i,0.0012274+0.003188i,-0.0014659+0.00016502i,-0.00076985+0.0015849i,0.00046714+0.0023455i,-0.00022242+0.0026611i,-0.0028839-0.0051355i,0.0016057-0.0032262i,-0.00098475-0.0014497i,-0.00024392-0.0011217i,0.0015428+3.2124e-06i,0.0007161-0.00012592i,0.001727+0.00025202i,-7.2841e-05+0.0010799i,0.00030203+0.0021545i,-6.7145e-05+0.00094721i,-8.0224e-05+0.00013755i,0.00019237-0.0005968i,0.010392+0.0024997i,-0.00048115-0.00074409i,-0.00051675+6.7202e-05i,0.0013382-0.00080045i,-0.0020025+0.00057874i,-0.00099692+0.0011045i,-0.0007912+0.0028923i,0.0078079+0.00027875i,0.0031912+0.0001847i,-0.0053232+0.018129i,-0.014435+0.051056i,0.016053+0.054815i,0.01858+0.025633i,0.023085-0.011314i,0.013849+0.0032322i,-0.0045449+0.021568i,-0.023668+0.0252i,-0.026856+0.0405i,-0.032699+0.010491i,0.0066869-0.0030298i,0.004563+0.005839i,0.0088126+0.0025894i,0.0035253+0.014185i,-0.0036957+0.0022068i,-0.00025198-0.016503i,0.014729-0.0081565i,-0.013354+0.014199i,0.0022717-0.00167i,0.00075216+0.0012868i,-0.00068652-0.00068354i,-0.001229+0.00098858i,0.004893-0.0011667i,-0.0032671-0.0057191i,0.0016924+0.0034467i,0.00017964-0.005988i,-0.0052414-0.0028402i,-0.0016686+0.0032124i,0.0014776-0.0034784i,0.00078105-0.0033531i,0.014151-0.021716i,0.0013432+0.0059562i,-0.0031003-0.0032858i,-0.0031247-0.0011445i,-0.0052871-0.0061148i,0.0020139+0.0049867i,0.0014245-0.0066489i,0.0010668-0.00092416i,-0.0010996-0.0036323i,-0.0012185-0.0023903i,0.0035517+0.0034473i,-0.0002167+0.00085257i,0.0052328-0.0018287i,-0.0035814+0.0074604i,0.0024918+0.011574i,0.0018669+0.038572i,0.0074524-0.015505i,-0.01703+0.0026773i,-0.025324+0.0036224i,0.01305-0.0061116i,0.022096+0.0015734i,-0.0079853+0.0051311i
0.01174+0.021233i,0.042287+0.029142i,0.038868-0.020848i,0.0044168-0.011557i,0.0033373-0.016164i,-0.0038358-0.030198i,0.016924+0.0019811i,0.040954+0.006662i,0.018175-0.0035664i,0.0070523+0.0045208i,0.0024106+4.304e-05i,0.00043886-0.0029125i,0.0021403+0.0012502i,0.00068991-0.001374i,-1.8708e-05-0.0017945i,0.0042929-0.003268i,-0.0052639-0.0046159i,0.00019918+4.7147e-05i,0.0020893+0.0019116i,-0.0013541+0.0013445i,-0.00041925+0.0018089i,0.00045077+0.0010578i,0.00049177+0.0026136i,-0.0048313-0.0023172i,-0.00074923-0.0031209i,-0.0012626-0.00068135i,-0.00065183-0.00073068i,0.0013567-0.00028643i,0.00058201-0.00057797i,0.0014792-0.00027468i,0.00060707+0.00063922i,0.00097901+0.0018804i,0.0003365+0.0011222i,-2.8929e-05+0.00029794i,-0.00054946-8.1686e-05i,0.009896-0.00025688i,-0.00054609-0.00030028i,-0.00046037+0.00031242i,0.0010412-0.00098455i,-0.0013189+0.00048359i,-0.00062279+0.0015702i,5.4521e-05+0.0027375i,0.0073128-0.0021142i,0.0029745+2.9809e-05i,-0.0035597+0.017338i,-0.0052854+0.047841i,0.023643+0.047595i,0.024035+0.02054i,0.015727-0.015812i,0.012288+0.0012211i,0.0025353+0.023487i,-0.013275+0.028783i,-0.011516+0.044207i,-0.032438+0.01749i,0.0053227-0.0021969i,0.005878+0.0036877i,0.0080509-0.00011442i,0.0079381+0.011513i,-0.0027671+0.0046169i,-0.0091421-0.011811i,0.009608-0.011643i,-0.0097272+0.017339i,0.0011522-0.0033749i,0.00061202+0.00064539i,-0.0012207-0.00075463i,0.0010472+0.0013696i,0.0044503-0.0016488i,-0.0046041-0.0043387i,0.0038384+0.0016442i,-0.00259-0.006269i,-0.0052585-0.00055495i,9.4764e-05+0.0023725i,0.00036575-0.004403i,-8.4041e-05-0.0042069i,0.0040594-0.022759i,0.0032983+0.0043934i,-0.0037244-0.0024755i,-0.0038794-0.00092317i,-0.0069427-0.0038565i,0.002248+0.004035i,-0.0011845-0.0081893i,0.0014493-0.0017495i,-0.0018261-0.0027113i,-0.0016211-0.0026555i,0.0045189+0.0023716i,0.00036291+0.0017812i,0.0036498-0.0027691i,-0.002811+0.0082303i,0.0050499+0.0093658i,0.0088436+0.037036i,-0.003092-0.020297i,-0.021044+0.0029829i,-0.022582+0.0118i,0.0071458-0.0058413i,0.019549-0.0050576i,-0.0062452+0.0035971i
0.014142+0.017001i,0.047013+0.021737i,0.033019-0.026254i,-3.9117e-05-0.011118i,-0.0011816-0.018056i,-0.0086129-0.028487i,0.0182-0.0024295i,0.040471+0.00015957i,0.016544-0.0075888i,0.0085822+0.0026939i,0.0029879-0.00053406i,-0.00085706-0.0027789i,0.0028636-3.4868e-05i,0.00070264-0.0013962i,-0.00018134-0.0017948i,0.0041223-0.0036977i,-0.0055453-0.0023158i,0.00021234-0.00048747i,0.0018581+0.00067667i,-0.00048407+0.0019528i,4.6478e-05+0.0017435i,7.1316e-05+0.0005935i,0.0012144+0.0022825i,-0.0051968+0.00098646i,-0.0017731-0.0015064i,-0.001254-4.6332e-05i,-0.00077921-0.00039601i,0.001179-0.00056601i,1.4111e-05-0.00038705i,0.0010407-0.00079223i,0.00097956-2.5419e-05i,0.0013428+0.0015106i,0.0009549+0.00091888i,0.00029075+0.00045627i,-0.00045793+0.00071954i,0.0085484-0.0024382i,-0.0005927+0.00016797i,-0.00019518+0.00055459i,0.00070833-0.0012468i,-0.00074279+0.00022999i,6.5989e-05+0.00163i,0.00071729+0.0023565i,0.0058092-0.0039812i,0.0027433-5.0287e-05i,-0.0022527+0.016909i,0.00095708+0.043285i,0.029048+0.040804i,0.027238+0.013576i,0.0093045-0.017394i,0.011586+0.0014441i,0.0099643+0.023008i,-0.003816+0.029797i,0.0024123+0.042139i,-0.028646+0.024923i,0.0049419-0.0023247i,0.0063668+0.00090278i,0.0074443-0.0024689i,0.010891+0.0072436i,-0.00038843+0.0051837i,-0.013333-0.004525i,0.0042411-0.012833i,-0.004377+0.018623i,-0.00071295-0.0036652i,-0.00010555+0.00090951i,-0.0016354-0.00021687i,0.0025297+0.00017873i,0.0041498-0.0013811i,-0.0051155-0.002269i,0.0039136-0.0004341i,-0.0050151-0.0045024i,-0.0039645+0.0010161i,0.0005422+0.00084578i,-0.00086722-0.0049859i,-0.0014767-0.0043134i,-0.0041572-0.020196i,0.0047669+0.0020288i,-0.0047533-0.0012595i,-0.0042696+0.00076057i,-0.0073755-0.00086099i,0.0028103+0.0037146i,-0.0051235-0.0080895i,0.0012742-0.0031919i,-0.00218-0.0022945i,-0.0024745-0.0034715i,0.0056163+0.0013448i,0.0013231+0.0021209i,0.0020854-0.0022948i,-0.001642+0.0086304i,0.0064591+0.0068175i,0.015953+0.032972i,-0.015304-0.018383i,-0.024472+0.0056111i,-0.016736+0.015962i,0.0041851-0.0042894i,0.014049-0.009217i,-0.0078456+0.0024824i
0.014703+0.013124i,0.049985+0.013104i,0.027277-0.030543i,-0.0028201-0.0097947i,-0.0058939-0.018454i,-0.01335-0.026473i,0.017824-0.0079473i,0.039213-0.0063657i,0.013745-0.011119i,0.0093774+0.00041363i,0.0033745-0.0017661i,-0.0017589-0.0019445i,0.0024514-0.0013286i,0.00055298-0.0014909i,-0.00063368-0.0018783i,0.0039811-0.0044108i,-0.0050918-0.00063781i,-0.00033684-0.00095938i,0.0015084+8.3312e-06i,0.00039047+0.002019i,0.00038055+0.0017459i,-0.00028517+0.00064707i,0.0016236+0.0016871i,-0.0036627+0.0038857i,-0.0014759-0.0001046i,-0.0010597+0.00057366i,-0.0008085-0.00014637i,0.00083689-0.00071661i,-9.3675e-05-4.3847e-05i,0.00040844-0.00091102i,0.00089427-0.00064803i,0.001894+0.001136i,0.0012109+0.0004652i,0.00052964+0.00011223i,0.00033694+0.0010299i,0.0069214-0.0040255i,-0.00025995+0.0004441i,0.00011061+0.00065897i,-0.00010642-0.0012871i,-0.00024628-0.00011296i,0.0005718+0.0015837i,0.0011819+0.0018694i,0.0038948-0.004759i,0.0028203+0.00072431i,-0.00086202+0.016732i,0.0051571+0.039748i,0.033509+0.033944i,0.028167+0.0077771i,0.0035683-0.018152i,0.013635+0.0016859i,0.016801+0.01948i,0.0064685+0.027586i,0.01511+0.035252i,-0.02084+0.030504i,0.0043661-0.0028815i,0.0051404-0.0026363i,0.0060685-0.0047198i,0.011024+0.0021778i,0.00068194+0.0044032i,-0.013817+0.0036763i,-0.0011034-0.011824i,-0.00012747+0.016798i,-0.0025239-0.0028624i,-0.00021791+0.001967i,-0.0015396+0.00044803i,0.0034285-0.0015428i,0.0050257-0.00098769i,-0.0041297-0.000764i,0.0036378-0.00085704i,-0.0060062-0.0022841i,-0.0026375+0.001478i,0.00014577+0.00031339i,-0.0032793-0.0051258i,-0.0028551-0.0034166i,-0.010513-0.016115i,0.004787-0.0007478i,-0.0050937+0.00052629i,-0.0032334+0.0020757i,-0.0065429+0.001517i,0.0039113+0.0033127i,-0.0082286-0.0055119i,-0.00013565-0.0045368i,-0.0028829-0.0016996i,-0.0042931-0.0030634i,0.0066176-0.0010206i,0.0024441+0.0022651i,0.0022117-0.0016697i,0.00022167+0.0091834i,0.0065796+0.0041443i,0.021888+0.026842i,-0.021931-0.0099202i,-0.027185+0.010802i,-0.010585+0.017781i,0.0020726-0.0019661i,0.0090869-0.0092477i,-0.0085615+0.0028352i
