-0.030484-0.040025i,-0.022466-0.019334i,-0.013451-0.035475i,-0.029949-0.019849i,-0.022371+2.0045e-05i,-0.013603-0.0053612i,-0.055438-0.058092i,-0.047388-0.017295i,-0.038309-0.014029i,0.010367+0.011636i,-0.0077824+0.0056154i,-0.018972+0.019024i,0.0026557+0.011364i,-0.0060524-0.0029058i,0.00024597+0.0011524i,-0.0014316+0.030233i,0.0277+0.027742i,0.0022682-0.0018777i,-0.0024089-0.0063017i,0.0079154+0.0024694i,0.0026193+0.0010517i,0.00025993+0.0037179i,-0.00034007+0.00029678i,-0.037267-0.011289i,-0.00025681-0.0075638i,0.0012884+0.0022812i,0.006282+0.0015093i,0.0019729+0.00053442i,0.0011537-0.00056845i,-0.00039876-0.0025632i,0.0015686-0.0025147i,-0.002675-0.0055315i,-0.00020343-0.0049239i,0.0029359-0.00081877i,0.0046964-0.0028649i,0.0025127+0.029855i,0.0038333-0.0033106i,0.0031071-0.0017065i,0.0081282-0.0012568i,-0.0048768-0.0020637i,-0.00018492+0.0011461i,0.0092668+8.8192e-05i,0.0039257-0.0025606i,-0.0014329+0.0090187i,-0.018644-0.0078447i,-0.018664+0.014245i,-0.0043896-0.061386i,-0.0055506-0.027113i,-0.026917-0.03268i,-0.011258-0.026757i,0.054044-0.021496i,0.016387-0.043151i,0.022133-0.049347i,0.0051295-0.055191i,0.025999-0.021089i,0.0083806+0.0059966i,0.024269-0.034488i,-0.0081548-0.0065319i,0.0040193-0.0046727i,-0.0047044-0.0071896i,-0.0023001-0.033191i,-0.01837+0.030041i,0.0082654-0.01228i,-0.0091832-0.0038573i,-0.0042709-0.0015281i,0.00065243-0.013039i,-0.011656+0.0047643i,0.0027098+0.010373i,-0.0048625+0.026753i,0.0045409+0.0026225i,-0.0054193-0.001786i,-0.0022061-0.0019742i,-0.0128-0.0076276i,-0.00037959-0.0043202i,-0.035599+0.0015417i,0.00087765-0.010858i,-0.0083592+0.0002048i,-0.0066453-0.0026704i,0.0053535+0.0013032i,-0.0080149-0.0006391i,0.0019595-0.00036845i,0.0037624+0.0068772i,0.0043933+0.00044193i,-0.0085713-0.01317i,0.0029058+0.0093131i,-0.015136+0.0048275i,0.0071019+0.00022357i,-0.022459+0.0003889i,-0.017499+0.0053075i,-0.0084593-0.066186i,0.0071963-0.013128i,-0.049497-0.022522i,-0.02151+0.0012302i,0.01745+0.011168i,-0.022563+0.015109i,-0.019407-0.0047254i
0.031336+0.031759i,0.013905+0.016049i,0.017257+0.024341i,0.0068334+0.018933i,0.0085218+0.0066781i,0.0045527-0.0010577i,0.015344+0.011215i,0.016052-0.0022941i,0.0076364-0.0080413i,0.00041423+0.003971i,0.0022799-0.0025234i,0.00038605-0.0052247i,-0.0017637+0.00079257i,0.0011543-0.0015467i,0.0019271-0.00062848i,0.0052541-0.0027108i,0.0053717-0.0071911i,0.00047348+0.00062726i,-0.0035457+0.00061744i,-4.2804e-05+0.00066772i,-0.00071447-0.0011441i,-0.0026303-0.00096902i,-0.0015512+0.0008184i,0.0059924+0.0095921i,-0.0008678+0.0021412i,0.00088841+0.001625i,0.0011303+0.00091521i,-0.0017365+0.002668i,-0.0010888+0.00024689i,-0.0011283+0.00062179i,-0.00090808-0.00096905i,-0.0015496-0.00084159i,-7.0836e-05+0.00028319i,0.0005436+0.00069039i,-6.7807e-05-0.0007145i,-0.0088822+0.010218i,0.0015773+0.00010551i,0.00073217+0.00082139i,0.00088608+0.0023905i,0.00098694-0.0012865i,-7.8454e-05-0.00042777i,-0.001223-0.00035071i,0.00013727+0.0014512i,0.00062807+0.0011674i,0.020795+0.014177i,-0.022908+0.013562i,-0.011149+0.017523i,-0.021916+0.011696i,-0.0034751+0.038281i,-0.019691+0.017995i,0.0026489-0.0040635i,-0.01142-0.016632i,-0.018913+0.00023026i,-0.0063544+0.015116i,0.017536+0.020436i,-0.000259+0.0023705i,-0.0037587+0.0012192i,-0.012431-0.004147i,0.011321+0.0011511i,0.012125+0.0094766i,-0.00083213+0.0055142i,-0.005395-0.0069971i,0.0059571-0.003174i,-0.0030119-0.004105i,0.0035155-0.0083075i,0.0088276-0.002832i,-0.001186+0.010519i,0.012249-0.0061101i,0.0036331-0.0077625i,0.0030452-0.0081467i,0.0023476+0.00059723i,-0.0023931-0.0057541i,-0.0035122-0.001485i,0.002556-0.00011915i,-0.0085324+0.03585i,-0.0070744-0.0055607i,0.00022817+0.0011784i,-0.001298-0.0069267i,0.0031735-0.0004042i,-0.018036-0.006383i,-0.0018994-0.0033113i,0.0028177-0.0020932i,0.0035335-0.0014581i,-0.0029837-0.0073776i,-0.0001776+0.007324i,0.00010371+0.0032605i,-0.0032417+0.0044176i,-0.0071219+0.0012012i,-0.0062872-0.00063072i,-0.0072186+0.0263i,-0.0013947+0.014053i,-0.02633-0.010335i,-0.0013509-0.0029029i,0.013688+0.017682i,-0.00056082+0.018377i,-0.0005128-0.0046757i
0.035614+0.024748i,0.016829+0.012289i,0.021386+0.021413i,0.010053+0.0184i,0.010418+0.0054139i,0.004664-0.0024219i,0.015199+0.0076084i,0.015376-0.0049786i,0.0055947-0.009431i,0.001588+0.0034534i,0.0020428-0.0027791i,-0.001555-0.003499i,-0.0012338+0.0014754i,0.00084666-0.00037384i,0.0017478-0.00094221i,0.0040482-0.0029946i,0.0028423-0.007558i,0.0010099+0.0004917i,-0.0031704+0.0010431i,0.00027556+0.00015072i,-0.00088039-0.0012669i,-0.0026878-0.00042604i,-0.0012171+0.00095395i,0.011011+0.0062503i,-0.00043268+0.0030997i,0.0016895+0.0010413i,0.00099788+5.782e-05i,-0.00060215+0.0029208i,-0.0014819+0.00072643i,-0.00089905+0.0011487i,-0.001321-0.0003914i,-0.0020287-0.0007176i,-0.0002309+0.0001553i,0.00071939+0.00043192i,-0.00077116+0.0001436i,-0.0049892+0.011851i,0.001203-0.0005132i,0.00097261+0.00068139i,0.0014368+0.0016492i,0.00048064-0.0012678i,-0.00020932-0.00066319i,-0.0014944+0.00010209i,0.00017639+0.001574i,0.00035883+0.0012748i,0.02379+0.010684i,-0.01813+0.016812i,-0.0098461+0.020152i,-0.01718+0.013182i,0.0082412+0.03418i,-0.012301+0.018009i,-0.0039486-0.0074074i,-0.019131-0.017697i,-0.021583+0.00038186i,0.00011356+0.010277i,0.020979+0.013413i,-0.00069998+0.0022321i,-0.0025379+0.0046642i,-0.012272+0.00016928i,0.0098582-0.002993i,0.013645+0.0062546i,0.0022231+0.0083335i,-0.0093304-0.005233i,0.0018628-0.0046862i,-0.003203-0.00212i,-0.0015478-0.0076773i,0.0070186-0.0054192i,0.0033842+0.0084742i,0.007306-0.0087455i,-0.0010492-0.0075806i,-0.00089467-0.0054756i,0.0036704-0.00022418i,-0.0037944-0.0048421i,-0.002067+0.00099063i,0.0032337-0.00059607i,0.0098939+0.033777i,-0.0086808-0.0034087i,0.0010517+0.00045247i,-0.0042467-0.0056097i,0.0038623-0.0018133i,-0.018471+0.0022337i,-0.002325-0.002256i,0.0016805-0.0022045i,0.0033898-0.0031372i,-0.0049146-0.0056352i,0.0018761+0.0037349i,0.0013791+0.002457i,-0.00043052+0.0057753i,-0.0055879+0.0039274i,-0.0069208+0.00037649i,-0.0014455+0.022907i,0.00086479+0.015246i,-0.028424-0.0041076i,-0.0031357-0.006632i,0.016294+0.015109i,0.0029967+0.019622i,-0.0030158-0.0050599i
0.038012+0.017208i,0.018041+0.007486i,0.025911+0.016101i,0.014553+0.015713i,0.012594+0.0035111i,0.0043453-0.0040844i,0.014405+0.0040615i,0.014326-0.0079879i,0.0038123-0.0098074i,0.0019912+0.0027793i,0.001373-0.0036588i,-0.0017196-0.001528i,-0.00063061+0.0015196i,0.0016617-0.00034728i,0.0014793-0.0012385i,0.0029613-0.0032883i,0.00075536-0.0074212i,0.0010625-0.00010298i,-0.0027862+0.0018611i,4.9934e-05-0.00054171i,-0.0017011-0.0016194i,-0.0024257+0.00012201i,-0.00098993+0.0010583i,0.012168+0.00024205i,0.00090259+0.0034154i,0.0017725+7.9987e-05i,0.0004557-0.00024828i,0.00055759+0.0025952i,-0.0011518+0.001549i,-0.00044875+0.0015267i,-0.0014267+0.00039078i,-0.0029445+0.00067941i,-0.00024038+0.00022521i,0.00074124+7.4031e-05i,-0.00055335+0.00098367i,-0.0011535+0.012113i,0.00073937-0.00056031i,0.0011702+0.00015422i,0.0014612+0.0011255i,-6.1097e-05-0.0012816i,-0.00055706-0.00092757i,-0.001372+0.00050426i,0.00037787+0.0019622i,0.00070285+0.0016186i,0.027227+0.0061472i,-0.013337+0.018904i,-0.0065248+0.023138i,-0.011735+0.012758i,0.018478+0.026601i,-0.005827+0.018118i,-0.011173-0.0064842i,-0.025725-0.015028i,-0.02355+0.0039347i,0.0031366+0.003514i,0.021199+0.0057766i,-0.0012047+0.0021619i,-0.0010372+0.0047875i,-0.012165+0.0031639i,0.0060732-0.0074324i,0.014305+0.0020299i,0.0062033+0.0083649i,-0.012063-0.0023612i,-4.27e-06-0.0030797i,-0.0031944-0.00045835i,-0.0038978-0.0049388i,0.0047974-0.0066765i,0.0060875+0.0074109i,0.004441-0.0084927i,-0.0046884-0.004728i,-0.0010734-0.0025053i,0.0041266-0.002367i,-0.0060641-0.0030139i,-0.00010681+0.00095327i,0.0026261-0.0018522i,0.02299+0.023252i,-0.0099664+0.00014259i,0.0015812-0.00017576i,-0.0041122-0.0037394i,0.0041165-0.0038033i,-0.013926+0.0093655i,-0.0021567-0.001326i,0.00071589-0.0023583i,0.0017876-0.0037899i,-0.0065363-0.0029662i,0.0014114+0.0028591i,0.0019499+0.0013435i,0.0023973+0.0053752i,-0.0034553+0.0045943i,-0.0073863+0.0022003i,0.0011155+0.01903i,0.0075598+0.014568i,-0.02823+0.00032042i,-0.0060339-0.0089582i,0.019056+0.010219i,0.0079858+0.020168i,-0.0050462-0.0041977i
0.038418+0.010331i,0.017264+0.0038017i,0.027596+0.0093095i,0.017528+0.010641i,0.014036+0.00037117i,0.0031649-0.0055271i,0.012955+0.001757i,0.012243-0.01076i,0.0024392-0.010237i,0.0021998+0.0024895i,8.9148e-05-0.0034911i,-0.00095168-0.00057045i,-0.000469+0.00161i,0.0016485-0.00045444i,0.00104-0.0014487i,0.0018018-0.0030069i,-0.0010511-0.0062623i,0.00094737-0.00036031i,-0.0014703+0.0024287i,-0.00056209-0.00071464i,-0.0023822-0.0007014i,-0.0023292+0.00060785i,-0.00076332+0.0011771i,0.010112-0.0046438i,0.0020581+0.0030552i,0.0013576-0.00047638i,0.00015569-0.00010045i,0.0010862+0.0019817i,-0.00042065+0.001693i,0.00019346+0.0016567i,-0.0011305+0.0011332i,-0.0022255+0.0022341i,-0.00019332+0.00025114i,0.00051054-0.00014365i,7.7823e-05+0.0013437i,0.0024457+0.011288i,0.00059801-0.00063784i,0.00093688-0.00039748i,0.0013932+0.00095535i,-0.00064378-0.00096492i,-0.0011658-0.00079009i,-0.0013333+0.00075192i,0.00095877+0.002286i,0.0012022+0.0015108i,0.029151-0.00056399i,-0.0080429+0.020159i,-0.0017691+0.025205i,-0.0094903+0.01004i,0.026042+0.014715i,0.00055149+0.014247i,-0.017389-0.0016087i,-0.03221-0.0092643i,-0.023576+0.0088394i,0.0017051-0.0030484i,0.019437-0.001106i,-0.0015314+0.0029514i,0.00019692+0.0063614i,-0.011349+0.0069488i,-0.00011686-0.0075726i,0.013731-0.002737i,0.0097235+0.0061851i,-0.013333+0.0020674i,-0.00089374-0.0021396i,-0.0024496+0.00087224i,-0.0049139-0.0015907i,0.0026525-0.007558i,0.0085567+0.0038405i,0.0022602-0.0085214i,-0.0054854-0.00018201i,1.8908e-05-0.001509i,0.0027583-0.0044995i,-0.0064121+0.00028453i,0.00095641+0.0006006i,0.0017634-0.0026524i,0.028821+0.0090192i,-0.0088015+0.004672i,0.0018314-0.0012443i,-0.0040903-0.0020567i,0.0023493-0.0061232i,-0.0075408+0.011648i,-0.0017355-0.0006547i,1.2305e-05-0.0016378i,0.0004258-0.0037656i,-0.0060962+0.00024427i,0.0013314+0.002462i,0.0016937+0.00037841i,0.004798+0.0041847i,-0.0015862+0.003816i,-0.0072999+0.0040227i,0.0022456+0.017481i,0.015495+0.0077181i,-0.026105+0.0050917i,-0.011028-0.009823i,0.018112+0.0050506i,0.013308+0.018107i,-0.0053438-0.003201i
0.038424+0.0041025i,0.016974+0.0014319i,0.027606+0.0036335i,0.018552+0.0054349i,0.01424-0.0030134i,0.0018321-0.0063974i,0.011826+0.00079062i,0.0096948-0.012732i,0.0011243-0.010845i,0.0026013+0.0021036i,-0.00086085-0.0028292i,-0.00023936-0.0005012i,-0.00027215+0.0019761i,0.001659-0.00081634i,0.00063829-0.0013732i,0.0013786-0.0021319i,-0.0018761-0.0052006i,0.00063847-0.00047574i,-0.00042189+0.002142i,-0.0010833-0.00048858i,-0.0024831-2.1072e-05i,-0.0018336+0.0012031i,-0.00047496+0.0013351i,0.0066173-0.0074798i,0.0029884+0.0023207i,0.0010155-0.0007577i,-9.0956e-05+4.0938e-05i,0.0013717+0.0014357i,1.8352e-05+0.0016567i,0.00093928+0.0014771i,-0.00041994+0.0015552i,-0.0012064+0.0030383i,-0.00032153+0.00024693i,0.00037431+5.9703e-05i,0.00082096+0.0015515i,0.0051237+0.009657i,0.00026797-0.0007068i,0.00051118-0.00064927i,0.0015499+0.00071765i,-0.00084774-0.00042536i,-0.0014665-0.0005207i,-0.0012863+0.0011406i,0.0017356+0.0022045i,0.001203+0.00097122i,0.028528-0.0078594i,-0.0022013+0.019869i,0.004551+0.025519i,-0.0088695+0.0094422i,0.026816+0.0017266i,0.0029354+0.0088911i,-0.019581+0.0064316i,-0.035076+0.00054389i,-0.021764+0.015243i,-0.0028236-0.006775i,0.014573-0.0057649i,-0.0009696+0.0039207i,0.0036125+0.0061947i,-0.0088983+0.010276i,-0.0034064-0.0043381i,0.010862-0.0083003i,0.01239+0.002343i,-0.013033+0.0064345i,-0.00099838-0.00028724i,-0.0014684+0.0015374i,-0.003023+0.00053774i,-0.00042571-0.007093i,0.0086122+0.00043651i,-0.00016096-0.0080636i,-0.0036044+0.0029711i,0.00096511-0.0017455i,0.00061128-0.0054637i,-0.0047121+0.0027447i,0.0019763-0.0003226i,0.0009623-0.0026793i,0.027391-0.0040345i,-0.004782+0.00745i,0.0012242-0.0023804i,-0.0033295-0.0017792i,-0.00020328-0.0068785i,-0.0029852+0.011257i,-0.001581-0.00023825i,7.9626e-05-0.00041766i,0.0001323-0.0031086i,-0.0040112+0.0020947i,0.001881+0.0021722i,0.00088349-0.00012752i,0.005767+0.0014942i,-0.0015378+0.002265i,-0.0063753+0.0061165i,0.0044536+0.016811i,0.016777-0.0046085i,-0.022091+0.0061696i,-0.016083-0.0078812i,0.017035+0.0010443i,0.017257+0.012716i,-0.0060462-0.0032531i
0.037847-0.0021225i,0.017018-0.0013277i,0.027455-0.0018623i,0.01873+0.00022777i,0.013994-0.0061913i,0.00032296-0.0069852i,0.011975+3.7324e-05i,0.0071346-0.014131i,-0.00044459-0.011575i,0.0026347+0.0015277i,-0.00099654-0.0020622i,0.00012574-0.00061394i,0.00040519+0.0024332i,0.0014923-0.0010038i,0.00048077-0.0013381i,0.0017387-0.0014421i,-0.0025242-0.0049101i,0.00063744-0.00064029i,0.00013862+0.0016165i,-0.0013528-3.5896e-05i,-0.0020626+0.0006274i,-0.0010647+0.0012696i,-0.00012331+0.0014036i,0.0024318-0.0085894i,0.0038551+0.0012327i,0.00064522-0.0010087i,-0.00013314+0.000164i,0.0015282+0.00096067i,0.00047096+0.0015944i,0.00138+0.00087802i,0.00036392+0.0015563i,0.00013254+0.0033964i,-0.00035529+0.00060486i,0.00051094+4.9077e-05i,0.001339+0.0010908i,0.0068203+0.0076569i,-2.3091e-05-0.00057615i,0.0001718-0.00060436i,0.0015742+0.00041762i,-0.00056179-4.1714e-05i,-0.0018585-3.934e-05i,-0.0010672+0.0014254i,0.0024447+0.0018711i,0.0011527+0.00077161i,0.026065-0.014406i,0.0030325+0.017598i,0.010537+0.023135i,-0.0077147+0.0099306i,0.023547-0.0089521i,0.0024684+0.0052516i,-0.01688+0.014685i,-0.03269+0.010998i,-0.016025+0.022258i,-0.0080069-0.0061655i,0.010166-0.0070108i,0.00020591+0.0043031i,0.005838+0.0038107i,-0.0053217+0.013097i,-0.0043743-0.0014874i,0.0049299-0.012649i,0.012378-0.0030104i,-0.011045+0.0098571i,0.00021865+0.00073565i,-0.00040244+0.001523i,-0.001549+0.00073871i,-0.0022562-0.0052516i,0.0073099-0.0019883i,-0.0017685-0.0066364i,-0.00071117+0.0040379i,0.0012057-0.0030394i,-0.0015272-0.0049948i,-0.0029187+0.0035377i,0.0018167-0.0019748i,0.00078431-0.0027332i,0.02105-0.014133i,-0.00079615+0.0076967i,0.00021036-0.0025449i,-0.0037142-0.001137i,-0.0031-0.0063044i,0.00038308+0.010273i,-0.00084827+0.00010062i,0.0013344-0.00031556i,-0.00017772-0.0037485i,-0.0017803+0.0023562i,0.0021517+0.0018553i,0.00017163+0.00033798i,0.0051398-0.0002085i,-0.0024429+0.0014427i,-0.0043194+0.0076206i,0.0070323+0.015445i,0.010506-0.013839i,-0.020379+0.0035476i,-0.020417-0.003149i,0.013864-0.003716i,0.017891+0.0073175i,-0.0068077-0.0025661i
0.036115-0.0081816i,0.016244-0.0044091i,0.025324-0.0084688i,0.016802-0.0057353i,0.013078-0.0097433i,-0.0013967-0.0070489i,0.012839-0.0013302i,0.0043196-0.015345i,-0.002421-0.011868i,0.0024799+0.0016536i,-0.0013238-0.0017595i,7.4481e-05-0.0014149i,0.0012119+0.0023873i,0.0012532-0.0013205i,0.00027053-0.0012811i,0.0023872-0.0015694i,-0.0036267-0.0044341i,0.00015851-0.00094855i,0.00048516+0.001062i,-0.0015476+0.00047066i,-0.0019978+0.00087271i,-0.00045457+0.00088943i,0.00020374+0.0013337i,-0.0016926-0.0077124i,0.0041036-0.00062515i,0.00010178-0.0010301i,-0.00043404+0.00030719i,0.0015329+0.00056241i,0.0010725+0.0013168i,0.0014275+0.00020529i,0.0011175+0.0012344i,0.0012545+0.0033074i,-0.00026579+0.00092691i,0.00060955-4.0482e-06i,0.0014511+0.00039634i,0.0079649+0.0057505i,-0.00022055-0.00044654i,-0.00014183-0.00053081i,0.0018221+0.00016722i,-0.00019288+3.9356e-05i,-0.0019546+0.00074093i,-0.00071682+0.0018076i,0.0031805+0.0011452i,0.00099457+0.00076169i,0.022087-0.020016i,0.007074+0.013969i,0.014921+0.019227i,-0.0051186+0.010963i,0.017412-0.016841i,0.0013012+0.0036073i,-0.010911+0.019659i,-0.0252+0.01832i,-0.006767+0.025642i,-0.011174-0.002403i,0.0069205-0.006962i,0.0013841+0.0040065i,0.0058215+0.00077617i,-0.00072275+0.01386i,-0.0049201+0.00086783i,-0.003741-0.012536i,0.0095733-0.0072997i,-0.0081376+0.012543i,0.0017697-0.00031818i,0.00026699+0.0011575i,-0.0010121+0.00021906i,-0.0024285-0.0035814i,0.0058136-0.0029104i,-0.002703-0.0057649i,0.0014006+0.0035894i,1.8541e-05-0.0048926i,-0.0031237-0.0038407i,-0.00093931+0.0040394i,0.00043503-0.0031021i,0.00023288-0.0032694i,0.012128-0.019298i,0.0022238+0.006329i,-0.00034366-0.0025044i,-0.00312-0.00077883i,-0.004974-0.0048375i,0.0030107+0.0087349i,-3.8504e-05-0.00075003i,0.0019213-0.0011282i,-0.0014313-0.0036212i,-0.00052862+0.0016978i,0.0032428+0.001757i,0.00018894+0.0013932i,0.0045177-0.0013411i,-0.0035351+0.0016052i,-0.0022339+0.0079062i,0.0097816+0.014421i,0.001979-0.019275i,-0.02352+0.0017652i,-0.021501+0.0034056i,0.0076583-0.005921i,0.017729+0.0026922i,-0.0066565-0.0022966i
0.033706-0.013543i,0.015515-0.0066371i,0.02116-0.012925i,0.012317-0.0098939i,0.010909-0.013108i,-0.0028245-0.0065591i,0.013837-0.003333i,0.0011796-0.015839i,-0.0043121-0.011867i,0.0032488+0.0019236i,-0.0016171-0.00095431i,-0.00079024-0.0016457i,0.0019843+0.0020876i,0.00084947-0.0013585i,0.00012124-0.0012047i,0.0027515-0.0018998i,-0.0050583-0.0030646i,-0.00022943-0.00073183i,0.00057165+0.00056913i,-0.0013929+0.0012009i,-0.0017367+0.0015171i,-0.00056157+0.00038961i,0.00049174+0.0012487i,-0.004493-0.0050088i,0.0030583-0.0021224i,-0.00029845-0.00081819i,-0.00039739+0.00070958i,0.0014567+0.0003037i,0.0012758+0.00063406i,0.0012618-0.00029399i,0.0016159+0.00059727i,0.0023818+0.0026013i,0.0001466+0.0012676i,0.00061985-0.0001016i,0.0011193+0.0003988i,0.008575+0.0036022i,-0.000314-0.00031701i,-0.00039442-0.0002822i,0.0019719-0.00030114i,0.0001817+6.8701e-06i,-0.0015973+0.0016068i,-0.00012522+0.0020342i,0.0033863-5.2668e-05i,0.00091393+0.00097102i,0.0167-0.024364i,0.0094653+0.0095647i,0.017635+0.01499i,-0.0017657+0.010485i,0.010329-0.02093i,0.00012282+0.0035775i,-0.0043276+0.02161i,-0.017224+0.020871i,0.0031829+0.02493i,-0.011233+0.0025972i,0.0052293-0.006652i,0.0026003+0.0033181i,0.0045765-0.0011559i,0.0042878+0.01262i,-0.0041915+0.0039519i,-0.010198-0.0071743i,0.0057653-0.0092091i,-0.0045521+0.014356i,0.0013985-0.0021837i,0.00064039+0.00066705i,-0.0011013+0.00014013i,-0.0020877-0.0025145i,0.0047495-0.0038146i,-0.0041428-0.0048433i,0.0027332+0.0021983i,-0.003278-0.0055069i,-0.0038406-0.0021673i,0.0013188+0.0029784i,-0.00027592-0.003466i,-0.00080562-0.0038285i,0.0035188-0.019844i,0.0040349+0.004233i,-0.0009538-0.0025959i,-0.0037595-0.00047973i,-0.0062386-0.0025962i,0.0044973+0.0071574i,-0.00046014-0.0019328i,0.0022333-0.0021129i,-0.002121-0.0027476i,0.00026225+0.00072651i,0.0037831+0.00077655i,0.001037+0.0019586i,0.0030856-0.0021903i,-0.0044216+0.0027469i,-0.00045299+0.0074312i,0.013653+0.012781i,-0.0085477-0.020778i,-0.027275+0.003912i,-0.018892+0.0092937i,0.0033114-0.0036634i,0.0154-0.0021216i,-0.0069682-0.0035021i
0.030775-0.018743i,0.014961-0.0095869i,0.017425-0.015478i,0.0078999-0.011014i,0.007984-0.015751i,-0.0038328-0.0058659i,0.014837-0.0065828i,-0.0019299-0.015625i,-0.0063312-0.01165i,0.0042808+0.0012897i,-0.0011753-0.00029781i,-0.0015092-0.00091851i,0.0025887+0.0012983i,0.00049966-0.0014134i,5.4192e-05-0.0011362i,0.0030511-0.0023512i,-0.0056976-0.0012054i,-0.00022121-0.0007673i,0.00039981+0.00015695i,-0.0008831+0.0015842i,-0.0012296+0.0016875i,-0.00073096+0.00034915i,0.00082559+0.0010805i,-0.0056224-0.0013375i,0.0018499-0.0027295i,-0.00049776-0.00051243i,-6.5153e-05+0.0007874i,0.0014839-6.3714e-05i,0.0010261+0.00046265i,0.00095928-0.00068182i,0.0018593-0.00011042i,0.002915+0.0016608i,0.00082239+0.0012134i,0.00073398-0.00020391i,0.0013347+0.00072323i,0.0083552+0.0015029i,-0.00053521-4.8533e-05i,-0.00038061-9.2474e-06i,0.0017408-0.000999i,0.00063299-0.00022375i,-0.00078222+0.0020911i,0.00045559+0.0019734i,0.0030333-0.0011296i,0.00097738+0.0012869i,0.010755-0.026858i,0.0097419+0.0050569i,0.019245+0.010942i,0.0007904+0.0087078i,0.0038682-0.022411i,0.00018299+0.005562i,0.0022473+0.021541i,-0.010202+0.021522i,0.011203+0.020753i,-0.0077319+0.0065597i,0.0039251-0.0070321i,0.0036841+0.0018161i,0.0036372-0.0023651i,0.0083085+0.0090649i,-0.0016566+0.0051322i,-0.012054-0.00051781i,0.0019479-0.0096697i,-0.00040772+0.014172i,-0.00019036-0.0031319i,0.00021773+0.00031069i,-0.0010931+0.00060197i,-0.0018355-0.0021174i,0.0034123-0.0035624i,-0.0049839-0.0030194i,0.0029746+0.00075072i,-0.0060529-0.0029977i,-0.0034111-0.00062828i,0.0019949+0.00090621i,-0.0010776-0.0037993i,-0.0021892-0.0032871i,-0.0035545-0.017504i,0.0050319+0.0017739i,-0.0019213-0.0024436i,-0.0038727+0.0010178i,-0.0058967-2.5507e-05i,0.005751+0.005916i,-0.0020373-0.0025941i,0.0018962-0.0036395i,-0.0025068-0.0023737i,0.00031233-0.00072506i,0.0043924+0.00016342i,0.0019706+0.0018513i,0.0017394-0.0017236i,-0.0047682+0.004322i,0.00086216+0.0066035i,0.017797+0.0091196i,-0.018555-0.017084i,-0.029908+0.0076339i,-0.014141+0.012027i,0.00218-0.0015403i,0.011363-0.0047132i,-0.0094593-0.003824i
0.026677-0.023445i,0.013511-0.013033i,0.014173-0.01758i,0.0047948-0.010956i,0.0044636-0.017602i,-0.0047025-0.0051652i,0.01467-0.011606i,-0.0047965-0.014835i,-0.0085745-0.010926i,0.004914+0.00016041i,-0.00056637-0.00028042i,-0.0016897+0.00013392i,0.0026825+0.00038411i,0.00022937-0.0011291i,-8.046e-05-0.0012136i,0.0029828-0.0031982i,-0.0056988+0.00076183i,-0.00040396-0.00097601i,0.00022586+2.377e-05i,-0.00033345+0.0017117i,-0.00080759+0.0020184i,-0.00086283+0.00049417i,0.0010457+0.00074663i,-0.0045108+0.0019069i,0.00089562-0.0028065i,-0.00059997-0.00019273i,0.00017173+0.00065915i,0.0012117-0.00052925i,0.0011112+0.00037413i,0.00050083-0.0009707i,0.0018765-0.00086682i,0.003384+0.00078595i,0.0013386+0.00089369i,0.00072148-0.00064421i,0.002082+0.00053726i,0.007982-0.00015654i,-0.00037392+0.00031838i,-0.0002952+0.00025964i,0.0010964-0.0013903i,0.00096492-0.00068388i,-4.8896e-05+0.0023459i,0.0010367+0.001772i,0.0022304-0.0017734i,0.0012685+0.0018793i,0.0050372-0.027625i,0.0083811+0.0021701i,0.019996+0.0072645i,0.0023307+0.0076436i,-0.002165-0.02344i,0.0031574+0.0076938i,0.0082846+0.019158i,-0.0030765+0.019991i,0.017032+0.014077i,-0.0026458+0.0080128i,0.0025347-0.0072996i,0.0037-0.00084964i,0.0026049-0.0037619i,0.0093713+0.0040856i,-0.00013669+0.0046192i,-0.011203+0.0060884i,-0.0017519-0.0085513i,0.0030109+0.011951i,-0.002169-0.0026231i,-0.00031832+0.0008795i,-0.0007596+0.001099i,-0.0014921-0.0021995i,0.0034428-0.0022498i,-0.0044863-0.0014964i,0.0031397+0.00043996i,-0.006525+5.7595e-05i,-0.0024968+0.00020039i,0.0015403-0.0003657i,-0.0029819-0.0039638i,-0.003008-0.0022117i,-0.0091139-0.01414i,0.00475-0.00079224i,-0.0027476-0.0016622i,-0.0026972+0.0021347i,-0.0047069+0.001794i,0.0073259+0.0045901i,-0.0036014-0.0014859i,0.0005124-0.0049115i,-0.0033288-0.0015851i,-0.00090314-0.0015391i,0.0050947-0.0016638i,0.0027932+0.0014894i,0.0017936-0.0011629i,-0.0033665+0.0063489i,0.0016193+0.0055008i,0.020801+0.0032966i,-0.023731-0.0087687i,-0.031745+0.013451i,-0.0098178+0.012815i,0.0013631+0.00022313i,0.0078979-0.0046151i,-0.011436-0.0026909i
