-0.023315-0.019306i,-0.032024-0.034144i,-0.022504-0.019921i,-0.032173-0.020844i,-0.024168+0.0038192i,-0.028821-0.01872i,-0.055086-0.048518i,-0.04159-0.044431i,-0.030028-0.02384i,0.0051577+0.0056747i,-0.0036338+0.0068016i,-0.010813+0.011185i,0.0041351+0.0069447i,-0.0039057-0.0028655i,0.0029075+0.0019507i,0.0014767+0.029214i,0.024952+0.031845i,-3.9203e-06+7.3976e-05i,-0.0029727-0.0026842i,0.0074741+0.0038592i,0.0021163+0.0004815i,-0.00019025+0.0025078i,-0.00065971+0.00013782i,-0.031905-0.0024988i,-0.0033489-0.0051257i,3.6891e-05+0.0024842i,0.0039772-0.00082002i,0.00078772-0.00035172i,-0.00064404-0.0005408i,-0.00099237-0.0020657i,-0.0021404-0.00068961i,-0.0038884-0.0038227i,-0.0030369-0.0050416i,0.00042498-0.0016141i,0.00059243-0.0032141i,-0.0015907+0.025679i,0.0020222-0.0029047i,0.0024144-0.0040103i,0.0046635-0.0022216i,-0.0058966-0.0018025i,0.000602+0.0014008i,0.010049-0.00060317i,-0.0014764+0.00014246i,-0.0031196+0.0017356i,-0.0082199-0.00298i,-0.018728+0.021765i,-0.0085688-0.087126i,-0.0026824-0.061541i,-0.020953-0.054118i,-0.01154-0.045812i,0.052785-0.026771i,0.023968-0.066767i,0.040681-0.054951i,0.018426-0.039993i,0.025786-0.02017i,0.01242+0.011838i,0.025085-0.02881i,-0.011245-0.00082935i,-0.0011131-0.00026956i,-0.0085446-0.0013982i,-0.0049947-0.029725i,-0.021189+0.026212i,0.0072771-0.0097475i,-0.010421-0.0031022i,-0.0025096-0.0017235i,-0.00094468-0.014696i,-0.0082251+0.0054032i,0.0061937+0.010345i,-0.01063+0.029639i,0.006496+0.0075105i,-0.0035123-0.0018645i,-0.0022243-0.0014151i,-0.01246-0.0062249i,0.00040704-0.0042978i,-0.03355+0.0031659i,0.0030778-0.0090483i,-0.0074232-0.0020921i,-0.0053693-0.0028695i,0.0068268+0.0022643i,-0.010124+0.00028876i,0.002472-0.00049647i,0.0060953+0.0077771i,0.0055074+0.001263i,-0.0074614-0.0096252i,0.0029596+0.0083847i,-0.019837+0.0074904i,0.0030697+0.0059764i,-0.021417-0.0091628i,-0.026942-0.0050368i,0.010115-0.061623i,0.018372-0.01567i,-0.050519-0.028654i,-0.021854+0.0008185i,0.018881+0.010636i,-0.026699+0.011889i,-0.012353-0.0080792i
0.005431+0.0048348i,0.037229+0.015432i,0.020277-0.0044836i,0.013433+0.001989i,0.0089811-0.0017046i,0.016327-0.0070595i,0.011848+0.015111i,0.018469+0.020816i,0.0010648-0.0023863i,0.0012966+0.00076341i,0.0024571-0.0013709i,0.0011709-0.0038674i,0.00011008-0.0012514i,0.0021538-0.00015635i,0.0053142-0.0011509i,0.0056971+0.00090793i,0.0056899-0.0055837i,0.00021948-0.0010162i,-0.0022342-7.4164e-05i,0.00050651+0.00075401i,0.00017587-0.0001708i,-0.0021644-0.00051865i,-0.001598-9.2213e-05i,0.0060937+0.0080105i,-0.00074518+0.00031318i,0.00038457+0.00077708i,0.00093076+0.0010212i,1.5188e-05+0.0013097i,-0.00033408-0.00032801i,-0.0012073+2.2867e-05i,0.00050961-0.0011505i,-0.00058503+0.00044042i,0.00021267+0.00066692i,-5.7338e-05+0.00058613i,-0.0002948-0.001096i,-0.009108+0.0068767i,0.00056053+0.00019066i,-0.00051165+1.8213e-06i,-0.00039076+0.0015694i,-0.00036024-0.0029313i,-0.00062188+0.00020364i,-0.00054988-0.00026443i,0.00083111+0.0015121i,0.0037178-0.0024682i,6.4187e-05+0.0036374i,-0.049984+0.0096961i,-0.0032511+0.029985i,-0.013229+0.041581i,-0.00843+0.064877i,-0.017094+0.044535i,-0.0061328+0.019692i,-0.0084931+0.013836i,-0.047251+0.0039401i,-0.025406-0.0077177i,0.015537+0.025357i,0.00056446+0.0056433i,-0.0072914+0.0015594i,-0.014164-0.0019106i,0.0036343-0.00041523i,0.0070611+0.014006i,-0.0060227+0.00693i,-0.0053081-0.0064916i,0.005897-0.0029176i,-0.0066693-0.0051606i,0.0036376-0.0067524i,0.0041922-0.0023923i,-0.002156+0.010282i,0.011678-0.0056659i,0.0063425-0.0047437i,0.0053588-0.0084355i,0.0029826+0.00065784i,-0.0018522-0.005928i,-0.0034597-0.0016515i,0.0021608-0.0018159i,-0.010099+0.031408i,-0.0044402-0.0054447i,0.0032302+7.8074e-05i,-0.00035663-0.0069639i,0.0031912-0.0015464i,-0.013276-0.0058524i,0.00083698+0.00099779i,0.0041573-0.0018826i,0.0027704-0.0010595i,0.0013133-0.0055103i,-0.0022039+0.0055803i,-0.00027898+0.0058534i,-0.0049349+0.0069817i,-0.0048895+0.0021968i,-0.0057575+0.00013523i,-0.023354+0.019976i,-0.0081686+0.014017i,-0.022046-0.01112i,-0.0086604-0.0086493i,0.0083375+0.02038i,-0.0004327+0.019987i,-0.0087271-0.0036874i
0.0057254+0.0029177i,0.038841+0.0078148i,0.019075-0.0082604i,0.013917+0.00056285i,0.0097616-0.003172i,0.014854-0.010328i,0.012909+0.012228i,0.021405+0.016908i,0.00011856-0.0026177i,0.0015701+0.00023248i,0.0022377-0.0017134i,-0.00034479-0.0026669i,-7.0207e-05-0.00072327i,0.0020561-0.0001277i,0.0046037-0.0022927i,0.005383+0.0002157i,0.0032536-0.0059047i,0.00019311-0.0009269i,-0.0023797+0.00027971i,0.00098985+0.00011698i,1.0597e-05-0.00057326i,-0.0021367+5.4833e-05i,-0.001547+0.00016257i,0.0098552+0.0048926i,-0.00096633+0.0011756i,0.00093383+0.00053552i,0.0010891+0.0003778i,0.00053791+0.0010859i,-0.00072458+0.00020249i,-0.0012676+0.00055094i,-0.00013827-0.001179i,-0.00054913+3.8047e-05i,0.00018037+0.00048916i,0.00022891+0.00054161i,-0.00074741+8.8228e-06i,-0.0061917+0.0088587i,0.00023305+4.2805e-06i,-0.0003508+0.00042055i,0.00023562+0.0013302i,-0.0011214-0.0022717i,-0.0004067+0.00010148i,-0.00076589+0.00021486i,0.00094928+0.0014474i,0.0026182-0.0028969i,0.0015407+0.0034696i,-0.044798+0.017729i,-0.00022309+0.030999i,-0.0044987+0.041776i,0.00795+0.061955i,-0.0059689+0.043628i,-0.008185+0.016002i,-0.011639+0.011429i,-0.048916+0.007942i,-0.021389-0.0093058i,0.021428+0.019361i,0.00064878+0.0053181i,-0.0062551+0.0069702i,-0.013481+0.0027867i,0.0021435-0.0019647i,0.010275+0.011799i,-0.0018029+0.011205i,-0.0090232-0.0045563i,0.002375-0.004698i,-0.0065904-0.001714i,-0.0008792-0.0065932i,0.0025807-0.0040994i,0.0023697+0.0079091i,0.0072208-0.008581i,0.0025897-0.0061124i,0.00065493-0.0058974i,0.0041135-0.00022304i,-0.0033519-0.0047456i,-0.0020588+0.00073463i,0.0020159-0.0016808i,0.0061093+0.031189i,-0.0059192-0.0043976i,0.0034849-0.0018184i,-0.0035083-0.0061743i,0.0034394-0.002478i,-0.013505+0.00055523i,0.0018088+0.0011748i,0.0030233-0.0020783i,0.002962-0.0021469i,-9.8406e-05-0.0056675i,-0.00032694+0.0028491i,0.0019997+0.0047791i,-0.0014056+0.0086785i,-0.0036963+0.0042927i,-0.0064842+0.00089098i,-0.017797+0.018797i,-0.0061294+0.015999i,-0.024928-0.0062106i,-0.011123-0.011564i,0.011548+0.01996i,0.0031487+0.021651i,-0.011263-0.0035279i
0.0054321+0.0015135i,0.038595-0.00048807i,0.017654-0.012725i,0.015198-0.002302i,0.010725-0.0054287i,0.012509-0.013573i,0.013162+0.0092595i,0.023736+0.012194i,-0.00025957-0.0023056i,0.0013494-0.00037473i,0.0017602-0.0025386i,-0.00046295-0.0013055i,-6.9001e-05-0.00072746i,0.0020787-0.00053699i,0.0036739-0.0031538i,0.0049562-0.00056872i,0.0012396-0.0057371i,-0.00010002-0.0011208i,-0.0022378+0.0011451i,0.00078721-0.00078727i,-0.00067626-0.00094887i,-0.0018498+0.00062105i,-0.0015941+0.00045346i,0.010526-0.00014003i,-0.00022158+0.0016264i,0.00089816-9.3612e-05i,0.00085265-1.2055e-05i,0.00098692+0.00055493i,-0.00040671+0.00066544i,-0.0010911+0.0010545i,-0.00073241-0.00092908i,-0.0010698+0.00052941i,0.00037166+0.00043376i,0.00037233+0.00028933i,-0.00022442+0.0006927i,-0.0031459+0.009897i,0.00011961+0.0001767i,-7.7687e-05+0.00038628i,0.00053376+0.0010173i,-0.0017167-0.0014936i,-0.00036899-5.739e-05i,-0.00037753+0.00052427i,0.001244+0.0015665i,0.0018174-0.0030519i,0.0035665+0.0024782i,-0.038711+0.023967i,0.0044134+0.032047i,0.0041963+0.038791i,0.023237+0.053454i,0.0037522+0.042369i,-0.011491+0.015277i,-0.01438+0.012417i,-0.049321+0.014889i,-0.020053-0.012616i,0.024036+0.01102i,0.00087196+0.0050721i,-0.0038095+0.0088514i,-0.012767+0.006006i,-0.00020348-0.0038688i,0.012901+0.0083817i,0.0035762+0.011956i,-0.011414-0.0017593i,0.00033842-0.0033578i,-0.0057665+0.00091551i,-0.003041-0.0042337i,0.0005466-0.0038606i,0.0047082+0.0070163i,0.0040182-0.0087684i,-0.0014007-0.0049631i,0.00032573-0.0029599i,0.0043884-0.0024109i,-0.0053367-0.0031139i,-0.00052358+0.0008334i,0.0012058-0.0023263i,0.019111+0.023489i,-0.0077241-0.0021928i,0.0029444-0.0031159i,-0.0039111-0.0043935i,0.0036928-0.0042282i,-0.010526+0.0058455i,0.003375+0.00066198i,0.0019758-0.0024579i,0.0018628-0.0025528i,-0.0019695-0.0048785i,-0.0010755+0.0028116i,0.0030877+0.0029752i,0.0025306+0.0087443i,-0.0021703+0.0049523i,-0.0072017+0.0027539i,-0.015451+0.016967i,7.3973e-05+0.016645i,-0.025822-0.0019473i,-0.014702-0.013056i,0.01681+0.017019i,0.0086691+0.02261i,-0.013768-0.0017563i
0.0048525+0.0006704i,0.03557-0.0075542i,0.01422-0.016964i,0.01509-0.0065272i,0.010475-0.0087295i,0.0091688-0.015778i,0.012851+0.0072379i,0.024376+0.0072331i,-0.00016713-0.0025588i,0.00075096-0.00043437i,0.00062522-0.0027377i,-9.3044e-05-0.00070679i,-0.00052543-0.00047974i,0.0017366-0.00072124i,0.0024317-0.003707i,0.0043374-0.0010434i,-0.00026285-0.0049088i,-0.00032423-0.00098883i,-0.0012962+0.0018588i,4.8892e-05-0.0011275i,-0.0011687-0.00042741i,-0.0016191+0.0012349i,-0.0015051+0.00094731i,0.0086908-0.0039586i,0.00041361+0.0015037i,0.00056584-0.00024705i,0.00066598-0.00012492i,0.00076553-2.8576e-05i,-5.5248e-05+0.00063598i,-0.00065359+0.0015539i,-0.0011063-0.0003474i,-0.00064832+0.0011986i,0.00050437+0.0001921i,0.00033817+0.00010029i,0.00029647+0.00073804i,2.7615e-06+0.0099398i,0.00022676+0.0002263i,-7.4514e-05+0.00027102i,0.00062437+0.0008841i,-0.0019272-0.0006344i,-0.00047906-0.00010122i,-0.00020215+0.00054736i,0.0017381+0.0014411i,0.0012053-0.0027919i,0.0051483+0.00010785i,-0.031453+0.028922i,0.010183+0.031886i,0.0094775+0.034665i,0.035019+0.04003i,0.013396+0.0373i,-0.015027+0.017655i,-0.017256+0.015384i,-0.04772+0.022921i,-0.021717-0.015746i,0.024261+0.0024998i,0.0014041+0.0054767i,-0.0010552+0.011529i,-0.011039+0.0098369i,-0.004529-0.0029638i,0.014821+0.0033321i,0.0086803+0.0099772i,-0.012604+0.0022114i,-0.0005956-0.0025938i,-0.0040612+0.0026108i,-0.0036294-0.0013351i,-0.00033177-0.0032836i,0.0068109+0.0038774i,0.0013333-0.0085419i,-0.0035072-0.0017921i,0.0012646-0.0018632i,0.0031498-0.0044171i,-0.0056616-7.6546e-05i,0.00044184+0.00096076i,0.00048874-0.0020735i,0.026267+0.011314i,-0.0079227+0.001409i,0.0021139-0.0044315i,-0.0042277-0.0025095i,0.0020621-0.0064809i,-0.0058578+0.0082057i,0.0045513-0.0013221i,0.0011497-0.0019061i,0.001144-0.0024143i,-0.0025605-0.0030502i,-0.0011506+0.0036151i,0.0030476+0.0012347i,0.0062062+0.0069987i,-0.00088344+0.0046337i,-0.0071244+0.0051597i,-0.01382+0.01779i,0.0084089+0.011739i,-0.024756+0.0030032i,-0.020395-0.013045i,0.018722+0.012159i,0.015461+0.020616i,-0.013486+0.00038452i
0.0047936+0.0002137i,0.032295-0.01242i,0.0099951-0.019649i,0.013698-0.01048i,0.0088885-0.011834i,0.005981-0.017106i,0.012769+0.0061172i,0.02411+0.0030482i,-4.3854e-05-0.0029668i,0.00026731-0.00023542i,-0.00037692-0.0023629i,0.00025542-0.00061401i,-0.00068052+0.0001863i,0.0014466-0.00090483i,0.001259-0.0035834i,0.0041672-0.0010688i,-0.0009512-0.0038409i,-0.00075301-0.0008873i,-0.00054943+0.0018133i,-0.00063546-0.0009801i,-0.0012764+8.0681e-06i,-0.00085919+0.0017002i,-0.0011259+0.0014496i,0.005811-0.006365i,0.00079866+0.0011772i,0.00039193-0.00029331i,0.00052526-0.00033373i,0.00045451-0.00013425i,4.4151e-05+0.00060822i,5.7397e-05+0.0017309i,-0.0010603+0.00022557i,-0.00010786+0.0013584i,0.00046871-0.00011903i,0.00035375+0.00026861i,0.00080332+0.00066821i,0.0027308+0.0091921i,0.00013808+0.00023342i,-0.00017314+0.00033365i,0.00090561+0.00074091i,-0.0017162+0.00011854i,-0.00060981-0.0002198i,-8.7561e-05+0.00051227i,0.002183+0.00088234i,0.0005921-0.0029568i,0.0052364-0.0028561i,-0.02298+0.031567i,0.016743+0.029784i,0.014628+0.031998i,0.039382+0.024496i,0.01908+0.030298i,-0.015768+0.02357i,-0.017587+0.022066i,-0.044447+0.032286i,-0.026558-0.016652i,0.020128-0.004602i,0.0025594+0.0055754i,0.0042244+0.011658i,-0.0078316+0.012667i,-0.0061701+0.00073005i,0.013797-0.0031544i,0.012486+0.006045i,-0.012148+0.0062249i,-0.00085438-0.00082577i,-0.0022746+0.0033951i,-0.0020163+0.00057974i,-0.0019434-0.0021539i,0.00711+0.00080485i,-0.0011744-0.0075826i,-0.0029966+0.0014089i,0.0024954-0.0022058i,0.0011596-0.0054657i,-0.0038626+0.0015968i,0.0016742+0.00042087i,0.00018837-0.0016385i,0.026866-0.0011578i,-0.0055259+0.0044244i,0.00049641-0.0052278i,-0.0034469-0.0017275i,-0.00046133-0.007149i,-0.0019604+0.0077186i,0.0038626-0.003315i,0.0011756-0.0010495i,0.0012461-0.002088i,-0.0017091-0.0023678i,0.0003089+0.004577i,0.0020261+0.00016932i,0.0077899+0.0033381i,-0.00058013+0.003408i,-0.0054831+0.0078126i,-0.010504+0.018829i,0.010966+0.00095598i,-0.020641+0.0049489i,-0.026683-0.010376i,0.020015+0.0071141i,0.020309+0.014039i,-0.014081+0.00072418i
0.0049645-0.00066336i,0.029372-0.016852i,0.0060627-0.021256i,0.011332-0.014319i,0.0067015-0.014293i,0.0025843-0.018002i,0.013827+0.0050606i,0.023615-0.000804i,-0.00011976-0.0039089i,-0.00022559+0.00013465i,-0.00076543-0.0016165i,0.00042802-0.00066202i,-0.00025159+0.0008493i,0.0010704-0.00091102i,0.00047929-0.0032604i,0.0044584-0.0012641i,-0.0011735-0.0034307i,-0.00086049-0.00051739i,7.2218e-05+0.0016426i,-0.0010457-0.00060139i,-0.00098853+0.00042686i,0.00010463+0.0014855i,-0.00050946+0.0016885i,0.0024689-0.0073251i,0.001226+0.00080495i,0.00023292-0.00036675i,0.00033991-0.00049373i,0.00028516-0.00019043i,0.00024265+0.00059803i,0.00073136+0.0014425i,-0.00079671+0.00056858i,0.00046426+0.0012337i,0.00020856-0.00019362i,0.00059902+4.637e-05i,0.0010495-2.0694e-05i,0.0046076+0.0076977i,0.00023949+0.00031732i,-4.9269e-05+0.0004674i,0.00096436+0.00045252i,-0.001188+0.00056541i,-0.00093107-0.00013089i,9.8955e-05+0.00042236i,0.0022664+0.0003195i,-0.00014218-0.0026889i,0.0044134-0.0056117i,-0.015135+0.031381i,0.022495+0.025286i,0.02043+0.028137i,0.039298+0.01055i,0.022158+0.023667i,-0.01261+0.030326i,-0.013413+0.029654i,-0.036721+0.042298i,-0.031761-0.013928i,0.015007-0.0080223i,0.0039226+0.0047875i,0.0079583+0.0089838i,-0.0038819+0.014683i,-0.0054279+0.003642i,0.0094602-0.0090086i,0.013654+8.1783e-05i,-0.0105+0.0092811i,0.00034328-4.5044e-05i,-0.00056047+0.0032126i,-0.00044692+0.00052109i,-0.0020279+9.765e-05i,0.0057844-0.0011165i,-0.0027955-0.0056665i,-0.00092394+0.0032i,0.0026485-0.0039501i,-0.0010695-0.0052013i,-0.0027381+0.001841i,0.0021322-0.0010817i,0.00079246-0.0013708i,0.022192-0.01167i,-0.002516+0.0054594i,-0.0012202-0.0048244i,-0.0033413-0.0011735i,-0.0030253-0.0065436i,0.00056502+0.0066164i,0.0030983-0.0047116i,0.0021461-0.001277i,0.0012453-0.0030669i,-0.0011297-0.0027304i,0.0017993+0.0046238i,0.0011071+0.00031236i,0.0072257+0.00042232i,-0.001112+0.0026937i,-0.0024532+0.0093278i,-0.0071078+0.018485i,0.0068507-0.0077129i,-0.018282+0.0026584i,-0.03244-0.0038086i,0.018519+0.00016524i,0.021131+0.0074158i,-0.015069+0.0024896i
0.0049329-0.0015173i,0.025628-0.021301i,0.0015784-0.023022i,0.0073559-0.018025i,0.0038858-0.016656i,-0.0010803-0.017938i,0.015441+0.0032232i,0.022631-0.0047579i,-0.00070305-0.0047613i,-0.00036138+0.00108i,-0.0011106-0.0012131i,0.00042469-0.0012001i,0.00027014+0.0010176i,0.00070064-0.00081651i,-0.00010121-0.0028511i,0.0047483-0.0020451i,-0.0016646-0.0032147i,-0.0010976-0.00033343i,0.00083652+0.0012192i,-0.0014545-8.1818e-05i,-0.0009855+0.00047619i,0.00055832+0.00082658i,-1.2454e-05+0.0016624i,-0.00097488-0.0069073i,0.0012998-0.0002252i,-7.7252e-06-0.00025975i,-0.00014217-0.00057016i,0.00014976-0.00011331i,0.00051249+0.00038615i,0.0010494+0.00088797i,-0.00035477+0.00072419i,0.00075812+0.00098754i,4.8735e-05-7.2193e-05i,0.00055138-0.00017894i,0.00053949-0.00077983i,0.0059094+0.0061154i,0.00036398+0.00032899i,-1.6578e-05+0.00048653i,0.0010985+0.00028681i,-0.00056443+0.00063685i,-0.0011688+0.00033159i,0.00012388+0.00029628i,0.0022979-0.00033727i,-0.00092647-0.0022027i,0.0024711-0.0078697i,-0.0085821+0.029576i,0.026499+0.019509i,0.025648+0.02302i,0.034885-0.0010373i,0.02337+0.018496i,-0.0061609+0.034632i,-0.0043532+0.034373i,-0.024559+0.048638i,-0.03575-0.0085298i,0.010046-0.0092091i,0.0048283+0.0034167i,0.0096644+0.0049582i,0.00059499+0.014867i,-0.0044737+0.0052637i,0.0017941-0.010879i,0.011144-0.0049786i,-0.0080742+0.011809i,0.0015632-0.00099923i,0.00056806+0.002354i,-2.5585e-06-0.0001889i,-0.00029845+0.0014239i,0.0046643-0.0013662i,-0.0031972-0.0043379i,0.0014083+0.0032847i,0.0012471-0.0059633i,-0.002608-0.0040449i,-0.0016464+0.0022891i,0.0014234-0.0024759i,0.00091226-0.0023379i,0.014044-0.017667i,0.00013417+0.0050687i,-0.0021199-0.0040865i,-0.0029243-0.00093896i,-0.0047152-0.0053041i,0.0022277+0.0053206i,0.00159-0.0063767i,0.0024726-0.0023476i,-7.3279e-05-0.0038057i,-0.0019251-0.0033812i,0.0038462+0.0045797i,0.00070725+0.0012042i,0.0064418-0.0014723i,-0.001731+0.0028147i,0.00058424+0.0088363i,-0.0038005+0.018481i,8.4771e-05-0.013376i,-0.02046+8.3001e-05i,-0.033975+0.005113i,0.01262-0.0040885i,0.021018+0.0018821i,-0.014447+0.0044438i
0.0050476-0.0025963i,0.021557-0.024318i,-0.0039679-0.023178i,0.0017906-0.019783i,7.7779e-05-0.01804i,-0.004117-0.01683i,0.017058+0.00041527i,0.020807-0.0082688i,-0.0013418-0.0057148i,0.00040845+0.0020916i,-0.0013394-0.00036109i,-0.00038111-0.0015183i,0.00087548+0.001069i,0.00073731-0.00053904i,-0.00040828-0.0024923i,0.0046592-0.002869i,-0.0026858-0.002543i,-0.0011968+0.00015867i,0.0010301+0.00043254i,-0.0013905+0.00079134i,-0.00081749+0.00086422i,0.00042183+0.00012754i,0.00043764+0.0015658i,-0.0036345-0.0048017i,0.00043199-0.00066779i,-5.2654e-05-0.00011423i,-0.00041454-0.00035382i,5.7136e-05-2.0901e-06i,0.00047065-8.6652e-06i,0.0011722+0.00042186i,1.3505e-06+0.00067422i,0.00090628+0.00063478i,0.00011826+9.5981e-05i,0.00039663-0.0002751i,-0.00026958-0.00048589i,0.006707+0.0042621i,0.0004967+0.00021266i,9.7801e-05+0.00065005i,0.0012343+1.8537e-05i,2.3099e-05+0.00038558i,-0.0010114+0.00096659i,0.00015882+0.00024124i,0.0018852-0.0010321i,-0.0013251-0.0013881i,-1.6104e-05-0.0092603i,-0.0036863+0.02679i,0.028504+0.013804i,0.030168+0.016456i,0.02882-0.0085761i,0.023755+0.014285i,0.0014015+0.036475i,0.0051644+0.034064i,-0.010998+0.05049i,-0.036818-0.0013544i,0.0070388-0.0089015i,0.0054895+0.0020364i,0.0093337+0.0015492i,0.0051982+0.013382i,-0.0029026+0.0071439i,-0.0046778-0.0079162i,0.007582-0.0071538i,-0.0047827+0.01369i,0.0011898-0.0028185i,0.00072663+0.0014755i,-0.00020307-0.00035151i,0.0016964+0.0011904i,0.0041531-0.0017256i,-0.003856-0.0032882i,0.0031682+0.0020372i,-0.0020301-0.0068528i,-0.003187-0.0025822i,-8.2009e-05+0.0017694i,0.00068693-0.0032374i,0.0003761-0.0033772i,0.0055432-0.019184i,0.0018644+0.0038278i,-0.0028968-0.0036078i,-0.0035971-0.00084936i,-0.0061925-0.0035635i,0.0028566+0.003947i,-0.0010331-0.0075324i,0.0024352-0.0034479i,-0.0010414-0.0032553i,-0.002807-0.0030968i,0.0052396+0.0031535i,0.0011463+0.0019581i,0.0047505-0.0031059i,-0.0020901+0.0036423i,0.0027877+0.0072471i,0.00082431+0.018117i,-0.0094831-0.015994i,-0.024187+0.00072722i,-0.031347+0.013721i,0.0073047-0.0036238i,0.01834-0.0038698i,-0.013111+0.0046862i
0.0049364-0.00427i,0.017614-0.027239i,-0.0087157-0.021449i,-0.0033065-0.019189i,-0.003742-0.018346i,-0.0063518-0.01565i,0.018253-0.0035171i,0.018719-0.011244i,-0.0024567-0.0065868i,0.0017514+0.0021735i,-0.00091017+0.00034319i,-0.0010707-0.00090708i,0.0014484+0.00054379i,0.00082857-0.00057261i,-0.00061861-0.0021962i,0.0045045-0.0036057i,-0.0031422-0.0012336i,-0.00085276+0.00035146i,0.00073923-0.0002013i,-0.00086134+0.0012783i,-0.00054624+0.00096467i,0.00011802-0.00020245i,0.00085466+0.0013096i,-0.0049753-0.0019184i,-0.00017265-0.00033712i,-3.761e-05-4.1526e-05i,-0.00051807-0.00019666i,9.5276e-05+6.3053e-05i,0.00019187-3.8962e-06i,0.0010802-0.00015074i,0.00033161+0.00049263i,0.00075107+0.00043819i,0.00031208+3.3239e-05i,0.00040662-0.0002573i,-0.00039661+0.00015027i,0.0067403+0.0024623i,0.00043125+8.4369e-05i,0.00041972+0.00070137i,0.0012185-0.00052686i,0.00040636+5.0639e-06i,-0.00046743+0.0012447i,0.00019949-6.7002e-06i,0.0011123-0.0015675i,-0.0014974-0.00070672i,-0.0027598-0.0098279i,-0.00068615+0.023268i,0.029477+0.008658i,0.032278+0.0082759i,0.022581-0.013668i,0.023904+0.012105i,0.0092712+0.036184i,0.013227+0.031648i,0.0014746+0.048028i,-0.035177+0.0057443i,0.0046255-0.0090244i,0.0059616-5.774e-05i,0.0088257-0.00103i,0.0089184+0.0099812i,2.1812e-05+0.0075101i,-0.0077205-0.0031712i,0.0038625-0.0078862i,-0.00067407+0.013801i,-0.00053483-0.0035362i,1.0742e-05+0.0013633i,-0.00035252-0.00014299i,0.002655+2.5025e-05i,0.0036645-0.0015074i,-0.0041174-0.0017537i,0.0036297+0.00046167i,-0.0048469-0.0049582i,-0.002896-0.0013284i,0.0002781+0.00042531i,-0.00023235-0.0039373i,-0.00083612-0.0036294i,-0.0014174-0.017659i,0.0031191+0.0022634i,-0.0039727-0.0027228i,-0.0038894+0.00052643i,-0.0066386-0.0011213i,0.0033648+0.0030036i,-0.0043562-0.0070818i,0.00199-0.0048675i,-0.0015536-0.0029848i,-0.0033998-0.0031553i,0.0063027+0.0019236i,0.0020509+0.0022622i,0.0027983-0.0029185i,-0.0019691+0.0043496i,0.0039607+0.0052835i,0.0057752+0.015727i,-0.019432-0.013378i,-0.027712+0.003792i,-0.026053+0.01888i,0.0051451-0.0024171i,0.013218-0.0072056i,-0.014477+0.0050025i
0.0039028-0.0059029i,0.013207-0.030043i,-0.012316-0.019135i,-0.0073776-0.017467i,-0.0075421-0.017837i,-0.008579-0.014477i,0.018208-0.0087853i,0.016403-0.01406i,-0.0041863-0.0071954i,0.0029121+0.0016068i,-0.00027016+0.00057302i,-0.0012177+1.8951e-05i,0.0014622-0.0001466i,0.00087539-0.00065077i,-0.00093278-0.0020704i,0.0040996-0.0046004i,-0.0030428+1.7062e-05i,-0.00063869+0.00031483i,0.00054419-0.0003947i,-0.00026862+0.0014448i,-0.00035144+0.0010779i,-0.00020974-0.00028335i,0.0010729+0.00092823i,-0.0046069+0.00095896i,-0.00017107+0.00015025i,-9.1831e-06+6.8769e-05i,-0.00054472+6.1074e-05i,0.00011768+3.6735e-05i,0.00022218+5.8596e-05i,0.00065238-0.0005063i,0.00052339+0.00014861i,0.00090799+0.00051526i,0.00031907-5.3594e-05i,0.00038952-0.00051795i,-2.8682e-05+0.00049561i,0.0065828+0.0010701i,0.00051485+2.6392e-05i,0.00076722+0.00059182i,0.00069846-0.0008676i,0.00072844-0.00042801i,0.00011272+0.0013543i,0.00014026-4.5318e-05i,0.00018619-0.0014387i,-0.0014204+0.00027931i,-0.005403-0.0093407i,9.0906e-05+0.02123i,0.029965+0.0037918i,0.031362+0.0015994i,0.015711-0.017285i,0.026441+0.010732i,0.016613+0.033426i,0.021364+0.02712i,0.012425+0.041656i,-0.030551+0.011629i,0.0022866-0.0087497i,0.0051178-0.0030785i,0.0079983-0.003895i,0.010108+0.0054509i,0.0017853+0.0064567i,-0.0081781+0.0022698i,0.00032082-0.0072542i,0.0024668+0.011595i,-0.0025995-0.0028602i,-0.00032969+0.0022055i,-0.00032382+0.00016053i,0.0032516-0.0016482i,0.0042916-0.00052167i,-0.0032152-0.00059324i,0.0037076+1.582e-05i,-0.0056301-0.0026922i,-0.002266-0.00076097i,-0.00028418+8.5176e-05i,-0.0022655-0.0044441i,-0.0020069-0.0030388i,-0.0070132-0.014927i,0.0033933+2.6868e-05i,-0.0046042-0.0013752i,-0.0029385+0.0016638i,-0.006087+0.00088313i,0.0040654+0.0024089i,-0.0069126-0.0048274i,0.00024552-0.0063919i,-0.0024477-0.0024678i,-0.0050407-0.0023749i,0.0071935-0.00048036i,0.0031633+0.0023594i,0.0023574-0.0023716i,-0.00059196+0.0055275i,0.0040087+0.003306i,0.0095205+0.011323i,-0.025026-0.0051452i,-0.030754+0.0091954i,-0.020225+0.022627i,0.0034257-0.0006598i,0.0090243-0.0070314i,-0.014846+0.0070588i
