-0.023128-0.018442i,-0.032271-0.033058i,-0.022256-0.019469i,-0.032488-0.020398i,-0.023872+0.0044353i,-0.028725-0.017353i,-0.058506-0.04368i,-0.040683-0.040162i,-0.030597-0.019335i,0.0053286+0.0054511i,-0.0037704+0.0061471i,-0.010552+0.011175i,0.003667+0.0071106i,-0.0039491-0.0024799i,0.0028365+0.0017905i,0.0041598+0.028475i,0.020016+0.01961i,5.5326e-05+0.00022889i,-0.0030105-0.0027822i,0.0079389+0.0040319i,0.0020494+0.0006433i,-9.1426e-06+0.0024108i,-0.00065351+0.00047214i,-0.030737-0.00061606i,-0.0033791-0.0049537i,-1.0018e-05+0.0027022i,0.0049202-0.00093931i,0.00048744-0.00033729i,-0.00034448-0.00048017i,-0.0014055-0.001856i,-0.0021249-0.00050582i,-0.0039202-0.0039233i,-0.0036453-0.0050607i,0.00033312-0.0011762i,0.00031252-0.0026786i,-0.0030078+0.024818i,0.0022154-0.0030519i,0.0022867-0.0038186i,0.0040874-0.002588i,-0.0084985-0.002273i,0.00063424+0.0012546i,0.014279-0.00016094i,-0.002458-0.00019784i,-0.0035593+0.0012283i,-0.0096766-0.0027693i,-0.018926+0.021571i,-0.0079997-0.0854i,-0.0023963-0.060981i,-0.021383-0.053102i,-0.010673-0.045319i,0.054049-0.025306i,0.024264-0.067462i,0.041493-0.052628i,0.018737-0.038855i,0.025615-0.019669i,0.012216+0.011911i,0.025593-0.029842i,-0.010916-0.0010472i,-0.00073536-0.001019i,-0.0071545-0.0014295i,-0.0047612-0.029197i,-0.020432+0.026903i,0.0073743-0.009346i,-0.010437-0.0033072i,-0.0024724-0.0019173i,-0.00053908-0.014526i,-0.0078388+0.0052912i,0.005384+0.01021i,-0.011345+0.032154i,0.0069685+0.0075232i,-0.0035703-0.001929i,-0.0021038-0.0015776i,-0.012863-0.0057128i,0.00020694-0.0037469i,-0.030102+0.0025802i,0.0033178-0.0089848i,-0.0074086-0.0016996i,-0.0049888-0.0027687i,0.0065588+0.001831i,-0.01106+0.00075685i,0.0023852-0.00026219i,0.0062247+0.008i,0.0054723+0.0013198i,-0.0079774-0.0095461i,0.002403+0.0076179i,-0.020306+0.0087837i,0.0032148+0.0056711i,-0.02094-0.0084167i,-0.027139-0.0049545i,0.0092284-0.061997i,0.019011-0.014775i,-0.050704-0.029289i,-0.024614+0.0020949i,0.019131+0.010238i,-0.027937+0.011451i,-0.01266-0.0076744i
0.0059663+0.0047834i,0.036541+0.013828i,0.019607-0.0043303i,0.013319+0.0022727i,0.0084502-0.0019741i,0.015702-0.007547i,0.012083+0.01431i,0.018219+0.020389i,0.00086442-0.0031087i,0.0012413+0.00089128i,0.002341-0.0012836i,0.0013568-0.0041143i,5.1749e-05-0.0011536i,0.0021979-9.2086e-05i,0.0050918-0.0012334i,0.0058218+0.00084378i,0.0049435-0.003677i,5.6218e-05-0.0010172i,-0.0022721-3.0112e-05i,0.00048378+0.00076152i,0.00016277-0.00017995i,-0.0022072-0.0004895i,-0.0016017-0.00012949i,0.0059372+0.0074122i,-0.00065728+0.00035643i,0.0003715+0.00087522i,0.0010695+0.00088091i,-7.1831e-06+0.0013433i,-0.00041518-0.00027406i,-0.0012062-2.2142e-05i,0.00072801-0.0012849i,-0.00042756+0.00054009i,0.00012704+0.0006158i,-3.7936e-05+0.00056502i,-0.00044916-0.0010661i,-0.012224+0.0089317i,0.00054526+0.00021257i,-0.0004626+1.9221e-06i,-0.00062518+0.001582i,0.0001804-0.0034865i,-0.00055612+0.00034531i,-0.00036929-0.00025305i,0.00060487+0.0013142i,0.0035631-0.002499i,0.00040547+0.0026129i,-0.05006+0.0089084i,-0.0032925+0.028933i,-0.014224+0.04056i,-0.0088924+0.065518i,-0.016771+0.044177i,-0.006228+0.019546i,-0.0090398+0.014033i,-0.047045+0.004149i,-0.024341-0.0075882i,0.015593+0.026003i,0.00058092+0.0054578i,-0.0067809+0.0020236i,-0.013885-0.0028283i,0.0038526-0.00038328i,0.0073751+0.014368i,-0.0061941+0.006726i,-0.0047441-0.0059488i,0.0055537-0.0026746i,-0.0064713-0.0053985i,0.0035844-0.0068212i,0.0042285-0.002189i,-0.0024193+0.010065i,0.011813-0.0054693i,0.0057579-0.0048973i,0.0052291-0.0083304i,0.0031019+0.00070646i,-0.0016974-0.0061026i,-0.0037945-0.0012662i,0.0020756-0.0016818i,-0.011017+0.032666i,-0.004314-0.0051098i,0.0033643+0.00023247i,-0.00027542-0.0069772i,0.0032937-0.0020002i,-0.013138-0.005597i,0.00083848+0.00084741i,0.0038724-0.0016421i,0.0024278-0.00089006i,0.0012909-0.005372i,-0.0020377+0.0056365i,-0.00031205+0.0060016i,-0.0048947+0.0072027i,-0.0048442+0.0022908i,-0.005337-5.5731e-05i,-0.024073+0.019058i,-0.0092313+0.014141i,-0.022218-0.011686i,-0.0093082-0.0091431i,0.0086076+0.020485i,-0.00090187+0.020273i,-0.0082441-0.003493i
0.0063128+0.0027431i,0.037806+0.0064287i,0.018512-0.0081559i,0.013881+0.00071497i,0.0091613-0.0033646i,0.014174-0.010681i,0.012981+0.011411i,0.022051+0.016996i,-3.7093e-05-0.0031145i,0.0015698+0.00034539i,0.0022123-0.0015767i,-0.00027447-0.0029144i,-0.00011026-0.00063525i,0.0021159-0.00016418i,0.0044202-0.0023042i,0.0054358+7.0872e-06i,0.003362-0.0045082i,9.4705e-05-0.00092906i,-0.002447+0.00028184i,0.0008371+0.00013931i,4.8057e-05-0.00057093i,-0.0022591+9.4232e-05i,-0.0015655+0.00011097i,0.0094441+0.0041909i,-0.00086949+0.0011492i,0.000996+0.00056798i,0.0011028+0.00027765i,0.00051324+0.0010713i,-0.0008303+0.00029356i,-0.0012135+0.00045952i,-0.00021726-0.0012746i,-0.00045341+0.00012913i,0.00012062+0.00054418i,0.00022867+0.0004846i,-0.00082921+6.6771e-05i,-0.012852+0.017762i,0.00016279+6.6531e-06i,-0.00035856+0.00039833i,0.00018536+0.0012453i,-0.0011659-0.0028308i,-0.0004117+0.0002965i,-0.00047842+4.0008e-05i,0.00071695+0.0012943i,0.0022272-0.0027096i,0.0015709+0.0026487i,-0.045048+0.017011i,-0.00050131+0.029879i,-0.0055832+0.041019i,0.0077924+0.062248i,-0.0059343+0.043618i,-0.0081718+0.015973i,-0.01185+0.01175i,-0.048158+0.0084967i,-0.020407-0.009555i,0.02134+0.019568i,0.0005322+0.0051529i,-0.0056845+0.0068443i,-0.01382+0.0020538i,0.0022693-0.0021069i,0.010599+0.012113i,-0.0019718+0.010737i,-0.0082585-0.0049701i,0.0024405-0.0041754i,-0.0065395-0.0021254i,-0.0010886-0.0064854i,0.0026574-0.0038167i,0.002352+0.0079782i,0.0073541-0.0086489i,0.0022288-0.0056544i,0.00088654-0.0057522i,0.0040959-0.00018105i,-0.0030162-0.0051517i,-0.0019681+0.00093383i,0.0021085-0.0017318i,0.0044162+0.032717i,-0.0055679-0.0044853i,0.0037138-0.0017784i,-0.0035291-0.006296i,0.0030212-0.0027489i,-0.013244+0.00072234i,0.0018155+0.00099904i,0.0030246-0.001813i,0.0028522-0.0019098i,-0.00027903-0.0058285i,-0.00043222+0.0029686i,0.0019824+0.0046918i,-0.00085029+0.0086269i,-0.0032624+0.004268i,-0.0063029+0.00076014i,-0.018624+0.018277i,-0.0069663+0.016847i,-0.025139-0.006375i,-0.011977-0.011829i,0.011747+0.020039i,0.0030796+0.021811i,-0.010947-0.0035526i
0.0057954+0.0011534i,0.037467-0.001796i,0.016906-0.012549i,0.015086-0.0021997i,0.010065-0.0055015i,0.011783-0.013761i,0.01311+0.0085791i,0.025045+0.011842i,-0.00042611-0.002507i,0.0012927-0.00024162i,0.0018362-0.0025192i,-0.00065654-0.0015475i,-7.9701e-05-0.00060094i,0.0021119-0.00057105i,0.003455-0.003123i,0.0049108-0.00081041i,0.0018219-0.0047851i,-0.0001216-0.0011197i,-0.0023666+0.0010779i,0.00072476-0.00071431i,-0.00064831-0.00091995i,-0.0019704+0.00069788i,-0.0016037+0.00040401i,0.010063-0.00063849i,-0.00017195+0.0014437i,0.00095044-0.00011024i,0.00081244-0.00012013i,0.00088745+0.0005555i,-0.00048299+0.00073623i,-0.0010789+0.00088399i,-0.00072633-0.00095399i,-0.0010583+0.00049218i,0.0004494+0.00042651i,0.00033427+0.000217i,-0.00033451+0.0007253i,0.0033819+0.0090187i,2.2797e-05+0.0002222i,-3.6222e-05+0.00035311i,0.00050359+0.0009683i,-0.0024898-0.0020205i,-0.00027524+0.00019752i,-0.00034924+0.00031299i,0.0010372+0.0014008i,0.0015042-0.0026234i,0.003585+0.0018254i,-0.038668+0.023594i,0.0039041+0.0308i,0.0029613+0.038311i,0.023115+0.053674i,0.0039411+0.042408i,-0.011269+0.014984i,-0.014218+0.012372i,-0.048061+0.015033i,-0.01946-0.012896i,0.023757+0.011898i,0.00079509+0.0050388i,-0.0034445+0.0084506i,-0.013427+0.006084i,-7.5834e-05-0.0038446i,0.013222+0.0087663i,0.0028889+0.011439i,-0.011317-0.0022317i,0.00054874-0.0028711i,-0.0060936+0.00074007i,-0.002918-0.00387i,0.00078578-0.0038887i,0.0047253+0.0070427i,0.003536-0.009202i,-0.0011548-0.0047749i,0.00058035-0.0031274i,0.0044115-0.0024114i,-0.0048607-0.0038501i,-0.00073305+0.00069517i,0.0011005-0.0023166i,0.018948+0.024487i,-0.0072967-0.0025218i,0.0031698-0.003186i,-0.0039454-0.0042934i,0.0032332-0.0040566i,-0.01031+0.0059542i,0.0034391+0.0004005i,0.002324-0.0022597i,0.0018592-0.0024123i,-0.0022012-0.0048701i,-0.0013697+0.0026053i,0.0030158+0.0030176i,0.0032404+0.0082065i,-0.0019911+0.0046715i,-0.0069342+0.0025458i,-0.01605+0.016648i,-0.00039011+0.017842i,-0.025856-0.0020732i,-0.015781-0.012688i,0.017041+0.017033i,0.0085097+0.02251i,-0.013619-0.0017484i
0.0051064+0.00025305i,0.034135-0.0086355i,0.013452-0.016564i,0.014899-0.006483i,0.0099032-0.0085945i,0.0084523-0.0159i,0.012851+0.006603i,0.026326+0.0056433i,-0.00020182-0.002458i,0.00071509-0.00024789i,0.00070431-0.0027919i,-0.00032673-0.00077534i,-0.0004848-0.0003555i,0.0017117-0.00077286i,0.0022443-0.0035778i,0.0042829-0.0011345i,0.00037653-0.0043582i,-0.00035173-0.001052i,-0.0014398+0.0018405i,2.2482e-05-0.0010978i,-0.0011448-0.00037867i,-0.0015926+0.0013923i,-0.0015019+0.00089266i,0.0081005-0.0043599i,0.00034962+0.0013034i,0.00056293-0.00033158i,0.00060206-0.0001636i,0.00074546+2.9662e-05i,-6.8447e-05+0.0006559i,-0.00075024+0.0014186i,-0.0011313-0.00039166i,-0.00076659+0.0011635i,0.00060354+0.00011178i,0.00025937+4.7157e-05i,0.00023813+0.00071844i,0.0027057+0.0090174i,0.000261+0.0003652i,-5.7205e-05+0.00018147i,0.00057322+0.00083691i,-0.0024891-1.0875e-05i,-0.00031404+0.00013619i,-0.00025844+0.00034378i,0.0014088+0.0012799i,0.0010785-0.0024619i,0.0052284-0.00049032i,-0.031117+0.028391i,0.0092222+0.030747i,0.0082511+0.034946i,0.035403+0.040146i,0.01337+0.036932i,-0.014782+0.017171i,-0.017217+0.015329i,-0.046111+0.022032i,-0.021483-0.016014i,0.024417+0.003343i,0.0012285+0.0052088i,-0.0006875+0.010981i,-0.01156+0.010231i,-0.0042327-0.0029634i,0.015615+0.0034508i,0.0078883+0.0099056i,-0.012812+0.0018595i,-0.00033454-0.0022189i,-0.0043057+0.0025693i,-0.0035211-0.0012614i,-0.00025872-0.0034135i,0.0067288+0.0037932i,0.00023421-0.0090387i,-0.0030206-0.0017205i,0.0014271-0.0019143i,0.0030974-0.0044317i,-0.0051645-0.00032451i,0.00041611+0.0010547i,0.00056191-0.0021451i,0.026433+0.012103i,-0.007956+0.0011221i,0.0022154-0.0044798i,-0.0044107-0.0024579i,0.0018543-0.0062142i,-0.0060134+0.0080767i,0.0043942-0.0015718i,0.0013942-0.0021437i,0.0013106-0.0025016i,-0.0026375-0.0030846i,-0.0013584+0.0037841i,0.0029601+0.0013579i,0.0067245+0.0058763i,-0.00094659+0.0042291i,-0.007148+0.0049247i,-0.014332+0.017604i,0.0087698+0.013072i,-0.024417+0.0031349i,-0.021162-0.011678i,0.019145+0.011999i,0.014851+0.020844i,-0.013238+0.00027659i
0.004931-0.00031943i,0.030766-0.013141i,0.0093486-0.019014i,0.013391-0.01057i,0.0084037-0.011597i,0.0052691-0.016968i,0.012799+0.0053557i,0.024854+0.00074682i,0.00013461-0.002907i,0.00031727-0.00012316i,-0.0002648-0.0025141i,1.1569e-05-0.0005104i,-0.00067007+0.00028964i,0.001417-0.00093217i,0.001148-0.0034517i,0.0041132-0.001243i,-0.00034967-0.0036908i,-0.00078525-0.0009006i,-0.00055898+0.0018196i,-0.00060852-0.00094922i,-0.0012442+7.502e-05i,-0.00076791+0.0017624i,-0.0011565+0.0014068i,0.0051693-0.0064746i,0.00064484+0.001015i,0.00035032-0.0003446i,0.00042887-0.00031247i,0.00044446-0.00014084i,5.5559e-05+0.00060284i,-2.1059e-05+0.0017014i,-0.0011148+0.00023954i,-3.819e-05+0.0013824i,0.00049293-0.00014426i,0.00027712+0.00018055i,0.0007412+0.00064187i,0.003141+0.0062627i,0.00024664+0.00028565i,-0.00020945+0.00022618i,0.00095159+0.00073863i,-0.0012289+0.00050609i,-0.00049575+8.3174e-06i,-0.00016334+0.00035337i,0.0016409+0.00078718i,0.00048446-0.0019531i,0.0051493-0.0035879i,-0.022691+0.030707i,0.015589+0.02907i,0.014269+0.032481i,0.039996+0.024038i,0.019036+0.030033i,-0.015676+0.022852i,-0.017423+0.021891i,-0.04324+0.030391i,-0.026144-0.016928i,0.020132-0.0040873i,0.002382+0.0053629i,0.0043513+0.010792i,-0.0077699+0.013144i,-0.0059248+0.00059894i,0.014681-0.0033276i,0.011909+0.0062814i,-0.012862+0.0055935i,-0.0004535-0.00054431i,-0.0026019+0.0032784i,-0.0019196+0.00062809i,-0.0020348-0.002291i,0.0067973+0.0010503i,-0.0017429-0.007896i,-0.0026782+0.0013695i,0.0027789-0.0024404i,0.0009389-0.0055121i,-0.0037586+0.0017401i,0.0017472+0.00025775i,0.0004031-0.0017029i,0.027446-0.0011825i,-0.0057163+0.0043132i,0.00055659-0.0053707i,-0.0036539-0.0014437i,-0.00041132-0.0069927i,-0.0022626+0.0079205i,0.00392-0.0033969i,0.0013658-0.0011737i,0.0014421-0.0024019i,-0.0016827-0.0024212i,0.00064271+0.0041415i,0.0020336+0.00027297i,0.0090271+0.001196i,-0.00059374+0.0032448i,-0.0056005+0.0078644i,-0.011061+0.01882i,0.012046+0.001717i,-0.020351+0.0049275i,-0.026169-0.0088255i,0.020236+0.0067088i,0.02015+0.014787i,-0.013557+0.00071266i
0.004912-0.0012209i,0.027908-0.017198i,0.0054957-0.020582i,0.010998-0.014291i,0.0062739-0.014033i,0.0019088-0.017687i,0.013697+0.0043171i,0.02352-0.0027565i,7.5087e-05-0.0039255i,-0.00014005+0.00021905i,-0.00092381-0.0018132i,0.00025924-0.00035026i,-0.00022872+0.00092739i,0.0010627-0.00097326i,0.00037296-0.0031428i,0.0043018-0.0015132i,-0.0007299-0.0033246i,-0.00083517-0.00060336i,0.00012823+0.0016852i,-0.00098467-0.00062645i,-0.00092325+0.00036527i,0.00018246+0.0015232i,-0.00053374+0.0016784i,0.0018627-0.0072626i,0.0010867+0.00076767i,0.00017871-0.00035674i,0.00025262-0.00047504i,0.00027895-0.00017223i,0.00026518+0.0005913i,0.00066413+0.0013848i,-0.0008813+0.00058893i,0.00060663+0.0011065i,0.00029257-0.00019881i,0.00047083-2.0453e-05i,0.00098402-2.3473e-05i,0.0032256+0.0053637i,0.00034828+0.0002411i,-0.00013625+0.0004312i,0.00092609+0.00030298i,-0.00081663+0.0005256i,-0.00075771+0.00040316i,-3.1671e-05+0.00024318i,0.0016864+0.00049954i,0.00021237-0.0040548i,0.0040815-0.0062924i,-0.014948+0.030462i,0.021395+0.025199i,0.02018+0.028213i,0.039703+0.0096678i,0.022154+0.02336i,-0.012697+0.029637i,-0.013229+0.029172i,-0.036558+0.040073i,-0.031328-0.014387i,0.015143-0.0074439i,0.0036394+0.0045947i,0.00781+0.0083275i,-0.0036618+0.014914i,-0.0052175+0.0034757i,0.010059-0.0093984i,0.013275+0.00054365i,-0.011242+0.0099287i,0.00084684+0.00011457i,-0.00087621+0.0029394i,-0.00040559+0.00065937i,-0.002107+0.00014626i,0.0055985-0.00075762i,-0.0028844-0.0057836i,-0.00051599+0.0031141i,0.0028717-0.004164i,-0.0013307-0.0049982i,-0.0026458+0.0019167i,0.0021109-0.00099117i,0.00080154-0.0016135i,0.02236-0.012029i,-0.0026651+0.0054093i,-0.001079-0.0049833i,-0.0033664-0.00087685i,-0.0029837-0.006434i,0.00043532+0.0068836i,0.0030142-0.0051416i,0.0021139-0.0012343i,0.0011446-0.0034886i,-0.0014268-0.0028438i,0.0007843+0.0040102i,0.00083009+0.00045436i,0.0059612+0.0019183i,-0.0011113+0.0024072i,-0.0022899+0.0094875i,-0.0074185+0.018615i,0.0081968-0.0077292i,-0.017956+0.0028591i,-0.031471-0.0031133i,0.0186-2.1687e-05i,0.021481+0.0080368i,-0.014287+0.0024747i
0.0047212-0.0020352i,0.024285-0.021408i,0.0011571-0.022187i,0.0069141-0.017886i,0.0035211-0.01624i,-0.0016549-0.017484i,0.015252+0.0024356i,0.021956-0.0063822i,-0.00055926-0.0048027i,-0.00031243+0.001068i,-0.0012479-0.0012462i,0.00051493-0.00091516i,0.00035404+0.0010415i,0.00067637-0.00084528i,-0.00017509-0.0026861i,0.0043398-0.0022752i,-0.001138-0.0032042i,-0.001132-0.00045185i,0.00082018+0.0012578i,-0.0014107-0.00017626i,-0.00091801+0.00045509i,0.000664+0.00085893i,-1.8307e-05+0.0016515i,-0.0014701-0.006484i,0.0012139-0.00019089i,-5.3756e-05-0.00018496i,-0.00019781-0.00054921i,0.00010659-0.00010544i,0.00057427+0.00031794i,0.00099408+0.00086607i,-0.00042145+0.00079164i,0.00071656+0.00070351i,8.0885e-05-0.00015347i,0.00041131-0.00021501i,0.00050602-0.00071687i,0.0037494+0.0050643i,0.00043846+0.00019565i,-6.9472e-05+0.00044908i,0.00093031+0.00017787i,-0.00033598+0.0005265i,-0.00071319+0.00057325i,8.9431e-06+0.00023954i,0.0018196+8.8635e-05i,-0.0010136-0.0025202i,0.0018617-0.0084087i,-0.0087791+0.028604i,0.025585+0.019738i,0.025324+0.022803i,0.035227-0.0020272i,0.023121+0.017959i,-0.0064493+0.033893i,-0.0043622+0.033712i,-0.025133+0.046508i,-0.035359-0.0089744i,0.010544-0.0086854i,0.0044289+0.0034678i,0.0093318+0.0045068i,0.00079419+0.015039i,-0.0043109+0.0050775i,0.0020098-0.01135i,0.011264-0.0045446i,-0.0078968+0.012061i,0.0019591-0.0011234i,0.0011301+0.0030891i,1.4672e-05-0.00020037i,-0.00026602+0.0015177i,0.0044952-0.00095265i,-0.0032905-0.0044464i,0.0017164+0.0029591i,0.0014028-0.0061252i,-0.0024648-0.0040318i,-0.0015764+0.0022006i,0.0014617-0.0024489i,0.0008238-0.0022823i,0.013727-0.018093i,-7.7079e-05+0.0050314i,-0.0020467-0.0042488i,-0.0028913-0.00077138i,-0.0046554-0.0052379i,0.0022122+0.0054346i,0.0013932-0.0065182i,0.0024613-0.0021151i,-0.00016618-0.0037826i,-0.002295-0.0031995i,0.0034567+0.0045488i,0.00053913+0.0014581i,0.0061036-0.00098177i,-0.0020665+0.0025834i,0.0008572+0.0086708i,-0.0039275+0.018586i,0.00097839-0.014104i,-0.020232+0.0003461i,-0.033013+0.0052431i,0.012504-0.0041435i,0.02159+0.0018308i,-0.013868+0.0043382i
0.0047783-0.0030013i,0.020191-0.024191i,-0.0040532-0.022292i,0.0013147-0.019533i,-0.00011488-0.017637i,-0.0045347-0.016281i,0.016763-0.0005594i,0.020045-0.0095843i,-0.0010925-0.0056958i,0.00044561+0.0020996i,-0.0013961-0.00036566i,-0.00024594-0.0013822i,0.0009283+0.001032i,0.00064342-0.00053775i,-0.00038901-0.0022945i,0.0040707-0.0029151i,-0.0020543-0.0029223i,-0.0012659+0.00012134i,0.0010408+0.00048195i,-0.0014088+0.00070274i,-0.00078037+0.000817i,0.00053887+0.00012659i,0.00040602+0.0015716i,-0.0038666-0.0039957i,0.00058551-0.00062815i,-7.9771e-05-2.0897e-05i,-0.0006667-0.00030173i,3.3207e-05+2.3724e-06i,0.00044401-7.0679e-05i,0.0010678+0.00046881i,-1.5049e-05+0.00076298i,0.0013943-0.00024339i,1.1586e-05+5.3079e-05i,0.00028687-0.00026127i,-0.00015661-0.00045527i,0.0045841+0.0046528i,0.00047827+5.1627e-05i,-3.4364e-05+0.00063648i,0.0010331+2.1227e-05i,0.00015167+0.0001718i,-0.00083339+0.00078967i,0.00015776+0.0001657i,0.0015295-0.00052851i,-0.001384-0.0016328i,-0.00075543-0.0093696i,-0.0040557+0.025699i,0.027823+0.014069i,0.029589+0.016242i,0.028786-0.0097321i,0.023336+0.01391i,0.00075165+0.03594i,0.0048044+0.033339i,-0.012208+0.048815i,-0.036146-0.0020434i,0.0074379-0.0088508i,0.0052902+0.0022488i,0.0087893+0.0012439i,0.0055309+0.013315i,-0.0029222+0.0069148i,-0.004699-0.008466i,0.0081401-0.0071331i,-0.0046373+0.013422i,0.0016334-0.0030784i,0.00073351+0.0017956i,-0.00028347-0.00033526i,0.0016757+0.001327i,0.004072-0.0011929i,-0.0043915-0.0029422i,0.0029484+0.0017184i,-0.0019153-0.0069151i,-0.0031756-0.0027389i,-0.00016864+0.0016813i,0.00080984-0.0031659i,0.00035154-0.0033453i,0.0053763-0.019319i,0.0015094+0.0040344i,-0.0029887-0.0036343i,-0.0034705-0.00082036i,-0.0059097-0.0035508i,0.002848+0.0040578i,-0.00096342-0.0074792i,0.002519-0.003329i,-0.0011235-0.0031356i,-0.0029132-0.0027919i,0.0046919+0.0033382i,0.0013278+0.0020723i,0.0046021-0.0024688i,-0.0024063+0.0037605i,0.00278+0.0070094i,0.00062261+0.01812i,-0.0089605-0.016719i,-0.024248+0.00085745i,-0.030432+0.013538i,0.0075066-0.0036399i,0.0182-0.0044504i,-0.012802+0.0045007i
0.004604-0.0046157i,0.01629-0.026916i,-0.0085279-0.020667i,-0.0036744-0.018757i,-0.0038559-0.017952i,-0.0066401-0.015039i,0.017535-0.0047124i,0.017761-0.012354i,-0.002126-0.0066929i,0.0017874+0.0021408i,-0.0010348+0.00038841i,-0.00093641-0.00084131i,0.0014048+0.00050316i,0.00075692-0.00050956i,-0.0005377-0.0020617i,0.0038078-0.0034579i,-0.0027181-0.0019409i,-0.00084808+0.00035268i,0.00078036-0.00010799i,-0.00083081+0.0011748i,-0.00055664+0.0010567i,0.00013959-0.00022866i,0.00081342+0.0013285i,-0.0051552-0.0014591i,-5.635e-05-0.00019836i,-4.9053e-05+4.8532e-05i,-0.00038525-4.8551e-05i,4.821e-05+7.0665e-05i,0.00016298+1.178e-05i,0.0010128-2.8359e-05i,0.0003463+0.00056623i,0.00075074+0.00026662i,0.00019862+9.3583e-05i,0.00042414-0.00016262i,-0.000295+9.6445e-05i,0.0048223+0.0040352i,0.0003233+7.3003e-06i,0.00036668+0.00075668i,0.0010958-0.00035676i,0.00029332-0.00024925i,-0.000495+0.00097155i,0.00020488-6.2439e-05i,0.0010322-0.00090295i,-0.0015695-0.00093599i,-0.0034494-0.0096443i,-0.0015081+0.022456i,0.028965+0.0089994i,0.031553+0.0081704i,0.021888-0.014707i,0.023496+0.011913i,0.0086271+0.036004i,0.012768+0.031002i,-0.00039099+0.04717i,-0.034665+0.0048656i,0.0050036-0.0091037i,0.006+0.00018893i,0.0082249-0.0010116i,0.009273+0.0099935i,-0.0001061+0.0073959i,-0.0079637-0.0036037i,0.0042817-0.0084667i,-0.00051477+0.013769i,-0.00037068-0.004259i,0.00013396+0.0015518i,-0.00038498-0.00010437i,0.0026132-1.2365e-05i,0.0036644-0.00072638i,-0.004368-0.0010161i,0.0032346+0.00040343i,-0.0045995-0.0050842i,-0.0030669-0.001434i,0.00017941+0.00046269i,-4.3343e-05-0.0040046i,-0.00091012-0.0036161i,-0.001425-0.017778i,0.0030201+0.0024592i,-0.0038487-0.0027681i,-0.0038507+0.00058082i,-0.0063468-0.0013887i,0.0034134+0.003198i,-0.0044616-0.0071289i,0.0018988-0.0047069i,-0.0015214-0.0027833i,-0.0032172-0.0028368i,0.0060198+0.0023002i,0.0021746+0.0020421i,0.0029315-0.0023521i,-0.0019971+0.0044184i,0.0038961+0.0050826i,0.0054144+0.015642i,-0.019563-0.014015i,-0.027852+0.0036589i,-0.02512+0.018087i,0.005124-0.0024866i,0.012764-0.0074189i,-0.014266+0.0048582i
0.0035657-0.0061178i,0.011907-0.029463i,-0.011995-0.01848i,-0.0075528-0.016936i,-0.00758-0.017444i,-0.0088571-0.013914i,0.01691-0.0097316i,0.015198-0.014793i,-0.0039647-0.0074946i,0.0030061+0.0015466i,-0.00038571+0.00068253i,-0.0010983+8.1229e-05i,0.0015045-0.00010102i,0.0008082-0.00060648i,-0.00082293-0.0019644i,0.0034665-0.0041225i,-0.0030033-0.00073372i,-0.00064307+0.00026894i,0.00053431-0.00035481i,-0.00029883+0.0013013i,-0.00035964+0.0011743i,-0.0002051-0.00025211i,0.0010607+0.00093189i,-0.0044734+0.0013103i,-0.00010534+0.00014971i,-2.3026e-05+0.00013093i,-0.00039085+0.00016019i,9.9948e-05+0.00013273i,0.00021126+0.00011814i,0.00064971-0.00039337i,0.00051793+0.0001724i,0.00083345+0.00044926i,0.00024105+2.3813e-05i,0.00041337-0.00046383i,-1.0532e-05+0.00042681i,0.0065379+0.0030922i,0.00037574+1.4528e-05i,0.00067937+0.00062563i,0.00046471-0.00068442i,0.0005011-0.00053094i,-6.0614e-05+0.0010365i,0.00010329-0.00018228i,0.00036163-0.00082264i,-0.0015439+0.00015925i,-0.0059869-0.0089773i,-0.00071955+0.020842i,0.029728+0.0040061i,0.030514+0.0017312i,0.014667-0.017693i,0.02605+0.010746i,0.016102+0.03348i,0.020718+0.026626i,0.010437+0.041692i,-0.030105+0.010927i,0.0027196-0.0089093i,0.005222-0.0029647i,0.0076035-0.0035944i,0.010418+0.0052446i,0.0017348+0.0063478i,-0.0088472+0.0020693i,0.00023767-0.0077711i,0.0024777+0.011426i,-0.0027047-0.0036107i,-0.00016396+0.0021981i,-0.00037773+0.00025348i,0.0030073-0.0015854i,0.0045572-3.01e-06i,-0.0030961-0.00016154i,0.0033208+0.00011101i,-0.0054532-0.0029148i,-0.0020131-0.00099477i,-0.00027871+0.000114i,-0.0020428-0.0044387i,-0.0021437-0.0030144i,-0.0072416-0.015074i,0.0034292+0.00017066i,-0.0043949-0.0013835i,-0.0029142+0.001584i,-0.0061738+0.00060658i,0.004105+0.0025514i,-0.0068701-0.0045519i,0.00013184-0.0061964i,-0.0023616-0.0023472i,-0.0047845-0.002392i,0.0072724-0.00026523i,0.002907+0.0018896i,0.0026762-0.0020157i,-0.00098189+0.0055384i,0.0039244+0.0029164i,0.0090532+0.011453i,-0.025146-0.0056823i,-0.030835+0.009069i,-0.020074+0.021695i,0.0031353-0.00061487i,0.0085002-0.0063638i,-0.014522+0.0067832i
