-0.023168-0.03972i,-0.0093092-0.050416i,-0.018238-0.046372i,-0.031672-0.035682i,-0.029727-0.017517i,-0.051496-0.028932i,-0.061618-0.025452i,-0.045991-0.038947i,-0.029917-0.040166i,0.0076578+0.012503i,-0.0058502+0.015984i,-0.0049782+0.015402i,0.0098358+0.022025i,-0.00014138+0.0052598i,0.0037976+0.0034711i,0.0075165+0.018615i,0.027472+0.038245i,-0.0028901-0.0013652i,-0.0044559-0.0062095i,0.0071714+0.00099849i,-0.00029209-0.0010575i,-0.0010158+0.0012126i,0.00013543-0.00034471i,-0.032302-0.0014729i,-0.0015436-0.0058671i,0.0020186+0.0048098i,0.0041412+0.00034103i,-0.00033962+0.00062245i,0.00066821-0.0006029i,-0.00080552-0.0027238i,-0.001717-0.0063027i,-0.0052202-0.0048021i,-0.0021374-0.0051571i,0.0025059-0.0008535i,0.0020855-0.0028376i,0.0037258+0.026613i,0.0015639-0.0033093i,0.0025052+0.00070997i,0.0063349+0.00067431i,-0.011633-0.0034419i,-0.0032985+0.00055696i,0.0072927+0.0006029i,0.005539+0.00037439i,-0.0033291+0.0048774i,0.0021657-0.0091141i,-0.011091+0.016659i,0.034979-0.092403i,0.011962-0.071945i,-0.015636-0.060981i,-0.017603-0.056422i,0.035661-0.049812i,0.016199-0.06472i,0.034405-0.056762i,0.031516-0.060608i,0.014917-0.013352i,0.0045097+0.017301i,0.015638-0.026467i,-0.010518+0.0063201i,-0.00067657+0.0061236i,-0.0049251-0.00010614i,-0.0032202-0.027052i,-0.023799+0.032696i,0.010687-0.011372i,-0.012687-0.0030372i,-0.00015572-0.0051218i,-0.0015095-0.015697i,-0.0076453+0.0046576i,0.0053043+0.0060049i,-0.0076684+0.031434i,0.0054722+0.0056097i,-0.0046527-0.00047809i,-0.0032219-0.00020452i,-0.012511-0.0078191i,-0.00034734-0.0043193i,-0.0038181-0.0032878i,0.00016712-0.0095036i,-0.0097745-0.001097i,-0.0063586-0.0023329i,0.0070703+0.0032204i,-0.0076491+0.0012836i,1.5124e-05+0.00053395i,0.0062926+0.01102i,0.0038793+0.0016621i,-0.0094459-0.0095563i,0.0034508+0.0078969i,-0.021804+0.0058665i,0.0082866+0.00025373i,-0.029544-0.0029368i,-0.042203+0.0040706i,0.020057-0.098976i,-0.0021152-0.012587i,-0.055035-0.021102i,-0.024512+0.0014656i,0.018595+0.010692i,-0.024495+0.013237i,-0.018606-0.012341i
0.0075754+0.021894i,0.013146+0.053206i,0.025087+0.036392i,0.018231+0.028493i,0.025804+0.028371i,0.034723-0.015182i,0.019149-0.0083275i,0.030636+0.0070419i,0.012149+0.014594i,0.0029708+0.0042639i,0.0053148+0.0030533i,0.0042596+0.0034991i,0.0061839+0.0028859i,0.0050402+0.004084i,0.0032655-0.0035366i,0.0086002-0.0017696i,0.0091356-0.0046693i,-0.0017407-0.0013968i,-0.0031575+0.00093484i,2.3892e-05+0.0012877i,-0.0011719-0.00018163i,-0.0028694+0.0014156i,-0.0018694+0.0011075i,0.0049139+0.0078453i,0.0015531+0.00098408i,0.0023146+0.00071751i,0.0019606+0.0013376i,0.0011713+0.0015034i,0.00068527+0.00029976i,-0.00038853+0.00093652i,-0.0023603-0.0031879i,-0.00081798-0.00060523i,-0.0012218+0.00089406i,-0.0012692+0.00014141i,-0.00080382-0.0020446i,-0.0067677+0.0084499i,0.0014099+0.00039526i,0.0014353-0.00051398i,-0.0006556+0.0025652i,-0.00048054-0.0035293i,-0.0013534+0.00048953i,-0.0024303-0.00042058i,0.0025337+0.00055663i,0.0069246+0.004323i,-0.01548+0.035864i,-0.079962+0.036342i,-0.051415+0.041105i,-0.036138+0.061812i,-0.018969+0.073887i,-0.006663+0.051226i,0.014222+0.038905i,0.004781+0.0015678i,-0.037011+0.0117i,-0.04647+0.021302i,0.00014923+0.02411i,-0.0083555+0.002056i,-0.011067-0.00049473i,-0.013668-0.0020345i,0.0018899+0.00060043i,0.0065847+0.009622i,-0.0020057+0.008295i,-0.0066114-0.011713i,0.0053313-0.0072284i,-0.0067138-0.0066804i,0.0019372-0.0061101i,0.0033972-0.0043481i,-0.0017095+0.0099368i,0.0088819-0.0045925i,0.0046482-0.005202i,0.0028506-0.006102i,0.0030435-0.00015719i,-0.0010851-0.0044626i,-0.0037059-0.00071913i,0.0026932-0.00018112i,-0.013593+0.018168i,-0.0042801-0.0033584i,0.0018446+0.00034313i,-0.00039628-0.0068557i,0.0025874-0.0014948i,-0.015878-0.0038677i,0.00059914-8.5921e-05i,0.0060451-0.003181i,0.0027644-0.0009288i,4.9399e-05-0.0045745i,0.00021328+0.0056756i,-0.0016255+0.0061325i,-0.0026234+0.0040561i,-0.012607+0.0026325i,-0.015049-0.0018806i,-0.039298+0.057937i,0.00056007+0.0041433i,-0.024872-0.017293i,-0.0055109-0.0068351i,0.0096009+0.020027i,-0.0019071+0.022581i,-0.00031061-0.0012577i
0.010315+0.018169i,0.021521+0.048553i,0.030959+0.031779i,0.023458+0.026018i,0.031708+0.024075i,0.031068-0.021318i,0.016421-0.011966i,0.031475+0.0014019i,0.014269+0.011769i,0.0041487+0.003066i,0.0061531+0.0016894i,0.0041537+0.0033016i,0.0062839+0.001706i,0.005871+0.0027405i,0.0020823-0.0041207i,0.0071344-0.0033971i,0.0064541-0.0068956i,-0.0013834-0.0011631i,-0.0024844+0.0010266i,0.00070788+0.0005377i,-0.0014217-0.00021569i,-0.0025181+0.0020537i,-0.0014665+0.0011851i,0.008486+0.0049975i,0.0015395+0.0011185i,0.0027359-0.00035282i,0.0021375+0.00020268i,0.0016374+0.00084408i,0.00031514+0.00015569i,-0.00026068+0.0009651i,-0.0033333-0.0016995i,-0.0013498-0.00064674i,-0.000889+0.0011532i,-0.0010201+0.0005737i,-0.0016692-0.0007068i,-0.0039438+0.0093297i,0.0011553-0.00019046i,0.0011255-0.00078801i,0.00066413+0.0019721i,-0.0014985-0.0029963i,-0.0011676+0.00050291i,-0.0025682+0.00039189i,0.0020597+0.00055164i,0.0075457+0.003063i,-0.0085169+0.037679i,-0.068327+0.050173i,-0.046686+0.049673i,-0.025875+0.065546i,-0.0023916+0.071237i,0.0038509+0.049006i,0.017024+0.035985i,0.00011247-0.0031046i,-0.037336+0.013982i,-0.037734+0.023129i,0.0068692+0.022498i,-0.0090193+0.0046232i,-0.010195+0.005241i,-0.0131+0.0017605i,0.00092517-0.00076208i,0.0080219+0.0086767i,0.0019574+0.011081i,-0.01254-0.010121i,0.00073421-0.0075457i,-0.006289-0.0029347i,-0.0013027-0.0059914i,0.00095392-0.0055076i,0.0026047+0.0079354i,0.005327-0.0066764i,0.0013972-0.0061964i,0.00019232-0.0037523i,0.0039677-0.0011896i,-0.0023123-0.0038748i,-0.0013767+0.0014128i,0.0031021-0.00068021i,0.003555+0.022319i,-0.0050513-0.0027512i,0.0024202-0.0016039i,-0.0034163-0.0056895i,0.0029387-0.0021889i,-0.015034+0.0032789i,0.0010322+0.00044858i,0.0040363-0.0031768i,0.0028962-0.0021128i,-0.0014493-0.004478i,0.0020193+0.0024361i,0.0014725+0.005321i,-0.00012083+0.0050243i,-0.011224+0.0067542i,-0.016148+0.0013826i,-0.028644+0.05928i,0.0007965+0.0047539i,-0.028391-0.011968i,-0.0089331-0.010415i,0.012842+0.01905i,0.0025798+0.023982i,-0.0025617-0.0024694i
0.011699+0.015265i,0.028064+0.041999i,0.036486+0.024908i,0.029296+0.020886i,0.037575+0.01816i,0.026156-0.027006i,0.012852-0.015267i,0.031438-0.0046476i,0.016116+0.0089812i,0.0043969+0.0016227i,0.0058834-0.00036889i,0.0050878+0.0031188i,0.0062773+8.9573e-05i,0.0063112+0.00091154i,0.00080462-0.0042699i,0.0053783-0.0044595i,0.0039561-0.007496i,-0.0017242-0.0011232i,-0.0025481+0.0019641i,0.00045488-0.00058576i,-0.0019879-0.00014037i,-0.0017982+0.0025568i,-0.001311+0.0012504i,0.0089953+0.00038377i,0.0022332+0.00055881i,0.0019805-0.0015059i,0.0016926-0.0006389i,0.0020834+4.4545e-05i,0.00027348+0.00020403i,-0.00013303+0.0011952i,-0.0036889-0.00010092i,-0.0019628+0.00039312i,-0.00026466+0.0014568i,-0.00073211+0.00085112i,-0.0012907+0.00048247i,-0.0015462+0.0096806i,0.00083249-0.00039302i,0.00083102-0.0012501i,0.0011389+0.0013059i,-0.0023788-0.0022586i,-0.001079+0.00059584i,-0.0022296+0.0011515i,0.0020133+0.00085464i,0.0084315+0.0015932i,-0.00031997+0.037682i,-0.055632+0.060346i,-0.037995+0.057437i,-0.014288+0.066265i,0.011851+0.064246i,0.013275+0.046734i,0.015867+0.031293i,-0.0046112-0.0045211i,-0.037483+0.018608i,-0.030781+0.02219i,0.011898+0.017609i,-0.0084354+0.0070603i,-0.007798+0.0082199i,-0.012769+0.0050186i,-0.00088611-0.0022717i,0.0097645+0.006747i,0.0068499+0.010927i,-0.016826-0.005721i,-0.001449-0.005089i,-0.0052361-0.00023773i,-0.0031092-0.0040197i,-0.0013608-0.0045776i,0.0050695+0.0068017i,0.003197-0.0066298i,-0.0027962-0.0052488i,0.00021195-0.0017973i,0.003633-0.0037093i,-0.0042688-0.0027792i,-7.1836e-07+0.00091743i,0.0024607-0.0015183i,0.011454+0.016848i,-0.0065123-0.00098874i,0.0021446-0.0027884i,-0.0035442-0.0037404i,0.0032024-0.0037038i,-0.010444+0.0085551i,0.0021867+0.00029695i,0.0023565-0.0039678i,0.0018084-0.0025685i,-0.002482-0.0031888i,0.0011806+0.0015526i,0.0035719+0.0035076i,0.0022676+0.0047187i,-0.0089615+0.0090829i,-0.016421+0.0060716i,-0.019614+0.05912i,0.0041198+0.0047402i,-0.03028-0.006507i,-0.012881-0.012124i,0.016958+0.01502i,0.0083315+0.024924i,-0.0048207-0.0018123i
0.012511+0.012958i,0.031797+0.035932i,0.039266+0.017104i,0.032807+0.013193i,0.041707+0.009764i,0.019748-0.031069i,0.0085626-0.017133i,0.029602-0.010866i,0.017537+0.0056561i,0.0040659+0.00075457i,0.0049007-0.0010636i,0.0060544+0.0020452i,0.005431-0.0010323i,0.0059054-0.00079681i,-0.0005339-0.0040389i,0.0036202-0.0046971i,0.001297-0.0075061i,-0.0017588-0.00050097i,-0.0017294+0.002322i,-0.00044209-0.00092937i,-0.0022491+0.00074618i,-0.0010888+0.0030475i,-0.0011302+0.0015157i,0.007375-0.0028438i,0.0020841-0.00034736i,0.0010975-0.0016405i,0.0011875-0.00094905i,0.0015068-0.0011095i,0.00034449+2.5556e-05i,0.0001535+0.0013593i,-0.0033837+0.0016765i,-0.0013827+0.0013738i,0.0003665+0.001225i,-0.00035387+0.00099901i,-0.00072051+0.0011269i,0.0018435+0.0097041i,0.00063677-0.00064328i,8.8453e-05-0.0016073i,0.0011662+0.0010531i,-0.0028617-0.0012443i,-0.00098725+0.00082624i,-0.0017271+0.0016286i,0.0024116+0.00092004i,0.0091169-0.00052917i,0.0069982+0.034879i,-0.040816+0.067496i,-0.028556+0.062986i,-0.0051427+0.065375i,0.024172+0.053536i,0.022814+0.040767i,0.014769+0.028707i,-0.01049-0.0033638i,-0.036345+0.025186i,-0.026224+0.019832i,0.014585+0.011803i,-0.0065067+0.01011i,-0.0045564+0.01166i,-0.010756+0.0078378i,-0.0043256-0.0011982i,0.011653+0.0033361i,0.011362+0.0081468i,-0.019419+0.00017721i,-0.0023619-0.003584i,-0.0034097+0.00098561i,-0.0037206-0.0016056i,-0.002793-0.0032894i,0.007141+0.0034154i,0.001283-0.0065476i,-0.0045042-0.00033025i,0.0011766-0.00091779i,0.0016157-0.0054544i,-0.0040967-0.00072522i,0.00095149+0.00079981i,0.0021952-0.0020401i,0.01782+0.009801i,-0.0064061+0.0021106i,0.0016097-0.0042855i,-0.0033642-0.0021689i,0.0016132-0.0059703i,-0.004824+0.0098633i,0.0030112-0.00074719i,0.00077771-0.0031047i,0.0012019-0.0025677i,-0.0023038-0.001661i,0.00059356+0.0014852i,0.0039415+0.00094199i,0.0039048+0.0039368i,-0.0061164+0.010449i,-0.014876+0.01065i,-0.011654+0.059517i,0.01032+0.00072808i,-0.029621-0.00067227i,-0.01871-0.011976i,0.017875+0.0098879i,0.015349+0.023117i,-0.0049897-0.00090935i
0.013874+0.011171i,0.03557+0.031019i,0.040695+0.0098563i,0.033936+0.0055721i,0.043127+0.00079457i,0.013306-0.033511i,0.0044186-0.017327i,0.026573-0.016169i,0.018326+0.0021142i,0.0037192+0.00014947i,0.0043548-0.001478i,0.0066839+0.00063669i,0.0048831-0.0014597i,0.0049854-0.0021403i,-0.0016813-0.0032131i,0.0021748-0.0043168i,-0.00057677-0.0064134i,-0.0019527+3.0791e-05i,-0.0010615+0.0020995i,-0.0012138-0.00066135i,-0.0019766+0.0014626i,0.0001528+0.0032878i,-0.00084123+0.0019118i,0.0051168-0.0049196i,0.0015533-0.00083867i,0.00050251-0.0017156i,0.00077715-0.0010967i,0.000398-0.0010294i,0.00020543-1.0264e-05i,0.00087398+0.001266i,-0.0020809+0.0028846i,-0.00060384+0.0017744i,0.0007756+0.0008084i,0.00012649+0.0012561i,7.126e-05+0.0013982i,0.0052578+0.007887i,0.00023478-0.00064868i,-0.00061271-0.0013263i,0.0017019+0.00061958i,-0.0030013-0.00017337i,-0.00070702+0.00085346i,-0.0011525+0.0018547i,0.0029435+0.00056641i,0.0081641-0.003068i,0.012367+0.030338i,-0.024462+0.070497i,-0.016686+0.067303i,0.0043003+0.064543i,0.030269+0.040604i,0.028976+0.033223i,0.014957+0.029218i,-0.014311+0.0025157i,-0.032595+0.034309i,-0.024942+0.017853i,0.013953+0.0064725i,-0.0029397+0.012225i,0.00077966+0.012021i,-0.0081638+0.010103i,-0.005345+0.0019895i,0.011784-0.0017948i,0.014193+0.0033453i,-0.019809+0.0066261i,-0.0025849-0.0015946i,-0.0023831+0.0014074i,-0.0026024+3.1363e-05i,-0.0040822-0.0010321i,0.0067799+0.00057019i,-0.00048511-0.0062375i,-0.0035348+0.0026843i,0.0024463-0.0015911i,-0.00090051-0.0059347i,-0.003384+0.00084572i,0.0019576+3.5866e-05i,0.0017265-0.002416i,0.018778+0.0011709i,-0.0041848+0.0043794i,0.00017804-0.0052802i,-0.0025171-0.0016365i,-0.00073226-0.0065866i,-0.0007475+0.0090122i,0.0028997-0.0024993i,0.0007556-0.0014484i,0.0010766-0.0025888i,-0.0010447-0.0012986i,0.0011213+0.001791i,0.0022553-0.00057841i,0.0045647+0.0021351i,-0.0034136+0.010223i,-0.011013+0.015128i,-0.0028497+0.059028i,0.012099-0.0098554i,-0.026175+0.0019087i,-0.023999-0.0091247i,0.018001+0.0053386i,0.020568+0.016651i,-0.0059994-0.001332i
0.015444+0.0086982i,0.039455+0.025378i,0.041578+0.0024902i,0.033745-0.0021148i,0.042975-0.0079008i,0.0066018-0.034906i,0.0014242-0.016712i,0.022893-0.020614i,0.018695-0.0019894i,0.0031043-0.00033757i,0.0042149-0.001908i,0.0069298-0.0009148i,0.0050497-0.0020453i,0.0038924-0.0030417i,-0.0023325-0.0023036i,0.0014264-0.0035738i,-0.0014863-0.005822i,-0.0016381+0.00043006i,-0.00046944+0.0020276i,-0.0016377-0.00014181i,-0.001338+0.0019655i,0.0014928+0.002763i,-0.00024133+0.0021943i,0.0022173-0.0058662i,0.0012852-0.0010703i,-0.00012057-0.0017044i,0.00030632-0.0012828i,0.00037517-0.0010288i,9.0052e-05+9.0586e-05i,0.0013091+0.00065463i,-0.00063663+0.0033011i,0.00010541+0.0018293i,0.00090675+0.00051497i,0.00072406+0.0010881i,0.00064659+0.00081876i,0.006799+0.0049302i,6.8873e-05-0.00048745i,-0.00094822-0.00087371i,0.0014716-7.8468e-05i,-0.0026892+0.00051086i,-0.00053922+0.0009608i,-0.00063379+0.0017546i,0.0033357+9.4417e-05i,0.0067028-0.0047495i,0.016229+0.025599i,-0.0097089+0.0691i,-0.0029922+0.067535i,0.014056+0.062174i,0.032535+0.02854i,0.032728+0.025425i,0.017956+0.030478i,-0.013475+0.010422i,-0.024261+0.04339i,-0.025657+0.018619i,0.012377+0.0032304i,0.0011986+0.012159i,0.0046823+0.010167i,-0.0053717+0.011938i,-0.0043979+0.0042459i,0.0091142-0.0071458i,0.014203-0.0023529i,-0.017005+0.012553i,-0.0016941-0.00063076i,-0.0013019+0.0012074i,-0.0017016+0.00031971i,-0.0032531+0.0016847i,0.0054232-0.0011299i,-0.0017632-0.0050104i,-9.8594e-05+0.0041486i,0.0022999-0.0032566i,-0.003105-0.0045599i,-0.0027413+0.0017386i,0.0021621-0.0011389i,0.0016238-0.0027108i,0.016769-0.0059159i,-0.0015556+0.0050745i,-0.0017888-0.0052061i,-0.0024233-0.0013562i,-0.0031108-0.0058875i,0.0018398+0.007505i,0.0020865-0.0034558i,0.0019637-0.0015687i,0.00069756-0.0032394i,-0.00046288-0.0022999i,0.0012565+0.0015059i,0.00084072+0.00016104i,0.004425+0.0010852i,-0.00201+0.00967i,-0.0052417+0.017303i,0.0058733+0.056607i,0.0063162-0.018675i,-0.024655+0.00066008i,-0.028502-0.0029697i,0.016186-0.0003321i,0.021696+0.010153i,-0.0072223-0.00013264i
0.016885+0.005943i,0.042269+0.018757i,0.040447-0.0059692i,0.031112-0.010098i,0.041123-0.017151i,-0.0002732-0.034654i,-0.00076789-0.016086i,0.018433-0.024466i,0.01777-0.0060874i,0.0026586-1.1675e-05i,0.0035713-0.0025399i,0.0066586-0.0030226i,0.004774-0.0033289i,0.0026393-0.0036136i,-0.0026591-0.0012339i,0.0012057-0.0031511i,-0.0025587-0.0051762i,-0.0017457+0.00091172i,0.00025703+0.0018045i,-0.0020253+0.00056154i,-0.00087935+0.0021248i,0.0022787+0.0016999i,0.00036383+0.0021895i,-0.00092116-0.0053999i,0.00070253-0.0019026i,-0.00073984-0.0012152i,-0.00024886-0.0012726i,-0.00020648-0.00096994i,0.00027837+0.00014954i,0.0011875+2.0125e-05i,0.00092456+0.0030074i,0.00077482+0.0016614i,0.00089811+0.00022668i,0.0011106+0.00064364i,0.0006225+7.4988e-05i,0.0070316+0.0034982i,-0.00014843-0.00043481i,-0.0012469-0.00047056i,0.0012586-0.00026642i,-0.0020617+0.00094281i,-0.00034248+0.0011285i,-1.7899e-05+0.0016733i,0.0036459-0.00092696i,0.0047009-0.00563i,0.018608+0.020779i,0.0030615+0.065465i,0.0090776+0.063419i,0.023729+0.058164i,0.031305+0.018425i,0.03457+0.018303i,0.0233+0.029798i,-0.0070928+0.015855i,-0.010863+0.048429i,-0.025269+0.022306i,0.01059+0.0012632i,0.0045153+0.010457i,0.0069561+0.0070096i,-0.0019498+0.012814i,-0.0036013+0.005685i,0.0031079-0.009528i,0.011149-0.0071496i,-0.012512+0.016476i,-0.00082255-0.001152i,-0.00097502+0.00054283i,-0.0013686+0.00031272i,-0.00091874+0.0028902i,0.0042498-0.0012957i,-0.0024042-0.0041044i,0.0025673+0.0034634i,0.0010352-0.0048225i,-0.0043013-0.0028558i,-0.0014029+0.0022687i,0.0015317-0.0024266i,0.0011479-0.0036747i,0.01157-0.011032i,0.00047581+0.0047217i,-0.0031963-0.0040967i,-0.0022299-0.0012904i,-0.004751-0.0046675i,0.0034577+0.0056729i,0.001282-0.0048502i,0.0025122-0.002742i,-0.00033904-0.0034805i,-0.0013558-0.0030618i,0.0029208+0.0025209i,0.00087477+0.0017334i,0.0045703-2.4703e-05i,-0.00073927+0.0094546i,-0.00019609+0.016729i,0.013809+0.053894i,-0.002244-0.023982i,-0.026987-0.00063463i,-0.029546+0.0046565i,0.0107-0.0039189i,0.022243+0.0047037i,-0.0064807+0.00061988i
0.018001+0.002251i,0.044509+0.012651i,0.037004-0.013111i,0.025809-0.016i,0.036415-0.02567i,-0.0062581-0.032701i,-0.0024786-0.015535i,0.013342-0.027117i,0.016209-0.0098009i,0.0030804+0.00041433i,0.0031143-0.0026072i,0.0051548-0.0049014i,0.0039801-0.0043173i,0.0015271-0.0036521i,-0.0024794-0.00022061i,0.0010268-0.0027771i,-0.0043154-0.0039632i,-0.0014289+0.0016036i,0.00069218+0.0011953i,-0.0017928+0.0017692i,-0.00029949+0.0024317i,0.0023427+0.00045834i,0.00092374+0.0020882i,-0.0030435-0.0033915i,-0.00072826-0.0017834i,-0.00093424-0.00064914i,-0.00067888-0.00097903i,-0.00060395-0.00054553i,0.00029923-8.3274e-05i,0.00096609-0.00040189i,0.0021318+0.0021122i,0.0013139+0.001141i,0.00089772-9.011e-06i,0.0011094-0.00016018i,0.00015358+8.6286e-05i,0.0076303+0.0020873i,-0.0002422-0.00020738i,-0.0014135+0.00011895i,0.0010899-0.00054763i,-0.0013837+0.0011114i,-1.7132e-05+0.001312i,0.00040272+0.0013808i,0.00314-0.0022043i,0.0027839-0.0056696i,0.020023+0.016207i,0.014195+0.059315i,0.017999+0.057815i,0.032611+0.052568i,0.028652+0.011219i,0.034886+0.011698i,0.028439+0.026437i,0.00011043+0.016404i,0.003748+0.047561i,-0.022293+0.026874i,0.0097527+0.00021316i,0.0070166+0.008019i,0.0074749+0.0041242i,0.0020485+0.012607i,-0.0021338+0.007394i,-0.0025625-0.0080269i,0.0069092-0.0094015i,-0.0072468+0.018414i,-0.001219-0.0024315i,-0.0015022+0.00056036i,-0.0012522+0.00056063i,0.0015534+0.0026139i,0.0036385-0.0016505i,-0.0031962-0.0033286i,0.004155+0.0016156i,-0.0015146-0.0054973i,-0.0044117-0.00084549i,-8.4004e-06+0.0015572i,0.0010889-0.0031654i,1.9478e-05-0.0047192i,0.005896-0.013007i,0.0021776+0.0038269i,-0.0040048-0.0032485i,-0.0030177-0.001231i,-0.0062396-0.0027627i,0.0038824+0.0041558i,-0.00055604-0.0061014i,0.0025816-0.0043762i,-0.0011329-0.0029088i,-0.0022284-0.0029645i,0.003783+0.0015345i,0.0017935+0.002276i,0.0033335-0.0016351i,0.00055823+0.0094139i,0.0041013+0.014504i,0.022189+0.050274i,-0.013254-0.025378i,-0.030855+0.0011673i,-0.02753+0.012791i,0.0061921-0.0031458i,0.020825-0.001569i,-0.0058574-0.0009274i
0.018004-0.0020783i,0.046512+0.0052652i,0.032989-0.018586i,0.020472-0.01902i,0.03016-0.032255i,-0.010976-0.030187i,-0.0038963-0.015422i,0.0083926-0.028675i,0.014025-0.013365i,0.0039198-1.5601e-05i,0.0031368-0.0031113i,0.0032695-0.0056479i,0.0027554-0.0055004i,0.00063544-0.0035328i,-0.002028+0.00040884i,0.0010739-0.0024317i,-0.0050211-0.0017925i,-0.0007996+0.0015851i,0.0005877+0.00056725i,-0.0009367+0.0023959i,0.00042403+0.0023637i,0.0020122-0.00041628i,0.001519+0.0017152i,-0.0037073-0.00084757i,-0.0012976-0.00095505i,-0.00092114-0.0002926i,-0.00093709-0.00068344i,-0.00066133-8.2054e-06i,6.64e-05-2.553e-05i,0.00063616-0.00070174i,0.0029287+0.00087597i,0.0015069+0.0007111i,0.00090878-0.00020488i,0.0011382-1.3602e-05i,0.00015369+0.00042758i,0.0063595-5.5818e-05i,-0.00024451+7.6777e-05i,-0.0013127+0.00071368i,0.00077566-0.00091074i,-0.00072564+0.0012615i,0.00048764+0.001199i,0.00063727+0.0010781i,0.0021533-0.0029443i,0.0011424-0.0050869i,0.02067+0.011656i,0.021725+0.051189i,0.025042+0.052342i,0.040324+0.044453i,0.025471+0.0057263i,0.034134+0.0072057i,0.033038+0.021921i,0.006187+0.014928i,0.015532+0.0418i,-0.017611+0.031004i,0.0092144-0.0012892i,0.0085433+0.0046039i,0.0078292+0.0017626i,0.0055963+0.010487i,0.00057049+0.0078553i,-0.0058073-0.0045897i,0.0023266-0.0099062i,-0.001734+0.017989i,-0.0027361-0.0023748i,-0.0025015+0.0018542i,-0.00099959+0.00078984i,0.0031846+0.0014082i,0.0030247-0.0010207i,-0.0037157-0.0019297i,0.0044671-0.00044243i,-0.0036735-0.0043019i,-0.003222+0.0010983i,0.00016569+0.00053274i,0.00027237-0.0039802i,-0.0018252-0.0047424i,0.00088477-0.012698i,0.0035203+0.0021889i,-0.0051729-0.001875i,-0.0036068-7.8043e-05i,-0.0062007-0.00016238i,0.0044632+0.003483i,-0.0031941-0.00618i,0.001895-0.0063863i,-0.0015558-0.0025075i,-0.0029671-0.0028482i,0.0046017+0.00090887i,0.0026471+0.0021938i,0.0020164-0.0011641i,0.0017883+0.0091792i,0.006806+0.011183i,0.030514+0.044556i,-0.02426-0.021674i,-0.033847+0.0048775i,-0.021272+0.017691i,0.0043113-0.0016519i,0.015625-0.0066745i,-0.0082773-0.0017451i
0.016542-0.0061052i,0.046929-0.0031125i,0.028776-0.02334i,0.015968-0.020791i,0.023118-0.037433i,-0.015435-0.027526i,-0.0057081-0.016061i,0.0033826-0.029588i,0.01098-0.016345i,0.0044133-0.00099817i,0.0028649-0.0040488i,0.0014987-0.0057518i,0.00089063-0.0061287i,-0.00011821-0.0033752i,-0.0016372+0.00064735i,0.0013678-0.0024929i,-0.0047582-3.8251e-05i,-0.00049455+0.0012798i,0.00049671+0.00036972i,-8.7319e-05+0.0025346i,0.0011008+0.0021965i,0.0014935-0.00084911i,0.0019634+0.0010336i,-0.0028901+0.0016091i,-0.0012507-0.00018719i,-0.00084433+0.0001433i,-0.001181-0.00045939i,-0.00051492+0.00017539i,8.1357e-05+6.0898e-05i,5.0851e-05-0.00083415i,0.0030387-0.00060556i,0.0016663+0.00035677i,0.00077463-0.00050576i,0.0011627-0.00066605i,0.0004676+0.00061689i,0.0037161-0.002776i,-3.1292e-05+0.00011926i,-0.00094887+0.0013174i,0.00010083-0.00082896i,0.00010449+0.0010224i,0.00098579+0.00097458i,0.00065709+0.00086065i,0.00084695-0.0029898i,0.00017623-0.0039846i,0.020458+0.0081103i,0.025915+0.04444i,0.0316+0.046777i,0.045066+0.036203i,0.021732+0.0012751i,0.034872+0.003488i,0.036977+0.016363i,0.012198+0.011248i,0.024791+0.033418i,-0.01063+0.033754i,0.0084508-0.0029859i,0.007996-2.7305e-05i,0.0078833-0.001032i,0.0073559+0.0071445i,0.0023192+0.0070429i,-0.0072974-0.00015602i,-0.0014623-0.0082486i,0.002336+0.015237i,-0.0039333-0.00092982i,-0.0021679+0.0039479i,-0.00083574+0.0010625i,0.004038-0.00097038i,0.004094+0.00031736i,-0.0031411-0.00085613i,0.0042515-0.0014156i,-0.0048323-0.0026659i,-0.0016033+0.00096104i,-6.653e-05+0.00029035i,-0.0017647-0.0046923i,-0.0033227-0.0036326i,-0.0031601-0.01167i,0.0038351+0.00013142i,-0.0055621+3.598e-05i,-0.0029212+0.00098614i,-0.0053154+0.0016253i,0.0057733+0.0025957i,-0.0055423-0.0043274i,-0.00052287-0.0082725i,-0.0022696-0.0020099i,-0.004541-0.0023786i,0.0055078-0.00074178i,0.0042443+0.0025763i,0.0024871-0.00079252i,0.0035113+0.0090429i,0.0071282+0.0076617i,0.03762+0.036739i,-0.031163-0.012547i,-0.036662+0.010964i,-0.015471+0.020216i,0.0030045+2.8633e-05i,0.01068-0.0065864i,-0.0099842-0.0010195i
