-0.00070723-0.041906i,-0.00049171-0.046272i,-0.0078567-0.047672i,-0.03044-0.02329i,-0.022782+0.010842i,-0.036547-0.033707i,-0.064119-0.058361i,-0.019449-0.071151i,-0.024066-0.04399i,-0.00091498+0.016568i,-0.010022+0.012518i,-0.014432+0.013501i,0.003417+0.0138i,-0.0029905-0.0019888i,0.0017882+0.0058623i,0.00026334+0.033412i,0.019239+0.057099i,0.0014717-0.00039808i,-0.0030871-0.0094877i,0.0075973+0.0043035i,0.0015737+0.0014633i,-0.00046742+0.0032233i,2.6817e-06-0.00063382i,-0.037988-0.0098418i,-0.0025181-0.0075735i,-0.00096487+0.0044879i,0.0055284-0.00016395i,-8.7837e-05+0.0002729i,0.00062268-0.00084784i,0.00031663-0.002223i,-0.0015161-0.0058671i,-0.003161-0.006078i,-0.001002-0.007133i,0.0032703-0.00032219i,0.0032311-0.0014362i,-0.0021007+0.038989i,0.0066754-0.0039981i,0.0031972-0.00082726i,0.0052328-0.00038372i,-0.012554-0.0062624i,-0.00084705+0.00017258i,0.0098186-0.00041995i,0.0032581+0.0015614i,-0.0043838+0.0019597i,-0.00028867+0.0098983i,-0.0051459+0.017866i,0.026016-0.081951i,-0.00066318-0.052788i,-0.02313-0.041639i,-0.019813-0.037202i,0.063093-0.016423i,0.030715-0.058424i,0.039005-0.044604i,0.034008-0.052383i,0.019822-0.015847i,0.0074879+0.011446i,0.023905-0.034405i,-0.0081115-0.0049939i,0.0031788-0.0012128i,-0.0026803-0.0053704i,0.0050076-0.031908i,-0.025439+0.03069i,0.0083362-0.0099588i,-0.012668-0.0026457i,-0.0044731-0.0018063i,0.00016321-0.013914i,-0.010786+0.0053882i,0.0031538+0.006725i,-0.01425+0.030495i,0.0055075+0.0066918i,-0.005949-0.0018149i,-0.0012907-0.0025135i,-0.011828-0.0072201i,5.6175e-05-0.0035025i,-0.036447+0.0062009i,0.0017981-0.012444i,-0.0092874-0.0027479i,-0.0068807-0.0033698i,0.0060842+0.0017982i,-0.0090506+0.0022729i,-0.00014957+0.0017148i,0.0058152+0.010244i,0.0048926+0.00055645i,-0.0091824-0.009764i,0.0017886+0.0085249i,-0.020474+0.0053225i,0.0059477+0.0033589i,-0.028058-0.0086647i,-0.036007-0.0018843i,0.026388-0.077879i,0.014342-0.0090231i,-0.043023-0.028278i,-0.024891-0.0059623i,0.017335+0.012208i,-0.027263+0.010875i,-0.012024-0.0099052i
-0.016227+0.027421i,-0.00089134+0.057653i,0.031972+0.038508i,0.0036582+0.012492i,-0.002376+0.0051975i,0.031967-0.0062215i,0.010426+0.016327i,0.011542+0.049449i,0.0048934+0.018988i,-0.0041288+0.0073881i,0.00027616+0.001526i,0.0025014-0.0042579i,0.0024749-0.0023536i,0.0033078-0.001269i,0.0038286-0.0014175i,0.0066195+0.00036332i,0.01102-0.0067008i,-0.0013178-0.0001036i,-0.0045317+0.00078736i,0.00019057+0.0023039i,-0.001395-0.00016462i,-0.0045522-0.0012588i,-0.0024773+0.00050902i,0.0057187+0.0084176i,0.0024033+0.0025413i,0.0022902+0.0010865i,0.0017292+0.0015751i,-0.00099114+0.0033458i,8.1079e-05+0.0010769i,-0.00089067+0.0011717i,0.0010116-0.0036892i,-0.0011217-0.0016588i,-0.0009617-0.00053232i,0.00025459+0.00019098i,-0.00018171-0.0021192i,-0.0070736+0.013602i,0.002745-0.00019219i,0.00063886-0.00046753i,0.00020072+0.0028544i,-0.00011014-0.0041851i,-0.0016607-0.00038194i,-0.0027398-0.0022685i,0.00034565+0.0064965i,0.0042621+0.0026459i,-0.032043+0.011703i,-0.073817+0.01634i,-0.043724+0.039774i,-0.018954+0.034168i,-0.0024298+0.048111i,-0.0091539+0.030388i,0.010333+0.0086258i,-0.0076041-0.0083441i,-0.035946-0.0045746i,-0.043377+0.013655i,0.0086299+0.022307i,-0.0029296+0.0037719i,-0.0036978+0.0033302i,-0.0131-0.0027295i,0.0097981+0.0017106i,0.011731+0.015354i,-0.003761+0.0091494i,-0.0067878-0.01148i,0.0062701-0.0035907i,-0.0064156-0.0045018i,0.0035891-0.0081432i,0.0057836-0.0021109i,-0.00058351+0.0097934i,0.013403-0.0051553i,0.0079358-0.0072964i,0.0052464-0.0069595i,0.0034443-0.00090322i,-0.0027254-0.0070873i,-0.0040945-0.001835i,0.0022646-0.00094365i,-0.010772+0.037066i,-0.0062789-0.0050942i,0.0010548+0.0007419i,-0.00020232-0.0081101i,0.0035999-0.00095711i,-0.013929-0.0051469i,0.0011367-0.00046995i,0.0039284-0.0038366i,0.002466-0.0020351i,0.00015889-0.0056417i,-0.00039163+0.0063281i,-0.00023816+0.0040892i,-0.0034076+0.005352i,-0.011423-0.00095609i,-0.0093852+0.0018835i,-0.035113+0.038881i,-0.0083603+0.015903i,-0.02331-0.00572i,-0.00035825-0.00080394i,0.0099409+0.020436i,-0.0012415+0.020373i,-0.0058285-0.0008614i
-0.011954+0.026745i,0.0081578+0.054863i,0.038139+0.032527i,0.0063334+0.012733i,0.0013065+0.0060299i,0.030301-0.013177i,0.011595+0.01354i,0.019257+0.045943i,0.0079196+0.017604i,-0.0014762+0.0079317i,0.0013105+0.0016129i,0.00028176-0.0034274i,0.0014513-0.0023283i,0.0026999-0.0011075i,0.0032569-0.0020563i,0.0061451-0.00048587i,0.0077838-0.0087132i,-0.00057401+0.0003362i,-0.0045276+0.0010233i,0.0012218+0.0014198i,-0.0014527-9.2005e-05i,-0.0046548-0.00012507i,-0.0022957+0.00068272i,0.0095327+0.004746i,0.0025825+0.0026632i,0.0030687-1.2374e-05i,0.001963+0.00057545i,0.0003081+0.0033673i,-2.0999e-05+0.0012615i,-0.00049343+0.0015839i,-0.00067191-0.0034536i,-0.00188-0.0015693i,-0.0013009-0.00021448i,0.0003665-2.0403e-05i,-0.0010164-0.0007043i,-0.0019208+0.014423i,0.0019603-0.0012542i,0.00046273-0.0003574i,0.0013741+0.0020545i,-0.001078-0.0033631i,-0.0015136-0.00012714i,-0.0035935-0.0013129i,0.0016674+0.0064979i,0.0036755+0.0018872i,-0.028066+0.017376i,-0.066826+0.028319i,-0.039094+0.0475i,-0.011473+0.03586i,0.010624+0.043952i,-0.00061257+0.027862i,0.0054141+0.0018022i,-0.014666-0.011736i,-0.038543-0.0036618i,-0.034415+0.014771i,0.01395+0.017992i,-0.0028206+0.0044035i,-0.0021767+0.0065716i,-0.013026+0.0025035i,0.0081869-0.0020468i,0.015024+0.01179i,0.00086298+0.013492i,-0.012431-0.0092853i,0.0021098-0.004632i,-0.0059426-0.001167i,-0.0011044-0.0074453i,0.0040486-0.0043992i,0.003687+0.0072794i,0.0086994-0.0086212i,0.0027138-0.0088625i,0.0018762-0.0055483i,0.004229-0.0021023i,-0.0043765-0.0055626i,-0.0025124+0.00074695i,0.0029462-0.0012327i,0.008641+0.036024i,-0.0076527-0.0035737i,0.0018614-0.0010743i,-0.0038311-0.0070387i,0.0038949-0.0021558i,-0.013939+0.001484i,0.0013991-6.7302e-05i,0.0020328-0.0036137i,0.0025961-0.0032184i,-0.0011758-0.0055379i,0.0014153+0.0027976i,0.0014677+0.0033019i,-0.00045395+0.0063528i,-0.010414+0.002937i,-0.0091274+0.0036191i,-0.02714+0.039318i,-0.0061974+0.018913i,-0.024868-0.00046486i,-0.0013014-0.0052898i,0.012965+0.019436i,0.0031096+0.022055i,-0.0082566-0.0007415i
-0.0090335+0.026532i,0.015455+0.050403i,0.044112+0.024279i,0.010476+0.01045i,0.005986+0.0048375i,0.026798-0.019952i,0.011869+0.010606i,0.026535+0.040907i,0.011045+0.016123i,0.00047495+0.007788i,0.0016818+0.0006184i,-0.00037949-0.0017018i,0.00039359-0.0024963i,0.0025872-0.0014435i,0.0025682-0.0025136i,0.005538-0.0013266i,0.0047639-0.00964i,-0.00035201+8.0895e-05i,-0.0047103+0.0025572i,0.0013092+1.7228e-05i,-0.0019295-8.0118e-05i,-0.0041995+0.0011718i,-0.0023289+0.00092869i,0.009848-0.00054126i,0.004224+0.0015122i,0.0024794-0.0014673i,0.0018588-0.00018424i,0.0015694+0.0025809i,0.00043446+0.0014256i,-8.8641e-05+0.0017758i,-0.0019924-0.0024359i,-0.0027976-5.685e-05i,-0.0011709+0.00033512i,0.00015193-0.00028743i,-0.00064467+0.00039751i,0.0023098+0.013427i,0.001101-0.0013759i,0.00032222-0.00052124i,0.0017601+0.0011727i,-0.0020377-0.0026073i,-0.001492+2.7085e-05i,-0.0037118-2.9285e-05i,0.0033295+0.0066051i,0.0039648+0.0017612i,-0.022242+0.021097i,-0.058649+0.038561i,-0.030573+0.054799i,-0.0033569+0.03503i,0.021913+0.035422i,0.0068755+0.025587i,-0.0013478-0.00068358i,-0.02182-0.010612i,-0.041643+0.00068882i,-0.027786+0.012251i,0.016863+0.011688i,-0.0024934+0.0049412i,-0.00077065+0.0065384i,-0.011919+0.0065467i,0.0048156-0.0058839i,0.017743+0.0072601i,0.007125+0.013868i,-0.015875-0.0053094i,0.00044523-0.0027382i,-0.004969+0.0016097i,-0.0031776-0.0050324i,0.0016636-0.0050239i,0.0054971+0.0061944i,0.0052423-0.0093138i,-0.0024162-0.0071922i,0.0012786-0.0038736i,0.0035339-0.0047868i,-0.0065312-0.003644i,-0.00071318+0.0011316i,0.0019494-0.0025651i,0.023642+0.026056i,-0.008944-0.00067881i,0.001725-0.0021238i,-0.0041021-0.004611i,0.0042584-0.0039532i,-0.010095+0.0067924i,0.0026275-1.6812e-05i,0.00056467-0.0040464i,0.001202-0.0035671i,-0.0031306-0.0044245i,0.00027879+0.0019325i,0.0024842+0.0019707i,0.0027341+0.0061029i,-0.008681+0.0054292i,-0.0088187+0.0061125i,-0.021013+0.038608i,0.0015562+0.021018i,-0.024034+0.003623i,-0.0038522-0.0091477i,0.018093+0.016006i,0.0090016+0.023208i,-0.010312+0.0010629i
-0.0061238+0.026682i,0.020316+0.046199i,0.047038+0.014331i,0.012734+0.0058339i,0.0094576+0.00078285i,0.02119-0.025177i,0.011632+0.008665i,0.032025+0.034279i,0.014152+0.013476i,0.0021327+0.0076629i,0.0013314+0.00036549i,9.145e-05-0.00077303i,-0.0010274-0.0015891i,0.0019476-0.001526i,0.0017101-0.0029063i,0.0048768-0.0018236i,0.0014969-0.0093255i,3.3722e-05+0.00014994i,-0.0028733+0.0039789i,0.00053488-0.00071985i,-0.0021002+0.00083038i,-0.0034767+0.0024012i,-0.0022057+0.0015549i,0.0074363-0.004418i,0.0041347-0.00031083i,0.0013682-0.0018819i,0.0015231-0.00066725i,0.0019415+0.0015983i,0.0010884+0.00087682i,0.00040045+0.0020417i,-0.0026643-0.00081164i,-0.0021459+0.0013708i,-0.00085787+0.00063592i,-0.00019658-0.00029724i,-0.00015136+0.0006451i,0.0059837+0.0116i,0.00067435-0.0014093i,-1.3774e-05-0.00064335i,0.0018291+0.00067852i,-0.0026191-0.0018237i,-0.0015421+0.00041989i,-0.0034651+0.0010139i,0.0053856+0.0059337i,0.0044426+0.0015364i,-0.015682+0.021773i,-0.04773+0.046413i,-0.020796+0.059739i,0.002266+0.032191i,0.029927+0.022914i,0.01333+0.019195i,-0.0087003+0.0015376i,-0.02901-0.0058918i,-0.043431+0.0077947i,-0.024714+0.0079852i,0.017578+0.0050893i,-0.0017741+0.0062234i,0.00062119+0.0088037i,-0.0092638+0.010264i,-0.00089151-0.0055951i,0.019151+0.00015699i,0.013077+0.010974i,-0.018295-0.00022006i,-0.00014564-0.0020361i,-0.0027073+0.0029239i,-0.0041259-0.0020529i,-6.8127e-05-0.0045699i,0.0073937+0.0028733i,0.0022185-0.0094662i,-0.0050223-0.0024959i,0.0014137-0.0031199i,0.0010112-0.0064537i,-0.0070781-0.00014662i,0.00070494+0.0013998i,0.0009219-0.0027692i,0.030952+0.011163i,-0.0083985+0.0034057i,0.0013643-0.0035301i,-0.0043766-0.0028153i,0.0025919-0.0065999i,-0.0049769+0.0082348i,0.0038651-0.00155i,-0.00085506-0.0030086i,0.00027253-0.0033552i,-0.003367-0.0021998i,-0.00012552+0.0024721i,0.002576+0.00026217i,0.0057093+0.0045137i,-0.0067157+0.0068085i,-0.0078875+0.0087244i,-0.016075+0.039315i,0.012776+0.016738i,-0.021627+0.0080405i,-0.0096-0.011262i,0.020039+0.010404i,0.015689+0.021142i,-0.0093324+0.0028588i
-0.0025243+0.027017i,0.025452+0.043417i,0.04751+0.0051239i,0.013227+0.0011439i,0.010045-0.0043867i,0.015367-0.028577i,0.011727+0.0076918i,0.035807+0.027839i,0.016578+0.010127i,0.0038826+0.007082i,0.0011198+0.00059179i,0.00080292-0.00077199i,-0.00132+0.00011683i,0.0015029-0.0016501i,0.00080311-0.0027088i,0.0045571-0.0019823i,-0.00068382-0.007948i,-4.0074e-05+0.00018677i,-0.0013642+0.0039363i,-0.00028959-0.00079974i,-0.0017538+0.0014339i,-0.0021271+0.0031967i,-0.001677+0.0022111i,0.0041498-0.006204i,0.0032511-0.001681i,0.00068908-0.0020073i,0.0010579-0.0010705i,0.0018597+0.00085076i,0.001048+0.00028523i,0.0012876+0.0019176i,-0.0021462+0.00043247i,-0.0012479+0.0019771i,-0.00055696+0.00073151i,-0.00026907+0.00015625i,0.00043484+0.0008686i,0.008812+0.0087866i,0.00012773-0.0011538i,-0.00038776-0.00050079i,0.0021007+0.0003226i,-0.0027836-0.00097095i,-0.0012871+0.00056861i,-0.0030065+0.0020226i,0.0069749+0.0042241i,0.0044019+0.00023328i,-0.011903+0.020866i,-0.035566+0.050919i,-0.0082533+0.063012i,0.0072886+0.030142i,0.031294+0.009297i,0.015527+0.012286i,-0.012229+0.0086655i,-0.033417+0.0037825i,-0.044101+0.017537i,-0.026261+0.0047408i,0.014632-0.0007279i,0.00020009+0.0072342i,0.004844+0.0087064i,-0.0056946+0.012765i,-0.0033912-0.0022042i,0.016695-0.0081746i,0.017289+0.005733i,-0.018644+0.0057973i,-6.2087e-05-0.00053168i,-0.00084183+0.003048i,-0.0025157-0.00010324i,-0.0022923-0.0033507i,0.0067946+0.00064116i,-0.00061596-0.0084964i,-0.0039489+0.0014627i,0.0018117-0.0034315i,-0.001875-0.0065582i,-0.0050354+0.002435i,0.0023847+0.00028736i,0.00052592-0.0023887i,0.030475-0.0033395i,-0.0050905+0.0061669i,-6.1302e-05-0.0046373i,-0.0035375-0.0019389i,5.6591e-05-0.0074795i,-0.0014372+0.0074278i,0.0035472-0.0034051i,-0.0012117-0.0011827i,0.00010436-0.0027116i,-0.0020261-0.0011358i,0.00084136+0.0031599i,0.0015435-0.00089498i,0.0066197+0.0013886i,-0.0050424+0.0070947i,-0.0053447+0.011516i,-0.010363+0.039645i,0.018307+0.0039107i,-0.016802+0.0089457i,-0.016575-0.010197i,0.020847+0.005201i,0.020977+0.014691i,-0.0094007+0.002845i
0.0014245+0.026317i,0.031428+0.039693i,0.046933-0.003778i,0.012703-0.0036291i,0.0092534-0.0086005i,0.009093-0.030895i,0.012945+0.006973i,0.038641+0.021201i,0.018433+0.0057717i,0.0051648+0.0060319i,0.0017062+0.00072277i,0.0011439-0.0010705i,-0.00019264+0.0013485i,0.001179-0.0015008i,0.00026987-0.0024036i,0.0045845-0.0021149i,-0.0017669-0.0070148i,0.00051793+0.00010161i,-0.00028512+0.0037746i,-0.00085076-0.00049113i,-0.0010053+0.0016873i,-0.00058849+0.0031873i,-0.00087229+0.0025289i,0.00048658-0.006603i,0.002487-0.0024147i,-0.00013178-0.0020686i,0.00051198-0.0012338i,0.0018638+0.00038697i,0.00079778-4.2442e-07i,0.0018196+0.0010644i,-0.0015227+0.0011093i,-0.00026073+0.0021691i,-0.00027453+0.00092508i,8.6624e-06+0.00016019i,0.00080182+0.00018029i,0.0099994+0.0055195i,-0.00016558-0.00092685i,-0.00052025-0.00011101i,0.0017536-0.00047863i,-0.0025097-0.00036466i,-0.0013417+0.00076048i,-0.0021564+0.0025824i,0.0078342+0.0023619i,0.0040342-0.00021002i,-0.0092193+0.019811i,-0.024018+0.051849i,0.0053934+0.061162i,0.012322+0.027679i,0.028268-0.0021303i,0.01524+0.0069253i,-0.010221+0.016622i,-0.031982+0.015647i,-0.039396+0.030593i,-0.030012+0.0055789i,0.010423-0.0031407i,0.0025329+0.0068776i,0.0077119+0.0061947i,-0.0012738+0.01425i,-0.003719+0.00025712i,0.01011-0.014956i,0.018114-0.0018138i,-0.016437+0.010592i,0.0011816-0.0002199i,0.00042715+0.002196i,-0.0010254+6.4518e-05i,-0.0026891-0.0007981i,0.0055816-0.00077136i,-0.0023079-0.0067414i,-0.0011311+0.0036224i,0.0013856-0.0045553i,-0.0040435-0.0049549i,-0.0033166+0.0029016i,0.0025136-0.001636i,0.00084848-0.0023604i,0.024006-0.015162i,-0.0014128+0.0068575i,-0.0020392-0.0042732i,-0.0035039-0.0012334i,-0.0028007-0.007167i,0.00072381+0.0063144i,0.0027726-0.0047878i,-1.8587e-05-0.00047704i,2.8356e-06-0.0033932i,-0.00078094-0.0014532i,0.0016794+0.003413i,0.00021048-0.00047967i,0.005748-0.00050355i,-0.0040566+0.0069339i,-0.0012665+0.012723i,-0.0045079+0.039126i,0.014721-0.0076499i,-0.014409+0.0057261i,-0.023216-0.0048146i,0.018922-0.0016535i,0.022149+0.0076713i,-0.0098883+0.0043261i
0.0054493+0.025224i,0.036795+0.03448i,0.044158-0.013244i,0.0098652-0.0088321i,0.007322-0.012998i,0.0024022-0.031491i,0.014982+0.0051169i,0.040657+0.014247i,0.018612+0.0012446i,0.0060604+0.0053741i,0.0020491+0.00034601i,0.0012908-0.0020416i,0.00097661+0.001476i,0.00091735-0.0015383i,-8.4107e-05-0.0019685i,0.00464-0.0027808i,-0.0031956-0.0063486i,0.00021957-0.00044401i,0.0011064+0.0033248i,-0.001433+9.3988e-05i,-0.00073476+0.0015836i,0.00054341+0.0022744i,-0.00023073+0.0025858i,-0.0027819-0.0052171i,0.0011809-0.003643i,-0.00092873-0.00147i,-0.0002305-0.001208i,0.0017639-3.0231e-05i,0.00080626-0.0001474i,0.0018104+0.00017012i,-0.00060608+0.0014458i,0.00041718+0.0021956i,-3.8645e-05+0.0011139i,-3.2855e-05+0.00015727i,0.00026339-0.00056694i,0.010019+0.0026769i,-0.00050426-0.0005588i,-0.00054681+6.2363e-05i,0.0014599-0.00074319i,-0.0018809-7.1279e-05i,-0.0011714+0.0012058i,-0.001154+0.0030131i,0.0083373+8.6974e-05i,0.0036926-0.00065955i,-0.0071367+0.019171i,-0.013973+0.050827i,0.016683+0.055206i,0.01755+0.024502i,0.022184-0.010549i,0.013946+0.003444i,-0.0041749+0.021663i,-0.023584+0.0253i,-0.027215+0.040719i,-0.032815+0.010366i,0.0068772-0.0033916i,0.0043258+0.0055409i,0.008591+0.0026553i,0.0032835+0.013536i,-0.003694+0.0022398i,-0.00039763-0.016491i,0.014815-0.0081988i,-0.01356+0.014163i,0.0020635-0.0016307i,0.00093493+0.0012469i,-0.00078558-0.00065741i,-0.0011423+0.0008522i,0.0047423-0.0010605i,-0.0031792-0.0057242i,0.0017089+0.0035983i,9.8361e-05-0.0058061i,-0.0051751-0.0028627i,-0.0016753+0.0032238i,0.0014071-0.003214i,0.00063283-0.0033341i,0.01412-0.021465i,0.0014592+0.0061381i,-0.0030783-0.0032347i,-0.0030871-0.001129i,-0.0049172-0.0058937i,0.0019898+0.0049292i,0.0015984-0.006734i,0.00075668-0.00096863i,-0.0011106-0.0035465i,-0.001147-0.0022313i,0.003454+0.0034017i,-0.00015597+0.00073931i,0.0051229-0.0016434i,-0.0035878+0.0073953i,0.0023333+0.011544i,0.0017468+0.038374i,0.0075683-0.015532i,-0.016823+0.002618i,-0.025247+0.00382i,0.012873-0.0060202i,0.022167+0.0017399i,-0.0081315+0.0051802i
0.0095114+0.022724i,0.041898+0.029078i,0.038966-0.02098i,0.0045475-0.011802i,0.0034505-0.016496i,-0.0035741-0.030468i,0.017089+0.002125i,0.041121+0.0071063i,0.018167-0.00323i,0.0077302+0.0046303i,0.0023319+0.00017462i,0.00036816-0.0030455i,0.002038+0.0011556i,0.00071786-0.0013916i,-7.5285e-05-0.0017704i,0.0043356-0.0033949i,-0.0050751-0.0048553i,-6.9646e-05-0.0004691i,0.0021004+0.0020085i,-0.0013285+0.0012866i,-0.00037628+0.0018051i,0.00043849+0.00097265i,0.00042873+0.0026024i,-0.0047232-0.0024302i,-0.0013387-0.0032388i,-0.0011908-0.00077394i,-0.00070136-0.00078338i,0.0015375-0.0003605i,0.00065234-0.00064418i,0.001467-0.0003741i,0.00026562+0.001228i,0.0010884+0.0018064i,0.00042301+0.00131i,3.5959e-05+0.00031442i,-0.00044488-2.1167e-05i,0.0096117+8.381e-05i,-0.00053627-0.00011082i,-0.00045095+0.00032742i,0.0012162-0.00096467i,-0.0013961-0.0002022i,-0.00075775+0.0017099i,-0.00021096+0.002897i,0.0077602-0.0025149i,0.0031855-0.00087016i,-0.0049446+0.018886i,-0.0049487+0.047692i,0.024369+0.04782i,0.022715+0.019908i,0.015112-0.014879i,0.012439+0.0013944i,0.0028674+0.023483i,-0.013126+0.028769i,-0.011827+0.044632i,-0.032493+0.017397i,0.0052664-0.0025208i,0.0056389+0.0036132i,0.0079228-6.4676e-05i,0.0075005+0.011011i,-0.0027835+0.0046619i,-0.0091448-0.011808i,0.0095988-0.011714i,-0.0098683+0.017227i,0.0012462-0.0032627i,0.00080463+0.00063305i,-0.0012397-0.00068904i,0.0010219+0.0013423i,0.0043469-0.0015776i,-0.0045063-0.0043425i,0.0037982+0.0018173i,-0.0026614-0.0062043i,-0.0051591-0.00061233i,0.00010444+0.0023368i,0.00045353-0.0041081i,-0.00021882-0.0041762i,0.0041163-0.022547i,0.0035034+0.0045258i,-0.0036778-0.0024606i,-0.0038829-0.0010801i,-0.0066557-0.0036795i,0.0021344+0.0040065i,-0.0011518-0.0082415i,0.0011715-0.0017544i,-0.0018124-0.0027634i,-0.0016067-0.0025078i,0.0045648+0.0023921i,0.00044224+0.0016839i,0.0035866-0.0025837i,-0.0028574+0.0081253i,0.0048539+0.0093639i,0.0087169+0.036873i,-0.0031462-0.020186i,-0.020841+0.0029663i,-0.022401+0.011997i,0.0069863-0.0055979i,0.019631-0.0051063i,-0.0063321+0.0037029i
0.012507+0.019016i,0.04658+0.021829i,0.033136-0.026403i,-7.2426e-05-0.01137i,-0.0012001-0.018353i,-0.008409-0.028782i,0.018394-0.0023517i,0.040657+0.00053872i,0.016545-0.0072953i,0.0093241+0.0025901i,0.0030215-0.00039338i,-0.00090694-0.0028623i,0.00273-7.2359e-05i,0.00070592-0.0014405i,-0.00024016-0.0017755i,0.0041167-0.0037949i,-0.0055539-0.0026201i,-0.00026291-0.0008893i,0.0019848+0.00068149i,-0.00049984+0.0018472i,9.9447e-05+0.0017647i,-2.2352e-05+0.00052759i,0.0011725+0.0023138i,-0.0051956+0.00090399i,-0.0023888-0.0014123i,-0.0012117-0.00019418i,-0.0008282-0.00041504i,0.0012758-0.00065042i,4.8469e-05-0.00045609i,0.001032-0.00091548i,0.00093409+0.0006817i,0.0014037+0.0013729i,0.0010894+0.0010499i,0.00041192+0.00043863i,-0.00026437+0.00076644i,0.0084528-0.0020423i,-0.00054137+0.00031586i,-0.00018657+0.0005715i,0.00085181-0.0013579i,-0.0011373-0.00041702i,-2.7893e-06+0.0018478i,0.00054037+0.0025902i,0.0060486-0.0045988i,0.0026531-0.00097308i,-0.0032009+0.018648i,0.0014887+0.043185i,0.029748+0.040826i,0.026088+0.013347i,0.0090628-0.016366i,0.011777+0.0014903i,0.010291+0.023088i,-0.0037546+0.029695i,0.0022593+0.042572i,-0.028823+0.024828i,0.0047986-0.0026061i,0.0061338+0.00094509i,0.0073751-0.0023525i,0.010295+0.0070231i,-0.0003176+0.0051997i,-0.013242-0.004559i,0.0041152-0.012892i,-0.0045915+0.01854i,-0.00053722-0.0037249i,0.00013161+0.00078337i,-0.0015915-0.00024327i,0.0024525+0.00016965i,0.0039766-0.0013201i,-0.0050353-0.0023542i,0.0039045-0.00026293i,-0.0050483-0.0043662i,-0.0038241+0.00091598i,0.00054762+0.00086062i,-0.00066912-0.0047269i,-0.0016361-0.0043106i,-0.0040195-0.020013i,0.0049586+0.0020657i,-0.0046863-0.0012371i,-0.0043546+0.0006366i,-0.0069875-0.000792i,0.0027465+0.0038083i,-0.0051247-0.0081051i,0.00097344-0.0030629i,-0.0021653-0.002385i,-0.0023-0.0031557i,0.0056507+0.0014214i,0.001416+0.0020285i,0.002159-0.0020029i,-0.0017589+0.0085166i,0.0063039+0.0068436i,0.016004+0.03278i,-0.015094-0.018537i,-0.024453+0.0055753i,-0.016477+0.015995i,0.0041537-0.0040859i,0.014123-0.0092407i,-0.0078035+0.0025929i
0.013752+0.015352i,0.049636+0.01328i,0.027396-0.030719i,-0.0028721-0.0099746i,-0.0059885-0.018648i,-0.013246-0.026847i,0.018046-0.007983i,0.039447-0.0060737i,0.013849-0.010868i,0.010047+4.561e-05i,0.003454-0.0016539i,-0.0018188-0.00204i,0.0023373-0.0013196i,0.00057454-0.0015114i,-0.00069159-0.0018376i,0.00397-0.0044707i,-0.0052118-0.00088173i,-0.00092548-0.0011617i,0.0016499+4.8137e-06i,0.00032364+0.0019475i,0.00043091+0.0017632i,-0.0003772+0.00061126i,0.0016127+0.0017292i,-0.0036453+0.003903i,-0.0020342+0.00016441i,-0.0010615+0.00047593i,-0.00084172-0.0001248i,0.00083788-0.00077821i,-9.7286e-05-0.00011341i,0.00035226-0.0010523i,0.0011886+1.4019e-05i,0.0018758+0.0010126i,0.001376+0.00055025i,0.00063394+6.3344e-05i,0.00048818+0.0010342i,0.0070153-0.0036043i,-0.00019809+0.00056078i,0.00013146+0.00066537i,-3.4786e-05-0.0014164i,-0.00087709-0.00058555i,0.00055724+0.0018153i,0.0010927+0.0021552i,0.0038538-0.0054484i,0.0024593-6.6313e-05i,-0.0012901+0.018642i,0.0056247+0.039686i,0.034118+0.033827i,0.02705+0.0077582i,0.0037602-0.01725i,0.013789+0.0016737i,0.017137+0.019522i,0.0065683+0.027524i,0.015134+0.035643i,-0.021139+0.030533i,0.0041423-0.0030231i,0.0049538-0.0024933i,0.0062253-0.0046889i,0.010497+0.0022178i,0.00078893+0.0044193i,-0.013738+0.0035639i,-0.0011863-0.011864i,-0.00024379+0.016884i,-0.0023189-0.002912i,-0.00010585+0.0017019i,-0.0015696+0.00042078i,0.0033372-0.0014605i,0.0048149-0.00089921i,-0.0041289-0.00083832i,0.0035841-0.00076685i,-0.0059323-0.0021417i,-0.0024831+0.0013197i,0.00015024+0.00024746i,-0.0030282-0.0049405i,-0.0030062-0.0034436i,-0.010364-0.016021i,0.0049132-0.00080031i,-0.004996+0.00055116i,-0.0032445+0.0020018i,-0.0062927+0.001444i,0.0039447+0.0034196i,-0.0082635-0.0054104i,-0.00037328-0.0043861i,-0.0028727-0.0016757i,-0.0040631-0.0029587i,0.0067494-0.00088589i,0.0025508+0.0021633i,0.0023062-0.0016152i,0.00013059+0.0091326i,0.0063425+0.0041927i,0.021992+0.026647i,-0.022116-0.010181i,-0.027195+0.010915i,-0.010467+0.01779i,0.0021243-0.0020049i,0.0091134-0.0093193i,-0.008498+0.0028692i
