-0.030334-0.042223i,-0.021968-0.02113i,-0.013856-0.036967i,-0.030196-0.021305i,-0.023006-0.00097978i,-0.014347-0.0059588i,-0.05611-0.05921i,-0.049113-0.018052i,-0.037838-0.01226i,0.011867+0.011899i,-0.0082336+0.0053442i,-0.019635+0.019325i,0.0023658+0.011952i,-0.005732-0.0022469i,0.00030865+0.0013079i,-0.0017895+0.031401i,0.024848+0.025752i,0.0026751-0.0025098i,-0.0026197-0.0069662i,0.0081058+0.0031957i,0.0026535+0.0010174i,-0.00069347+0.0042189i,-0.00034799+0.00020292i,-0.034794-0.011477i,-0.00068094-0.0083983i,0.0013559+0.0022971i,0.0067201+0.0012945i,0.0021633+0.00062961i,0.0012302-0.00042178i,-0.0005058-0.0028368i,0.0015081-0.0025432i,-0.0024749-0.0061875i,-0.001089-0.0048792i,0.0031104-0.00071468i,0.0048367-0.0031972i,0.0024557+0.031391i,0.0044068-0.0036969i,0.0029527-0.0017408i,0.0084984-0.0012843i,-0.0062403-0.0026171i,-0.00036287+0.00079403i,0.0088123+0.0006906i,0.0049909-0.0026916i,-0.0022478+0.0090044i,-0.017623-0.0091026i,-0.017728+0.015272i,-0.0033438-0.063773i,-0.0050341-0.027346i,-0.025967-0.033183i,-0.01143-0.026663i,0.053913-0.022051i,0.01674-0.043916i,0.023031-0.049123i,0.0043812-0.055406i,0.02633-0.020784i,0.0085552+0.0060577i,0.025018-0.033228i,-0.0080968-0.0059577i,0.0030477-0.0046405i,-0.0048458-0.0069818i,-0.0021685-0.032873i,-0.018223+0.029233i,0.0089296-0.012007i,-0.0095565-0.0039558i,-0.004168-0.001545i,0.00091915-0.01273i,-0.010886+0.0048575i,0.002641+0.010073i,-0.003914+0.026024i,0.0049658+0.0025086i,-0.0055315-0.0014817i,-0.0019548-0.0022532i,-0.012545-0.0070665i,-0.00069139-0.0043808i,-0.034099+0.010817i,0.0011914-0.010678i,-0.008494+0.00046643i,-0.0067886-0.0019765i,0.0051082+0.0015361i,-0.0081857-0.00016879i,0.0021596+0.00017386i,0.0045917+0.0071704i,0.0040384+0.00060509i,-0.0090381-0.011889i,0.0031267+0.0099137i,-0.014329+0.0050842i,0.0073111-0.00042458i,-0.022069+0.00014862i,-0.017516+0.0069874i,-0.0065535-0.06647i,0.0071749-0.012596i,-0.049922-0.023016i,-0.021083+0.00062805i,0.017233+0.011573i,-0.023406+0.014563i,-0.019379-0.0055983i
0.027624+0.038357i,0.014833+0.016255i,0.018143+0.025612i,0.007327+0.020207i,0.0096345+0.0077711i,0.0051377-0.00086359i,0.016887+0.013313i,0.016979-0.0019002i,0.0087016-0.0072141i,0.0028907+0.0039789i,0.0020152-0.0026825i,0.00087127-0.0051431i,-0.001983+0.00062975i,0.001287-0.0016395i,0.001943-0.00060298i,0.0051813-0.0029734i,0.0068783-0.0046566i,5.6604e-05+0.00031134i,-0.0041601+0.00067123i,7.9926e-05+0.00066349i,-0.00080501-0.0011596i,-0.0025219-0.00094908i,-0.0016263+0.00089785i,0.0046707+0.010597i,-0.0012874+0.0012228i,0.00081089+0.0016601i,0.0011468+0.00086617i,-0.0018263+0.0027111i,-0.0008823+0.00026742i,-0.001501+0.00045716i,-0.001689-0.0014429i,-0.0024669+0.00089718i,-0.00022074+0.00014798i,0.00034706+0.00043966i,-0.00032109-0.00087827i,-0.0092806+0.0075425i,0.0015483-0.00044928i,0.00067864+0.0011726i,0.0023259+0.0025536i,2.1313e-05-0.00083523i,-0.0005314-0.00075383i,-0.00071059-0.0019588i,0.00076451+0.00091813i,-0.00057589+0.0013446i,0.019927+0.01549i,-0.022822+0.015694i,-0.012607+0.018653i,-0.022519+0.011908i,-0.003936+0.0382i,-0.021497+0.013282i,0.0017462-0.0033379i,-0.012118-0.016897i,-0.01868-0.0002463i,-0.007191+0.01415i,0.01856+0.019769i,-0.00053307+0.0023342i,-0.0039531+0.00096833i,-0.012199-0.0044057i,0.011495+0.0011534i,0.011752+0.010019i,-0.0013269+0.0058497i,-0.0051097-0.007826i,0.0062294-0.0028122i,-0.003425-0.0038567i,0.0035223-0.0086726i,0.0087474-0.0027078i,-0.0014223+0.010786i,0.012344-0.0058611i,0.0042704-0.008398i,0.0031685-0.0094642i,0.0023164+0.00071689i,-0.0024348-0.005451i,-0.0036589-0.0015857i,0.0025263-0.00013728i,-0.0041593+0.038606i,-0.0079705-0.0064875i,0.00010744+0.0011383i,-0.0011775-0.0069518i,0.0035292-0.00033036i,-0.016793-0.0062975i,-0.0016113-0.0038531i,0.0028018-0.0023129i,0.0032753-0.0016396i,-0.003009-0.0068284i,0.00015316+0.0069706i,0.00025899+0.0032803i,-0.00317+0.0040092i,-0.0079819+0.0027888i,-0.0063833-0.0011434i,-0.0053478+0.028735i,-0.0020945+0.01417i,-0.026198-0.013402i,-0.0016282-0.0030464i,0.013745+0.018083i,0.00017973+0.018566i,-0.00044388-0.0049004i
0.033499+0.031963i,0.017567+0.012411i,0.0225+0.022512i,0.01063+0.019622i,0.011707+0.0062336i,0.0053168-0.0023431i,0.017123+0.0094208i,0.016201-0.0049207i,0.0069591-0.0089942i,0.0038551+0.0026901i,0.0017544-0.002752i,-0.0010976-0.0036582i,-0.0016513+0.0015305i,0.00092432-0.00055969i,0.0017836-0.00089767i,0.0038157-0.0031914i,0.0052127-0.0062727i,0.00048263+0.00025194i,-0.0041325+0.0012746i,0.00031945-2.8139e-05i,-0.00092807-0.0013522i,-0.0025243-0.0004876i,-0.0012933+0.0010479i,0.010087+0.0081958i,-0.0013341+0.0025856i,0.001706+0.0011138i,0.0010478-2.5145e-05i,-0.0006965+0.0030026i,-0.0012147+0.00079935i,-0.0013202+0.001167i,-0.0022214-0.00065697i,-0.0013034+0.00025941i,-0.00040633+4.7594e-06i,0.00064034+6.2883e-05i,-0.00080096-0.00012017i,-0.0059397+0.0093441i,0.00096257-0.00085992i,0.0011259+0.0011071i,0.002127+0.0013326i,-1.3683e-06-0.00078512i,-0.00089822-0.0010869i,-0.00089661-0.0015143i,0.00062275+0.0010501i,-0.00082036+0.001619i,0.023398+0.012281i,-0.0179+0.018617i,-0.011053+0.021671i,-0.017734+0.013749i,0.0077644+0.03431i,-0.011654+0.016797i,-0.0048117-0.0064126i,-0.020204-0.017355i,-0.02068+0.00035849i,-0.0010695+0.010306i,0.021241+0.013689i,-0.0008878+0.0023243i,-0.0027079+0.0046332i,-0.012265+3.2673e-05i,0.010003-0.003128i,0.013531+0.0069549i,0.0020277+0.0086858i,-0.0094536-0.0064268i,0.0022612-0.0045312i,-0.0035204-0.0018726i,-0.0017218-0.0077933i,0.0070344-0.0054887i,0.0034389+0.0085913i,0.0074538-0.0089526i,-0.0010011-0.0091511i,-0.0012076-0.0065497i,0.0038244-0.00012092i,-0.0037205-0.0044032i,-0.002258+0.00077899i,0.0032453-0.00051595i,0.016687+0.03266i,-0.0098536-0.004052i,0.00091056+0.0004975i,-0.0039135-0.0056243i,0.0040312-0.0019038i,-0.017652+0.0015634i,-0.0022031-0.0029224i,0.0014586-0.0023806i,0.0033025-0.0033161i,-0.0043537-0.0047505i,0.0019737+0.0033461i,0.0015644+0.0024505i,-0.00069986+0.0054065i,-0.0054891+0.0054252i,-0.0069937-5.0458e-05i,0.00047658+0.025076i,0.00062557+0.015427i,-0.028573-0.0052247i,-0.0033024-0.0067304i,0.016203+0.015642i,0.0038472+0.019486i,-0.0028898-0.0053016i
0.037589+0.024624i,0.018621+0.0074365i,0.027196+0.01684i,0.015423+0.016976i,0.013951+0.0040965i,0.0050034-0.0041255i,0.016583+0.0055575i,0.015054-0.0081086i,0.0050504-0.0098103i,0.003907+0.0013332i,0.0011932-0.0034158i,-0.0013964-0.0018304i,-0.00091291+0.0016796i,0.0016767-0.00049203i,0.0015732-0.0011965i,0.002709-0.0032555i,0.0027764-0.0073912i,0.00049727-0.00023507i,-0.0033927+0.0023381i,-3.4848e-05-0.00070352i,-0.0017112-0.0017443i,-0.0023693-3.7953e-05i,-0.0010335+0.0011549i,0.012568+0.0023171i,-0.00010118+0.0034569i,0.001864+0.00012296i,0.00049032-0.00044981i,0.00047543+0.0027063i,-0.0008844+0.0015036i,-0.00088359+0.0017314i,-0.0024509+0.0004766i,-0.0016922+0.00095164i,-0.00051024+0.00012973i,0.00066257-0.00020887i,-0.00061522+0.00063876i,-0.0029179+0.0099149i,0.00055223-0.00085564i,0.0015809+0.00044254i,0.0019073+0.00082369i,-0.00028379-0.00080796i,-0.0014472-0.00097081i,-0.00071107-0.0016043i,0.00077342+0.0013811i,-0.00069182+0.0021294i,0.02713+0.0075769i,-0.013142+0.020439i,-0.0073478+0.024619i,-0.012155+0.013236i,0.018218+0.026831i,-0.0056316+0.017609i,-0.011758-0.0052964i,-0.02684-0.014179i,-0.019704+0.0047511i,0.0022177+0.0045364i,0.02178+0.0059161i,-0.0013505+0.0023006i,-0.00095598+0.0047635i,-0.012186+0.0029365i,0.0059906-0.0075237i,0.014438+0.0028429i,0.0061535+0.0086456i,-0.012593-0.0036858i,0.000183-0.0030194i,-0.0033899-0.00011004i,-0.0040288-0.0050327i,0.0047197-0.0068846i,0.0062748+0.0072724i,0.0042626-0.0091139i,-0.00624-0.0050532i,-0.001611-0.0033985i,0.0042788-0.0024711i,-0.0068323-0.0017942i,-0.00027363+0.00085436i,0.002657-0.0018971i,0.029216+0.01843i,-0.010929-9.7238e-05i,0.0014486-6.0769e-05i,-0.0038212-0.0037016i,0.0041154-0.0041272i,-0.013328+0.0086068i,-0.0022766-0.0017212i,0.00051985-0.002437i,0.0015661-0.0041518i,-0.0049387-0.0023384i,0.0010144+0.0024757i,0.0021139+0.0013593i,0.0020413+0.0052474i,-0.0027759+0.0056178i,-0.0074672+0.0018355i,0.0031393+0.020751i,0.0076197+0.014646i,-0.028094-0.00036248i,-0.0058316-0.0092721i,0.019129+0.01075i,0.0088461+0.019454i,-0.0051283-0.0044665i
0.039641+0.017507i,0.017641+0.0037016i,0.028993+0.0098633i,0.018608+0.011698i,0.015424+0.00075876i,0.0037514-0.0056464i,0.015343+0.0029588i,0.01284-0.010963i,0.0035323-0.010591i,0.0034336+0.00062452i,6.4263e-05-0.0031799i,-0.00083691-0.00097355i,-0.00070491+0.0018322i,0.0016655-0.00051715i,0.0011543-0.0014096i,0.0016573-0.0028365i,0.00037942-0.0067982i,0.00045276-0.00034675i,-0.0015726+0.0031005i,-0.00071049-0.00084186i,-0.0024315-0.00077745i,-0.0024013+0.00052955i,-0.00078795+0.0012464i,0.011175-0.0031473i,0.0013729+0.0035432i,0.001652-0.00049859i,6.1621e-05-0.00030663i,0.0010679+0.0020123i,-0.0002608+0.0015508i,-0.00016266+0.0019894i,-0.0020399+0.0017014i,-0.0011367+0.0015646i,-0.00047066+0.00020002i,0.00039211-0.00031606i,-0.00023369+0.0010283i,-6.5204e-05+0.010108i,0.000281-0.00083794i,0.0013672-0.0003145i,0.0017147+0.00073602i,-0.00073275-0.00060918i,-0.001752-0.00039255i,-0.0013898-0.0016619i,0.001256+0.0016219i,-0.00041251+0.0027057i,0.029398+0.00065098i,-0.0077969+0.02157i,-0.0024401+0.026602i,-0.0098469+0.010415i,0.02577+0.014925i,0.00050724+0.014204i,-0.017628-0.00042856i,-0.033389-0.0077268i,-0.021368+0.020077i,0.0020852-0.0013118i,0.020252-0.0011525i,-0.0015282+0.003154i,0.00010326+0.0063366i,-0.011364+0.0066799i,-0.00022365-0.0073792i,0.014252-0.001971i,0.0099388+0.0064897i,-0.015285+0.00056476i,-0.00073439-0.0022429i,-0.0024093+0.0011605i,-0.0049343-0.0016397i,0.0024486-0.0077615i,0.0087631+0.0034776i,0.001992-0.009484i,-0.0058641+0.00067355i,-0.00060217-0.0019886i,0.0027343-0.0047293i,-0.0076618+0.0021069i,0.00064842+0.00059371i,0.0017212-0.0026199i,0.031406-0.0033703i,-0.0093846+0.0048693i,0.0017535-0.001138i,-0.0040093-0.0022663i,0.0022669-0.0064567i,-0.0074385+0.010763i,-0.0018018-0.0012585i,-0.00025742-0.0016925i,0.00012054-0.0038466i,-0.0035361-0.00091887i,0.0010239+0.0024173i,0.0018517+0.00019111i,0.0044159+0.0040072i,-0.00077561+0.0043234i,-0.0073894+0.0037733i,0.0046073+0.01871i,0.015416+0.007728i,-0.025886+0.0046438i,-0.011217-0.010567i,0.018494+0.0053011i,0.013837+0.017062i,-0.0054051-0.0033486i
0.041227+0.010794i,0.017283+0.0014906i,0.029108+0.0039509i,0.019833+0.0062186i,0.015638-0.0028099i,0.0023742-0.0065771i,0.014507+0.0014716i,0.010235-0.012845i,0.0020076-0.01134i,0.0031702+9.0262e-05i,-0.00043715-0.0026832i,-0.00035212-0.00084564i,-0.00038285+0.0022559i,0.0016695-0.00087275i,0.0008181-0.0013827i,0.0013469-0.0019674i,-0.00083677-0.0059319i,0.00023341-0.00032213i,-0.00033259+0.0026661i,-0.0012548-0.00054425i,-0.0025309-4.5953e-05i,-0.0018767+0.0012654i,-0.00051228+0.0013826i,0.0081707-0.0065649i,0.0026759+0.0030168i,0.0014955-0.00046298i,-0.00022258-0.00012038i,0.0014049+0.0014268i,0.00011364+0.001554i,0.00074356+0.0019268i,-0.0010296+0.0024347i,-0.0010901+0.0020483i,-0.00061709+0.00036445i,0.00029237-7.1326e-05i,0.000403+0.0011809i,0.0021404+0.0087206i,-0.00011585-0.0006776i,0.00090157-0.00068779i,0.0018099+0.00049962i,-0.0007613-0.00014484i,-0.001833-4.0536e-05i,-0.0025101-0.0020205i,0.0017047+0.0014026i,3.3351e-05+0.0026861i,0.02872-0.0066143i,-0.0018393+0.021047i,0.0042964+0.027251i,-0.0091854+0.0097481i,0.027036+0.0015075i,0.0028205+0.0091151i,-0.019601+0.0076038i,-0.03593+0.0025731i,-0.024602+0.020738i,-0.0011265-0.005403i,0.015606-0.0059315i,-0.00068747+0.0040226i,0.0036827+0.0062515i,-0.0089876+0.009965i,-0.0034289-0.0040898i,0.011537-0.0080436i,0.012625+0.0027584i,-0.017577+0.0078759i,-0.0010642-0.00047362i,-0.0012043+0.0017532i,-0.0030657+0.00048919i,-0.00068418-0.0074604i,0.0087128-5.7323e-05i,-0.00047923-0.0092782i,-0.0032626+0.0036801i,0.00018248-0.0021762i,0.00062538-0.0055776i,-0.0044917+0.0031468i,0.0020086-0.00014205i,0.0011395-0.0025893i,0.02009-0.018537i,-0.0052765+0.007622i,0.001155-0.0020937i,-0.0034171-0.0017105i,-0.0005814-0.0072201i,-0.003328+0.010351i,-0.0020996-0.001855i,-0.00013787-0.00035449i,-0.00010042-0.0030896i,-0.0039599-0.00015203i,0.0014933+0.0025272i,0.00091578-0.00034106i,0.0047076+0.0013503i,-0.00078467+0.0024226i,-0.0063354+0.0059716i,0.0067969+0.017548i,0.016971-0.0042318i,-0.021709+0.0057217i,-0.016891-0.008633i,0.017469+0.0009255i,0.017293+0.011695i,-0.0061844-0.0032229i
0.041767+0.0036906i,0.017416-0.0011914i,0.028876-0.0018149i,0.020205+0.00069186i,0.01537-0.0061311i,0.00084714-0.0072563i,0.014607+0.00027597i,0.0076348-0.014262i,0.00025162-0.012204i,0.0026415-0.00039518i,-0.00067757-0.0022183i,-0.00012718-0.00088123i,0.0003666+0.0026877i,0.0014831-0.0010601i,0.00062143-0.0014652i,0.0019281-0.0013082i,-0.0016287-0.0057762i,0.00027666-0.00036844i,0.00031608+0.0020621i,-0.0015153-2.3716e-05i,-0.0021623+0.00063223i,-0.0010356+0.0014277i,-0.00014137+0.0014389i,0.0046338-0.0079802i,0.003907+0.0019157i,0.0011393-0.00078416i,-0.00030272+1.3e-05i,0.0015771+0.00092173i,0.00056948+0.0014776i,0.0013911+0.0013228i,0.00018659+0.0026517i,-8.0276e-05+0.0028658i,-0.00054499+0.00074736i,0.00043396-7.462e-05i,0.00089987+0.0008606i,0.0027071+0.0072336i,-0.00026823-0.00035186i,0.00053086-0.00072735i,0.0016144+8.7896e-05i,-0.00048294+0.00014882i,-0.0019298+0.00055073i,-0.003791-0.00075028i,0.0021049+0.0011496i,0.00025405+0.0029074i,0.026407-0.013181i,0.0032717+0.018802i,0.01113+0.024444i,-0.0081432+0.010197i,0.023249-0.0097308i,0.002395+0.0056963i,-0.016581+0.015839i,-0.032478+0.013413i,-0.018102+0.026388i,-0.0055585-0.0055505i,0.010782-0.0074484i,0.0005417+0.0042152i,0.0059827+0.00387i,-0.0053178+0.012613i,-0.0044374-0.0013963i,0.0054118-0.012956i,0.013-0.0026014i,-0.011371+0.015547i,-2.8579e-06+0.00057i,-0.00016363+0.0014442i,-0.0015246+0.00085148i,-0.0025825-0.0054716i,0.0070877-0.0024128i,-0.0023348-0.0079044i,0.00040735+0.0042379i,0.00032427-0.0032555i,-0.0015738-0.0051379i,-0.0028372+0.0034822i,0.0019572-0.0020241i,0.00084261-0.0028119i,-0.0040875-0.023274i,-0.0012269+0.0080468i,0.00023561-0.0021488i,-0.0037004-0.00079202i,-0.0035389-0.0064137i,-0.00018094+0.0096656i,-0.0011694-0.00020877i,0.001126-0.00023778i,-0.00080452-0.0036156i,-0.0023177+0.0015038i,0.0042339+0.0013514i,0.00014902+0.00022195i,0.0055131-0.0024866i,-0.0020009+0.0014734i,-0.0042234+0.0073535i,0.0094883+0.01592i,0.01124-0.013913i,-0.019972+0.0028194i,-0.022078-0.0035279i,0.014259-0.0040333i,0.01768+0.006358i,-0.0070661-0.0022256i
0.040956-0.0033496i,0.016658-0.0043596i,0.026632-0.008696i,0.018318-0.0055922i,0.014506-0.0098461i,-0.0009443-0.0073982i,0.015418-0.0015246i,0.0048391-0.015478i,-0.0019537-0.012501i,0.0019959-0.00016858i,-0.0013132-0.001932i,-0.00020958-0.0014854i,0.0012107+0.0026166i,0.0012297-0.0013862i,0.00031708-0.0014402i,0.002673-0.0014916i,-0.0031176-0.0054871i,-6.3759e-05-0.00052506i,0.00082953+0.0014002i,-0.0016713+0.00055922i,-0.0019918+0.00090258i,-0.00043332+0.0011066i,0.00019683+0.0013573i,0.0036603-0.00577i,0.0045239-0.00027207i,0.00050447-0.00096836i,-0.00063486+0.00022771i,0.0015976+0.00054581i,0.0011535+0.0011033i,0.0016391+0.0005702i,0.0013197+0.0022823i,0.00096451+0.0030708i,-0.00042822+0.0013005i,0.00043904-0.00013243i,0.00097969+0.00037505i,0.0035964+0.0054776i,-0.00040365-0.00013176i,8.0334e-05-0.00071751i,0.0018099-0.00019557i,-7.1854e-05+0.00018896i,-0.0018242+0.0013064i,-0.0031844+3.489e-05i,0.002546+0.00065318i,0.0005873+0.0037105i,0.022668-0.018917i,0.0072795+0.015245i,0.015557+0.020087i,-0.0055956+0.011245i,0.015982-0.0176i,0.001229+0.0041372i,-0.01034+0.020452i,-0.024362+0.020406i,-0.007997+0.029053i,-0.008818-0.0027331i,0.0070545-0.0073003i,0.0015965+0.0038828i,0.0059076+0.00062903i,-0.00079413+0.013408i,-0.0049331+0.00096481i,-0.0035685-0.012703i,0.010261-0.0070569i,-0.005627+0.015565i,0.0013599-0.0003504i,0.00039861+0.0012148i,-0.0010569+0.00029162i,-0.0028162-0.0036553i,0.005619-0.0031997i,-0.0034092-0.0071932i,0.0021823+0.0027228i,-0.00073566-0.0048151i,-0.0033346-0.0038988i,-0.00099439+0.0038295i,0.00055449-0.0032765i,0.00029756-0.0034991i,0.0055633+0.0019955i,0.0020561+0.0067442i,-0.00015268-0.0021898i,-0.0030077-0.00061309i,-0.0054705-0.0046071i,0.0022058+0.0084636i,-0.00056094-0.0011743i,0.0017144-0.00095987i,-0.0023498-0.0032178i,-0.00087191+0.0010537i,0.0029411+0.00087722i,0.00021088+0.0012161i,0.0053846-0.001691i,-0.0033481+0.0019448i,-0.0021764+0.0073413i,0.012459+0.014389i,0.0024614-0.019568i,-0.023337+0.00096749i,-0.023235+0.0040947i,0.0081678-0.0062441i,0.017457+0.0014154i,-0.0066916-0.0020913i
0.039064-0.0099464i,0.015923-0.0065482i,0.022266-0.013224i,0.01378-0.010031i,0.012366-0.013519i,-0.0024756-0.0069733i,0.016301-0.0040357i,0.0016554-0.016054i,-0.0038894-0.0126i,0.0022151+0.00033759i,-0.001658-0.00096455i,-0.0010994-0.0016159i,0.0020407+0.0023367i,0.00074666-0.0014451i,0.00010819-0.0013403i,0.0029821-0.0020993i,-0.0049014-0.0043276i,-0.00029187-0.00033134i,0.00095151+0.00067287i,-0.0014311+0.0013125i,-0.0017861+0.0014512i,-0.00047345+0.0005872i,0.00050203+0.0012537i,-0.002564-0.0018878i,0.0035679-0.0020377i,4.5589e-05-0.00087463i,-0.00056303+0.00067807i,0.001552+0.00028659i,0.0012487+0.00041318i,0.001576-1.0731e-05i,0.0021925+0.0014239i,0.0020688+0.0025497i,0.00027924+0.001546i,0.00041875-0.00018692i,0.00086066+0.00048643i,0.0044697+0.0035734i,-0.00049715+0.00025513i,-0.0002124-0.00046071i,0.001961-0.00073306i,0.00027856+0.00011679i,-0.0012425+0.0019788i,-0.0031936+0.00046788i,0.0027644-0.00011333i,0.0021869+0.00393i,0.01758-0.023346i,0.009945+0.010934i,0.018216+0.015701i,-0.0021117+0.010806i,0.0086045-0.02035i,0.00016912+0.0041941i,-0.0037332+0.022215i,-0.015945+0.022479i,0.0026453+0.027882i,-0.0091431+0.0015404i,0.0054303-0.0068494i,0.0027233+0.0032039i,0.0046045-0.001233i,0.0040661+0.012239i,-0.0040835+0.0039094i,-0.0099686-0.007102i,0.0061806-0.0091757i,-0.0016761+0.015036i,0.00086612-0.0020811i,0.00088622+0.00070332i,-0.0012398+0.0002517i,-0.0023725-0.0024046i,0.004352-0.0038463i,-0.004759-0.0062308i,0.0028316+0.0010196i,-0.0038877-0.0050665i,-0.0041112-0.0020842i,0.0010534+0.0026799i,-0.00033551-0.0035793i,-0.00081144-0.0040009i,0.0074048-0.01057i,0.0040389+0.0047651i,-0.0007807-0.0023762i,-0.0035994-0.00032144i,-0.0064068-0.0020049i,0.0037435+0.0071605i,-0.0013384-0.0023307i,0.0020521-0.0019324i,-0.0037204-5.7967e-05i,-0.0001702+0.0003124i,0.0033472+0.00033798i,0.00098592+0.0015425i,0.003596-0.0021912i,-0.0041613+0.0034786i,-0.00068381+0.0066852i,0.016571+0.01224i,-0.0084977-0.021092i,-0.027211+0.0028572i,-0.019623+0.011438i,0.0037729-0.0041588i,0.014525-0.0035861i,-0.0068322-0.0033456i
0.036436-0.016236i,0.015434-0.0094962i,0.018335-0.01586i,0.0092478-0.011384i,0.0093718-0.016507i,-0.0035568-0.0063423i,0.017099-0.007761i,-0.0013861-0.015921i,-0.0059726-0.012459i,0.0029011+0.00010279i,-0.0011314-0.00020816i,-0.0017692-0.00081425i,0.0027797+0.0014478i,0.00039192-0.0014173i,8.6721e-06-0.001267i,0.0031544-0.002632i,-0.0059255-0.0026123i,-0.00019425-0.00037564i,0.00069075+8.54e-05i,-0.00087387+0.0016975i,-0.0013814+0.0017658i,-0.00061369+0.00051864i,0.00085164+0.0011023i,-0.0046803-0.00069499i,0.0023565-0.0029821i,-0.00022159-0.00071641i,-0.00022357+0.00080009i,0.0015838-6.08e-05i,0.00099518+0.00029913i,0.0014167-0.00055263i,0.0026755+0.00038535i,0.0027028+0.0017582i,0.00092142+0.0013498i,0.00057648-0.00017649i,0.0012854+0.00065662i,0.0052605+0.0011467i,-0.00015998+0.00085603i,-0.00023677-0.00022361i,0.0015496-0.0014929i,0.00068317-0.00016667i,-0.0004768+0.0021776i,-0.002796+0.0035244i,0.0025854-0.0010118i,0.0029517+0.0033837i,0.011854-0.026043i,0.010468+0.0062902i,0.019851+0.011448i,0.00055738+0.0090742i,0.003206-0.021818i,0.0003762+0.0060597i,0.0027724+0.022026i,-0.0085973+0.022473i,0.01082+0.023196i,-0.0066152+0.0053034i,0.0038796-0.0072349i,0.0037021+0.0017859i,0.0038027-0.0024823i,0.0078586+0.0085879i,-0.001583+0.0051282i,-0.011762-0.00054524i,0.0022678-0.0097713i,0.0014562+0.013448i,-0.0010777-0.0024724i,0.00046933+0.00021315i,-0.0012684+0.00074112i,-0.0020495-0.001868i,0.003196-0.0034402i,-0.0058775-0.0047408i,0.0022886-0.0002302i,-0.0065769-0.0025232i,-0.003664-0.00037705i,0.0015927+0.00082823i,-0.0011655-0.0038823i,-0.0022409-0.003627i,0.00096957-0.013044i,0.0052187+0.002271i,-0.0016939-0.0021948i,-0.0035943+0.0010499i,-0.0057774+0.0007505i,0.0052569+0.0060307i,-0.0031637-0.0025093i,0.0017959-0.0033617i,-0.001742-0.0031762i,-0.00018455-0.00076037i,0.0038777-0.00030849i,0.0014745+0.0013081i,0.002062-0.0018911i,-0.0040944+0.0054108i,0.00023857+0.005904i,0.020648+0.0081799i,-0.018547-0.017203i,-0.029892+0.00668i,-0.013617+0.01364i,0.0024212-0.0021788i,0.0097069-0.0056033i,-0.0091845-0.0038116i
0.03232-0.022074i,0.014003-0.013033i,0.015005-0.018044i,0.0059375-0.011524i,0.0057227-0.018728i,-0.0045179-0.0057052i,0.01664-0.013045i,-0.0042907-0.015318i,-0.0084768-0.011811i,0.0033897-0.00050246i,-0.00049832-0.00016128i,-0.0018793+0.00028447i,0.002963+0.00043759i,0.00017148-0.0010963i,-0.00013966-0.0013147i,0.0029594-0.0035224i,-0.0062307-0.00073195i,-0.000355-0.00050197i,0.0004794-0.00011839i,-0.0002835+0.0018093i,-0.00087263+0.0021974i,-0.00073976+0.00061569i,0.001127+0.00076467i,-0.0040046+0.0018582i,0.0011641-0.0033386i,-0.00045229-0.00052025i,4.3607e-05+0.00065496i,0.0013169-0.00047531i,0.001109+0.00021131i,0.00095155-0.0010376i,0.0027569-0.00074836i,0.0032079+0.00098161i,0.0014765+0.00096985i,0.00066276-0.00055923i,0.0019993+0.00035543i,0.0052236-0.00063248i,0.00069971+0.0015183i,-0.00018502-8.3333e-06i,0.0006888-0.0018152i,0.00092716-0.00063152i,0.00019125+0.0023476i,2.1085e-05+0.0037948i,0.0019867-0.0017575i,0.0036169+0.0033369i,0.0062355-0.027254i,0.0090664+0.0032171i,0.020623+0.0075161i,0.0021318+0.0081048i,-0.0024109-0.022809i,0.0034325+0.0081425i,0.008658+0.019486i,-0.001327+0.020381i,0.016851+0.01622i,-0.002075+0.0071056i,0.0022215-0.0075552i,0.0035867-0.00074124i,0.0027289-0.0040003i,0.0086909+0.0038966i,-5.7504e-05+0.0045653i,-0.010884+0.0058096i,-0.0016156-0.0090476i,0.0034483+0.011218i,-0.0023377-0.0024915i,-0.00018415+0.00064318i,-0.000941+0.0012879i,-0.0015272-0.0017478i,0.003286-0.0022122i,-0.0060856-0.0022439i,0.0019957-9.8789e-06i,-0.0068087+0.00085409i,-0.0027592+0.00022442i,0.0012148-0.00019374i,-0.0031938-0.0041194i,-0.0033715-0.0024194i,-0.0041041-0.0117i,0.0051268-0.00038439i,-0.0024399-0.0014918i,-0.0024095+0.0018635i,-0.0042482+0.002391i,0.006963+0.00476i,-0.004657-0.00090626i,0.00044321-0.0046136i,-0.0029449-0.0018658i,-0.0012056-0.0013824i,0.0043569-0.0019469i,0.0019129+0.001436i,0.0015802-0.0013735i,-0.0016812+0.0070101i,0.00071456+0.0051002i,0.023823+0.002119i,-0.023894-0.0089755i,-0.031828+0.012438i,-0.0088325+0.013671i,0.0013072-0.00038011i,0.005523-0.0038767i,-0.011111-0.0027586i
