-0.026657-0.042843i,-0.021358-0.021019i,-0.011758-0.037778i,-0.029723-0.021884i,-0.024159-0.0018663i,-0.013202-0.0040403i,-0.05266-0.054047i,-0.046947-0.017153i,-0.038346-0.015463i,0.0099155+0.01394i,-0.0090462+0.0062264i,-0.019906+0.019348i,0.0022482+0.012163i,-0.0041743-0.0025459i,0.00097206+0.00085064i,-0.00035747+0.028441i,0.026276+0.026773i,0.0028606-0.001785i,-0.0020907-0.0065135i,0.0081971+0.0026719i,0.002728+0.00092641i,0.00023676+0.0034794i,-0.00038808+2.5167e-05i,-0.035302-0.010122i,0.00045919-0.0078209i,0.001528+0.0023971i,0.0059318+0.0010757i,0.0023489+0.00035352i,0.0013213-0.00066201i,-9.1356e-05-0.0025592i,0.0018288-0.0022795i,-0.002666-0.0055374i,-0.00021622-0.0047242i,0.0032557-0.00072769i,0.0052326-0.0027116i,0.0027124+0.029549i,0.0042411-0.0032953i,0.0032764-0.0015036i,0.0086044-0.00082036i,-0.0049891-0.0022531i,-0.00036+0.0011653i,0.010264+0.0010936i,0.0044619-0.0016394i,-0.003231+0.0094596i,-0.016992-0.0070848i,-0.017531+0.016551i,0.00074086-0.062142i,-0.0039245-0.027138i,-0.025422-0.034161i,-0.010113-0.026867i,0.053577-0.022797i,0.017514-0.043406i,0.025547-0.047697i,0.0098257-0.053435i,0.027782-0.019668i,0.0087143+0.0063719i,0.0273-0.03314i,-0.0082757-0.0065268i,0.0031552-0.0042185i,-0.0047705-0.007117i,-0.0010203-0.03378i,-0.02071+0.029277i,0.0091265-0.011973i,-0.0093407-0.0038584i,-0.0039784-0.0018598i,0.00063276-0.013277i,-0.011197+0.00393i,0.0024363+0.010806i,-0.0061505+0.027106i,0.0046493+0.0025217i,-0.0054462-0.0019012i,-0.002001-0.002202i,-0.012922-0.0077609i,1.6076e-05-0.0044791i,-0.036121-0.0013323i,0.0014564-0.010916i,-0.0085589-0.00015446i,-0.0072601-0.0027543i,0.0054608+0.0012893i,-0.007983-0.00097205i,0.0021097-0.00011024i,0.0040931+0.007237i,0.00461+0.00057485i,-0.0072951-0.013869i,0.002819+0.009575i,-0.015241+0.004439i,0.0070478+0.00056559i,-0.022722-0.001094i,-0.018094+0.0045655i,-0.003221-0.0645i,0.0081321-0.012683i,-0.047152-0.025593i,-0.019981-0.0008822i,0.016774+0.013046i,-0.02409+0.014231i,-0.0193-0.0063086i
0.025728+0.037063i,0.013825+0.01913i,0.016695+0.026436i,0.007231+0.020519i,0.0099972+0.0071039i,0.0053622-0.0014907i,0.020438+0.011322i,0.017221-0.0029493i,0.0078785-0.0070136i,0.00072886+0.0043713i,0.0024586-0.002645i,0.00089018-0.0051462i,-0.002307+0.00061507i,0.00067571-0.0010237i,0.0021809-0.00039187i,0.0044833-0.0022052i,0.0054719-0.0060397i,-8.3992e-05+0.00084732i,-0.0038889+0.00086665i,1.9296e-05+0.00070832i,-0.00060331-0.0010307i,-0.0023875-0.00068452i,-0.0017219+0.00083869i,0.0051467+0.009255i,-0.001169+0.0020866i,0.00079292+0.0018832i,0.0010712+0.00079997i,-0.0016297+0.0027116i,-0.00096794+0.0002063i,-0.0012034+0.00048669i,-0.0010342-0.0013291i,-0.0016271-0.0013725i,-0.00021281+0.00046686i,0.000658+0.00056467i,-0.00011674-0.00077474i,-0.0079801+0.0093615i,0.0017023+0.00016998i,0.00066845+0.0010096i,0.00057695+0.0029334i,0.0010324-0.00099938i,-0.00019594-0.00056515i,-0.0010818-0.00072988i,-7.7262e-05+0.0014413i,0.00028252+0.0010796i,0.016575+0.018501i,-0.027618+0.015143i,-0.015664+0.015926i,-0.024523+0.010753i,-0.0051408+0.039806i,-0.021688+0.018235i,0.0001903-0.0016904i,-0.012517-0.016417i,-0.021175-0.0020705i,-0.0089089+0.013573i,0.018266+0.023512i,-0.00041046+0.0026496i,-0.0043186+0.00089507i,-0.012271-0.0044712i,0.011318+0.0012851i,0.011055+0.0097487i,-0.0013922+0.0055467i,-0.0054311-0.0085607i,0.0070137-0.0027702i,-0.0031975-0.0039516i,0.0040407-0.008652i,0.008837-0.00279i,-0.001777+0.010702i,0.013003-0.0057165i,0.0038228-0.0083712i,0.003742-0.0085667i,0.002366+0.00044266i,-0.0024059-0.0061732i,-0.003881-0.001332i,0.002616+2.9337e-05i,-0.011006+0.037706i,-0.0070396-0.0056263i,0.00027326+0.0010029i,-0.00089884-0.0074536i,0.0036364-0.00032167i,-0.018816-0.0083135i,-0.0016991-0.0036775i,0.0029815-0.0023564i,0.0035476-0.0016466i,-0.0026789-0.0082955i,-0.00057551+0.0076288i,0.00044569+0.0035438i,-0.0035485+0.0046826i,-0.0080132+0.0013231i,-0.0070495-0.00047798i,-0.01161+0.02221i,-0.002147+0.014842i,-0.026446-0.010853i,-0.0024844-0.0027287i,0.014154+0.018955i,-0.00085288+0.019382i,-0.00054362-0.0046945i
0.031009+0.030669i,0.017278+0.015199i,0.021196+0.023573i,0.010704+0.019893i,0.011871+0.005709i,0.0054476-0.0028474i,0.020579+0.0069996i,0.016373-0.0058319i,0.0061029-0.008669i,0.00198+0.003806i,0.0022431-0.0028788i,-0.0010549-0.0035268i,-0.0018283+0.0014262i,0.00047454-3.6561e-05i,0.0020686-0.00082312i,0.0034805-0.0024075i,0.0033947-0.0065671i,0.00050524+0.00083886i,-0.0034547+0.001383i,0.00038735+0.00017912i,-0.00075524-0.0011699i,-0.0023396-0.00025981i,-0.0013932+0.0010278i,0.0096831+0.0060378i,-0.00086314+0.0031666i,0.0017057+0.0013199i,0.00097855-4.8077e-07i,-0.00048302+0.0029037i,-0.0014082+0.00067415i,-0.001055+0.0011123i,-0.0016204-0.00070817i,-0.002257-0.0011892i,-0.00028372+0.00031278i,0.00073667+0.00029269i,-0.00083831+5.2791e-05i,-0.0045647+0.010884i,0.0013354-0.00053347i,0.00098085+0.00085722i,0.0014001+0.0022505i,0.00058252-0.0010046i,-0.0002452-0.00081402i,-0.0015774-0.00031268i,-0.00011022+0.0016421i,-2.1228e-05+0.0015354i,0.020864+0.015779i,-0.022258+0.019156i,-0.014744+0.019508i,-0.019561+0.012743i,0.0071251+0.035979i,-0.01404+0.01865i,-0.0060528-0.0044284i,-0.02029-0.016993i,-0.024548-0.0012293i,-0.0020036+0.0088251i,0.022721+0.015855i,-0.00078696+0.002443i,-0.0029679+0.0048358i,-0.012351-2.4108e-05i,0.0098599-0.0029168i,0.013007+0.007061i,0.0020367+0.0085504i,-0.0099052-0.0069698i,0.002705-0.0048286i,-0.0033073-0.0020071i,-0.0013743-0.008049i,0.0070199-0.0055988i,0.0030334+0.0086707i,0.0081277-0.0088149i,-0.0013755-0.0080247i,-0.00041334-0.0059456i,0.003654-0.00041204i,-0.0039977-0.005319i,-0.0022193+0.0011929i,0.0032776-0.00040511i,0.0089183+0.036569i,-0.0087925-0.0036212i,0.0010404+0.00022056i,-0.0040491-0.0059403i,0.0041404-0.0018424i,-0.019929+0.00077907i,-0.0023193-0.0025118i,0.0017132-0.0024673i,0.0034787-0.0032925i,-0.0047147-0.0066619i,0.0019196+0.0041261i,0.0017895+0.0026566i,-0.00061977+0.0063696i,-0.0063956+0.0040655i,-0.0075315+0.00077956i,-0.0063634+0.019764i,0.00031491+0.016119i,-0.028668-0.0046528i,-0.0039321-0.0061341i,0.016701+0.016367i,0.0028203+0.020728i,-0.0031935-0.0050357i
0.034566+0.023688i,0.018809+0.010051i,0.026201+0.018222i,0.015493+0.017109i,0.014023+0.0037128i,0.0051312-0.004472i,0.019969+0.0026483i,0.015097-0.0090274i,0.0041817-0.009229i,0.0025444+0.0030902i,0.0015756-0.0038211i,-0.0012793-0.001691i,-0.0012139+0.0016377i,0.0012787+0.00013865i,0.0018336-0.0012623i,0.0026613-0.0025222i,0.0015417-0.0068362i,0.00068873+0.00026564i,-0.002881+0.0022647i,0.00019891-0.00056176i,-0.0014789-0.0014945i,-0.00213+0.00013394i,-0.0011295+0.0011729i,0.010803+0.00064553i,0.00049156+0.0036012i,0.0018805+0.00029594i,0.00045194-0.00040064i,0.00060961+0.0025509i,-0.0011915+0.0014977i,-0.0006544+0.0016175i,-0.0018508+0.00026841i,-0.0033219+0.00020636i,-0.00026403+0.00037853i,0.00069836+1.2434e-05i,-0.00072437+0.00098293i,-0.0010888+0.01118i,0.00084945-0.00064207i,0.001267+0.00033828i,0.0014899+0.0015802i,0.00011519-0.0010078i,-0.0006422-0.0010642i,-0.0017498+0.00014647i,7.3256e-05+0.0021711i,0.00035862+0.0020609i,0.025518+0.011426i,-0.016872+0.02186i,-0.011416+0.023573i,-0.013843+0.012462i,0.018226+0.028221i,-0.0073463+0.019029i,-0.012604-0.003029i,-0.026856-0.013908i,-0.026705+0.0030026i,0.0011854+0.0014662i,0.023521+0.007191i,-0.0012317+0.0024209i,-0.0012658+0.0050275i,-0.01234+0.0029205i,0.0060512-0.0072881i,0.014107+0.0030127i,0.0062175+0.0085178i,-0.013032-0.003501i,0.00051262-0.0034591i,-0.0032659-0.0002902i,-0.0039678-0.005306i,0.0046405-0.0069263i,0.0058191+0.0075929i,0.0049248-0.0089678i,-0.0051917-0.0048353i,-0.00071912-0.0030661i,0.0038739-0.0026387i,-0.0064304-0.003473i,-0.00011049+0.0011263i,0.0026156-0.0017782i,0.023733+0.026123i,-0.0099782-0.00021662i,0.0014957-0.00043705i,-0.0037751-0.0040088i,0.004244-0.0040634i,-0.015573+0.0091068i,-0.0022771-0.0015011i,0.00064114-0.0026584i,0.0016796-0.0040455i,-0.0067144-0.0040729i,0.0014366+0.0030488i,0.0024438+0.0014427i,0.0026+0.0061739i,-0.0042642+0.0050156i,-0.0077699+0.0028454i,-0.0040771+0.016371i,0.0074957+0.015592i,-0.028372-2.7302e-05i,-0.0063804-0.008489i,0.019925+0.011463i,0.0082917+0.021175i,-0.0053669-0.0041165i
0.03622+0.016949i,0.01832+0.0060593i,0.028353+0.011212i,0.018665+0.011853i,0.01546+0.00051749i,0.0040075-0.0059193i,0.018449-0.00069645i,0.012824-0.011798i,0.0028151-0.0097353i,0.0027972+0.0026843i,0.0001261-0.0037166i,-0.00063265-0.00085732i,-0.0010224+0.0018171i,0.0014753-1.405e-06i,0.0013413-0.0016016i,0.0017887-0.0023004i,-0.00023526-0.0061649i,0.00072658+2.2922e-05i,-0.0013874+0.0028802i,-0.00040863-0.0008211i,-0.0021055-0.00067479i,-0.0021325+0.0005378i,-0.0008653+0.0013326i,0.0089089-0.0036297i,0.001687+0.0032999i,0.0014981-0.00032591i,2.5931e-05-0.00025628i,0.0011443+0.0018285i,-0.00049225+0.0016572i,1.0565e-05+0.0018571i,-0.001591+0.0012563i,-0.0027936+0.00189i,-0.00015296+0.00035131i,0.00042459-0.00019392i,-0.00017214+0.0013775i,0.0021817+0.010471i,0.0006767-0.00068996i,0.0010634-0.00025391i,0.0014923+0.0014255i,-0.0004641-0.00085657i,-0.0012935-0.0009456i,-0.0017971+0.00045712i,0.00069132+0.0026646i,0.0010268+0.0021707i,0.028776+0.0045809i,-0.010815+0.023567i,-0.0062576+0.026598i,-0.011419+0.0098058i,0.026205+0.015906i,-0.00063013+0.015369i,-0.018075+0.0019205i,-0.033187-0.0076695i,-0.026999+0.0088783i,-0.00039936-0.0056439i,0.021822-0.0006473i,-0.0014022+0.0032633i,-0.00010883+0.0068942i,-0.011712+0.0067849i,-0.00013458-0.0073605i,0.014169-0.0017391i,0.010093+0.0063177i,-0.014396+0.0015736i,-0.00075339-0.0027012i,-0.0023268+0.0010678i,-0.0051466-0.0017725i,0.0025061-0.0077048i,0.0084933+0.0039885i,0.0023844-0.0092339i,-0.0059255+0.00022803i,0.00030956-0.0018566i,0.0023975-0.0046357i,-0.0069456-5.383e-05i,0.00096722+0.00073609i,0.0018948-0.00248i,0.030772+0.01107i,-0.0089838+0.0042171i,0.0015679-0.0014721i,-0.003959-0.002686i,0.0024085-0.006403i,-0.0087666+0.011883i,-0.0018457-0.0010747i,-0.00013243-0.0019168i,0.00042542-0.0037307i,-0.0063944-0.00070263i,0.0017475+0.0026792i,0.0020777+0.00020887i,0.0054945+0.0046631i,-0.0020496+0.0045538i,-0.0075327+0.004858i,-0.0028926+0.015339i,0.01594+0.0086963i,-0.026165+0.0049619i,-0.011286-0.0095398i,0.019499+0.0057901i,0.013931+0.018953i,-0.0057031-0.0031111i
0.03737+0.010915i,0.018336+0.0035102i,0.028595+0.0052871i,0.019975+0.0063694i,0.015795-0.0029039i,0.0027255-0.0068795i,0.016855-0.002912i,0.010183-0.01367i,0.0015465-0.010274i,0.0032392+0.0021907i,-0.0009645-0.0029825i,-8.2732e-05-0.00085497i,-0.000765+0.0022737i,0.0015562-0.00041618i,0.00083372-0.0016447i,0.0015009-0.0016574i,-0.0012251-0.005503i,0.00055205-7.0774e-05i,-0.00030014+0.0024948i,-0.00094421-0.00067062i,-0.0022564-6.1833e-06i,-0.0017542+0.0011503i,-0.00054819+0.0015132i,0.0058969-0.0061656i,0.002621+0.0027437i,0.0012183-0.00067054i,-0.00021961-8.3538e-05i,0.001382+0.0012903i,-1.8212e-05+0.0017032i,0.00083091+0.001749i,-0.00079899+0.0018763i,-0.001832+0.0029183i,-0.00019827+0.0002875i,0.00022235+5.1631e-05i,0.00054308+0.0015363i,0.0046844+0.0090195i,0.00031511-0.00073798i,0.00062343-0.00057249i,0.0018884+0.0011273i,-0.00063327-0.00038788i,-0.0016302-0.00063259i,-0.0019465+0.00090604i,0.0015731+0.0026706i,0.0010928+0.0016729i,0.029041-0.0029173i,-0.0039809+0.023482i,0.0007171+0.027667i,-0.010727+0.0092359i,0.027159+0.0024i,0.0020311+0.010142i,-0.019567+0.0099496i,-0.035783+0.0023959i,-0.025447+0.016005i,-0.005629-0.0097385i,0.016412-0.0060205i,-0.00068069+0.0042723i,0.0038113+0.0070082i,-0.0093316+0.010326i,-0.0034581-0.0041055i,0.011797-0.0077893i,0.012918+0.0023984i,-0.013789+0.0064481i,-0.0011974-0.00072474i,-0.001201+0.0016682i,-0.0032744+0.00058504i,-0.00066871-0.007406i,0.0086467+0.0005318i,-0.00050051-0.0086592i,-0.0036627+0.0035508i,0.0011572-0.0022822i,0.00019492-0.0054232i,-0.0052746+0.0026797i,0.0021978-0.00023505i,0.0013167-0.0025695i,0.029858-0.0033024i,-0.0052442+0.0069942i,0.00083215-0.0024359i,-0.0034012-0.0021994i,-0.00026617-0.0072048i,-0.0039026+0.011582i,-0.0018747-0.00057472i,-9.5205e-05-0.00058622i,0.00030159-0.0031328i,-0.0044488+0.0012138i,0.0022801+0.0020962i,0.0010807-0.00035227i,0.0065832+0.0016089i,-0.0014853+0.0030167i,-0.0061588+0.0071606i,-0.0010558+0.015231i,0.018119-0.0037706i,-0.0218+0.0060816i,-0.016335-0.0077075i,0.018669+0.0011105i,0.018046+0.013226i,-0.0066017-0.0031063i
0.037905+0.0046623i,0.018676+0.00045006i,0.02865-0.0005063i,0.020328+0.00080927i,0.015635-0.0061807i,0.0012607-0.0076319i,0.016021-0.0045136i,0.0074929-0.015104i,0.00017265-0.011022i,0.0033149+0.001515i,-0.0011156-0.0020958i,0.00016859-0.00097904i,-5.0608e-05+0.0028109i,0.0014496-0.00065573i,0.00051003-0.0016375i,0.0019234-0.00115i,-0.0019609-0.0053187i,0.00068368-0.00021257i,0.00032321+0.001907i,-0.0012701-0.00027851i,-0.0018489+0.0006145i,-0.001042+0.0013794i,-0.00015206+0.0015848i,0.0022345-0.0072772i,0.0036278+0.0018339i,0.000869-0.0010086i,-0.0003059+3.7523e-05i,0.0014975+0.00078679i,0.0004915+0.001674i,0.0013604+0.0011463i,0.00015732+0.0020555i,-0.00048218+0.0035372i,-0.00023635+0.00050118i,0.00040208+0.00012229i,0.0010579+0.0011473i,0.0062302+0.0071335i,3.3398e-05-0.00060029i,0.00028347-0.00051461i,0.0018498+0.0005369i,-0.00038353-8.1863e-05i,-0.0020339-0.0001256i,-0.0019147+0.0013762i,0.0024419+0.0023979i,0.0011254+0.0015842i,0.027308-0.0098826i,0.0021148+0.02116i,0.0074697+0.025609i,-0.0096561+0.010086i,0.023844-0.0087087i,0.0018579+0.0066214i,-0.016198+0.017916i,-0.032464+0.013214i,-0.019212+0.02399i,-0.011802-0.0085815i,0.011238-0.0076618i,0.00062586+0.0046021i,0.0064834+0.0044659i,-0.0057603+0.013287i,-0.0044503-0.0013836i,0.005876-0.012822i,0.012954-0.0032773i,-0.011674+0.0099939i,-0.0001772+0.00045263i,-0.00019107+0.0015237i,-0.0016141+0.00092882i,-0.0024831-0.0055052i,0.0072157-0.0019199i,-0.0024424-0.0068772i,-0.00043886+0.0046549i,0.0011939-0.0037612i,-0.0018239-0.0047675i,-0.0033862+0.0036346i,0.0020438-0.0020426i,0.0010524-0.0028426i,0.023487-0.014658i,-0.0013813+0.0074598i,-0.00021519-0.0023103i,-0.0038598-0.0012874i,-0.0033192-0.0066068i,-0.00032919+0.010759i,-0.0011947-7.3082e-05i,0.0011542-0.00047704i,-0.00015456-0.0038697i,-0.0022915+0.0018118i,0.0022042+0.0015775i,0.00027521+0.00019903i,0.0057362-0.00060324i,-0.0022591+0.002019i,-0.0036734+0.0084177i,0.0013725+0.014681i,0.012335-0.013901i,-0.019825+0.0030266i,-0.020928-0.003236i,0.015511-0.0042599i,0.018644+0.0076165i,-0.0076913-0.0020347i
0.037374-0.0015937i,0.01808-0.003041i,0.026579-0.0074981i,0.018431-0.0055274i,0.014875-0.0098515i,-0.00051309-0.0078831i,0.015658-0.0064353i,0.0046024-0.016369i,-0.0016151-0.011379i,0.0032077+0.001458i,-0.0014278-0.0016944i,2.3602e-05-0.0017465i,0.00084221+0.0028566i,0.0012507-0.0010131i,0.00016152-0.0015604i,0.0024928-0.0013536i,-0.0033711-0.0050411i,0.00030812-0.00058523i,0.00073723+0.0012925i,-0.001578+0.00019103i,-0.0017026+0.00083496i,-0.00040629+0.0011324i,0.00021315+0.0015046i,-0.0013397-0.0065295i,0.0040992-1.4478e-05i,0.00032161-0.0011013i,-0.00061709+0.00025097i,0.0014611+0.00041198i,0.0011534+0.0013375i,0.0015357+0.00046126i,0.0010904+0.0018176i,0.00075523+0.0037023i,-0.00022823+0.00078735i,0.00052303+8.3373e-05i,0.0011821+0.00052273i,0.0071986+0.0052863i,-0.00020283-0.00044029i,-4.523e-05-0.00048921i,0.0019173+0.00013129i,1.4364e-06-5.7114e-05i,-0.0021486+0.00065133i,-0.0014596+0.001979i,0.003314+0.0015866i,0.0010946+0.001633i,0.024095-0.01608i,0.0066979+0.017236i,0.012492+0.021779i,-0.0068898+0.011471i,0.017559-0.016873i,0.00085651+0.0050011i,-0.009841+0.022436i,-0.024431+0.0202i,-0.0092024+0.027749i,-0.015797-0.0038648i,0.0072966-0.0075019i,0.0017715+0.0042036i,0.0065508+0.00093159i,-0.0009888+0.014069i,-0.0049436+0.0009015i,-0.0030619-0.012912i,0.009897-0.0075094i,-0.0089993+0.0128i,0.0013705-0.00036252i,0.00047402+0.0010987i,-0.0010664+0.00033497i,-0.0027514-0.0037342i,0.0058168-0.0028943i,-0.0032513-0.0058508i,0.0019733+0.0037806i,-0.00010391-0.0056014i,-0.0032673-0.0034389i,-0.0012724+0.0042837i,0.00064355-0.0033983i,0.00050423-0.003635i,0.013762-0.020648i,0.0017746+0.0063005i,-0.0006633-0.0021146i,-0.0032804-0.001062i,-0.005287-0.0049751i,0.0021787+0.0093707i,-0.00031784-0.00073102i,0.0017197-0.0012055i,-0.0016171-0.0039453i,-0.0011624+0.0012097i,0.0031337+0.0014715i,0.00033567+0.0012391i,0.0049357-0.0019631i,-0.0032875+0.0021043i,-0.0014318+0.0082832i,0.0042108+0.01436i,0.0038562-0.020055i,-0.023177+0.00075967i,-0.022408+0.003263i,0.0091184-0.0070016i,0.018488+0.0027472i,-0.0072386-0.0017296i
0.036024-0.0075215i,0.017558-0.0056033i,0.022315-0.012199i,0.013794-0.010059i,0.012878-0.013422i,-0.0020814-0.0076061i,0.015402-0.008615i,0.0013966-0.016859i,-0.0032531-0.011688i,0.0038453+0.0015539i,-0.0016405-0.00075257i,-0.00096359-0.0018945i,0.0017044+0.0026098i,0.00084567-0.001172i,-0.00013777-0.0013945i,0.0027049-0.0018471i,-0.005071-0.0037938i,-4.3234e-05-0.00051834i,0.00084792+0.00069594i,-0.0015127+0.00093129i,-0.0014061+0.00137i,-0.00041767+0.000644i,0.00053441+0.0014101i,-0.0038341-0.0041219i,0.0032463-0.0015587i,-0.00011443-0.00095856i,-0.00052483+0.00068966i,0.0013693+0.00018503i,0.001399+0.00062718i,0.0014547-8.3957e-05i,0.0018158+0.0011518i,0.002082+0.0032064i,0.00015062+0.0011364i,0.00057633-2.7897e-05i,0.00090232+0.0006507i,0.0076421+0.0032813i,-0.00033581-0.00031624i,-0.00028201-0.00023717i,0.0021422-0.00028615i,0.00028137-0.00013263i,-0.0018325+0.0015081i,-0.00068973+0.0022895i,0.0036572+0.0003891i,0.0012079+0.0018293i,0.019383-0.021087i,0.0096371+0.012552i,0.015608+0.017503i,-0.0030235+0.011213i,0.010248-0.02107i,-7.3853e-05+0.0050033i,-0.0030053+0.024003i,-0.016063+0.022327i,0.0015502+0.0269i,-0.015967+0.0021079i,0.0054766-0.0068411i,0.0029655+0.0033489i,0.0052168-0.0012751i,0.0041386+0.012839i,-0.0042012+0.0038154i,-0.0096611-0.0074508i,0.0058472-0.0094638i,-0.0053263+0.014896i,0.0010884-0.0020283i,0.00078444+0.00062631i,-0.00118+0.00027482i,-0.0022935-0.0025752i,0.0046552-0.0037236i,-0.0043528-0.0047549i,0.0033765+0.002035i,-0.0036629-0.0061408i,-0.0037382-0.0017473i,0.0011472+0.0032714i,-0.00037518-0.0038113i,-0.00067157-0.0041677i,0.0041962-0.021574i,0.0036122+0.0044732i,-0.0011901-0.0020861i,-0.0041482-0.00072404i,-0.0065086-0.0025285i,0.0037561+0.0078816i,-0.00061274-0.001909i,0.0020304-0.002201i,-0.0024159-0.0029328i,-0.00037232+0.00054877i,0.0035851+0.00048778i,0.0011488+0.0016735i,0.0030177-0.0029222i,-0.0040312+0.0030576i,0.00033848+0.0074569i,0.0084121+0.013704i,-0.0072185-0.022276i,-0.027384+0.0025378i,-0.020137+0.009687i,0.0041522-0.0050436i,0.016224-0.0022237i,-0.0073413-0.0029677i
0.033878-0.013373i,0.017127-0.0090381i,0.018514-0.014903i,0.009194-0.011424i,0.010138-0.016352i,-0.0032732-0.0070908i,0.015332-0.011566i,-0.0017329-0.016717i,-0.0051358-0.011775i,0.0048115+0.00079546i,-0.0010126-6.7621e-05i,-0.0017166-0.0010696i,0.002453+0.0018942i,0.00047301-0.0011774i,-0.00025567-0.0012065i,0.0028216-0.0022851i,-0.0060897-0.001907i,-3.8276e-05-0.00064274i,0.00068089+0.0001203i,-0.0010622+0.001376i,-0.00091559+0.0014973i,-0.00052447+0.00059309i,0.00089908+0.0012259i,-0.0047072-0.0009156i,0.0022321-0.0022466i,-0.00038372-0.00072207i,-0.00014402+0.00080466i,0.0013759-0.00011261i,0.0011375+0.00041824i,0.0012901-0.00058702i,0.0022693+0.00034718i,0.002883+0.0023489i,0.00077275+0.0011181i,0.00076341-9.1501e-05i,0.0012149+0.0010545i,0.0073791+0.0015185i,-0.00058042-3.7991e-05i,-0.00026954+1.4521e-05i,0.0019131-0.0010352i,0.00068813-0.00034328i,-0.0011055+0.002031i,-4.4792e-05+0.0022973i,0.0033162-0.00080134i,0.0014164+0.0021649i,0.013766-0.024315i,0.010282+0.0078721i,0.017408+0.013435i,-0.00019597+0.0093742i,0.0038409-0.022733i,0.00022658+0.0069469i,0.0036306+0.023698i,-0.0087328+0.02242i,0.0098974+0.022373i,-0.01276+0.0072841i,0.0040707-0.0071206i,0.003864+0.0016674i,0.004275-0.0026828i,0.0083172+0.0091047i,-0.0017593+0.0049933i,-0.011709-0.00094798i,0.0019326-0.009812i,-0.00092844+0.014886i,-0.00034225-0.0029161i,0.00020632+0.00026249i,-0.0012167+0.00069292i,-0.0021174-0.0020979i,0.0034479-0.0034339i,-0.0050875-0.0029449i,0.0032876+0.00041615i,-0.0068419-0.0035738i,-0.0031389-0.00024049i,0.0019348+0.0012173i,-0.0013571-0.0039916i,-0.0021747-0.0038468i,-0.0035095-0.019153i,0.0047826+0.0022236i,-0.0019229-0.0017954i,-0.0043556+0.0010124i,-0.006233+0.00034242i,0.0052322+0.00685i,-0.0021403-0.0024553i,0.0015977-0.0035745i,-0.00286-0.0024995i,-0.00035583-0.00078799i,0.0039124-0.00015873i,0.0020395+0.0015947i,0.0012416-0.0021491i,-0.0044293+0.0043463i,0.0015308+0.0064086i,0.013089+0.010916i,-0.01797-0.018848i,-0.030446+0.0063263i,-0.015232+0.012766i,0.0023886-0.0030608i,0.012057-0.0050878i,-0.0098071-0.0032484i
0.030383-0.018884i,0.01558-0.013025i,0.015235-0.017219i,0.0058597-0.011536i,0.0066692-0.018638i,-0.0044045-0.0065333i,0.014486-0.015841i,-0.0047133-0.016046i,-0.0075143-0.011381i,0.0052935-0.00050466i,-0.00030803-0.00015334i,-0.001931+6.6336e-05i,0.0026675+0.0010047i,0.00025963-0.00088932i,-0.00035966-0.0011599i,0.0026826-0.0030103i,-0.0062546+0.00030702i,-0.0002856-0.00088887i,0.00049786-0.00012721i,-0.00056845+0.0015739i,-0.0005561+0.0016723i,-0.00061588+0.00073309i,0.0011647+0.00085422i,-0.0037186+0.0020111i,0.0014288-0.0025183i,-0.00058731-0.00039911i,0.00014116+0.00068652i,0.0011111-0.00049162i,0.0012043+0.00028434i,0.00086638-0.0010029i,0.0024434-0.00057112i,0.0036174+0.0013812i,0.0012665+0.00083171i,0.00086776-0.00055054i,0.0021332+0.00094931i,0.0070705+0.00012022i,-0.00046277+0.00037493i,-0.00014075+0.00027106i,0.001203-0.0014299i,0.00099775-0.00078265i,-0.00040826+0.0024053i,0.00068165+0.0022302i,0.0026215-0.0015137i,0.0020839+0.0025903i,0.0080562-0.026001i,0.0092658+0.0047758i,0.018488+0.0099219i,0.0014401+0.0084378i,-0.0024833-0.023938i,0.0033651+0.0090664i,0.0096781+0.021066i,-0.0013845+0.020421i,0.016218+0.015379i,-0.0071964+0.010193i,0.0027675-0.0074256i,0.003595-0.0010591i,0.0031455-0.0043297i,0.0094303+0.0040444i,-0.00029984+0.004494i,-0.011082+0.0055364i,-0.0018466-0.0088874i,0.002342+0.012426i,-0.0023144-0.0024483i,-0.00040298+0.00088857i,-0.00096662+0.0012061i,-0.0017474-0.0019728i,0.0035659-0.0020766i,-0.0044467-0.0014482i,0.0031647+0.00025063i,-0.0073588-1.3219e-06i,-0.0021174+0.00038568i,0.0015924-5.8009e-05i,-0.0034047-0.0039989i,-0.0034034-0.00267i,-0.0095935-0.015429i,0.0047921-0.00029563i,-0.0025039-0.0010434i,-0.0030606+0.0022379i,-0.004876+0.0021332i,0.006991+0.0056853i,-0.003634-0.0013557i,0.00023029-0.0048112i,-0.0037684-0.0016848i,-0.0015418-0.0014007i,0.0045441-0.0018057i,0.0028969+0.0012513i,0.0010648-0.0013361i,-0.0031717+0.0061681i,0.0020945+0.0051504i,0.016885+0.0057802i,-0.023854-0.010493i,-0.032794+0.012411i,-0.010745+0.013844i,0.00095538-0.00098429i,0.0085447-0.0051411i,-0.011568-0.0020275i
