-0.025202-0.046051i,-0.023048-0.020094i,-0.011907-0.038565i,-0.029821-0.021759i,-0.02392-0.0015101i,-0.013596-0.0042078i,-0.053811-0.055395i,-0.047283-0.016497i,-0.039039-0.01536i,0.0084762+0.013337i,-0.0083062+0.0068641i,-0.019418+0.019072i,0.0025691+0.011582i,-0.0045736-0.0027724i,0.00089016+0.00072637i,0.00016171+0.02913i,0.026666+0.027196i,0.0023046-0.0011999i,-0.0020065-0.0062133i,0.0080358+0.0026219i,0.0028984+0.0011403i,0.00052515+0.0034466i,-0.00041127+0.00011747i,-0.035353-0.0087987i,-0.00019371-0.0075019i,0.001524+0.0025677i,0.0058064+0.0014945i,0.0025761+0.00032998i,0.0012931-0.00076704i,-0.00044247-0.0025603i,0.0014198-0.0025027i,-0.0032723-0.0056158i,-0.00034572-0.0048517i,0.0031621-0.00093253i,0.0046767-0.0026342i,0.0030464+0.030334i,0.0040764-0.0034697i,0.0034427-0.0018147i,0.0084646-0.00060066i,-0.0050949-0.0019363i,-0.00029432+0.0014734i,0.0096036+0.00095483i,0.0041888-0.0018i,-0.002955+0.0087333i,-0.015103-0.0085263i,-0.018252+0.012872i,-0.00097295-0.061721i,-0.0046495-0.027365i,-0.025328-0.032801i,-0.010708-0.026881i,0.051848-0.024929i,0.016075-0.044244i,0.0229-0.049011i,0.0084451-0.055629i,0.026383-0.019127i,0.0089628+0.0060059i,0.026157-0.034675i,-0.0080106-0.0061503i,0.0029327-0.0045909i,-0.004581-0.0068555i,-0.0023222-0.03243i,-0.020017+0.029638i,0.0077702-0.011197i,-0.0089121-0.0039412i,-0.0040647-0.0017657i,0.0001905-0.012693i,-0.011248+0.0044571i,0.0025737+0.009862i,-0.0052122+0.026641i,0.0044217+0.0025407i,-0.0054714-0.0017642i,-0.001798-0.0023263i,-0.012684-0.0075045i,-0.00051705-0.0044337i,-0.0364+0.00048791i,0.001138-0.010431i,-0.0084695+0.00013779i,-0.0069259-0.0024058i,0.0051312+0.0010921i,-0.0089341-0.0008323i,0.00094313-0.00065982i,0.00407+0.0071994i,0.0045109+0.00074358i,-0.0082964-0.012988i,0.0025599+0.0095633i,-0.015543+0.0049142i,0.0062702+0.0003662i,-0.022525-0.0010607i,-0.01856+0.0037221i,-0.0034297-0.062091i,0.0081539-0.011946i,-0.049419-0.023833i,-0.020883+0.00019606i,0.017534+0.0121i,-0.023278+0.014009i,-0.019996-0.0064586i
0.02837+0.039234i,0.013781+0.018729i,0.017798+0.027541i,0.0069947+0.020418i,0.009808+0.0070229i,0.0053116-0.0015247i,0.019614+0.012233i,0.016701-0.0029738i,0.0081533-0.0076045i,-0.00039922+0.0047049i,0.0023511-0.0025767i,0.00041785-0.005362i,-0.0022653+0.00077913i,0.00085902-0.0010552i,0.0021633-0.0004617i,0.0046911-0.0026456i,0.005139-0.0063965i,0.00015201+0.0010019i,-0.0033773+0.00062074i,-0.00019123+0.00076869i,-0.00074471-0.001135i,-0.0023941-0.00083908i,-0.0016953+0.00074913i,0.005707+0.0085895i,-0.00025969+0.0023093i,0.0011184+0.0015629i,0.001263+0.00080112i,-0.0018122+0.0027026i,-0.0010817+8.7646e-05i,-0.00089075+0.00047087i,-0.00046848-0.0011378i,-0.0015214-0.0011115i,-0.00017474+0.0004757i,0.00058147+0.00064155i,0.00030195-0.0007112i,-0.0073388+0.010254i,0.0015546+0.0001105i,0.00075365+0.00053392i,0.00075398+0.0028485i,0.0012047-0.0011793i,-4.2308e-05-0.00018118i,-0.0011352+7.2267e-06i,0.00018473+0.001285i,0.0011533+0.0010882i,0.017631+0.020397i,-0.024949+0.015785i,-0.013336+0.017421i,-0.023545+0.010804i,-0.0045564+0.037879i,-0.020182+0.018797i,0.0014809-0.0009984i,-0.011423-0.015555i,-0.020077-0.00032417i,-0.0085787+0.015662i,0.016749+0.02287i,-0.00037263+0.0021106i,-0.0043084+0.00092344i,-0.011584-0.0043907i,0.011151+0.0014177i,0.011303+0.0095584i,-0.0012326+0.0052009i,-0.0052551-0.0079755i,0.0068218-0.0015553i,-0.0030886-0.0043268i,0.0038103-0.0086378i,0.0084621-0.0025676i,-0.0013828+0.010669i,0.012541-0.0058103i,0.0040194-0.0072712i,0.004039-0.0075495i,0.002353+0.00048846i,-0.0024163-0.0057892i,-0.0035904-0.0010632i,0.0027602-0.00016612i,-0.0094135+0.036903i,-0.0061419-0.0052987i,0.00043357+0.0010281i,-0.0011745-0.0073979i,0.0034131-0.00021183i,-0.018024-0.0060746i,-0.0015337-0.0023748i,0.0030449-0.0022624i,0.0032274-0.001585i,-0.0025693-0.0072582i,-0.00016972+0.0079717i,0.00049729+0.0033167i,-0.0035356+0.0044748i,-0.008009+0.0022189i,-0.0059603+0.00088818i,-0.014292+0.025775i,-0.0027466+0.014467i,-0.026557-0.010414i,-0.0017733-0.0028111i,0.013751+0.016859i,-0.00075088+0.018821i,-0.00058249-0.0046837i
0.033832+0.03255i,0.017272+0.01481i,0.022515+0.024352i,0.01061+0.01989i,0.011745+0.0056111i,0.0053854-0.0028862i,0.019798+0.0080213i,0.015852-0.0057637i,0.0062447-0.0092592i,0.0010388+0.0043459i,0.0021574-0.0027826i,-0.0015021-0.0035489i,-0.0017274+0.0015978i,0.0006402-0.00012828i,0.002017-0.00085713i,0.0035321-0.0028777i,0.0029858-0.0066798i,0.00077821+0.00092198i,-0.0031153+0.0010083i,0.00023042+0.00031512i,-0.00089662-0.0011999i,-0.0024093-0.00038595i,-0.0014173+0.00094859i,0.009929+0.0054721i,6.7276e-05+0.0029268i,0.0018776+0.00091417i,0.0011142-9.1981e-05i,-0.00062117+0.0029587i,-0.0015599+0.0006807i,-0.00078407+0.00099709i,-0.0010064-0.00074301i,-0.0021178-0.00098561i,-0.00021272+0.00032073i,0.00068633+0.00040988i,-0.00046366+4.6124e-05i,-0.0037828+0.011461i,0.0011829-0.00051416i,0.00085553+0.00039494i,0.0015577+0.0020609i,0.0006844-0.0012489i,-3.4134e-05-0.00047136i,-0.0013565+0.00045006i,0.0001178+0.0013889i,0.00068571+0.0012959i,0.022205+0.017563i,-0.019708+0.019335i,-0.012254+0.020365i,-0.018736+0.013051i,0.0071242+0.034202i,-0.012689+0.018958i,-0.0046392-0.0038088i,-0.018887-0.016327i,-0.023119+0.00049961i,-0.0015495+0.010782i,0.021346+0.016298i,-0.00089789+0.0020102i,-0.0030314+0.0049406i,-0.011777-0.00030651i,0.0098123-0.0026812i,0.013133+0.0066572i,0.0019975+0.0080945i,-0.0096274-0.0065125i,0.0031573-0.0037188i,-0.0033657-0.0023342i,-0.0014492-0.007966i,0.0067929-0.0052871i,0.0033425+0.0085695i,0.0077711-0.0088313i,-0.00077342-0.0071392i,0.00039674-0.0050386i,0.003642-0.00030797i,-0.0038538-0.0050221i,-0.0018318+0.0011879i,0.0033213-0.00050477i,0.0098892+0.035289i,-0.0080266-0.0035889i,0.0012033+0.00021001i,-0.0042911-0.0057192i,0.0039656-0.0016561i,-0.018316+0.0023614i,-0.0017107-0.0014777i,0.0017532-0.0024308i,0.003185-0.0030619i,-0.004366-0.0056355i,0.0023978+0.0045103i,0.0017647+0.0025095i,-0.00091239+0.005865i,-0.0060681+0.0049215i,-0.0061845+0.001685i,-0.0081236+0.023812i,-4.0452e-05+0.016043i,-0.028665-0.0042268i,-0.0034188-0.0062989i,0.015715+0.014538i,0.0030076+0.020056i,-0.0031455-0.0049288i
0.037578+0.025285i,0.018852+0.0095974i,0.027568+0.018733i,0.015488+0.017118i,0.013892+0.0035414i,0.0050423-0.004514i,0.019271+0.0038169i,0.014581-0.008817i,0.0042375-0.0098342i,0.0018384+0.0037968i,0.0015465-0.0036456i,-0.0015763-0.001535i,-0.0010727+0.0017818i,0.0013682-2.1552e-05i,0.0017896-0.0012541i,0.0025589-0.0029902i,0.0010944-0.0067824i,0.00098477+0.00030635i,-0.0027697+0.0018022i,9.3205e-05-0.00039094i,-0.0016026-0.001494i,-0.002203+5.3211e-05i,-0.0011799+0.0011341i,0.010924+8.8388e-05i,0.0011772+0.003016i,0.0018779-0.00014613i,0.000557-0.00050182i,0.00050348+0.0026112i,-0.0013192+0.0015585i,-0.00045637+0.0013914i,-0.0012758-2.8314e-05i,-0.0031603+0.00039653i,-0.00015197+0.00033677i,0.00068042+0.00011859i,-0.0003586+0.00081006i,-0.00022949+0.011514i,0.00074212-0.00057025i,0.00095301-3.2043e-05i,0.0017606+0.0013706i,0.00012026-0.0013063i,-0.00030662-0.00074451i,-0.0012291+0.00073764i,0.00021641+0.0017868i,0.001117+0.0016084i,0.027077+0.012984i,-0.014438+0.021538i,-0.0091155+0.023852i,-0.012931+0.012885i,0.017503+0.02681i,-0.0060112+0.019011i,-0.010923-0.0026361i,-0.025259-0.013529i,-0.024889+0.0045806i,0.0016952+0.0034677i,0.022769+0.0079753i,-0.0013802+0.0020375i,-0.0011255+0.0051629i,-0.011793+0.0025731i,0.0061191-0.0069648i,0.014031+0.002578i,0.0059077+0.0080719i,-0.012571-0.0031877i,0.0012605-0.0026755i,-0.0034327-0.00056389i,-0.0039733-0.0052538i,0.0046268-0.0065914i,0.0060999+0.0073313i,0.0045928-0.0089534i,-0.0044022-0.0042095i,0.00028125-0.0026415i,0.0038996-0.002493i,-0.0063005-0.003254i,0.00013476+0.00089476i,0.0027345-0.0018963i,0.023988+0.02466i,-0.0093419-0.00025674i,0.0016124-0.00052544i,-0.0037136-0.003815i,0.0041469-0.0037688i,-0.01353+0.0097649i,-0.0013549-0.00066299i,0.00073437-0.002576i,0.0017215-0.003667i,-0.0058569-0.0032205i,0.0019204+0.0031725i,0.0023731+0.0013896i,0.0017688+0.0058468i,-0.003712+0.0056307i,-0.0063688+0.0032926i,-0.0047782+0.020685i,0.0072491+0.015682i,-0.028201+0.00033768i,-0.0059746-0.0086853i,0.018495+0.009908i,0.0080641+0.020473i,-0.0052177-0.004036i
0.039425+0.018227i,0.018263+0.0055236i,0.029685+0.011506i,0.018665+0.011914i,0.015323+0.0003413i,0.0038763-0.0059391i,0.017881+0.00061217i,0.01234-0.011475i,0.0027012-0.01042i,0.0024259+0.0034244i,0.00015825-0.003557i,-0.00081445-0.00062953i,-0.00083623+0.0019338i,0.0014716-0.00011304i,0.0013046-0.0015582i,0.0015717-0.0026951i,-0.00060614-0.0060253i,0.0010542-4.9672e-05i,-0.0015189+0.002481i,-0.00046151-0.00061808i,-0.0022099-0.00066739i,-0.0022037+0.00051876i,-0.0009243+0.0013346i,0.0089439-0.0042452i,0.0020621+0.0026518i,0.0013244-0.00070161i,0.0001259-0.00040063i,0.0010388+0.0019335i,-0.00057707+0.0017322i,0.00010583+0.0015222i,-0.0011832+0.00075839i,-0.0025408+0.0020393i,-5.792e-05+0.00026416i,0.00043882-9.7602e-05i,7.3581e-05+0.0010706i,0.0030509+0.010533i,0.00059427-0.00059371i,0.00062561-0.00049115i,0.0017213+0.0011145i,-0.00055241-0.0011296i,-0.00085691-0.00072338i,-0.0011271+0.00089173i,0.0006755+0.0021799i,0.0017329+0.0015096i,0.030432+0.0060665i,-0.0085792+0.022861i,-0.0041071+0.02655i,-0.010502+0.010168i,0.02495+0.015416i,0.00055113+0.015138i,-0.016172+0.0019738i,-0.031448-0.0076541i,-0.02469+0.0099749i,0.0003634-0.0034976i,0.021304+0.0001491i,-0.0016242+0.003019i,4.4635e-05+0.0067821i,-0.011155+0.0063649i,0.00025392-0.0071069i,0.013842-0.0021317i,0.0094948+0.0060678i,-0.013975+0.0016365i,0.00030373-0.0024599i,-0.0025869+0.0008295i,-0.0048784-0.0017942i,0.002548-0.0073944i,0.0085665+0.0037275i,0.0021348-0.0090375i,-0.004965+0.00042985i,0.0012402-0.0018012i,0.0024399-0.0044333i,-0.0067893+0.00013721i,0.0010021+0.00038701i,0.0018212-0.0026915i,0.030429+0.009779i,-0.0083109+0.0040752i,0.0016652-0.0016007i,-0.0038923-0.0025941i,0.0025049-0.0061883i,-0.0069238+0.011902i,-0.00078158-0.0005104i,3.893e-07-0.0018979i,0.00067304-0.0036207i,-0.0053559-0.00022312i,0.0021097+0.0027137i,0.0021337+0.00019606i,0.0044619+0.0050763i,-0.0017014+0.0050198i,-0.0061989+0.0049158i,-0.0026948+0.019684i,0.015576+0.008883i,-0.02595+0.0050076i,-0.010967-0.0096278i,0.017638+0.0048263i,0.013405+0.018394i,-0.0055164-0.0029906i
0.040772+0.011835i,0.018179+0.0030019i,0.029919+0.0053396i,0.020096+0.0064758i,0.015626-0.0031334i,0.0025803-0.0068634i,0.016544-0.0014753i,0.0097128-0.01327i,0.0011991-0.010975i,0.0030933+0.0027931i,-0.00088192-0.0029004i,-9.2053e-05-0.00061769i,-0.00051421+0.00234i,0.0015297-0.00050085i,0.0008438-0.0015639i,0.0012576-0.0019096i,-0.0014172-0.0052708i,0.00083965-0.00031157i,-0.00050328+0.0022379i,-0.00093173-0.00044966i,-0.0023728+1.1436e-05i,-0.0017742+0.001202i,-0.00058092+0.0015185i,0.0056958-0.0066905i,0.0028034+0.0020992i,0.00092361-0.00095117i,-0.00018734-0.0002222i,0.001353+0.0014175i,-8.1554e-05+0.0017701i,0.00077813+0.0014031i,-0.0006359+0.0012596i,-0.001552+0.0029656i,-0.00013282+0.00021693i,0.00026147+0.00016366i,0.00059883+0.0012477i,0.0054753+0.008819i,0.00029233-0.00059679i,0.00012359-0.00063334i,0.0019006+0.00074642i,-0.00078185-0.00065419i,-0.0011587-0.00053195i,-0.0011945+0.001105i,0.0014008+0.0021967i,0.0017455+0.00081061i,0.030875-0.0015673i,-0.0022006+0.022347i,0.0025855+0.027245i,-0.0097664+0.0097001i,0.026101+0.0027229i,0.0030501+0.0097883i,-0.017705+0.0095928i,-0.034102+0.0019096i,-0.02287+0.016402i,-0.0044878-0.0075945i,0.016298-0.0049828i,-0.00087339+0.0040915i,0.0038359+0.0065772i,-0.008892+0.0097319i,-0.0029755-0.004123i,0.011368-0.0078976i,0.012171+0.0024688i,-0.013583+0.0063294i,-0.0002172-0.0010658i,-0.0016209+0.0015716i,-0.0030996+0.00038653i,-0.00046711-0.0071327i,0.008546+0.0002679i,-0.00055889-0.008459i,-0.0028571+0.0033799i,0.0020639-0.002561i,0.00039777-0.005224i,-0.005151+0.0027258i,0.0020222-0.00051715i,0.0011865-0.0026561i,0.0291-0.0041921i,-0.0048496+0.0064846i,0.00089882-0.0025283i,-0.0033616-0.0021085i,-0.0002745-0.0070388i,-0.002307+0.011111i,-0.00071036-0.00028102i,-2.3846e-05-0.00067737i,0.00038086-0.0030514i,-0.0031329+0.0013822i,0.0027177+0.0020338i,0.0012541-0.00039295i,0.0060113+0.0024379i,-0.0010962+0.0036653i,-0.0049922+0.007006i,0.00025646+0.019206i,0.017754-0.0033285i,-0.021569+0.0060545i,-0.015955-0.007774i,0.01673+0.00089906i,0.017456+0.013013i,-0.0063132-0.0030199i
0.041531+0.0051478i,0.01839-3.846e-05i,0.029909-0.00068089i,0.020521+0.00076914i,0.015391-0.006406i,0.0011207-0.007594i,0.016009-0.0030436i,0.0070876-0.01462i,-0.00043065-0.011617i,0.0032545+0.0019953i,-0.0010819-0.0020727i,0.00023778-0.00079914i,0.00023161+0.0027976i,0.0014162-0.00071096i,0.00058232-0.0015674i,0.0017078-0.0012885i,-0.0020859-0.0051103i,0.00084123-0.00057917i,6.4057e-05+0.0017653i,-0.0011768-9.2302e-05i,-0.0019364+0.00070184i,-0.0010227+0.0014196i,-0.00014448+0.0015885i,0.0018737-0.0076248i,0.0036087+0.0011609i,0.00049226-0.0011282i,-0.00031392-5.7033e-05i,0.0015229+0.00090069i,0.00043909+0.0017645i,0.0012103+0.00085428i,7.2999e-05+0.0014305i,-0.00020118+0.0034719i,-0.00017563+0.00043654i,0.00049773+0.0002009i,0.0011116+0.00088351i,0.0068864+0.0067352i,6.2577e-05-0.000459i,-0.00018325-0.00036988i,0.0017247+0.00022454i,-0.0006016-0.00032365i,-0.0015525-0.00015096i,-0.0010857+0.0013052i,0.0020714+0.0020077i,0.0017064+0.00048471i,0.029401-0.0087415i,0.0032209+0.019929i,0.0089727+0.025132i,-0.0084697+0.010419i,0.023206-0.0078519i,0.0026773+0.006091i,-0.014446+0.01712i,-0.031057+0.012272i,-0.016844+0.02365i,-0.010257-0.0066982i,0.011696-0.0068279i,0.00041936+0.0044358i,0.0061846+0.0041192i,-0.0055474+0.01249i,-0.0039664-0.0016167i,0.0054312-0.012724i,0.012328-0.0027983i,-0.011618+0.010023i,0.00059021-0.00021914i,-0.0005162+0.0016291i,-0.0015113+0.00076032i,-0.0022208-0.0053399i,0.0069436-0.0021113i,-0.002451-0.006734i,0.00014092+0.0043739i,0.001964-0.0043785i,-0.0015727-0.0047509i,-0.0033382+0.0036245i,0.001753-0.0022036i,0.00096153-0.0029229i,0.022482-0.015059i,-0.0012812+0.0068935i,-0.00015755-0.002384i,-0.0037935-0.0012564i,-0.0031156-0.0063946i,0.0010494+0.0098442i,8.364e-05-0.00027543i,0.0011107-0.00055374i,-4.4893e-05-0.0037547i,-0.00097887+0.0014282i,0.0027162+0.0014011i,0.00044737+2.8026e-05i,0.0055068+0.00045939i,-0.0016604+0.0027482i,-0.00252+0.0081765i,0.0033711+0.017802i,0.012186-0.013252i,-0.01998+0.0030217i,-0.020521-0.0032875i,0.013704-0.0039263i,0.018119+0.0073976i,-0.0072379-0.0020105i
0.041174-0.0016341i,0.017613-0.0034192i,0.027831-0.0077463i,0.018476-0.0057358i,0.014577-0.010094i,-0.0006511-0.0078262i,0.016018-0.0050087i,0.0042543-0.015792i,-0.002437-0.011766i,0.0032677+0.0019125i,-0.0014476-0.0016594i,8.7555e-05-0.0016537i,0.001086+0.0027507i,0.0012375-0.0010384i,0.0002783-0.0015364i,0.0023407-0.0014588i,-0.003467-0.0048329i,0.00031643-0.000956i,0.00052938+0.001195i,-0.001449+0.00033722i,-0.001744+0.00092308i,-0.00036528+0.0011342i,0.00022648+0.0015019i,-0.0018734-0.0066944i,0.0038647-0.00060587i,-6.9001e-05-0.0010745i,-0.00065256+0.00017143i,0.0015149+0.00049079i,0.0011445+0.0014384i,0.0013418+0.00026805i,0.00078904+0.001273i,0.00098531+0.0034973i,-0.00019983+0.00069882i,0.00059851+0.00011518i,0.0011586+0.00022724i,0.0077175+0.0047265i,-0.00015743-0.00033172i,-0.00040852-0.00018109i,0.0017823-2.4063e-05i,-0.00028224-0.00024412i,-0.0016967+0.00048808i,-0.00063566+0.0016693i,0.0028311+0.0013523i,0.0014168+0.00027277i,0.026442-0.015182i,0.0073482+0.016237i,0.013801+0.021315i,-0.0057141+0.011415i,0.017402-0.015762i,0.0015106+0.004429i,-0.008261+0.021309i,-0.023387+0.019026i,-0.0071808+0.02707i,-0.013814-0.002402i,0.0080604-0.0070352i,0.0016154+0.0040622i,0.0062658+0.00097803i,-0.0010874+0.013313i,-0.0046314+0.00051565i,-0.0033722-0.012662i,0.0095922-0.0069915i,-0.0088755+0.012872i,0.0016943-0.0011348i,0.00030774+0.001286i,-0.0011059+0.00015684i,-0.002513-0.0038215i,0.0054851-0.0028743i,-0.0032764-0.0056764i,0.0024918+0.0035391i,0.00043219-0.006379i,-0.0031292-0.0035659i,-0.0012589+0.004273i,0.00038211-0.0032077i,0.00040132-0.0036765i,0.012763-0.020644i,0.0016789+0.0058184i,-0.0006189-0.0021727i,-0.0032104-0.00098068i,-0.0050179-0.0049022i,0.0033233+0.0080259i,0.00073322-0.0014929i,0.0016701-0.0012377i,-0.0014472-0.0037744i,-0.00014879+0.00030924i,0.003532+0.0011344i,0.00038265+0.00093343i,0.0051418-0.00082287i,-0.0024448+0.0027674i,-0.00027615+0.0078521i,0.0066401+0.016624i,0.0038406-0.019248i,-0.023432+0.00099482i,-0.021871+0.0031931i,0.0075913-0.0062183i,0.017812+0.0026191i,-0.0066794-0.001744i
0.039849-0.008128i,0.016956-0.0057729i,0.023622-0.012592i,0.013691-0.010212i,0.012495-0.013622i,-0.0022221-0.0075414i,0.016051-0.0074135i,0.0010901-0.01624i,-0.004172-0.011757i,0.00404+0.0019125i,-0.0016981-0.00073482i,-0.00097-0.0018292i,0.0018896+0.002441i,0.00083728-0.001191i,1.72e-06-0.0014309i,0.0025958-0.0019181i,-0.0051153-0.0036095i,-0.00014835-0.00085535i,0.00067705+0.00066071i,-0.0013545+0.001041i,-0.0014274+0.0014714i,-0.00039834+0.00061806i,0.00055884+0.0013911i,-0.0044048-0.0040202i,0.002843-0.001969i,-0.0004726-0.00079529i,-0.00059474+0.00062663i,0.0014295+0.00023422i,0.0014017+0.00069244i,0.0012275-0.00015233i,0.001334+0.00076521i,0.0022165+0.0029126i,0.00010032+0.0010667i,0.00065193-2.1818e-05i,0.00075212+0.00042666i,0.0079788+0.0025875i,-0.00026337-0.00021147i,-0.00050552+0.00015534i,0.0018923-0.00044235i,-5.6597e-05-0.00022893i,-0.0014757+0.0012035i,3.6992e-05+0.0017358i,0.0031296+0.00034235i,0.0011309+0.00031562i,0.022044-0.020482i,0.010086+0.011858i,0.016907+0.017057i,-0.0022039+0.010904i,0.01048-0.019996i,0.00041452+0.0044296i,-0.0017083+0.022636i,-0.015389+0.021046i,0.0031809+0.02604i,-0.013801+0.0030202i,0.0061732-0.0066889i,0.0028258+0.0033192i,0.0051102-0.0010917i,0.0037504+0.012177i,-0.0040477+0.0033302i,-0.0097979-0.0071572i,0.0057107-0.0090028i,-0.0053075+0.014868i,0.0010725-0.0028351i,0.00073503+0.00077086i,-0.001326+0.00027085i,-0.0022925-0.0027335i,0.0043405-0.0034688i,-0.0043338-0.0045415i,0.0039712+0.0016636i,-0.0032364-0.0070127i,-0.0036957-0.0019082i,0.0012289+0.0032203i,-0.00042378-0.0033804i,-0.00076109-0.0041765i,0.0033866-0.021179i,0.0033913+0.0041005i,-0.0011068-0.0021335i,-0.0041105-0.00058766i,-0.0062432-0.0025618i,0.0042349+0.0062662i,5.0025e-06-0.0029918i,0.0019187-0.0022514i,-0.0021934-0.002827i,6.502e-05-0.00052384i,0.0037947+0.00015524i,0.0010568+0.0013448i,0.0037325-0.0019714i,-0.0029608+0.0034i,0.0014+0.0067745i,0.011007+0.01513i,-0.0068932-0.02152i,-0.027534+0.0029144i,-0.019522+0.009483i,0.003158-0.0040397i,0.015656-0.0021673i,-0.0067069-0.0029514i
0.037664-0.014528i,0.016516-0.0089792i,0.019814-0.015525i,0.0090997-0.011523i,0.0096128-0.016514i,-0.0034153-0.0070149i,0.016166-0.010629i,-0.0020082-0.016044i,-0.0060021-0.011525i,0.0049655+0.0010263i,-0.0010732-5.8876e-05i,-0.0016809-0.00098242i,0.002559+0.0016852i,0.00048577-0.0012331i,-0.00013006-0.0012998i,0.0027823-0.0023126i,-0.0060717-0.001751i,-0.0002779-0.00092108i,0.00052245+0.00015557i,-0.0008879+0.0014244i,-0.0009338+0.0016093i,-0.0005399+0.00054516i,0.00093495+0.0011815i,-0.0051948-0.0006846i,0.0017823-0.0025i,-0.00066611-0.00046666i,-0.00025929+0.00078019i,0.0014548-7.927e-05i,0.0011504+0.0004941i,0.0010665-0.00052125i,0.0016953+0.00013576i,0.0029002+0.0020255i,0.00068639+0.0010762i,0.00082379-9.0063e-05i,0.001034+0.00088864i,0.0074754+0.00078349i,-0.00044505+2.7692e-05i,-0.00034553+0.00045901i,0.0015137-0.0010948i,0.00032664-0.00032438i,-0.00085924+0.0016445i,0.00055843+0.001512i,0.002851-0.00062439i,0.00089671+0.00062438i,0.016762-0.024224i,0.010624+0.0072036i,0.018778+0.012864i,0.0003971+0.0091256i,0.004208-0.021852i,0.00054958+0.0063362i,0.00453+0.022135i,-0.0084103+0.021108i,0.011183+0.021485i,-0.010558+0.007636i,0.0046727-0.0071946i,0.0038076+0.0016657i,0.0044055-0.0025154i,0.0076794+0.0087286i,-0.0018688+0.0045416i,-0.011673-0.00068972i,0.0019159-0.0094433i,-0.00092794+0.014891i,-0.00067501-0.0035159i,0.00031236+0.00034218i,-0.0013008+0.00090023i,-0.0021824-0.0021939i,0.0033199-0.0031521i,-0.0049864-0.002798i,0.0038332-0.00017795i,-0.0066289-0.0046632i,-0.0031912-0.0004501i,0.002011+0.0011562i,-0.0011505-0.0035106i,-0.0022867-0.0038499i,-0.0040707-0.018584i,0.0044565+0.0018997i,-0.0018437-0.0018867i,-0.0042277+0.0011274i,-0.0059621+0.00022094i,0.0053017+0.0051931i,-0.0018719-0.0037354i,0.0014916-0.003537i,-0.0026546-0.0025218i,-0.00041946-0.0017441i,0.004029-0.00047826i,0.0017562+0.0012885i,0.0023705-0.0016592i,-0.0033508+0.0042354i,0.0023996+0.0054672i,0.015758+0.0115i,-0.017266-0.018254i,-0.03034+0.0068193i,-0.014547+0.012468i,0.0018885-0.002034i,0.011613-0.0049308i,-0.0089217-0.003389i
0.034136-0.020573i,0.015057-0.012754i,0.016429-0.018065i,0.0057587-0.011665i,0.0061033-0.018691i,-0.0045482-0.0064337i,0.015358-0.015216i,-0.0048652-0.015337i,-0.0081818-0.010893i,0.0054185-0.00027863i,-0.00036047-0.0001073i,-0.0018727+0.00013972i,0.0027037+0.0007886i,0.00022853-0.00093343i,-0.00026758-0.0013042i,0.0026392-0.003046i,-0.0062271+0.00042779i,-0.00060265-0.0010337i,0.00028632-1.2194e-05i,-0.00038683+0.0015735i,-0.00053901+0.0017991i,-0.00066588+0.00067388i,0.0011812+0.00080263i,-0.0039989+0.0023816i,0.00094854-0.0026515i,-0.00076013-6.0162e-05i,8.6642e-06+0.00068936i,0.0012089-0.00050785i,0.0012449+0.00035712i,0.00071614-0.00085589i,0.0018451-0.00060059i,0.0035196+0.0011022i,0.0011344+0.0008227i,0.00091631-0.00056368i,0.0019114+0.00086972i,0.006935-0.00055512i,-0.00031234+0.00033207i,-5.5984e-05+0.00070286i,0.00078929-0.0014104i,0.00066176-0.00061056i,-0.00024603+0.0019443i,0.0010129+0.0012711i,0.0022434-0.0011811i,0.0010477+0.0012375i,0.01124-0.026392i,0.0094936+0.0042566i,0.019825+0.0091164i,0.0019263+0.0082721i,-0.0020103-0.02296i,0.003538+0.0084883i,0.010239+0.019479i,-0.0013688+0.019223i,0.017212+0.014497i,-0.0051948+0.010067i,0.0030973-0.0075844i,0.0036018-0.00095265i,0.0033693-0.0042699i,0.0087635+0.0039929i,-0.0005485+0.0041562i,-0.010957+0.0056759i,-0.0017267-0.0085916i,0.0024214+0.012542i,-0.0026105-0.0027808i,-0.00023422+0.00081055i,-0.00085962+0.0013814i,-0.0018676-0.0020026i,0.0035459-0.0019236i,-0.0043264-0.001374i,0.0035507-0.00058333i,-0.0075967-0.0011613i,-0.0023065+0.00023666i,0.0017449-0.00014723i,-0.0029521-0.0036453i,-0.0035432-0.0026197i,-0.0098942-0.014826i,0.0044373-0.00045804i,-0.0024826-0.001202i,-0.0029251+0.0022516i,-0.004632+0.00204i,0.006693+0.0039458i,-0.003694-0.0027817i,0.00020006-0.0047608i,-0.0035877-0.0017486i,-0.0019515-0.0021143i,0.0044669-0.0020405i,0.0024778+0.0010239i,0.0022781-0.0013141i,-0.0024341+0.0057413i,0.0026779+0.004053i,0.019266+0.005678i,-0.022974-0.010221i,-0.032591+0.012757i,-0.010056+0.013373i,0.0007971-0.00021577i,0.0080486-0.0049203i,-0.01059-0.0023951i
